Chrom	Start	End	Peak_Name	baseMean	log2FoldChange	lfcSE	pvalue	padj	position	neg_log2_padj
chr8	87662504	87663005	BRCA_100107	187.070054825753	2.18158071330223	0.4544687540199	9.95958544364721e-08	5.90058038116932e-07	87662754	20.69263979925326
chr8	92812228	92812729	BRCA_100368	139.589281223382	2.28992527455481	0.383026904465153	1.34169324605387e-10	1.4308649080771102e-09	92812478	29.380465384330684
chr8	94991123	94991624	BRCA_100667	145.662305628992	2.92618978753375	0.462741191527334	9.02971802830383e-12	1.22644218116038e-10	94991373	32.92480172714232
chr8	95074872	95075373	BRCA_100704	258.194646598975	2.47769845888159	0.405205979594588	4.8177242621686595e-11	5.6281492926662e-10	95075122	30.72662035076604
chr8	95100579	95101080	BRCA_100729	753.61527010375	2.02201537076606	0.357173716163767	1.38129310208648e-09	1.19553502823936e-08	95100829	26.317768358596084
chr8	95150644	95151145	BRCA_100771	109.379181926732	2.04461068842363	0.36468366037398	1.6113250637980901e-09	1.37535546825818e-08	95150894	26.11562021972314
chr8	95210033	95210534	BRCA_100812	147.882423990242	2.60906883332102	0.400969203536801	3.3596650744612897e-12	4.9866285912961497e-11	95210283	34.223144290015874
chr8	95211024	95211525	BRCA_100813	123.306735961855	2.16860335729273	0.364309899034851	1.82523308458552e-10	1.89263784667002e-09	95211274	28.976954474005172
chr8	95211543	95212044	BRCA_100814	131.957066648006	2.15378905225975	0.35491567586652	9.2427760467042e-11	1.01983312671095e-09	95211793	29.869019747830663
chr8	95729771	95730272	BRCA_100855	237.006988726181	2.97411956627926	0.447781298825887	1.05034026123526e-12	1.73086862830013e-11	95730021	35.74971281443038
chr8	97568004	97568505	BRCA_101059	39.2856108687391	2.25873521105814	0.342798976133936	1.5742040303215e-06	7.30483335402267e-06	97568254	17.062717208282727
chr8	99705710	99706211	BRCA_101273	117.063859747368	2.53346234164735	0.29939928926292	1.6579051073730299e-18	9.51972616218982e-17	99705960	53.221857538515465
chr8	99706245	99706746	BRCA_101274	131.124142580321	3.05406394149951	0.359546316476703	7.91728437644734e-19	4.8863524058692403e-17	99706495	54.18401969793149
chr8	99872733	99873234	BRCA_101304	138.490339363698	2.14222587668657	0.389220403151024	2.5261537906439503e-09	2.07410212715104e-08	99872983	25.522937826034127
chr8	99901141	99901642	BRCA_101331	109.664442168082	2.91296382010403	0.429259507253278	4.34914632826417e-13	7.76602388170572e-12	99901391	36.905960994888254
chr8	100238387	100238888	BRCA_101370	285.014421479532	2.08048053353306	0.401499325995169	1.54360938239356e-08	1.0753713933526e-07	100238637	23.14866166503552
chr8	102400325	102400826	BRCA_101891	152.526654237909	2.10814926467007	0.359876748423355	3.38768580296892e-10	3.3138528279776e-09	102400575	28.168843321753265
chr8	102685486	102685987	BRCA_101971	254.633990757299	2.37779575148509	0.350570140366282	7.13317351900849e-13	1.2142895817442698e-11	102685736	36.2610965296411
chr8	110651074	110651575	BRCA_102484	78.4202020196663	3.16198075826914	0.414188626113821	7.713447362485139e-16	2.49127187916851e-14	110651324	45.190110853081045
chr8	110651584	110652085	BRCA_102485	50.8249246360424	2.0019491782605	0.312135157340408	1.2129097328185099e-11	1.60222926298984e-10	110651834	32.53920035111864
chr8	114922285	114922786	BRCA_102635	234.677233340677	2.98680795533123	0.398826798732843	2.47879210791863e-15	7.18870062627337e-14	114922535	43.66126230455134
chr8	115082171	115082672	BRCA_102642	52.2583370346639	2.19467028454538	0.33937028845705	2.40321940954336e-07	1.31804858634113e-06	115082421	19.533165016898202
chr8	116085901	116086402	BRCA_102837	109.053564686242	2.21497432368316	0.306020158682595	3.05478605183431e-14	7.02577586818948e-13	116086151	40.37240768017628
chr8	117098925	117099426	BRCA_103055	64.9971793667278	2.51717156547329	0.378817559648683	1.63415168779349e-12	2.5927447253149897e-11	117099175	35.16672887445819
chr8	119614636	119615137	BRCA_103316	83.6276698742963	2.47475541965808	0.364406432958971	6.84199077767657e-13	1.1693233137966399e-11	119614886	36.31553515861326
chr8	119922293	119922794	BRCA_103365	94.7079623615189	2.44705848714482	0.351628971024277	2.08359067861719e-13	3.98908799679105e-12	119922543	37.867078189920235
chr8	120073051	120073552	BRCA_103391	194.707465340471	2.34331642082227	0.327780716635367	5.0569386976065205e-14	1.1047907161048699e-12	120073301	39.71936403729759
chr8	121150890	121151391	BRCA_103489	110.133196824059	2.7357787892835	0.341802405664358	5.64392437888828e-17	2.3190423517115602e-15	121151140	48.61539225574295
chr8	121154435	121154936	BRCA_103491	131.216685621558	2.16380497033012	0.292784248704124	1.11639203210858e-14	2.82413337910037e-13	121154685	41.68725700724155
chr8	121165185	121165686	BRCA_103495	94.5031409506148	2.95740392776595	0.356658981104999	4.33290850105503e-18	2.2810937791912e-16	121165435	51.96112375896863
