Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr1	161623466	161623585	Q13761	RUNX3.hg38	1	6	161623525
chr2	60840908	60841027	Q13761	RUNX3.hg38	1	6	60840967
chr17	31538179	31538298	Q13761	RUNX3.hg38	1	5	31538238
chr18	35616931	35617050	Q13761	RUNX3.hg38	1	5	35616990
chr5	140718839	140718958	Q13761	RUNX3.hg38	1	5	140718898
chr1	226360505	226360624	Q13761	RUNX3.hg38	1	5	226360564
chr7	5538617	5538736	Q13761	RUNX3.hg38	1	5	5538676
chr5	141619068	141619187	Q13761	RUNX3.hg38	1	5	141619127
chr16	87895699	87895818	Q13761	RUNX3.hg38	1	5	87895758
chr8	64900655	64900774	Q13761	RUNX3.hg38	1	5	64900714
chr8	64695113	64695232	Q13761	RUNX3.hg38	1	5	64695172
chr4	6180963	6181082	Q13761	RUNX3.hg38	1	5	6181022
chr6	117771518	117771637	Q13761	RUNX3.hg38	1	5	117771577
chr12	123767722	123767841	Q13761	RUNX3.hg38	1	5	123767781
chr10	70588431	70588550	Q13761	RUNX3.hg38	1	5	70588490
chr20	19779733	19779852	Q13761	RUNX3.hg38	1	5	19779792
chr7	2165905	2166024	Q13761	RUNX3.hg38	1	5	2165964
chr19	5680546	5680665	Q13761	RUNX3.hg38	1	5	5680605
chr12	125418975	125419094	Q13761	RUNX3.hg38	1	5	125419034
chr3	12607237	12607356	Q13761	RUNX3.hg38	1	5	12607296
chr9	128031060	128031179	Q13761	RUNX3.hg38	1	5	128031119
chr10	23069145	23069264	Q13761	RUNX3.hg38	1	5	23069204
chr2	200454959	200455078	Q13761	RUNX3.hg38	1	5	200455018
chr4	2787467	2787586	Q13761	RUNX3.hg38	1	5	2787526
chr14	35416204	35416323	Q13761	RUNX3.hg38	1	5	35416263
chr4	137640353	137640367	Q13761	RUNX3.hg38	1	5	137640360
chr9	135939450	135939569	Q13761	RUNX3.hg38	1	5	135939509
chr20	5848905	5849024	Q13761	RUNX3.hg38	1	5	5848964
chr10	48337105	48337224	Q13761	RUNX3.hg38	1	5	48337164
chr9	105355908	105356027	Q13761	RUNX3.hg38	1	5	105355967
chr20	48364961	48365080	Q13761	RUNX3.hg38	1	5	48365020
chr16	69469881	69470000	Q13761	RUNX3.hg38	1	5	69469940
chr3	172592235	172592354	Q13761	RUNX3.hg38	1	5	172592294
chr4	104869078	104869197	Q13761	RUNX3.hg38	1	5	104869137
chr5	124935987	124936106	Q13761	RUNX3.hg38	1	5	124936046
chr2	102301877	102301996	Q13761	RUNX3.hg38	1	5	102301936
chr2	201252581	201252700	Q13761	RUNX3.hg38	1	5	201252640
chr3	170632866	170632985	Q13761	RUNX3.hg38	1	5	170632925
chr12	108455825	108455944	Q13761	RUNX3.hg38	1	5	108455884
chr3	196685034	196685153	Q13761	RUNX3.hg38	1	5	196685093
chr5	32312933	32313052	Q13761	RUNX3.hg38	1	5	32312992
chr2	100247689	100247808	Q13761	RUNX3.hg38	1	5	100247748
chr1	67333054	67333173	Q13761	RUNX3.hg38	1	5	67333113
chr9	109418900	109419019	Q13761	RUNX3.hg38	1	5	109418959
chr1	181159732	181159851	Q13761	RUNX3.hg38	1	5	181159791
chr16	84166843	84166962	Q13761	RUNX3.hg38	1	5	84166902
chr8	60780968	60781087	Q13761	RUNX3.hg38	1	5	60781027
chr5	149805863	149805982	Q13761	RUNX3.hg38	1	5	149805922
chr7	44460435	44460554	Q13761	RUNX3.hg38	1	5	44460494
chr14	34043859	34043978	Q13761	RUNX3.hg38	1	5	34043918
chr11	9060871	9060990	Q13761	RUNX3.hg38	1	5	9060930
chr6	137258229	137258348	Q13761	RUNX3.hg38	1	5	137258288
chr13	40026362	40026481	Q13761	RUNX3.hg38	1	5	40026421
chr1	108559745	108559864	Q13761	RUNX3.hg38	1	5	108559804
chr12	4506961	4507080	Q13761	RUNX3.hg38	1	5	4507020
chr15	50107658	50107777	Q13761	RUNX3.hg38	1	5	50107717
chr13	99332134	99332244	Q13761	RUNX3.hg38	1	5	99332189
chr2	168495632	168495751	Q13761	RUNX3.hg38	1	5	168495691
chr13	42548807	42548926	Q13761	RUNX3.hg38	1	5	42548866
chr21	35049147	35049266	Q13761	RUNX3.hg38	1	5	35049206
chr13	45329744	45329863	Q13761	RUNX3.hg38	1	5	45329803
chr10	8133199	8133318	Q13761	RUNX3.hg38	1	5	8133258
chr10	1094394	1094513	Q13761	RUNX3.hg38	1	5	1094453
chr11	133175170	133175289	Q13761	RUNX3.hg38	1	5	133175229
chr18	58887632	58887751	Q13761	RUNX3.hg38	1	5	58887691
chr6	143549803	143549922	Q13761	RUNX3.hg38	1	5	143549862
chr10	80459170	80459289	Q13761	RUNX3.hg38	1	5	80459229
chr15	56356743	56356862	Q13761	RUNX3.hg38	1	5	56356802
chr2	174593641	174593760	Q13761	RUNX3.hg38	1	5	174593700
chr12	8648733	8648852	Q13761	RUNX3.hg38	1	5	8648792
chr13	32645967	32646070	Q13761	RUNX3.hg38	1	5	32646018
chr12	9741859	9741978	Q13761	RUNX3.hg38	1	5	9741918
chr2	191109984	191110103	Q13761	RUNX3.hg38	1	5	191110043
chr5	43064904	43065023	Q13761	RUNX3.hg38	1	5	43064963
chr15	39623631	39623750	Q13761	RUNX3.hg38	1	5	39623690
chr17	49748843	49748962	Q13761	RUNX3.hg38	1	5	49748902
chr14	32206056	32206175	Q13761	RUNX3.hg38	1	5	32206115
chr2	23487869	23487988	Q13761	RUNX3.hg38	1	5	23487928
chr1	161217477	161217596	Q13761	RUNX3.hg38	1	5	161217536
chr14	23606151	23606270	Q13761	RUNX3.hg38	1	5	23606210
chr6	130513880	130513999	Q13761	RUNX3.hg38	1	5	130513939
chr2	155145897	155145988	Q13761	RUNX3.hg38	1	5	155145942
chr1	100941257	100941376	Q13761	RUNX3.hg38	1	5	100941316
chr15	41487871	41487990	Q13761	RUNX3.hg38	1	5	41487930
chr13	28268821	28268940	Q13761	RUNX3.hg38	1	5	28268880
chr1	98871623	98871742	Q13761	RUNX3.hg38	1	5	98871682
chr4	146049857	146049976	Q13761	RUNX3.hg38	1	5	146049916
chr9	22105080	22105199	Q13761	RUNX3.hg38	1	5	22105139
chr13	114263689	114263808	Q13761	RUNX3.hg38	1	5	114263748
chr13	113931162	113931281	Q13761	RUNX3.hg38	1	5	113931221
chr10	88117307	88117426	Q13761	RUNX3.hg38	1	5	88117366
