Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr3	48557028	48557083	Q16656	NRF1	20	100	48557055	0.9738000001236796
chr8	116874896	116874955	Q16656	NRF1	20	99	116874925	0.9903999999448656
chr12	133037324	133037385	Q16656	NRF1	20	95	133037354	0.9695000001341104
chr3	120596255	120596328	Q16656	NRF1	19	94	120596291	0.9749999999821186
chr13	48532707	48532763	Q16656	NRF1	20	94	48532735	0.992700000090152
chr2	33599316	33599367	Q16656	NRF1	20	94	33599341	0.9694999999519438
chr3	136752598	136752664	Q16656	NRF1	20	94	136752631	0.9688000000059604
chr2	216109204	216109250	Q16656	NRF1	20	94	216109227	0.980099999949336
chr3	100709333	100709388	Q16656	NRF1	20	94	100709360	0.9844180001080036
chr5	144170688	144170743	Q16656	NRF1	20	93	144170715	0.995199999922514
chr10	122954376	122954421	Q16656	NRF1	20	93	122954398	0.9785999998569488
chr16	29816071	29816112	Q16656	NRF1	20	92	29816091	0.972899999980256
chr11	114400532	114400581	Q16656	NRF1	20	92	114400556	0.983899999890849
chr14	22589263	22589315	Q16656	NRF1	20	91	22589289	0.9564539998762308
chr16	56520053	56520096	Q16656	NRF1	20	91	56520074	0.9630999999433756
chr9	137086831	137086882	Q16656	NRF1	20	91	137086856	0.950400000038743
chr11	1309718	1309761	Q16656	NRF1	20	91	1309739	0.9861999995566904
chr2	28751652	28751707	Q16656	NRF1	20	91	28751679	0.9889000000163912
chr8	108248811	108248854	Q16656	NRF1	20	90	108248832	0.9777999997757376
chr1	231337918	231337955	Q16656	NRF1	20	90	231337936	0.9787999998360872
chr5	1799866	1799923	Q16656	NRF1	20	90	1799894	0.9829999997094272
chr20	34112312	34112363	Q16656	NRF1	20	90	34112337	0.9555000000797212
chr19	42217823	42217874	Q16656	NRF1	20	90	42217848	0.9685999999679624
chr19	43596256	43596300	Q16656	NRF1	20	90	43596278	0.9754000001706185
chr7	42932215	42932272	Q16656	NRF1	20	90	42932243	0.979299999922514
chr11	78139668	78139725	Q16656	NRF1	20	90	78139696	0.9579999998033046
chr20	38472714	38472758	Q16656	NRF1	20	90	38472736	0.9767960001058876
chr13	110712996	110713047	Q16656	NRF1	20	89	110713021	0.9528000003639608
chr21	42010039	42010080	Q16656	NRF1	20	89	42010059	0.9899000000469388
chr1	228082519	228082576	Q16656	NRF1	20	89	228082547	0.9766000001065434
chr3	184185995	184186046	Q16656	NRF1	20	89	184186020	0.9990999999642372
chr3	111978939	111978980	Q16656	NRF1	20	89	111978959	0.9920999999895692
chr3	43690856	43690913	Q16656	NRF1	20	89	43690884	0.972000000038743
chr4	53377585	53377625	Q16656	NRF1	20	88	53377605	0.9734000000301748
chr2	27489787	27489835	Q16656	NRF1	20	88	27489811	0.9502000001206994
chr21	32279133	32279188	Q16656	NRF1	20	88	32279160	0.9649999999329448
chr3	119677481	119677523	Q16656	NRF1	20	88	119677502	0.9592699998307972
chr6	35921111	35921164	Q16656	NRF1	20	88	35921137	0.9587519999817014
chr1	202889166	202889213	Q16656	NRF1	20	88	202889189	0.9548000000461936
chr11	65615651	65615703	Q16656	NRF1	20	88	65615677	0.9948999999821186
chr2	232550573	232550610	Q16656	NRF1	20	87	232550591	0.9675999999284745
chr20	44210859	44210910	Q16656	NRF1	20	87	44210884	0.981436000202596
chr4	128288169	128288220	Q16656	NRF1	20	87	128288194	0.9911999999642372
chr5	53109787	53109826	Q16656	NRF1	20	87	53109806	0.9844999999836088
chr2	264852	264893	Q16656	NRF1	20	87	264872	1.0
chr17	79009856	79009901	Q16656	NRF1	20	87	79009878	0.9642400000602008
chr19	51594400	51594439	Q16656	NRF1	20	87	51594419	0.9600000003367662
chr8	23246457	23246508	Q16656	NRF1	20	87	23246482	0.9749199999049306
chr9	114587691	114587749	Q16656	NRF1	20	86	114587720	0.9611440001290292
chr3	57597509	57597562	Q16656	NRF1	20	86	57597535	0.9599999999657274
chr13	76991993	76992034	Q16656	NRF1	20	86	76992013	0.9640999999016524
chr5	52800027	52800066	Q16656	NRF1	20	86	52800046	0.9991999999046326
chr18	50281763	50281812	Q16656	NRF1	20	86	50281787	1.0
chr18	51030168	51030219	Q16656	NRF1	20	86	51030193	0.9764999999031424
chr20	36773833	36773872	Q16656	NRF1	20	85	36773852	0.9593999996121972
chr11	34105563	34105613	Q16656	NRF1	20	85	34105588	0.9734000004716218
chr11	59669128	59669185	Q16656	NRF1	20	85	59669156	0.9503000001125038
chr3	28241526	28241574	Q16656	NRF1	20	84	28241550	0.9933999998092652
chr12	109097532	109097569	Q16656	NRF1	20	84	109097550	0.959799999973178
chr3	157089189	157089232	Q16656	NRF1	20	84	157089210	0.9990000000417232
chr14	75069551	75069602	Q16656	NRF1	20	84	75069576	0.9778820000186562
chr1	45750756	45750825	Q16656	NRF1	20	84	45750790	0.9610939998820424
chr1	246507315	246507362	Q16656	NRF1	20	84	246507338	0.9685999995984136
chr2	101308717	101308762	Q16656	NRF1	20	84	101308739	0.9795100001111626
chr5	80407948	80407989	Q16656	NRF1	20	83	80407968	0.9576999999724328
chr7	143288306	143288346	Q16656	NRF1	20	83	143288326	0.9682000000171364
