Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr2	191020380	191020413	P42224	STAT1	27	81	191020396	0.9900000001356004
chr16	56989478	56989507	P42224	STAT1	23	65	56989492	0.9759919999226928
chr3	122564296	122564333	P42224	STAT1	24	63	122564314	0.9547000001542272
chr19	47515527	47515570	P42224	STAT1	21	61	47515548	0.9703999997109176
chr3	146544616	146544676	P42224	STAT1	23	60	146544646	0.9923000001430512
chr3	157174951	157174989	P42224	STAT1	25	60	157174970	0.958499999807775
chr1	159077306	159077338	P42224	STAT1	21	59	159077322	0.9933999999403954
chr2	191014269	191014301	P42224	STAT1	22	59	191014285	0.987599999947846
chr5	132490886	132490913	P42224	STAT1	20	57	132490899	0.991500000052154
chr1	163321805	163321842	P42224	STAT1	22	56	163321823	0.9963999998569488
chr4	184474759	184474806	P42224	STAT1	21	54	184474782	0.9736999999821186
chr1	11790985	11791030	P42224	STAT1	19	53	11791007	0.9837260001644492
chr21	28885184	28885235	P42224	STAT1	21	53	28885209	0.9668000000417232
chr12	108628555	108628606	P42224	STAT1	19	53	108628580	0.9638999996885658
chr15	100596973	100597012	P42224	STAT1	20	53	100596992	0.9922999999403952
chr8	102806442	102806484	P42224	STAT1	16	52	102806463	0.9642000001341104
chr12	30695984	30696035	P42224	STAT1	21	52	30696009	0.9967000001430512
chr20	39050119	39050184	P42224	STAT1	20	52	39050151	0.9918540000244976
chr12	57905458	57905509	P42224	STAT1	21	52	57905483	0.9660999998800456
chr11	65421379	65421408	P42224	STAT1	22	51	65421393	0.9954999998033048
chr20	58651178	58651215	P42224	STAT1	23	51	58651196	0.9765999999716878
chr20	38123081	38123118	P42224	STAT1	16	50	38123099	0.95140000022389
chr1	109910783	109910822	P42224	STAT1	18	50	109910802	1.0
chr2	57908859	57908903	P42224	STAT1	18	50	57908881	0.9806440001059324
chr1	93079129	93079188	P42224	STAT1	21	49	93079158	0.9571999999623746
chr14	70359751	70359792	P42224	STAT1	20	49	70359771	0.9792999999687076
chr1	152034727	152034759	P42224	STAT1	18	49	152034743	0.954200000154972
chr3	193593153	193593197	P42224	STAT1	20	49	193593175	0.96570000000149
chr10	93702636	93702695	P42224	STAT1	21	48	93702665	0.986399999794364
chr14	94110627	94110662	P42224	STAT1	18	48	94110644	0.9635600003108382
chr2	223957396	223957439	P42224	STAT1	19	48	223957417	0.9892999999389052
chr4	4542068	4542127	P42224	STAT1	22	48	4542097	0.9566460001308472
chr4	105708705	105708745	P42224	STAT1	21	48	105708725	0.9925999998271464
chr20	50292690	50292723	P42224	STAT1	17	47	50292706	0.9958000000655652
chr2	24076403	24076442	P42224	STAT1	20	47	24076422	0.9629420001909136
chr15	49620985	49621054	P42224	STAT1	22	47	49621019	0.989299999897182
chr1	150562188	150562221	P42224	STAT1	18	47	150562204	0.9766120001003146
chr2	197499979	197500038	P42224	STAT1	18	47	197500008	0.967599999883771
chr5	132497045	132497078	P42224	STAT1	19	46	132497061	0.991500000052154
chr20	33401540	33401604	P42224	STAT1	17	46	33401572	0.952093999844417
chr20	63686916	63686955	P42224	STAT1	18	46	63686935	0.9671999999523164
chr22	20564406	20564474	P42224	STAT1	17	45	20564440	0.9569999997213484
chr4	112297327	112297386	P42224	STAT1	16	45	112297356	0.9574000002551823
chr19	1132314	1132365	P42224	STAT1	18	45	1132339	0.9521460002630948
chr12	6336310	6336347	P42224	STAT1	19	45	6336328	0.9788000000372528
chr19	49987301	49987348	P42224	STAT1	19	45	49987324	0.9694000000342726
chr9	132944634	132944683	P42224	STAT1	20	45	132944658	0.9867999999888242
chr11	66421761	66421797	P42224	STAT1	21	45	66421779	1.0
chr11	28110245	28110292	P42224	STAT1	19	45	28110268	0.9753899999082088
chr1	27322091	27322138	P42224	STAT1	20	44	27322114	0.9530999998554588
chr1	44213384	44213435	P42224	STAT1	17	44	44213409	0.999399999976158
chr6	32853799	32853858	P42224	STAT1	17	44	32853828	0.980400000051409
chr3	122680770	122680810	P42224	STAT1	20	44	122680790	0.9915999999076128
chr3	44624904	44624985	P42224	STAT1	21	44	44624944	0.9683000000178814
chr20	1466887	1466958	P42224	STAT1	19	44	1466922	0.9731000000484288
chr16	23557503	23557542	P42224	STAT1	19	44	23557522	0.9605179997481406
chr11	615918	615997	P42224	STAT1	19	44	615957	0.9877999997839332
chr15	83067230	83067280	P42224	STAT1	18	44	83067255	0.9645000001132488
chr6	131628287	131628326	P42224	STAT1	19	44	131628306	0.9798499999813736
chr14	103427654	103427693	P42224	STAT1	17	43	103427673	0.9580999997079372
chr1	110880102	110880139	P42224	STAT1	18	43	110880120	1.0
chr10	73811668	73811723	P42224	STAT1	19	43	73811695	0.9697519999656826
chr2	6865777	6865826	P42224	STAT1	21	43	6865801	1.0
chr17	13639313	13639372	P42224	STAT1	16	43	13639342	0.9783999997138976
chr3	10321154	10321187	P42224	STAT1	21	43	10321170	0.9737999997660518
chr12	82358451	82358513	P42224	STAT1	19	43	82358482	0.9784999998182058
chr2	145724104	145724159	P42224	STAT1	14	43	145724131	0.985299999845028
chr9	105244373	105244413	P42224	STAT1	20	43	105244393	0.993200000104308
chr12	112938328	112938375	P42224	STAT1	19	43	112938351	0.95760000006482
chr7	143263474	143263515	P42224	STAT1	17	43	143263494	0.9612879993602632
chr1	63523262	63523327	P42224	STAT1	20	43	63523294	0.9880139997817576
chr12	7109259	7109298	P42224	STAT1	19	43	7109278	0.983899999792874
chr6	143450715	143450770	P42224	STAT1	20	42	143450742	0.950799999832362
chr3	190566513	190566598	P42224	STAT1	17	42	190566555	0.9949999999523162
chr3	131502983	131503028	P42224	STAT1	19	42	131503005	0.9762000000864268
chr3	12556961	12557006	P42224	STAT1	20	42	12556983	0.973000000057742
chr15	40109055	40109112	P42224	STAT1	18	42	40109083	0.9953999997735024
chr12	49090427	49090490	P42224	STAT1	16	42	49090458	0.9736399999693036
chr4	25312707	25312758	P42224	STAT1	19	42	25312732	0.9506999998494984
chr2	9169432	9169501	P42224	STAT1	17	42	9169466	0.9622000001184642
chr3	185498997	185499046	P42224	STAT1	20	42	185499021	0.9706000000819563
chr9	136728205	136728246	P42224	STAT1	19	42	136728225	0.9605999999925494
chr11	62591630	62591667	P42224	STAT1	22	42	62591648	0.951600000121072
chr15	56246160	56246205	P42224	STAT1	17	42	56246182	0.995500000023842
chr3	93973951	93973988	P42224	STAT1	18	42	93973969	0.9700999995671212
chr2	11744244	11744301	P42224	STAT1	18	42	11744272	0.9968999999761582
chr4	139178053	139178101	P42224	STAT1	17	42	139178077	0.9542999997273088
chr4	76148416	76148489	P42224	STAT1	18	42	76148452	0.9658899999678134
chr19	44753492	44753536	P42224	STAT1	18	42	44753514	0.971699999788776
chr20	62407711	62407759	P42224	STAT1	17	42	62407735	0.999799999898672
chr8	123282693	123282738	P42224	STAT1	15	42	123282715	0.95810000000149
chr20	36236395	36236451	P42224	STAT1	18	42	36236423	0.9590999999754132
chr13	40771196	40771255	P42224	STAT1	18	42	40771225	0.957299999935925
chr5	103120186	103120231	P42224	STAT1	22	41	103120208	0.9914000000104308
chr19	18419382	18419429	P42224	STAT1	16	41	18419405	0.9727999995812774
chr5	141560960	141561002	P42224	STAT1	15	41	141560981	0.99100000003241
