Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr2	203014605	203014646	Q01664	TFAP4	6	25	203014625	0.9601000003386287
chr2	191020332	191020370	Q01664	TFAP4	6	24	191020351	0.9900000001356004
chr6	28383521	28383556	Q01664	TFAP4	6	23	28383538	0.977499999924004
chr8	130302507	130302571	Q01664	TFAP4	6	23	130302539	0.9914000001728536
chr17	7886085	7886155	Q01664	TFAP4	6	22	7886120	0.9827999999791384
chr3	10754171	10754200	Q01664	TFAP4	6	22	10754185	0.9981999999284744
chr9	114587681	114587749	Q01664	TFAP4	6	22	114587715	0.961134000138566
chr18	59823742	59823778	Q01664	TFAP4	6	22	59823760	0.9554999997660518
chr21	34615445	34615499	Q01664	TFAP4	6	22	34615472	0.9806000001497568
chr15	74382466	74382512	Q01664	TFAP4	6	22	74382489	0.9691000003363938
chr1	169367876	169367963	Q01664	TFAP4	6	22	169367919	1.0
chr12	21501610	21501647	Q01664	TFAP4	6	22	21501628	1.0
chr1	41003857	41003902	Q01664	TFAP4	6	22	41003879	0.9738000000670552
chr10	122954349	122954371	Q01664	TFAP4	6	22	122954360	0.9785999998569488
chr18	3454034	3454060	Q01664	TFAP4	6	22	3454047	0.9907999994963408
chr12	4538468	4538519	Q01664	TFAP4	6	22	4538493	0.9923999998033046
chr2	33599309	33599339	Q01664	TFAP4	6	22	33599324	0.9694999999519438
chr11	65420180	65420220	Q01664	TFAP4	6	22	65420200	0.9954999998033048
chr17	64507696	64507729	Q01664	TFAP4	6	22	64507712	0.9578000001005827
chr10	92290430	92290468	Q01664	TFAP4	6	22	92290449	0.9593819998010992
chr17	73228902	73228931	Q01664	TFAP4	6	22	73228916	0.961100000057742
chr1	59759579	59759618	Q01664	TFAP4	6	21	59759598	0.9734720000840724
chr8	143281769	143281809	Q01664	TFAP4	6	21	143281789	0.9848000001326204
chr17	58352331	58352379	Q01664	TFAP4	5	21	58352355	0.9581000001400708
chr15	75029453	75029512	Q01664	TFAP4	6	21	75029482	0.9932999997586012
chr19	44305114	44305155	Q01664	TFAP4	6	21	44305134	0.9546999999046326
chr16	70779138	70779200	Q01664	TFAP4	6	21	70779169	0.9691999999091028
chr6	16771107	16771127	Q01664	TFAP4	6	21	16771117	0.9727000000476838
chr10	6086511	6086536	Q01664	TFAP4	6	21	6086523	0.9563000002697112
chr1	205256287	205256328	Q01664	TFAP4	6	21	205256307	0.9861259998485444
chr17	68457859	68457902	Q01664	TFAP4	6	21	68457880	0.9848000002101064
chr3	113577922	113577963	Q01664	TFAP4	6	21	113577942	0.973000000023842
chr19	45769467	45769512	Q01664	TFAP4	6	21	45769489	0.9774499997988344
chr5	57650476	57650518	Q01664	TFAP4	6	21	57650497	0.9948999999850988
chr3	195002152	195002198	Q01664	TFAP4	6	21	195002175	0.988650000052154
chr17	50152131	50152176	Q01664	TFAP4	6	21	50152153	0.96592799994722
chr20	54207769	54207815	Q01664	TFAP4	6	21	54207792	0.9572000001907348
chr12	57936221	57936268	Q01664	TFAP4	6	21	57936244	0.9671999998763204
chr15	57706531	57706578	Q01664	TFAP4	6	21	57706554	0.9739000000998378
chr11	66045280	66045309	Q01664	TFAP4	6	21	66045294	0.9879999999713152
chr9	122498967	122499009	Q01664	TFAP4	6	21	122498988	0.977299999795854
chr6	90285770	90285807	Q01664	TFAP4	6	21	90285788	0.9800999998301267
chr2	201780938	201780961	Q01664	TFAP4	6	21	201780949	0.9814999998494984
chr1	155045026	155045053	Q01664	TFAP4	6	21	155045039	0.9567939998418092
chr3	27134394	27134421	Q01664	TFAP4	6	21	27134407	0.9806000000134112
chr7	124929931	124929954	Q01664	TFAP4	6	21	124929942	0.9808999999262392
chr14	61695248	61695291	Q01664	TFAP4	6	21	61695269	0.9936
chr9	5450500	5450547	Q01664	TFAP4	6	21	5450523	0.9748299999848008
chr17	21280196	21280227	Q01664	TFAP4	6	21	21280211	0.9653999996706844
chr19	2060162	2060204	Q01664	TFAP4	6	21	2060183	0.9500999996513128
chr12	68808968	68809035	Q01664	TFAP4	6	21	68809001	0.9549000000745058
chr12	124609230	124609288	Q01664	TFAP4	6	21	124609259	0.996999999898672
chr10	73785566	73785597	Q01664	TFAP4	6	21	73785581	0.96499999990426
chr7	155070160	155070185	Q01664	TFAP4	6	21	155070172	0.9796999999951572
chr21	34745582	34745619	Q01664	TFAP4	6	21	34745600	0.9705999998711048
chr17	7933229	7933262	Q01664	TFAP4	6	21	7933245	0.9589499999091028
chr6	52285002	52285030	Q01664	TFAP4	6	21	52285016	0.9885
chr6	19804764	19804857	Q01664	TFAP4	5	21	19804810	0.978399999666214
chr4	94207827	94207871	Q01664	TFAP4	6	21	94207849	0.9509000006500632
chr9	89549229	89549267	Q01664	TFAP4	6	21	89549248	0.9546000000007452
chr17	7889254	7889297	Q01664	TFAP4	6	21	7889275	0.9678999999593944
chr8	11943801	11943820	Q01664	TFAP4	6	21	11943810	0.9666000004582108
chr16	53435608	53435641	Q01664	TFAP4	6	21	53435624	0.9524999997090547
chr3	66822468	66822506	Q01664	TFAP4	6	20	66822487	0.9816999998010696
chr15	41661954	41662000	Q01664	TFAP4	6	20	41661977	0.9940999999910594
chr3	111989263	111989316	Q01664	TFAP4	6	20	111989289	0.9887000001773238
chr2	11478060	11478091	Q01664	TFAP4	6	20	11478075	0.969500000007078
chr9	116737235	116737286	Q01664	TFAP4	6	20	116737260	0.959700000013411
chr2	219217966	219217996	Q01664	TFAP4	6	20	219217981	0.9752999999821186
chr14	77208879	77208914	Q01664	TFAP4	6	20	77208896	1.0
