Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr16	3383072	3383143	P59817	ZNF280A.hg38	2	9	3383107
chr21	45243737	45243862	P59817	ZNF280A.hg38	2	9	45243799
chr3	49233725	49233785	P59817	ZNF280A.hg38	2	9	49233755
chr3	171854799	171854868	P59817	ZNF280A.hg38	2	8	171854833
chr12	3407865	3407936	P59817	ZNF280A.hg38	2	8	3407900
chr1	30092625	30092665	P59817	ZNF280A.hg38	2	8	30092645
chr22	49767392	49767480	P59817	ZNF280A.hg38	2	8	49767436
chr22	19648582	19648627	P59817	ZNF280A.hg38	2	8	19648604
chr9	95422829	95422885	P59817	ZNF280A.hg38	2	8	95422857
chr1	244576445	244576466	P59817	ZNF280A.hg38	2	8	244576455
chr19	34550033	34550058	P59817	ZNF280A.hg38	2	8	34550045
chr6	44442978	44443066	P59817	ZNF280A.hg38	2	8	44443022
chr9	94472213	94472285	P59817	ZNF280A.hg38	2	8	94472249
chr14	54572534	54572639	P59817	ZNF280A.hg38	2	8	54572586
chr9	94267501	94267601	P59817	ZNF280A.hg38	2	8	94267551
chr1	67067813	67067877	P59817	ZNF280A.hg38	2	8	67067845
chr10	22070548	22070619	P59817	ZNF280A.hg38	2	8	22070583
chr1	67513794	67513839	P59817	ZNF280A.hg38	2	8	67513816
chr19	34570274	34570375	P59817	ZNF280A.hg38	2	8	34570324
chr7	65404195	65404251	P59817	ZNF280A.hg38	2	8	65404223
chr8	18151201	18151225	P59817	ZNF280A.hg38	2	8	18151213
chr5	179845087	179845180	P59817	ZNF280A.hg38	2	8	179845133
chr10	25094769	25094849	P59817	ZNF280A.hg38	2	8	25094809
chr8	124810877	124810909	P59817	ZNF280A.hg38	2	8	124810893
chr15	72947847	72947931	P59817	ZNF280A.hg38	2	8	72947889
chr1	151907555	151907624	P59817	ZNF280A.hg38	2	8	151907589
chr17	77174805	77174829	P59817	ZNF280A.hg38	2	8	77174817
chr19	34917319	34917359	P59817	ZNF280A.hg38	2	8	34917339
chr17	77167876	77167913	P59817	ZNF280A.hg38	2	8	77167894
chr7	67357838	67357943	P59817	ZNF280A.hg38	2	8	67357890
chr14	39056222	39056267	P59817	ZNF280A.hg38	2	8	39056244
chr5	176765861	176765909	P59817	ZNF280A.hg38	2	8	176765885
chr19	6292216	6292256	P59817	ZNF280A.hg38	2	8	6292236
chr19	34976733	34976818	P59817	ZNF280A.hg38	2	8	34976775
chr2	144747742	144747779	P59817	ZNF280A.hg38	2	8	144747760
chr2	54020973	54020998	P59817	ZNF280A.hg38	2	8	54020985
chr12	1747774	1747818	P59817	ZNF280A.hg38	2	8	1747796
chr10	21198009	21198070	P59817	ZNF280A.hg38	2	8	21198039
chr19	33246082	33246142	P59817	ZNF280A.hg38	2	8	33246112
chr8	10093910	10093987	P59817	ZNF280A.hg38	2	8	10093948
chr15	66889463	66889512	P59817	ZNF280A.hg38	2	8	66889487
chr22	45796135	45796208	P59817	ZNF280A.hg38	2	8	45796171
chr6	5324147	5324204	P59817	ZNF280A.hg38	2	8	5324175
chr7	50246742	50246786	P59817	ZNF280A.hg38	2	8	50246764
chr16	74912991	74913062	P59817	ZNF280A.hg38	2	8	74913026
chr14	68865721	68865765	P59817	ZNF280A.hg38	2	8	68865743
chr14	68801779	68801804	P59817	ZNF280A.hg38	2	8	68801791
chr1	32458955	32459043	P59817	ZNF280A.hg38	2	8	32458999
chr4	98846167	98846195	P59817	ZNF280A.hg38	2	8	98846181
chr10	132052287	132052332	P59817	ZNF280A.hg38	2	8	132052309
chr7	50583422	50583515	P59817	ZNF280A.hg38	2	8	50583468
chr3	183242596	183242652	P59817	ZNF280A.hg38	2	8	183242624
chr6	42712098	42712131	P59817	ZNF280A.hg38	2	8	42712114
chr20	35196493	35196566	P59817	ZNF280A.hg38	2	8	35196529
chr17	17424734	17424805	P59817	ZNF280A.hg38	2	8	17424769
chr20	33737152	33737240	P59817	ZNF280A.hg38	2	8	33737196
chr6	1828121	1828233	P59817	ZNF280A.hg38	2	8	1828177
chr1	154295777	154295802	P59817	ZNF280A.hg38	2	8	154295789
chr19	7759339	7759391	P59817	ZNF280A.hg38	2	8	7759365
chr10	21208020	21208069	P59817	ZNF280A.hg38	2	8	21208044
chr8	130657680	130657720	P59817	ZNF280A.hg38	2	8	130657700
chr14	60958282	60958353	P59817	ZNF280A.hg38	2	8	60958317
chr14	60232368	60232393	P59817	ZNF280A.hg38	2	8	60232380
chr1	31458465	31458502	P59817	ZNF280A.hg38	2	8	31458483
chr12	1421272	1421337	P59817	ZNF280A.hg38	2	8	1421304
chr22	46571817	46571849	P59817	ZNF280A.hg38	2	8	46571833
chr2	54058619	54058696	P59817	ZNF280A.hg38	2	8	54058657
chr1	154076583	154076651	P59817	ZNF280A.hg38	2	8	154076617
chr4	127749110	127749186	P59817	ZNF280A.hg38	2	8	127749148
chr12	9336830	9336863	P59817	ZNF280A.hg38	2	8	9336846
chr9	91705541	91705610	P59817	ZNF280A.hg38	2	8	91705575
chr7	87328476	87328529	P59817	ZNF280A.hg38	2	8	87328502
chr17	28262290	28262342	P59817	ZNF280A.hg38	2	8	28262316
chr15	81918944	81918985	P59817	ZNF280A.hg38	2	8	81918964
chr14	20118933	20119004	P59817	ZNF280A.hg38	2	8	20118968
chr19	4241991	4242024	P59817	ZNF280A.hg38	2	8	4242007
chr3	10542686	10542707	P59817	ZNF280A.hg38	2	8	10542696
chr8	22520582	22520618	P59817	ZNF280A.hg38	2	8	22520600
chr2	28155786	28155890	P59817	ZNF280A.hg38	2	8	28155838
chr5	168728970	168729014	P59817	ZNF280A.hg38	2	8	168728992
chr8	106673929	106673993	P59817	ZNF280A.hg38	2	8	106673961
chr2	240532201	240532257	P59817	ZNF280A.hg38	2	8	240532229
chr9	112284030	112284114	P59817	ZNF280A.hg38	2	8	112284072
