Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr5	154754970	154754997	P01106	MYC	131	579	154754983	0.9713999999742956
chr5	43120853	43120894	P01106	MYC	126	575	43120873	0.9548000002332032
chr9	92293757	92293796	P01106	MYC	129	557	92293776	0.9862999999925496
chr2	70086936	70086973	P01106	MYC	128	554	70086954	0.9894999999597668
chr2	197499894	197499939	P01106	MYC	124	536	197499916	0.967599999883771
chr20	17968670	17968723	P01106	MYC	129	534	17968696	0.9908999997317792
chr4	163494680	163494737	P01106	MYC	130	524	163494708	0.9595999995581804
chr2	171999995	172000042	P01106	MYC	125	509	172000018	0.9666999997407196
chr1	244863189	244863238	P01106	MYC	118	506	244863213	0.9725760000154376
chr9	133336360	133336413	P01106	MYC	122	503	133336386	0.958299999924004
chr3	12841386	12841447	P01106	MYC	124	491	12841416	0.9556100001052024
chr1	101025986	101026038	P01106	MYC	126	490	101026012	0.973300000052154
chr3	52686026	52686086	P01106	MYC	131	480	52686056	0.965300000089407
chr8	100722590	100722627	P01106	MYC	118	477	100722608	0.9668999998867512
chr19	10106370	10106409	P01106	MYC	123	467	10106389	0.9525000001110135
chr19	55655413	55655476	P01106	MYC	123	467	55655444	0.9717999999742954
chr12	69585592	69585629	P01106	MYC	122	466	69585610	0.9658999997198582
chr9	89318386	89318409	P01106	MYC	130	466	89318397	0.9780999998852612
chr8	108248557	108248594	P01106	MYC	129	465	108248575	0.973863999774307
chr11	18394425	18394478	P01106	MYC	122	465	18394451	0.9689939998645336
chr5	112160940	112161005	P01106	MYC	120	459	112160972	0.9934999998688698
chr5	82278194	82278237	P01106	MYC	127	453	82278215	0.9506240000396968
chr3	131502889	131502914	P01106	MYC	131	452	131502901	0.9762680000752212
chr1	42683061	42683098	P01106	MYC	120	438	42683079	0.9666999996244908
chr17	75896716	75896783	P01106	MYC	106	436	75896749	0.9742999999821186
chr1	67430553	67430616	P01106	MYC	120	434	67430584	0.9839000000771136
chr15	88621331	88621367	P01106	MYC	123	434	88621349	0.9724999994292856
chr16	89560788	89560837	P01106	MYC	124	434	89560812	0.952500000038743
chr12	21657403	21657430	P01106	MYC	119	434	21657416	0.957489999821782
chr11	73876742	73876791	P01106	MYC	121	432	73876766	0.9511499997932464
chr14	59484080	59484123	P01106	MYC	121	430	59484101	0.9791000000804664
chr5	10250514	10250555	P01106	MYC	125	428	10250534	0.9785600000724196
chr11	34105631	34105664	P01106	MYC	122	428	34105647	0.9734000004716218
chr16	23557315	23557362	P01106	MYC	121	428	23557338	0.962699999795109
chr12	64222242	64222273	P01106	MYC	128	427	64222257	0.9768999999210238
chr20	18137832	18137889	P01106	MYC	113	427	18137860	0.9643999999187888
chr10	119165443	119165497	P01106	MYC	118	425	119165470	0.962447999850288
chr3	194135094	194135117	P01106	MYC	109	424	194135105	1.0
chr2	69914310	69914357	P01106	MYC	121	424	69914333	0.9610999999519436
chr5	40835123	40835184	P01106	MYC	125	423	40835153	0.9676999999724328
chr19	5690354	5690401	P01106	MYC	121	421	5690377	0.9501760001279412
