Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr19	4769608	4769709	Q9Y2G1	MYRF.hg38	1	5	4769658
chr12	104138157	104138258	Q9Y2G1	MYRF.hg38	1	4	104138207
chr10	71795361	71795462	Q9Y2G1	MYRF.hg38	1	4	71795411
chr3	138197239	138197340	Q9Y2G1	MYRF.hg38	1	4	138197289
chr16	85448977	85449078	Q9Y2G1	MYRF.hg38	1	4	85449027
chr6	24126919	24127020	Q9Y2G1	MYRF.hg38	1	4	24126969
chr15	51681474	51681575	Q9Y2G1	MYRF.hg38	1	4	51681524
chr3	136251099	136251200	Q9Y2G1	MYRF.hg38	1	4	136251149
chr6	21305999	21306100	Q9Y2G1	MYRF.hg38	1	4	21306049
chr20	64162015	64162116	Q9Y2G1	MYRF.hg38	1	4	64162065
chr3	135125350	135125451	Q9Y2G1	MYRF.hg38	1	4	135125400
chr9	34494103	34494204	Q9Y2G1	MYRF.hg38	1	4	34494153
chr18	57107275	57107376	Q9Y2G1	MYRF.hg38	1	4	57107325
chr16	86563875	86563976	Q9Y2G1	MYRF.hg38	1	4	86563925
chr21	15483313	15483414	Q9Y2G1	MYRF.hg38	1	4	15483363
chr18	49492379	49492480	Q9Y2G1	MYRF.hg38	1	4	49492429
chr13	21477146	21477247	Q9Y2G1	MYRF.hg38	1	4	21477196
chr13	26529562	26529663	Q9Y2G1	MYRF.hg38	1	4	26529612
chr9	33722239	33722340	Q9Y2G1	MYRF.hg38	1	4	33722289
chr13	26867608	26867709	Q9Y2G1	MYRF.hg38	1	4	26867658
chr1	62621996	62622097	Q9Y2G1	MYRF.hg38	1	4	62622046
chr5	56116689	56116790	Q9Y2G1	MYRF.hg38	1	4	56116739
chr18	47260487	47260588	Q9Y2G1	MYRF.hg38	1	4	47260537
chr12	132426430	132426531	Q9Y2G1	MYRF.hg38	1	4	132426480
chr20	63653294	63653395	Q9Y2G1	MYRF.hg38	1	4	63653344
chr18	69400336	69400437	Q9Y2G1	MYRF.hg38	1	4	69400386
chr9	37079502	37079603	Q9Y2G1	MYRF.hg38	1	4	37079552
chr1	53946091	53946192	Q9Y2G1	MYRF.hg38	1	4	53946141
chr11	919301	919402	Q9Y2G1	MYRF.hg38	1	4	919351
chr12	123633741	123633842	Q9Y2G1	MYRF.hg38	1	4	123633791
chr1	211603520	211603621	Q9Y2G1	MYRF.hg38	1	4	211603570
chr6	26565619	26565720	Q9Y2G1	MYRF.hg38	1	4	26565669
chr7	45267393	45267494	Q9Y2G1	MYRF.hg38	1	4	45267443
chr9	37381507	37381608	Q9Y2G1	MYRF.hg38	1	4	37381557
chr1	54715776	54715877	Q9Y2G1	MYRF.hg38	1	4	54715826
chr19	591632	591733	Q9Y2G1	MYRF.hg38	1	4	591682
chr8	41896019	41896120	Q9Y2G1	MYRF.hg38	1	4	41896069
chr6	25652359	25652460	Q9Y2G1	MYRF.hg38	1	4	25652409
chr9	37027648	37027749	Q9Y2G1	MYRF.hg38	1	4	37027698
chr10	70404083	70404184	Q9Y2G1	MYRF.hg38	1	4	70404133
chr1	209937759	209937860	Q9Y2G1	MYRF.hg38	1	4	209937809
chr12	125183286	125183387	Q9Y2G1	MYRF.hg38	1	4	125183336
chr20	63069981	63070082	Q9Y2G1	MYRF.hg38	1	4	63070031
chr20	63082429	63082530	Q9Y2G1	MYRF.hg38	1	4	63082479
chr3	139797887	139797988	Q9Y2G1	MYRF.hg38	1	4	139797937
chr18	73908451	73908552	Q9Y2G1	MYRF.hg38	1	4	73908501
chr9	35657839	35657940	Q9Y2G1	MYRF.hg38	1	4	35657889
chr18	47254713	47254814	Q9Y2G1	MYRF.hg38	1	4	47254763
chr15	48190985	48191086	Q9Y2G1	MYRF.hg38	1	4	48191035
chr20	61952118	61952219	Q9Y2G1	MYRF.hg38	1	4	61952168
chr7	104552249	104552350	Q9Y2G1	MYRF.hg38	1	4	104552299
chr1	202693092	202693193	Q9Y2G1	MYRF.hg38	1	4	202693142
chr10	123615048	123615149	Q9Y2G1	MYRF.hg38	1	4	123615098
chr6	4647734	4647835	Q9Y2G1	MYRF.hg38	1	4	4647784
chr10	122912037	122912138	Q9Y2G1	MYRF.hg38	1	4	122912087
chr17	82738381	82738482	Q9Y2G1	MYRF.hg38	1	4	82738431
chr13	52236376	52236477	Q9Y2G1	MYRF.hg38	1	4	52236426
chr9	4666441	4666542	Q9Y2G1	MYRF.hg38	1	4	4666491
