Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr7	98137752	98137829	Q99684	GFI1.hg38	3	14	98137790
chr13	76882567	76882667	Q99684	GFI1.hg38	3	13	76882617
chr16	34588112	34588223	Q99684	GFI1.hg38	3	13	34588167
chr17	66277794	66277831	Q99684	GFI1.hg38	3	12	66277812
chr17	57010175	57010266	Q99684	GFI1.hg38	3	12	57010220
chr17	50671184	50671217	Q99684	GFI1.hg38	3	12	50671200
chr17	42735851	42735912	Q99684	GFI1.hg38	3	12	42735881
chr8	97757134	97757201	Q99684	GFI1.hg38	3	12	97757167
chr17	34200173	34200254	Q99684	GFI1.hg38	3	12	34200213
chr17	1463281	1463365	Q99684	GFI1.hg38	3	12	1463323
chr16	84511385	84511436	Q99684	GFI1.hg38	3	12	84511410
chr16	70331785	70331877	Q99684	GFI1.hg38	3	12	70331831
chr19	34270129	34270199	Q99684	GFI1.hg38	3	12	34270164
chr18	58122051	58122106	Q99684	GFI1.hg38	3	12	58122078
chr15	38130873	38130906	Q99684	GFI1.hg38	3	12	38130889
chr14	93989974	93990069	Q99684	GFI1.hg38	3	12	93990021
chr14	92600624	92600679	Q99684	GFI1.hg38	3	12	92600651
chr14	68742001	68742034	Q99684	GFI1.hg38	3	12	68742017
chr14	66038848	66038899	Q99684	GFI1.hg38	3	12	66038873
chr14	60862489	60862540	Q99684	GFI1.hg38	3	12	60862514
chr14	26917283	26917332	Q99684	GFI1.hg38	3	12	26917307
chr14	23929908	23929929	Q99684	GFI1.hg38	3	12	23929918
chr15	74322579	74322646	Q99684	GFI1.hg38	3	12	74322612
chr19	15584792	15584859	Q99684	GFI1.hg38	3	12	15584825
chr19	8065600	8065669	Q99684	GFI1.hg38	3	12	8065634
chr3	143348947	143349048	Q99684	GFI1.hg38	3	12	143348997
chr8	1974876	1974923	Q99684	GFI1.hg38	3	12	1974899
chr7	145910046	145910093	Q99684	GFI1.hg38	3	12	145910069
chr7	128949185	128949228	Q99684	GFI1.hg38	3	12	128949206
chr7	93232438	93232469	Q99684	GFI1.hg38	3	12	93232453
chr7	17030737	17030782	Q99684	GFI1.hg38	3	12	17030759
chr6	149852247	149852348	Q99684	GFI1.hg38	3	12	149852297
chr4	185597741	185597776	Q99684	GFI1.hg38	3	12	185597758
chr3	152229815	152229902	Q99684	GFI1.hg38	3	12	152229858
chr3	125929232	125929270	Q99684	GFI1.hg38	3	12	125929251
chr19	15629415	15629466	Q99684	GFI1.hg38	3	12	15629440
chr3	52498934	52498995	Q99684	GFI1.hg38	3	12	52498964
chr3	12664411	12664510	Q99684	GFI1.hg38	3	12	12664460
chr20	50929324	50929350	Q99684	GFI1.hg38	3	12	50929337
chr20	48959712	48959745	Q99684	GFI1.hg38	3	12	48959728
chr8	142726598	142726684	Q99684	GFI1.hg38	3	12	142726641
chr20	6829014	6829091	Q99684	GFI1.hg38	3	12	6829052
chr2	96533935	96533962	Q99684	GFI1.hg38	3	12	96533948
chr2	71451492	71451599	Q99684	GFI1.hg38	3	12	71451545
chr13	98840319	98840352	Q99684	GFI1.hg38	3	12	98840335
chr17	40326400	40326453	Q99684	GFI1.hg38	3	12	40326426
chr11	66344860	66344959	Q99684	GFI1.hg38	3	12	66344909
chr12	10750343	10750400	Q99684	GFI1.hg38	3	12	10750371
chr1	156097194	156097267	Q99684	GFI1.hg38	3	12	156097230
chr1	39107134	39107173	Q99684	GFI1.hg38	3	12	39107153
chr10	92145607	92145650	Q99684	GFI1.hg38	3	12	92145628
chr11	66956760	66956797	Q99684	GFI1.hg38	3	12	66956778
chr10	72457299	72457338	Q99684	GFI1.hg38	3	12	72457318
chr11	128860049	128860088	Q99684	GFI1.hg38	3	12	128860068
chr12	4320886	4320907	Q99684	GFI1.hg38	3	12	4320896
chr1	203702201	203702218	Q99684	GFI1.hg38	3	12	203702209
chr9	126394640	126394703	Q99684	GFI1.hg38	3	12	126394671
chr9	129617392	129617419	Q99684	GFI1.hg38	3	12	129617405
chr12	92363871	92363914	Q99684	GFI1.hg38	3	12	92363892
chr13	27770954	27771023	Q99684	GFI1.hg38	3	12	27770988
chr1	93449230	93449259	Q99684	GFI1.hg38	3	12	93449244
chr13	41311093	41311130	Q99684	GFI1.hg38	3	12	41311111
chr20	59005321	59005404	Q99684	GFI1.hg38	3	11	59005362
chr3	93470558	93470667	Q99684	GFI1.hg38	3	11	93470612
chr1	161707240	161707311	Q99684	GFI1.hg38	3	11	161707275
chr3	138322401	138322424	Q99684	GFI1.hg38	3	11	138322412
chr3	129380227	129380268	Q99684	GFI1.hg38	3	11	129380247
chr1	207698997	207699038	Q99684	GFI1.hg38	3	11	207699017
chr1	162928139	162928208	Q99684	GFI1.hg38	3	11	162928173
chr1	16612731	16612774	Q99684	GFI1.hg38	3	11	16612752
chr21	38170429	38170472	Q99684	GFI1.hg38	3	11	38170450
chr1	163198643	163198710	Q99684	GFI1.hg38	3	11	163198676
chr3	40800521	40800596	Q99684	GFI1.hg38	3	11	40800558
chr3	31981571	31981604	Q99684	GFI1.hg38	3	11	31981587
chr3	171830075	171830098	Q99684	GFI1.hg38	3	11	171830086
chr1	204647679	204647710	Q99684	GFI1.hg38	3	11	204647694
chr20	57323322	57323393	Q99684	GFI1.hg38	3	11	57323357
chr22	38967819	38967892	Q99684	GFI1.hg38	3	11	38967855
chr3	27509700	27509749	Q99684	GFI1.hg38	3	11	27509724
chr13	52921440	52921531	Q99684	GFI1.hg38	3	11	52921485
chr3	172140615	172140654	Q99684	GFI1.hg38	3	11	172140634
chr3	189282774	189282809	Q99684	GFI1.hg38	3	11	189282791
chr1	58979275	58979350	Q99684	GFI1.hg38	3	11	58979312
chr1	85279102	85279167	Q99684	GFI1.hg38	3	11	85279134
chr7	107168238	107168324	Q99684	GFI1.hg38	3	11	107168281
chr1	95072659	95072708	Q99684	GFI1.hg38	3	11	95072683
chr1	108678908	108678993	Q99684	GFI1.hg38	3	11	108678950
chr7	77754765	77754816	Q99684	GFI1.hg38	3	11	77754790
chr7	26665157	26665196	Q99684	GFI1.hg38	3	11	26665176
chr7	26388484	26388519	Q99684	GFI1.hg38	3	11	26388501
chr1	110022086	110022145	Q99684	GFI1.hg38	3	11	110022115
chr6	170344938	170344973	Q99684	GFI1.hg38	3	11	170344955
chr6	166588245	166588312	Q99684	GFI1.hg38	3	11	166588278
chr6	158536310	158536399	Q99684	GFI1.hg38	3	11	158536354
chr1	110116525	110116554	Q99684	GFI1.hg38	3	11	110116539
chr6	146585515	146585602	Q99684	GFI1.hg38	3	11	146585558
chr5	173894253	173894264	Q99684	GFI1.hg38	3	11	173894258
chr5	173616120	173616175	Q99684	GFI1.hg38	3	11	173616147
chr5	173294135	173294222	Q99684	GFI1.hg38	3	11	173294178
chr5	150357986	150358067	Q99684	GFI1.hg38	3	11	150358026
chr4	113187137	113187188	Q99684	GFI1.hg38	3	11	113187162
chr20	5080616	5080682	Q99684	GFI1.hg38	3	11	5080649
chr4	3942713	3942750	Q99684	GFI1.hg38	3	11	3942731
chr1	245860735	245860790	Q99684	GFI1.hg38	3	11	245860762
chr2	173264819	173264870	Q99684	GFI1.hg38	3	11	173264844
chr20	1777428	1777497	Q99684	GFI1.hg38	3	11	1777462
chr15	51801605	51801660	Q99684	GFI1.hg38	3	11	51801632
chr17	25920207	25920226	Q99684	GFI1.hg38	3	11	25920216
chr17	21051949	21051964	Q99684	GFI1.hg38	3	11	21051956
chr11	110971187	110971246	Q99684	GFI1.hg38	3	11	110971216
chr16	70370383	70370398	Q99684	GFI1.hg38	3	11	70370390
chr11	122365267	122365289	Q99684	GFI1.hg38	3	11	122365278
chr16	19085759	19085784	Q99684	GFI1.hg38	3	11	19085771
chr16	4680005	4680086	Q99684	GFI1.hg38	3	11	4680045
chr15	96327475	96327518	Q99684	GFI1.hg38	3	11	96327496
chr15	65101738	65101806	Q99684	GFI1.hg38	3	11	65101772
chr14	100072905	100072974	Q99684	GFI1.hg38	3	11	100072939
chr11	43931093	43931188	Q99684	GFI1.hg38	3	11	43931140
chr12	15270530	15270595	Q99684	GFI1.hg38	3	11	15270562
chr12	45743280	45743338	Q99684	GFI1.hg38	3	11	45743309
chr14	90432113	90432151	Q99684	GFI1.hg38	3	11	90432132
chr14	70359628	70359650	Q99684	GFI1.hg38	3	11	70359639
chr12	94032758	94032780	Q99684	GFI1.hg38	3	11	94032769
chr12	123559641	123559682	Q99684	GFI1.hg38	3	11	123559661
chr14	54746912	54746981	Q99684	GFI1.hg38	3	11	54746946
chr13	17644922	17644941	Q99684	GFI1.hg38	3	11	17644931
chr13	28347880	28347967	Q99684	GFI1.hg38	3	11	28347923
chr17	29370095	29370164	Q99684	GFI1.hg38	3	11	29370129
chr11	1832742	1832861	Q99684	GFI1.hg38	3	11	1832801
chr2	241356097	241356118	Q99684	GFI1.hg38	3	11	241356107
chr10	35635716	35635798	Q99684	GFI1.hg38	3	11	35635757
chr2	240586224	240586273	Q99684	GFI1.hg38	3	11	240586248
chr2	217360870	217360961	Q99684	GFI1.hg38	3	11	217360915
chr2	176597768	176597811	Q99684	GFI1.hg38	3	11	176597789
chr2	172437945	172437964	Q99684	GFI1.hg38	3	11	172437954
chr2	149040524	149040593	Q99684	GFI1.hg38	3	11	149040558
chr2	143402662	143402753	Q99684	GFI1.hg38	3	11	143402707
chr2	118954780	118954867	Q99684	GFI1.hg38	3	11	118954823
chr2	112529962	112530031	Q99684	GFI1.hg38	3	11	112529996
chr10	10911607	10911682	Q99684	GFI1.hg38	3	11	10911644
chr2	47073280	47073371	Q99684	GFI1.hg38	3	11	47073325
chr17	45229281	45229328	Q99684	GFI1.hg38	3	11	45229304
chr2	10380042	10380093	Q99684	GFI1.hg38	3	11	10380067
chr19	39917033	39917059	Q99684	GFI1.hg38	3	11	39917046
chr10	88792875	88792896	Q99684	GFI1.hg38	3	11	88792885
chr19	14128162	14128223	Q99684	GFI1.hg38	3	11	14128192
chr19	1068275	1068306	Q99684	GFI1.hg38	3	11	1068290
chr10	123997529	123997571	Q99684	GFI1.hg38	3	11	123997550
chr10	127889961	127890030	Q99684	GFI1.hg38	3	11	127889995
chr17	57047065	57047110	Q99684	GFI1.hg38	3	11	57047087
chr11	348497	348562	Q99684	GFI1.hg38	3	11	348529
chr8	22704872	22704949	Q99684	GFI1.hg38	3	11	22704910
chr1	629974	630003	Q99684	GFI1.hg38	3	11	629988
chr9	93627955	93628042	Q99684	GFI1.hg38	3	11	93627998
chr9	41074657	41074699	Q99684	GFI1.hg38	3	11	41074678
chr9	33161124	33161159	Q99684	GFI1.hg38	3	11	33161141
chr8	117881753	117881807	Q99684	GFI1.hg38	3	11	117881780
chr1	634017	634056	Q99684	GFI1.hg38	3	11	634036
chr10	30098402	30098471	Q99684	GFI1.hg38	3	10	30098436
chr9	297635	297704	Q99684	GFI1.hg38	3	10	297669
chr10	103542884	103542955	Q99684	GFI1.hg38	3	10	103542919
chr20	14633009	14633076	Q99684	GFI1.hg38	3	10	14633042
chr2	121323065	121323104	Q99684	GFI1.hg38	3	10	121323084
chr16	46857770	46857873	Q99684	GFI1.hg38	3	10	46857821
chr15	40904219	40904246	Q99684	GFI1.hg38	3	10	40904232
chr13	105261412	105261481	Q99684	GFI1.hg38	3	10	105261446
chr18	47930087	47930142	Q99684	GFI1.hg38	3	10	47930114
chr1	158148223	158148274	Q99684	GFI1.hg38	3	10	158148248
chr3	46316552	46316647	Q99684	GFI1.hg38	3	10	46316599
chr1	156665256	156665285	Q99684	GFI1.hg38	3	10	156665270
chr16	54559818	54559887	Q99684	GFI1.hg38	3	10	54559852
chr9	124839694	124839793	Q99684	GFI1.hg38	3	10	124839743
chr4	26807429	26807499	Q99684	GFI1.hg38	3	10	26807464
chr7	77906221	77906276	Q99684	GFI1.hg38	3	10	77906248
chr7	102396146	102396205	Q99684	GFI1.hg38	3	10	102396175
chr6	36954347	36954421	Q99684	GFI1.hg38	3	10	36954384
chr12	51923490	51923559	Q99684	GFI1.hg38	3	10	51923524
chr1	162728832	162728901	Q99684	GFI1.hg38	3	10	162728866
chr2	98749201	98749295	Q99684	GFI1.hg38	3	10	98749248
chr3	12749644	12749669	Q99684	GFI1.hg38	3	10	12749656
chr6	26521682	26521743	Q99684	GFI1.hg38	3	10	26521712
chr10	93873597	93873666	Q99684	GFI1.hg38	3	10	93873631
chr6	29848188	29848270	Q99684	GFI1.hg38	3	10	29848229
chr13	75482632	75482719	Q99684	GFI1.hg38	3	10	75482675
chr4	114843685	114843754	Q99684	GFI1.hg38	3	10	114843719
chr19	44951720	44951761	Q99684	GFI1.hg38	3	10	44951740
chr8	120827760	120827826	Q99684	GFI1.hg38	3	10	120827793
chr12	64222684	64222721	Q99684	GFI1.hg38	3	10	64222702
chr6	168888222	168888261	Q99684	GFI1.hg38	3	10	168888241
chr12	57118985	57119036	Q99684	GFI1.hg38	3	10	57119010
chr19	41637617	41637686	Q99684	GFI1.hg38	3	10	41637651
chr6	34986996	34987080	Q99684	GFI1.hg38	3	10	34987038
chr14	103057807	103057874	Q99684	GFI1.hg38	3	10	103057840
chr1	150922663	150922750	Q99684	GFI1.hg38	3	10	150922706
chr12	14771011	14771080	Q99684	GFI1.hg38	3	10	14771045
chr1	150256057	150256163	Q99684	GFI1.hg38	3	10	150256110
chr11	73280759	73280842	Q99684	GFI1.hg38	3	10	73280800
chr14	39433075	39433176	Q99684	GFI1.hg38	3	10	39433125
chr17	26594893	26594911	Q99684	GFI1.hg38	3	10	26594902
chr9	121493044	121493113	Q99684	GFI1.hg38	3	10	121493078
chr2	218607569	218607638	Q99684	GFI1.hg38	3	10	218607603
chr9	122941174	122941240	Q99684	GFI1.hg38	3	10	122941207
chr17	14359448	14359515	Q99684	GFI1.hg38	3	10	14359481
chr19	1470691	1470746	Q99684	GFI1.hg38	3	10	1470718
chr11	124800666	124800736	Q99684	GFI1.hg38	3	10	124800701
chr19	1566748	1566843	Q99684	GFI1.hg38	3	10	1566795
chr7	14269183	14269252	Q99684	GFI1.hg38	3	10	14269217
chr3	171902039	171902108	Q99684	GFI1.hg38	3	10	171902073
chr7	2863837	2863886	Q99684	GFI1.hg38	3	10	2863861
chr14	54450762	54450785	Q99684	GFI1.hg38	3	10	54450773
chr3	157089027	157089088	Q99684	GFI1.hg38	3	10	157089057
chr6	140480916	140481026	Q99684	GFI1.hg38	3	10	140480971
chr11	125506348	125506417	Q99684	GFI1.hg38	3	10	125506382
chr14	94598830	94598905	Q99684	GFI1.hg38	3	10	94598867
chr19	18192261	18192302	Q99684	GFI1.hg38	3	10	18192281
chr1	39509756	39509850	Q99684	GFI1.hg38	3	10	39509803
chr6	99568761	99568810	Q99684	GFI1.hg38	3	10	99568785
chr9	1870029	1870076	Q99684	GFI1.hg38	3	10	1870052
chr1	145424730	145424748	Q99684	GFI1.hg38	3	10	145424739
chr7	50056324	50056393	Q99684	GFI1.hg38	3	10	50056358
chr4	2010096	2010137	Q99684	GFI1.hg38	3	10	2010116
chr3	114056746	114056830	Q99684	GFI1.hg38	3	10	114056788
chr14	88005164	88005195	Q99684	GFI1.hg38	3	10	88005179
chr3	197627092	197627134	Q99684	GFI1.hg38	3	10	197627113
chr14	22815827	22815894	Q99684	GFI1.hg38	3	10	22815860
chr3	196223111	196223157	Q99684	GFI1.hg38	3	10	196223134
chr11	59101646	59101705	Q99684	GFI1.hg38	3	10	59101675
chr11	59669505	59669612	Q99684	GFI1.hg38	3	10	59669558
chr7	30226164	30226214	Q99684	GFI1.hg38	3	10	30226189
chr19	47388943	47388974	Q99684	GFI1.hg38	3	10	47388958
chr6	168007678	168007744	Q99684	GFI1.hg38	3	10	168007711
chr6	12290244	12290311	Q99684	GFI1.hg38	3	10	12290277
chr10	67263244	67263313	Q99684	GFI1.hg38	3	10	67263278
chr5	142223847	142223882	Q99684	GFI1.hg38	3	10	142223864
chr10	52760205	52760274	Q99684	GFI1.hg38	3	10	52760239
chr17	74567646	74567664	Q99684	GFI1.hg38	3	10	74567655
chr1	92784164	92784235	Q99684	GFI1.hg38	3	10	92784199
chr2	8681530	8681579	Q99684	GFI1.hg38	3	10	8681554
chr22	24525548	24525611	Q99684	GFI1.hg38	3	10	24525579
chr1	39875373	39875435	Q99684	GFI1.hg38	3	10	39875404
chr5	1608393	1608462	Q99684	GFI1.hg38	3	10	1608427
chr5	160643934	160643997	Q99684	GFI1.hg38	3	10	160643965
chr5	43034692	43034751	Q99684	GFI1.hg38	3	10	43034721
chr17	75970084	75970167	Q99684	GFI1.hg38	3	10	75970125
chr16	11810114	11810183	Q99684	GFI1.hg38	3	10	11810148
chr5	170716114	170716181	Q99684	GFI1.hg38	3	10	170716147
chr10	71778353	71778448	Q99684	GFI1.hg38	3	10	71778400
chr5	141041201	141041232	Q99684	GFI1.hg38	3	10	141041216
chr10	451144	451213	Q99684	GFI1.hg38	3	10	451178
chr10	511295	511318	Q99684	GFI1.hg38	3	10	511306
chr8	37361531	37361570	Q99684	GFI1.hg38	3	10	37361550
chr1	54973232	54973317	Q99684	GFI1.hg38	3	10	54973274
chr10	44959309	44959356	Q99684	GFI1.hg38	3	10	44959332
chr5	138633411	138633480	Q99684	GFI1.hg38	3	10	138633445
chr2	12269409	12269456	Q99684	GFI1.hg38	3	10	12269432
chr10	3469034	3469101	Q99684	GFI1.hg38	3	10	3469067
chr15	75665615	75665709	Q99684	GFI1.hg38	3	10	75665662
chr15	77831836	77831858	Q99684	GFI1.hg38	3	10	77831847
chr12	123390088	123390187	Q99684	GFI1.hg38	3	10	123390137
chr10	5594468	5594550	Q99684	GFI1.hg38	3	10	5594509
chr21	33642598	33642688	Q99684	GFI1.hg38	3	10	33642643
chr5	98773631	98773734	Q99684	GFI1.hg38	3	10	98773682
chr17	66246540	66246559	Q99684	GFI1.hg38	3	10	66246549
chr15	90638351	90638402	Q99684	GFI1.hg38	3	10	90638376
chr5	30436927	30436966	Q99684	GFI1.hg38	3	10	30436946
chr2	7773588	7773669	Q99684	GFI1.hg38	3	10	7773628
