Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr15	59953737	59953797	A0PJY2	FEZF1.hg38	2	12	59953767
chr19	42032410	42032486	A0PJY2	FEZF1.hg38	2	10	42032448
chr5	5340308	5340413	A0PJY2	FEZF1.hg38	2	10	5340360
chr3	172201395	172201455	A0PJY2	FEZF1.hg38	2	10	172201425
chr8	27603323	27603360	A0PJY2	FEZF1.hg38	2	10	27603341
chr3	131232021	131232133	A0PJY2	FEZF1.hg38	2	10	131232077
chr13	21044126	21044226	A0PJY2	FEZF1.hg38	2	10	21044176
chr2	127226625	127226694	A0PJY2	FEZF1.hg38	2	10	127226659
chr17	81397419	81397472	A0PJY2	FEZF1.hg38	2	10	81397445
chr7	27115282	27115394	A0PJY2	FEZF1.hg38	2	10	27115338
chr12	122072592	122072613	A0PJY2	FEZF1.hg38	2	10	122072602
chr4	24646252	24646300	A0PJY2	FEZF1.hg38	2	10	24646276
chr5	78908375	78908471	A0PJY2	FEZF1.hg38	2	10	78908423
chr15	65833042	65833059	A0PJY2	FEZF1.hg38	2	9	65833050
chr10	110265862	110265902	A0PJY2	FEZF1.hg38	2	9	110265882
chr3	100003010	100003098	A0PJY2	FEZF1.hg38	2	9	100003054
chr2	23921325	23921425	A0PJY2	FEZF1.hg38	2	9	23921375
chr5	122333162	122333203	A0PJY2	FEZF1.hg38	2	9	122333182
chr9	134776198	134776261	A0PJY2	FEZF1.hg38	2	9	134776229
chr15	39403850	39403894	A0PJY2	FEZF1.hg38	2	9	39403872
chr5	10607163	10607248	A0PJY2	FEZF1.hg38	2	9	10607205
chr8	37598704	37598729	A0PJY2	FEZF1.hg38	2	9	37598716
chr13	26049653	26049685	A0PJY2	FEZF1.hg38	2	9	26049669
chr6	47722448	47722468	A0PJY2	FEZF1.hg38	2	9	47722458
chr7	69827671	69827739	A0PJY2	FEZF1.hg38	2	9	69827705
chr18	12520481	12520544	A0PJY2	FEZF1.hg38	2	9	12520512
chr12	123075835	123075930	A0PJY2	FEZF1.hg38	2	9	123075882
chr3	169575464	169575497	A0PJY2	FEZF1.hg38	2	9	169575480
chr3	105253230	105253250	A0PJY2	FEZF1.hg38	2	9	105253240
chr16	51557017	51557062	A0PJY2	FEZF1.hg38	2	9	51557039
chr7	98476917	98476981	A0PJY2	FEZF1.hg38	2	9	98476949
chr12	50664519	50664599	A0PJY2	FEZF1.hg38	2	9	50664559
chr5	95543507	95543523	A0PJY2	FEZF1.hg38	2	9	95543515
chr12	29754765	29754878	A0PJY2	FEZF1.hg38	2	9	29754821
chr5	107389318	107389338	A0PJY2	FEZF1.hg38	2	9	107389328
chr12	121203089	121203118	A0PJY2	FEZF1.hg38	2	9	121203103
chr2	133755737	133755810	A0PJY2	FEZF1.hg38	2	9	133755773
chr5	99900522	99900585	A0PJY2	FEZF1.hg38	2	9	99900553
chr1	151013662	151013777	A0PJY2	FEZF1.hg38	2	9	151013719
chr10	50464154	50464223	A0PJY2	FEZF1.hg38	2	9	50464188
chr15	32991641	32991754	A0PJY2	FEZF1.hg38	2	9	32991697
chr6	84353941	84354054	A0PJY2	FEZF1.hg38	2	9	84353997
chr5	124741140	124741177	A0PJY2	FEZF1.hg38	2	9	124741158
chr6	150592574	150592587	A0PJY2	FEZF1.hg38	2	9	150592580
chr8	12872999	12873064	A0PJY2	FEZF1.hg38	2	9	12873031
chr4	128393495	128393548	A0PJY2	FEZF1.hg38	2	9	128393521
chr5	146290463	146290519	A0PJY2	FEZF1.hg38	2	9	146290491
chr1	231106450	231106547	A0PJY2	FEZF1.hg38	2	9	231106498
chr3	24365484	24365545	A0PJY2	FEZF1.hg38	2	9	24365514
chr1	26126497	26126584	A0PJY2	FEZF1.hg38	2	9	26126540
chr21	17251021	17251057	A0PJY2	FEZF1.hg38	2	9	17251039
