Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr12	89162898	89162965	O75444	MAF	13	41	89162931	0.9950999996781348
chr8	100430845	100430952	O75444	MAF	10	31	100430898	0.9858999999821186
chr1	206784545	206784622	O75444	MAF	10	30	206784583	0.9796000000461936
chr9	69169092	69169135	O75444	MAF	9	30	69169113	0.9602999999940396
chr1	87404407	87404448	O75444	MAF	10	28	87404427	0.9890999999821186
chr1	235011930	235012007	O75444	MAF	10	28	235011968	0.9729999998286366
chr6	2543003	2543064	O75444	MAF	11	27	2543033	0.9946999999523164
chr2	111705994	111706039	O75444	MAF	10	27	111706016	0.980843999788165
chr2	88638968	88639038	O75444	MAF	10	27	88639003	0.9697160000160336
chr10	62051152	62051235	O75444	MAF	11	27	62051193	1.0
chr3	189502824	189502895	O75444	MAF	9	27	189502859	0.9960999999701976
chr5	54744491	54744536	O75444	MAF	13	27	54744513	0.9904000002264975
chr17	78817341	78817418	O75444	MAF	10	27	78817379	0.9527999996583908
chr5	75717272	75717400	O75444	MAF	11	27	75717336	0.9603999999910592
chr5	172765426	172765486	O75444	MAF	10	26	172765456	0.9553999997414648
chr6	142820130	142820168	O75444	MAF	11	26	142820149	0.9747000000014902
chr10	4131742	4131843	O75444	MAF	12	26	4131792	0.9850999999091028
chr1	163321983	163322054	O75444	MAF	11	26	163322018	0.9963999998569488
chr3	196564139	196564190	O75444	MAF	10	25	196564164	0.9668999999735504
chr15	77187944	77187993	O75444	MAF	12	25	77187968	0.982100000013411
chr19	46991315	46991407	O75444	MAF	11	25	46991361	0.9604999999582768
chr2	26068793	26068846	O75444	MAF	11	25	26068819	0.952799999780953
chr17	42678154	42678229	O75444	MAF	11	24	42678191	0.97889999993518
chr13	24270874	24270961	O75444	MAF	12	24	24270917	0.9658499999925494
chr14	20681368	20681409	O75444	MAF	12	24	20681388	0.9639999998413026
chr1	206803412	206803515	O75444	MAF	10	24	206803463	0.9874999998524784
chr8	57000411	57000525	O75444	MAF	10	24	57000468	0.9542999998226762
chr3	17151729	17151798	O75444	MAF	8	24	17151763	0.9747000000208615
chr7	106604629	106604656	O75444	MAF	10	23	106604642	0.9917999998509884
chr11	116853633	116853692	O75444	MAF	10	23	116853662	0.9607000001356004
chr1	234845406	234845459	O75444	MAF	11	23	234845432	0.9785999999150634
chr1	65812168	65812239	O75444	MAF	8	23	65812203	0.985599999924004
chr6	149032900	149032965	O75444	MAF	11	23	149032932	0.9826079995952548
chr14	72451605	72451660	O75444	MAF	13	23	72451632	0.965192000092566
chr2	30253163	30253221	O75444	MAF	9	23	30253192	0.9818000000163912
chr14	61525483	61525584	O75444	MAF	11	23	61525533	0.9551999998599292
chr7	150321044	150321133	O75444	MAF	8	23	150321088	0.9544999996826052
chr15	90815462	90815529	O75444	MAF	10	23	90815495	0.9551000001750888
chr7	92809877	92809951	O75444	MAF	10	22	92809914	0.9857999999947846
chr17	30291955	30292049	O75444	MAF	10	22	30292002	0.9806000001236796
chr5	79990330	79990387	O75444	MAF	10	22	79990358	0.982100000025332
chr13	48791953	48791996	O75444	MAF	8	22	48791974	0.9651799999270588
chr15	73697181	73697234	O75444	MAF	9	22	73697207	0.9754999999310822
chr5	91314599	91314636	O75444	MAF	10	22	91314617	0.9687999999448657
chr15	85626013	85626118	O75444	MAF	9	22	85626065	0.9973999997973442
chr8	115427730	115427779	O75444	MAF	7	22	115427754	1.0
chr5	53005214	53005254	O75444	MAF	8	22	53005234	0.9847999999783932
chr10	8332576	8332655	O75444	MAF	10	22	8332615	0.9781999998040496
chr3	56862748	56862814	O75444	MAF	8	22	56862781	0.954353999760747
chr5	176901926	176901991	O75444	MAF	8	21	176901958	0.9929000000238418
chr9	73132455	73132480	O75444	MAF	8	21	73132467	0.9968000000178814
chr6	90285834	90285919	O75444	MAF	8	21	90285876	0.9800999998301267
chr15	98852195	98852257	O75444	MAF	11	21	98852226	1.0
chr2	144358163	144358218	O75444	MAF	9	21	144358190	0.960612000194192
chr8	81291322	81291415	O75444	MAF	8	21	81291368	0.991909999768436
chr8	125188220	125188282	O75444	MAF	8	21	125188251	0.9784000000528992
chr10	3935367	3935456	O75444	MAF	9	21	3935411	0.9696219999033958
chr8	125942262	125942293	O75444	MAF	10	21	125942277	0.994500000089407
chr2	178514852	178514945	O75444	MAF	9	21	178514898	0.990399999833107
chr9	21803239	21803300	O75444	MAF	8	21	21803269	0.994899999821186
chr17	63827621	63827661	O75444	MAF	9	21	63827641	0.9824000000402332
