Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr4	26860537	26860581	Q6BEB4	SP5	5	15	26860559	1.0
chr3	43622164	43622193	Q6BEB4	SP5	5	14	43622178	0.954699999608472
chr16	2970247	2970324	Q6BEB4	SP5	5	14	2970285	0.9914999999705704
chr2	48314419	48314532	Q6BEB4	SP5	5	14	48314475	0.9834999997988344
chr2	11155543	11155624	Q6BEB4	SP5	5	13	11155583	0.9661899998545648
chr14	24271464	24271504	Q6BEB4	SP5	5	13	24271484	0.961799999973178
chr10	35336339	35336417	Q6BEB4	SP5	5	13	35336378	0.9745000000342726
chr6	121435537	121435626	Q6BEB4	SP5	5	13	121435581	0.9943999998897314
chr2	69178505	69178546	Q6BEB4	SP5	5	13	69178525	0.9961000001072884
chr5	122774844	122774957	Q6BEB4	SP5	5	13	122774900	0.9947999999970196
chr6	43182135	43182244	Q6BEB4	SP5	5	13	43182189	0.957900000134483
chr5	34929379	34929408	Q6BEB4	SP5	5	13	34929393	0.9625000000916422
chr1	40161301	40161380	Q6BEB4	SP5	5	13	40161340	0.95280000006482
chr17	14309382	14309478	Q6BEB4	SP5	4	12	14309430	0.9638999998755752
chr1	108559907	108559988	Q6BEB4	SP5	5	12	108559947	0.9961620000481606
chr19	17539779	17539820	Q6BEB4	SP5	4	12	17539799	0.9510480000957848
chr5	124656146	124656198	Q6BEB4	SP5	5	12	124656172	0.9936999999076128
chr16	2460020	2460071	Q6BEB4	SP5	5	12	2460045	0.9718919999286532
chr20	46089781	46089850	Q6BEB4	SP5	5	12	46089815	0.9618000002324582
chr9	78031955	78031990	Q6BEB4	SP5	4	12	78031972	0.9855999998494984
chr6	166330806	166330843	Q6BEB4	SP5	5	12	166330824	0.9909999999523162
chr4	185209487	185209511	Q6BEB4	SP5	5	12	185209499	0.9502120002955198
chr11	85647989	85648049	Q6BEB4	SP5	5	12	85648019	0.9646000000104308
chr5	124662387	124662476	Q6BEB4	SP5	4	12	124662431	0.9854739999949932
chr22	44975654	44975731	Q6BEB4	SP5	4	12	44975692	0.9648000002902
chr10	63269233	63269262	Q6BEB4	SP5	5	11	63269247	0.9809999997869134
chr22	29072784	29072849	Q6BEB4	SP5	5	11	29072816	0.952800000269711
chr1	31816025	31816112	Q6BEB4	SP5	5	11	31816068	0.9565999996475876
chr6	34696930	34697003	Q6BEB4	SP5	4	11	34696966	0.9696999992914498
chr17	21275881	21275916	Q6BEB4	SP5	4	11	21275898	0.9563399999901652
chr9	97697381	97697426	Q6BEB4	SP5	5	11	97697403	0.9607999999757856
chr19	1266515	1266604	Q6BEB4	SP5	4	11	1266559	0.9869000000219792
chr4	123396737	123396794	Q6BEB4	SP5	4	11	123396765	0.9722000000987202
chr12	49018766	49018847	Q6BEB4	SP5	5	11	49018806	0.9850000000089408
chr16	46973676	46973729	Q6BEB4	SP5	4	11	46973702	0.9508000000745058
chr1	157045870	157045923	Q6BEB4	SP5	5	11	157045896	0.9696999997973442
chr6	41073765	41073826	Q6BEB4	SP5	4	11	41073795	1.0
chr7	44123582	44123611	Q6BEB4	SP5	4	11	44123596	0.956949999981746
chr6	6687204	6687232	Q6BEB4	SP5	4	11	6687218	0.9731000001333654
chr20	11892344	11892400	Q6BEB4	SP5	4	11	11892372	1.0
chr9	34376957	34376993	Q6BEB4	SP5	5	11	34376975	0.9730999999776484
