Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	238967689	238967794	Q96PE6	ZIM3	1	5	238967741	0.9571999997694044
chr8	97264709	97264778	Q96PE6	ZIM3	1	5	97264743	0.9881000001907349
chr10	125766729	125766798	Q96PE6	ZIM3	1	5	125766763	0.9754999998539686
chr7	127925326	127925380	Q96PE6	ZIM3	1	5	127925353	0.9788999999716878
chr10	96614898	96614967	Q96PE6	ZIM3	1	5	96614932	0.9709999998688698
chr3	135907552	135907621	Q96PE6	ZIM3	1	5	135907586	0.961199999653548
chr3	160397622	160397644	Q96PE6	ZIM3	1	5	160397633	0.9920000000596046
chr10	35492643	35492712	Q96PE6	ZIM3	1	5	35492677	0.9614000000849366
chr5	137224440	137224509	Q96PE6	ZIM3	1	5	137224474	0.9941999999869616
chr13	96639075	96639097	Q96PE6	ZIM3	1	5	96639086	0.9945999999672176
chr18	36589240	36589309	Q96PE6	ZIM3	1	5	36589274	0.9783000001031904
chr15	100948167	100948189	Q96PE6	ZIM3	1	5	100948178	0.9551000000722706
chr3	39565809	39565878	Q96PE6	ZIM3	1	4	39565843	0.9838999999262392
chr3	39506875	39506944	Q96PE6	ZIM3	1	4	39506909	0.977000000036508
chr3	40506929	40506998	Q96PE6	ZIM3	1	4	40506963	0.9617179997742176
chr3	40528605	40528674	Q96PE6	ZIM3	1	4	40528639	0.9733180000081658
chr3	38600591	38600660	Q96PE6	ZIM3	1	4	38600625	0.9860999999389052
chr1	1304855	1304924	Q96PE6	ZIM3	1	4	1304889	0.9954999998927117
chr3	40811880	40811949	Q96PE6	ZIM3	1	4	40811914	0.9722999998673796
chr3	40833910	40833979	Q96PE6	ZIM3	1	4	40833944	0.9984999999523164
chr3	42036579	42036648	Q96PE6	ZIM3	1	4	42036613	0.9658999997142702
chr3	42089205	42089274	Q96PE6	ZIM3	1	4	42089239	0.9664999999120832
chr3	42328870	42328939	Q96PE6	ZIM3	1	4	42328904	0.9836999999001622
chr3	42331636	42331705	Q96PE6	ZIM3	1	4	42331670	0.9836999999001622
chr3	42370763	42370832	Q96PE6	ZIM3	1	4	42370797	0.9892000001728536
chr3	37865526	37865595	Q96PE6	ZIM3	1	4	37865560	0.9987999999523164
chr3	36989646	36989715	Q96PE6	ZIM3	1	4	36989680	0.9904040000602604
chr3	37458800	37458869	Q96PE6	ZIM3	1	4	37458834	0.9893000000610948
chr3	42568688	42568757	Q96PE6	ZIM3	1	4	42568722	0.9541000001363455
chr3	25732851	25732920	Q96PE6	ZIM3	1	4	25732885	0.966099999826774
chr3	25792339	25792408	Q96PE6	ZIM3	1	4	25792373	0.9954999999850987
chr3	27912165	27912234	Q96PE6	ZIM3	1	4	27912199	0.9685999999333174
chr3	28300167	28300236	Q96PE6	ZIM3	1	4	28300201	0.9944
chr3	28708663	28708732	Q96PE6	ZIM3	1	4	28708697	0.9809999997869134
chr3	28776965	28777034	Q96PE6	ZIM3	1	4	28776999	0.9741000000163912
chr3	28975345	28975414	Q96PE6	ZIM3	1	4	28975379	0.9737
chr3	29065663	29065732	Q96PE6	ZIM3	1	4	29065697	0.9895300000309944
chr3	29903187	29903256	Q96PE6	ZIM3	1	4	29903221	0.998899999922514
chr3	31201183	31201252	Q96PE6	ZIM3	1	4	31201217	0.9933180000543594
chr3	31581819	31581888	Q96PE6	ZIM3	1	4	31581853	0.9915999998748304
chr3	31848877	31848946	Q96PE6	ZIM3	1	4	31848911	0.9722000001072884
chr3	32386957	32387026	Q96PE6	ZIM3	1	4	32386991	0.9584999999776482
chr3	33716375	33716444	Q96PE6	ZIM3	1	4	33716409	0.970299999915436
