Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr2	32165731	32165840	P20226	TBP.hg38	7	31	32165785
chr15	76311579	76311648	P20226	TBP.hg38	7	28	76311613
chr1	161540216	161540237	P20226	TBP.hg38	7	28	161540226
chr1	28236072	28236147	P20226	TBP.hg38	7	28	28236109
chr17	8173582	8173637	P20226	TBP.hg38	7	27	8173609
chr1	161612700	161612730	P20226	TBP.hg38	7	27	161612715
chr7	148983687	148983720	P20226	TBP.hg38	7	27	148983703
chr5	181207705	181207751	P20226	TBP.hg38	7	27	181207728
chr17	64145898	64145945	P20226	TBP.hg38	7	26	64145921
chr5	181206825	181206868	P20226	TBP.hg38	7	26	181206846
chr14	90396980	90397013	P20226	TBP.hg38	7	26	90396996
chr12	56190323	56190358	P20226	TBP.hg38	7	26	56190340
chr16	22195798	22195823	P20226	TBP.hg38	7	26	22195810
chr6	27795950	27795981	P20226	TBP.hg38	7	26	27795965
chr1	153671209	153671248	P20226	TBP.hg38	7	26	153671228
chr1	181088664	181088715	P20226	TBP.hg38	7	26	181088689
chr21	29073634	29073707	P20226	TBP.hg38	7	26	29073670
chr5	61332214	61332249	P20226	TBP.hg38	7	25	61332231
chr19	4724713	4724746	P20226	TBP.hg38	7	25	4724729
chr17	29294142	29294189	P20226	TBP.hg38	7	25	29294165
chr19	11559397	11559429	P20226	TBP.hg38	7	25	11559413
chr1	44721898	44721951	P20226	TBP.hg38	7	25	44721924
chr3	101686692	101686751	P20226	TBP.hg38	7	25	101686721
chr17	74203648	74203693	P20226	TBP.hg38	7	25	74203670
chr1	44820003	44820050	P20226	TBP.hg38	7	25	44820026
chr1	28581867	28581914	P20226	TBP.hg38	7	25	28581890
chr17	38853726	38853769	P20226	TBP.hg38	7	25	38853747
chr1	27830745	27830827	P20226	TBP.hg38	7	25	27830786
chr12	112409566	112409627	P20226	TBP.hg38	7	25	112409596
chr11	68460193	68460228	P20226	TBP.hg38	7	25	68460210
chr17	30116806	30116877	P20226	TBP.hg38	7	25	30116841
chr14	20632969	20633008	P20226	TBP.hg38	7	25	20632988
chr3	129316294	129316322	P20226	TBP.hg38	7	25	129316308
chr1	161422181	161422198	P20226	TBP.hg38	7	25	161422189
chr9	134164597	134164644	P20226	TBP.hg38	7	25	134164620
chr12	120293249	120293306	P20226	TBP.hg38	7	25	120293277
chr1	149812393	149812416	P20226	TBP.hg38	7	25	149812404
chr19	48872386	48872415	P20226	TBP.hg38	7	25	48872400
