Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr19	12793671	12793711	Q04206	RELA	85	308	12793691	0.9547999997332692
chr14	35403894	35403925	Q04206	RELA	95	299	35403909	0.9629520000137388
chr14	35404835	35404896	Q04206	RELA	83	284	35404865	0.9745700000159444
chr11	102317313	102317346	Q04206	RELA	84	282	102317329	0.9652000001475216
chr2	191020443	191020485	Q04206	RELA	86	281	191020464	0.9900000001356004
chr5	179819103	179819134	Q04206	RELA	88	274	179819118	0.9758999997608364
chr6	137867207	137867230	Q04206	RELA	92	272	137867218	0.975971999938786
chr8	102789087	102789148	Q04206	RELA	84	271	102789117	0.9584000000495464
chr14	93959519	93959546	Q04206	RELA	84	265	93959532	0.97919999999851
chr2	68467477	68467523	Q04206	RELA	83	264	68467500	0.9784499999776484
chr7	155815453	155815474	Q04206	RELA	80	264	155815463	0.9826000000089408
chr11	30323206	30323271	Q04206	RELA	72	263	30323238	0.9864999999582768
chr4	674494	674547	Q04206	RELA	81	254	674520	0.9565079999253154
chr4	102501307	102501330	Q04206	RELA	79	253	102501318	0.9830999999091028
chr6	137873505	137873548	Q04206	RELA	74	252	137873526	0.996599999988079
chr19	44753463	44753488	Q04206	RELA	81	249	44753475	0.971699999788776
chr9	93134636	93134674	Q04206	RELA	75	248	93134655	0.9607999997615814
chr3	149225362	149225389	Q04206	RELA	80	246	149225375	0.9679999997518955
chr14	103260726	103260767	Q04206	RELA	69	245	103260746	0.9673499999694526
chr6	89081710	89081740	Q04206	RELA	82	244	89081725	0.9573999998923391
chr17	21287956	21287991	Q04206	RELA	79	240	21287973	0.983899999961257
chr3	157160839	157160866	Q04206	RELA	81	240	157160852	0.9723619998987764
chr14	73760424	73760457	Q04206	RELA	80	239	73760440	0.9949000001192092
chr22	17781833	17781906	Q04206	RELA	72	238	17781869	0.9708399998337032
chr7	105012607	105012640	Q04206	RELA	79	237	105012623	0.984600000064075
chr19	12788824	12788867	Q04206	RELA	72	237	12788845	0.9776000000461936
chr12	45727641	45727670	Q04206	RELA	79	237	45727655	0.9999000000953674
chr14	68232756	68232789	Q04206	RELA	76	236	68232772	0.9684259999543428
chr11	65570125	65570196	Q04206	RELA	78	236	65570160	0.9653999999899416
chr3	189710796	189710831	Q04206	RELA	72	235	189710813	0.9863000000212342
chr15	80776590	80776613	Q04206	RELA	81	235	80776601	0.9706000000856816
chr12	104671848	104671872	Q04206	RELA	82	234	104671860	0.9888999996617436
chr14	68795783	68795853	Q04206	RELA	79	234	68795818	0.97280000019446
chr3	101827773	101827806	Q04206	RELA	72	234	101827789	0.9754000003270804
chr16	50741927	50741966	Q04206	RELA	83	229	50741946	0.977399999963492
chr2	207529632	207529657	Q04206	RELA	82	229	207529644	0.979499999949336
chr1	33342535	33342566	Q04206	RELA	75	228	33342550	0.9849000001326204
chr4	14856502	14856545	Q04206	RELA	65	226	14856523	0.9974000000536442
chr11	66222814	66222839	Q04206	RELA	73	226	66222826	0.9606000000290572
chr15	70140836	70140881	Q04206	RELA	67	225	70140858	0.9781480000659823
chr1	51564308	51564329	Q04206	RELA	76	224	51564318	0.979599999654293
chr3	119323225	119323261	Q04206	RELA	77	224	119323243	0.9582999996665864
chr3	109082117	109082140	Q04206	RELA	69	223	109082128	0.976300000053644
chr5	151085594	151085660	Q04206	RELA	70	223	151085627	0.9750999999821186
chr21	29196541	29196566	Q04206	RELA	76	223	29196553	0.96340000016056
chr18	38940960	38940996	Q04206	RELA	64	221	38940978	0.9768999999523162
chr1	37477426	37477457	Q04206	RELA	71	220	37477441	1.0
chr10	110395933	110395956	Q04206	RELA	73	220	110395944	0.9982000000834464
chr2	191014280	191014325	Q04206	RELA	76	220	191014302	0.987599999947846
chr17	43578929	43578956	Q04206	RELA	76	219	43578942	0.9817000000856816
chr6	12013242	12013269	Q04206	RELA	77	219	12013255	0.9842999999769032
chr15	67121215	67121245	Q04206	RELA	69	218	67121230	0.973599999895692
chr1	183318624	183318654	Q04206	RELA	71	217	183318639	0.954069999768585
chr9	35657918	35657947	Q04206	RELA	80	217	35657932	0.9630999998729676
chr7	106425149	106425188	Q04206	RELA	71	216	106425168	0.986800000026822
chr5	151081077	151081104	Q04206	RELA	78	214	151081090	0.975199999910593
chr6	144150203	144150228	Q04206	RELA	70	213	144150215	0.99519999987185
chr10	29659201	29659266	Q04206	RELA	66	213	29659233	0.9641999999325722
chr4	73069822	73069855	Q04206	RELA	77	212	73069838	0.9922999999284744
chr2	112812098	112812133	Q04206	RELA	68	212	112812115	0.9575999997839332
chr7	94620891	94620922	Q04206	RELA	74	211	94620906	0.991900000052154
chr5	170331409	170331448	Q04206	RELA	67	210	170331428	0.9878000001195818
chr9	112030190	112030217	Q04206	RELA	75	210	112030203	0.9726999998778104
chr16	24975601	24975625	Q04206	RELA	66	209	24975613	0.9864999997079372
chr3	119700705	119700733	Q04206	RELA	67	209	119700719	0.9535000000402332
chr10	30434001	30434036	Q04206	RELA	75	208	30434018	0.9655999996051192
chr19	39402873	39402944	Q04206	RELA	74	208	39402908	0.9641999999132008
chr4	184474553	184474602	Q04206	RELA	70	206	184474577	0.9736999999821186
chr3	157175011	157175066	Q04206	RELA	79	206	157175038	0.9586999999091028
chr2	37390640	37390665	Q04206	RELA	71	206	37390652	0.9795139997899532
chr12	75978100	75978131	Q04206	RELA	73	206	75978115	0.9556000000037252
chr15	44711399	44711435	Q04206	RELA	77	206	44711417	0.9798999998614192
chr6	142885399	142885462	Q04206	RELA	62	206	142885430	0.999799999898672
chr11	10366728	10366755	Q04206	RELA	71	205	10366741	0.9708000001505016
chr12	112938337	112938367	Q04206	RELA	77	205	112938352	0.95760000006482
chr1	108746575	108746604	Q04206	RELA	77	204	108746589	0.9838000000353904
chr18	268121	268153	Q04206	RELA	80	204	268137	0.9602440000377596
chr6	113858901	113858940	Q04206	RELA	70	204	113858920	0.9650699999421836
chr5	168290035	168290061	Q04206	RELA	71	204	168290048	0.9723999999031424
chr5	132490839	132490884	Q04206	RELA	71	203	132490861	0.991500000052154
