Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr1	148522658	148522720	P09086	POU2F2.hg38	6	31	148522689
chr18	76500072	76500097	P09086	POU2F2.hg38	6	23	76500084
chr12	57242812	57242832	P09086	POU2F2.hg38	6	21	57242822
chr19	14582986	14583083	P09086	POU2F2.hg38	5	20	14583034
chr10	97021877	97021911	P09086	POU2F2.hg38	6	20	97021894
chr12	112116728	112116753	P09086	POU2F2.hg38	6	20	112116740
chr1	38053306	38053335	P09086	POU2F2.hg38	6	20	38053320
chr12	54217984	54218036	P09086	POU2F2.hg38	6	20	54218010
chr9	135475147	135475174	P09086	POU2F2.hg38	6	20	135475160
chr19	18522283	18522317	P09086	POU2F2.hg38	6	20	18522300
chr8	55930694	55930730	P09086	POU2F2.hg38	6	20	55930712
chr16	53092013	53092075	P09086	POU2F2.hg38	6	20	53092044
chr5	141619051	141619080	P09086	POU2F2.hg38	6	20	141619065
chr1	77770307	77770357	P09086	POU2F2.hg38	6	19	77770332
chr1	148038745	148038781	P09086	POU2F2.hg38	5	19	148038763
chr11	62591744	62591786	P09086	POU2F2.hg38	6	19	62591765
chr6	137076740	137076793	P09086	POU2F2.hg38	6	19	137076766
chr11	64060892	64060917	P09086	POU2F2.hg38	6	19	64060904
chr20	34303376	34303415	P09086	POU2F2.hg38	6	19	34303395
chr19	16445420	16445507	P09086	POU2F2.hg38	6	19	16445463
chr5	159456890	159456939	P09086	POU2F2.hg38	5	19	159456914
chr16	88942073	88942113	P09086	POU2F2.hg38	6	19	88942093
chr7	44748787	44748824	P09086	POU2F2.hg38	6	19	44748805
chr14	20412528	20412554	P09086	POU2F2.hg38	6	19	20412541
chr18	55778834	55778873	P09086	POU2F2.hg38	6	19	55778853
chr7	102396260	102396278	P09086	POU2F2.hg38	6	19	102396269
chr20	53926759	53926794	P09086	POU2F2.hg38	6	19	53926776
chr22	37259232	37259267	P09086	POU2F2.hg38	6	19	37259249
chr4	1714808	1714831	P09086	POU2F2.hg38	6	19	1714819
chr11	74748793	74748817	P09086	POU2F2.hg38	6	18	74748805
chr19	45960770	45960794	P09086	POU2F2.hg38	6	18	45960782
chr16	58243613	58243691	P09086	POU2F2.hg38	6	18	58243652
chr20	37528128	37528182	P09086	POU2F2.hg38	6	18	37528155
chr19	5988976	5989003	P09086	POU2F2.hg38	6	18	5988989
chr8	21918479	21918561	P09086	POU2F2.hg38	6	18	21918520
chr1	44721670	44721723	P09086	POU2F2.hg38	6	18	44721696
chr6	13763934	13763993	P09086	POU2F2.hg38	6	18	13763963
chr2	64228342	64228408	P09086	POU2F2.hg38	6	18	64228375
chr4	39125456	39125490	P09086	POU2F2.hg38	6	18	39125473
chr14	32203435	32203462	P09086	POU2F2.hg38	5	18	32203448
chr19	19155655	19155734	P09086	POU2F2.hg38	6	18	19155694
