Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr17	7239712	7239777	P14921	ETS1	31	135	7239744	0.9812999998599292
chr1	1116208	1116265	P14921	ETS1	31	127	1116236	0.961499999960512
chr1	156741184	156741235	P14921	ETS1	31	127	156741209	0.9847999999538064
chr19	5680614	5680671	P14921	ETS1	31	121	5680642	0.9621999998509884
chr3	14651596	14651657	P14921	ETS1	31	120	14651626	0.9743000000879168
chr19	44113297	44113344	P14921	ETS1	30	119	44113320	0.9575799997583032
chr7	93232298	93232333	P14921	ETS1	31	118	93232315	0.9835999999895692
chr7	100100628	100100703	P14921	ETS1	30	117	100100665	0.9731999999165536
chr12	53727580	53727623	P14921	ETS1	31	117	53727601	0.9751000000566244
chr19	49642000	49642058	P14921	ETS1	30	117	49642029	0.975299999928102
chr2	196639559	196639608	P14921	ETS1	29	117	196639583	0.9833999999456108
chr16	10944483	10944510	P14921	ETS1	31	115	10944496	0.9510999998927115
chr18	50287916	50287973	P14921	ETS1	30	115	50287944	0.9691000000212342
chr19	42244794	42244881	P14921	ETS1	30	115	42244837	0.98669999987334
chr2	241637550	241637625	P14921	ETS1	30	115	241637587	0.9754999999195336
chr7	151058082	151058131	P14921	ETS1	30	114	151058106	0.9994999998927117
chr1	25998165	25998206	P14921	ETS1	30	114	25998185	0.9726000000357627
chr1	27322135	27322214	P14921	ETS1	30	113	27322174	0.9530999998554588
chr16	19523789	19523820	P14921	ETS1	31	113	19523804	0.9936999998778104
chr1	169893994	169894056	P14921	ETS1	31	113	169894025	0.9992999998927116
chr19	56141003	56141056	P14921	ETS1	30	113	56141029	0.9583940002813937
chr1	153958715	153958745	P14921	ETS1	30	112	153958730	0.9786000000059604
chr2	74529803	74529854	P14921	ETS1	31	112	74529828	0.9985140000104904
chr12	6852484	6852528	P14921	ETS1	29	112	6852506	0.9923000002920628
chr7	141738247	141738295	P14921	ETS1	31	112	141738271	0.9794999997481704
chr8	22604619	22604662	P14921	ETS1	31	111	22604640	0.9853000000208616
chr16	87951020	87951061	P14921	ETS1	31	111	87951040	0.9647999998755752
chr8	109334154	109334193	P14921	ETS1	31	110	109334173	0.9759000001385808
chr2	27081376	27081409	P14921	ETS1	30	109	27081392	0.9856999998375774
chr12	88142202	88142239	P14921	ETS1	30	109	88142220	0.9944999999046326
chr1	113812421	113812471	P14921	ETS1	31	109	113812446	0.9630999997951092
chr2	63588855	63588895	P14921	ETS1	30	108	63588875	0.9908999999597669
chr2	73926822	73926885	P14921	ETS1	30	108	73926853	0.9613999999389052
chr19	50511294	50511345	P14921	ETS1	30	108	50511319	0.9631339999094606
chr16	15056195	15056220	P14921	ETS1	31	107	15056207	0.9729999997094274
chr6	131628274	131628320	P14921	ETS1	30	107	131628297	0.9800999999754132
chr6	169751595	169751630	P14921	ETS1	30	107	169751612	0.9931000000119208
