Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr20	5393597	5393630	Q13207	TBX2.hg38	2	10	5393613
chr8	37479432	37479495	Q13207	TBX2.hg38	2	10	37479463
chr14	89191349	89191385	Q13207	TBX2.hg38	2	9	89191367
chr3	157632211	157632319	Q13207	TBX2.hg38	2	9	157632265
chr7	8291103	8291132	Q13207	TBX2.hg38	2	9	8291117
chr9	82367157	82367221	Q13207	TBX2.hg38	2	9	82367189
chr7	126484079	126484198	Q13207	TBX2.hg38	2	9	126484138
chr14	76338031	76338083	Q13207	TBX2.hg38	2	9	76338057
chr1	941869	941958	Q13207	TBX2.hg38	2	9	941913
chr2	175600497	175600558	Q13207	TBX2.hg38	2	9	175600527
chr12	108369947	108369988	Q13207	TBX2.hg38	2	9	108369967
chr7	70271756	70271852	Q13207	TBX2.hg38	2	9	70271804
chr5	91314425	91314493	Q13207	TBX2.hg38	2	9	91314459
chr9	935397	935517	Q13207	TBX2.hg38	2	9	935457
chr15	93829674	93829727	Q13207	TBX2.hg38	2	9	93829700
chr2	44544532	44544577	Q13207	TBX2.hg38	2	9	44544554
chr12	121798356	121798385	Q13207	TBX2.hg38	2	8	121798370
chr22	25930938	25930974	Q13207	TBX2.hg38	2	8	25930956
chr11	11994045	11994133	Q13207	TBX2.hg38	2	8	11994089
chr4	182345182	182345207	Q13207	TBX2.hg38	2	8	182345194
chr4	182724563	182724592	Q13207	TBX2.hg38	2	8	182724577
chr11	15622572	15622647	Q13207	TBX2.hg38	2	8	15622609
chr1	51203543	51203588	Q13207	TBX2.hg38	2	8	51203565
chr8	37821777	37821809	Q13207	TBX2.hg38	2	8	37821793
chr8	37160633	37160665	Q13207	TBX2.hg38	2	8	37160649
chr12	119072552	119072577	Q13207	TBX2.hg38	2	8	119072564
chr11	17021679	17021747	Q13207	TBX2.hg38	2	8	17021713
chr16	8722168	8722197	Q13207	TBX2.hg38	2	8	8722182
chr16	10991924	10992024	Q13207	TBX2.hg38	2	8	10991974
chr8	29125348	29125423	Q13207	TBX2.hg38	2	8	29125385
chr5	5277224	5277324	Q13207	TBX2.hg38	2	8	5277274
chr16	15591048	15591084	Q13207	TBX2.hg38	2	8	15591066
chr8	51645363	51645472	Q13207	TBX2.hg38	2	8	51645417
chr3	159856726	159856803	Q13207	TBX2.hg38	2	8	159856764
chr15	96187935	96188056	Q13207	TBX2.hg38	2	8	96187995
chr11	11463546	11463583	Q13207	TBX2.hg38	2	8	11463564
chr8	76699083	76699155	Q13207	TBX2.hg38	2	8	76699119
chr8	75811097	75811193	Q13207	TBX2.hg38	2	8	75811145
chr22	44574976	44575044	Q13207	TBX2.hg38	2	8	44575010
chr4	161208717	161208817	Q13207	TBX2.hg38	2	8	161208767
chr15	76840943	76841016	Q13207	TBX2.hg38	2	8	76840979
