Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr17	80415274	80415349	P11308	ERG.hg38	35	160	80415311
chr7	100100635	100100710	P11308	ERG.hg38	37	151	100100672
chr11	2400372	2400442	P11308	ERG.hg38	36	146	2400407
chr3	52287873	52287939	P11308	ERG.hg38	35	145	52287906
chr1	169794933	169795002	P11308	ERG.hg38	37	143	169794967
chr1	2255932	2255997	P11308	ERG.hg38	40	141	2255964
chr11	18526886	18526972	P11308	ERG.hg38	36	140	18526929
chr19	58305308	58305360	P11308	ERG.hg38	36	138	58305334
chr3	47282640	47282719	P11308	ERG.hg38	36	138	47282679
chr2	197499996	197500048	P11308	ERG.hg38	38	138	197500022
chr12	131710890	131710947	P11308	ERG.hg38	35	138	131710918
chr9	92670262	92670309	P11308	ERG.hg38	36	138	92670285
chr9	86354432	86354483	P11308	ERG.hg38	37	137	86354457
chr9	133336233	133336268	P11308	ERG.hg38	37	136	133336250
chr2	117814634	117814675	P11308	ERG.hg38	35	135	117814654
chr2	191020342	191020378	P11308	ERG.hg38	35	135	191020360
chr19	56121388	56121459	P11308	ERG.hg38	34	135	56121423
chr5	34915630	34915669	P11308	ERG.hg38	37	134	34915649
chr19	4182552	4182593	P11308	ERG.hg38	34	134	4182572
chr12	123633676	123633715	P11308	ERG.hg38	36	134	123633695
chr7	129055063	129055121	P11308	ERG.hg38	35	134	129055092
chr7	44490648	44490737	P11308	ERG.hg38	35	134	44490692
chr2	70190728	70190794	P11308	ERG.hg38	36	133	70190761
chr6	36885909	36885964	P11308	ERG.hg38	35	133	36885936
chr13	28659069	28659120	P11308	ERG.hg38	36	133	28659094
chr12	6724028	6724063	P11308	ERG.hg38	37	133	6724045
chr11	47578996	47579031	P11308	ERG.hg38	38	132	47579013
chr7	45111740	45111768	P11308	ERG.hg38	38	132	45111754
chr8	144078553	144078598	P11308	ERG.hg38	38	132	144078575
chr1	151166007	151166036	P11308	ERG.hg38	36	131	151166021
chr11	9364477	9364542	P11308	ERG.hg38	35	131	9364509
chr7	1504394	1504435	P11308	ERG.hg38	36	131	1504414
chr9	120793435	120793468	P11308	ERG.hg38	37	131	120793451
chr1	40257991	40258092	P11308	ERG.hg38	34	131	40258041
chr3	57597454	57597533	P11308	ERG.hg38	36	131	57597493
chr8	94553504	94553565	P11308	ERG.hg38	34	130	94553534
chr19	47244244	47244287	P11308	ERG.hg38	35	130	47244265
chr4	499194	499239	P11308	ERG.hg38	36	130	499216
chr6	166342558	166342587	P11308	ERG.hg38	37	130	166342572
chr18	3262050	3262107	P11308	ERG.hg38	34	130	3262078
chr7	139340232	139340291	P11308	ERG.hg38	35	130	139340261
chr11	46700633	46700710	P11308	ERG.hg38	34	130	46700671
chr17	47831538	47831577	P11308	ERG.hg38	34	130	47831557
chr11	65096148	65096198	P11308	ERG.hg38	37	129	65096173
chr6	169751615	169751664	P11308	ERG.hg38	37	129	169751639
chr19	9621214	9621286	P11308	ERG.hg38	35	129	9621250
chr6	31959047	31959093	P11308	ERG.hg38	35	129	31959070
chr1	32817390	32817423	P11308	ERG.hg38	38	129	32817406
chr6	133953109	133953134	P11308	ERG.hg38	35	129	133953121
chr1	153990725	153990772	P11308	ERG.hg38	32	129	153990748
chr15	82540506	82540568	P11308	ERG.hg38	33	128	82540537
chr5	34839088	34839168	P11308	ERG.hg38	34	128	34839128
chr17	2042027	2042090	P11308	ERG.hg38	34	128	2042058
