Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr2	197500035	197500082	Q00613	HSF1.hg38	45	190	197500058
chr22	40856741	40856789	Q00613	HSF1.hg38	44	154	40856765
chr17	16380909	16380970	Q00613	HSF1.hg38	40	153	16380939
chr11	123062205	123062264	Q00613	HSF1.hg38	40	147	123062234
chr13	31161974	31162017	Q00613	HSF1.hg38	40	139	31161995
chr19	1354627	1354666	Q00613	HSF1.hg38	40	133	1354646
chr6	31827547	31827592	Q00613	HSF1.hg38	38	132	31827569
chr9	33025166	33025231	Q00613	HSF1.hg38	37	129	33025198
chr13	30617669	30617692	Q00613	HSF1.hg38	41	126	30617680
chr6	44246455	44246478	Q00613	HSF1.hg38	41	122	44246466
chr6	159789848	159789883	Q00613	HSF1.hg38	42	120	159789865
chr7	157336865	157336890	Q00613	HSF1.hg38	40	118	157336877
chr13	33542859	33542903	Q00613	HSF1.hg38	39	115	33542881
chr22	28772693	28772720	Q00613	HSF1.hg38	39	113	28772706
chr17	66567316	66567351	Q00613	HSF1.hg38	36	109	66567333
chr2	61888592	61888631	Q00613	HSF1.hg38	39	109	61888611
chr12	132710589	132710632	Q00613	HSF1.hg38	34	106	132710610
chr7	76302481	76302518	Q00613	HSF1.hg38	38	106	76302499
chr12	95575047	95575082	Q00613	HSF1.hg38	34	104	95575064
chr6	44247802	44247842	Q00613	HSF1.hg38	36	100	44247822
chr12	56688364	56688405	Q00613	HSF1.hg38	36	100	56688384
chr21	34073239	34073274	Q00613	HSF1.hg38	34	98	34073256
chr7	142478524	142478561	Q00613	HSF1.hg38	35	97	142478542
chr1	15835779	15835818	Q00613	HSF1.hg38	36	96	15835798
chr3	185938264	185938293	Q00613	HSF1.hg38	36	94	185938278
chr9	83708226	83708276	Q00613	HSF1.hg38	33	93	83708251
chr18	21704903	21704935	Q00613	HSF1.hg38	35	93	21704919
chr11	90223086	90223113	Q00613	HSF1.hg38	38	92	90223099
chr11	75562163	75562196	Q00613	HSF1.hg38	36	92	75562179
chr7	76294824	76294851	Q00613	HSF1.hg38	32	91	76294837
chr1	174999989	175000020	Q00613	HSF1.hg38	33	89	175000004
