Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr18	50287949	50287996	P25490	YY1	46	238	50287972	0.9691000000212342
chr3	14651607	14651646	P25490	YY1	46	230	14651626	0.9743000000879168
chr20	543857	543934	P25490	YY1	46	221	543895	0.9634000000871716
chr2	241637464	241637516	P25490	YY1	45	217	241637490	0.9754999999195336
chr6	36594441	36594500	P25490	YY1	46	217	36594470	0.9596999997809528
chr14	69398532	69398595	P25490	YY1	46	212	69398563	0.9625999999292196
chr1	161202262	161202299	P25490	YY1	46	209	161202280	0.9839999999880792
chr12	82358403	82358455	P25490	YY1	45	204	82358429	0.9784999998182058
chr5	173888030	173888087	P25490	YY1	46	204	173888058	0.9943999999821186
chr11	7987312	7987369	P25490	YY1	44	203	7987340	0.9613999999597668
chr12	8082175	8082224	P25490	YY1	46	202	8082199	0.959700000346452
chr16	2777522	2777573	P25490	YY1	45	200	2777547	0.9802299998819828
chr1	156282910	156282959	P25490	YY1	46	199	156282934	0.9755999998737128
chr12	93677331	93677365	P25490	YY1	46	198	93677348	0.9707999999724328
chr11	62709625	62709658	P25490	YY1	45	198	62709641	0.9754780000887812
chr19	51571105	51571133	P25490	YY1	45	196	51571119	0.9887999998793006
chr3	36993621	36993674	P25490	YY1	45	194	36993647	0.9580999997537584
chr20	10435161	10435192	P25490	YY1	46	193	10435176	0.9853000000149011
chr1	179954645	179954691	P25490	YY1	46	189	179954668	0.9625579999223352
chr17	49788527	49788561	P25490	YY1	46	189	49788544	0.9651000000678004
chr20	17968782	17968835	P25490	YY1	45	188	17968808	0.9908999997317792
chr1	161226029	161226060	P25490	YY1	46	185	161226044	0.97665399999246
chr16	23149578	23149619	P25490	YY1	46	185	23149598	0.9545259999107568
chr12	93467534	93467589	P25490	YY1	46	185	93467561	0.977399999846518
chr16	57735332	57735369	P25490	YY1	46	184	57735350	0.981403999824822
chr18	2571267	2571328	P25490	YY1	46	184	2571297	0.9941000000804664
chr1	161132799	161132830	P25490	YY1	46	182	161132814	0.9610000001184642
chr6	33789230	33789259	P25490	YY1	46	181	33789244	1.0
chr2	239401581	239401629	P25490	YY1	45	178	239401605	0.9918999999515712
chr19	12933798	12933823	P25490	YY1	46	178	12933810	0.9513999997075648
chr14	22766570	22766611	P25490	YY1	46	178	22766590	0.9542059998199344
chr2	180007103	180007164	P25490	YY1	44	177	180007133	0.9772000000044704
chr11	4094677	4094712	P25490	YY1	45	177	4094694	0.9809999999657272
chr3	40453266	40453311	P25490	YY1	45	176	40453288	0.9774479999959468
chr15	92918028	92918055	P25490	YY1	46	176	92918041	0.9679000001400708
chr1	110034521	110034546	P25490	YY1	46	173	110034533	0.9834699998319149
chr1	154220545	154220588	P25490	YY1	45	171	154220566	0.9586999998152256
chr1	160285122	160285159	P25490	YY1	45	171	160285140	0.9607999999269844
chr19	58002843	58002907	P25490	YY1	41	171	58002875	0.9701999999284744
chr16	72093712	72093789	P25490	YY1	45	171	72093750	0.9833000000312924
chr3	128725983	128726017	P25490	YY1	46	170	128726000	0.9546559998381884
chr20	56392532	56392570	P25490	YY1	46	170	56392551	0.973200000078976
chr19	48445973	48446024	P25490	YY1	45	170	48445998	0.9704000000342726
chr6	31541738	31541801	P25490	YY1	46	169	31541769	0.9692999999091028
chr1	169894131	169894185	P25490	YY1	46	169	169894158	0.9992999998927116
chr1	35557677	35557704	P25490	YY1	45	168	35557690	0.9971999999284744
chr11	67428364	67428405	P25490	YY1	45	168	67428384	0.958599999915436
chr6	37499989	37500014	P25490	YY1	45	168	37500001	0.9546399999715388
chr1	202348700	202348745	P25490	YY1	45	168	202348722	0.9590999999403954
chr22	49918422	49918447	P25490	YY1	45	167	49918434	0.967899999769777
chr1	151399474	151399493	P25490	YY1	46	166	151399483	0.9512839997727424
chr17	35587270	35587291	P25490	YY1	46	166	35587280	0.9536999999545516
