Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr6	138231711	138231812	Q92826	HOXB13.hg38	14	60	138231761
chr18	73626422	73626495	Q92826	HOXB13.hg38	13	60	73626458
chr9	114981296	114981383	Q92826	HOXB13.hg38	14	59	114981339
chr14	39456924	39457001	Q92826	HOXB13.hg38	14	59	39456962
chr4	110907948	110908049	Q92826	HOXB13.hg38	14	58	110907998
chr3	5265254	5265311	Q92826	HOXB13.hg38	13	57	5265282
chr6	105983968	105984018	Q92826	HOXB13.hg38	14	57	105983993
chr18	23684832	23684891	Q92826	HOXB13.hg38	14	57	23684861
chr9	104767652	104767733	Q92826	HOXB13.hg38	14	56	104767692
chr5	51860741	51860794	Q92826	HOXB13.hg38	14	56	51860767
chr10	121573020	121573097	Q92826	HOXB13.hg38	14	56	121573058
chr10	65891318	65891386	Q92826	HOXB13.hg38	14	56	65891352
chr17	28941448	28941503	Q92826	HOXB13.hg38	14	56	28941475
chr1	223518771	223518816	Q92826	HOXB13.hg38	14	55	223518793
chr8	106583333	106583400	Q92826	HOXB13.hg38	13	55	106583366
chr12	88552897	88552954	Q92826	HOXB13.hg38	14	55	88552925
chr9	76799721	76799767	Q92826	HOXB13.hg38	14	55	76799744
chr1	77998206	77998257	Q92826	HOXB13.hg38	14	55	77998231
chr1	28748350	28748385	Q92826	HOXB13.hg38	14	55	28748367
chr17	51588267	51588305	Q92826	HOXB13.hg38	13	55	51588286
chr2	215207295	215207367	Q92826	HOXB13.hg38	14	55	215207331
chr6	22521147	22521216	Q92826	HOXB13.hg38	14	55	22521181
chr5	68544706	68544743	Q92826	HOXB13.hg38	14	55	68544724
chr2	237861237	237861346	Q92826	HOXB13.hg38	14	55	237861291
chr16	52725645	52725694	Q92826	HOXB13.hg38	14	55	52725669
chr6	91506660	91506723	Q92826	HOXB13.hg38	13	55	91506691
chr2	154901175	154901272	Q92826	HOXB13.hg38	14	55	154901223
chr16	87418848	87418880	Q92826	HOXB13.hg38	14	54	87418864
chr8	74281003	74281066	Q92826	HOXB13.hg38	14	54	74281034
chr10	125633676	125633737	Q92826	HOXB13.hg38	14	54	125633706
chr7	6268573	6268608	Q92826	HOXB13.hg38	14	54	6268590
chr6	144893893	144893920	Q92826	HOXB13.hg38	14	54	144893906
chr5	59535692	59535755	Q92826	HOXB13.hg38	14	54	59535723
chr16	82152868	82152898	Q92826	HOXB13.hg38	14	54	82152883
chr5	114702883	114702942	Q92826	HOXB13.hg38	13	54	114702912
chr12	68614252	68614310	Q92826	HOXB13.hg38	14	54	68614281
chr15	83930950	83931020	Q92826	HOXB13.hg38	13	54	83930985
chr16	25049848	25049884	Q92826	HOXB13.hg38	14	54	25049866
chr18	73531710	73531767	Q92826	HOXB13.hg38	13	54	73531738
chr1	244719847	244719897	Q92826	HOXB13.hg38	14	53	244719872
chr11	89557549	89557610	Q92826	HOXB13.hg38	13	53	89557579
chr6	56899618	56899663	Q92826	HOXB13.hg38	14	53	56899640
chr20	54149142	54149179	Q92826	HOXB13.hg38	14	53	54149160
chr17	72614781	72614820	Q92826	HOXB13.hg38	14	53	72614800
chr21	28550365	28550454	Q92826	HOXB13.hg38	13	53	28550409
chr7	137642687	137642736	Q92826	HOXB13.hg38	14	53	137642711
chr8	51054530	51054598	Q92826	HOXB13.hg38	13	53	51054564
chr2	56230380	56230416	Q92826	HOXB13.hg38	14	53	56230398
chr2	156781899	156781928	Q92826	HOXB13.hg38	14	53	156781913
chr18	59055039	59055096	Q92826	HOXB13.hg38	13	53	59055067
chr15	36970729	36970748	Q92826	HOXB13.hg38	14	53	36970738
chr12	56894804	56894890	Q92826	HOXB13.hg38	14	53	56894847
chr3	190045162	190045189	Q92826	HOXB13.hg38	14	53	190045175
chr3	56626303	56626366	Q92826	HOXB13.hg38	13	53	56626334
chr4	25731255	25731342	Q92826	HOXB13.hg38	13	53	25731298
chr9	98807321	98807344	Q92826	HOXB13.hg38	14	53	98807332
chr6	145886391	145886440	Q92826	HOXB13.hg38	14	53	145886415
chr1	245401451	245401478	Q92826	HOXB13.hg38	14	53	245401464
chr5	36244281	36244340	Q92826	HOXB13.hg38	13	53	36244310
chr15	55694913	55694972	Q92826	HOXB13.hg38	14	53	55694942
chr9	104091206	104091239	Q92826	HOXB13.hg38	14	53	104091222
chr2	219399101	219399149	Q92826	HOXB13.hg38	14	53	219399125
chr1	49346979	49347072	Q92826	HOXB13.hg38	13	53	49347025
chr17	42914377	42914406	Q92826	HOXB13.hg38	14	53	42914391
chr12	101476061	101476128	Q92826	HOXB13.hg38	14	53	101476094
chr7	159012687	159012756	Q92826	HOXB13.hg38	13	53	159012721
chr6	24961181	24961205	Q92826	HOXB13.hg38	14	53	24961193
chr1	198657860	198657878	Q92826	HOXB13.hg38	14	52	198657869
chr2	200786588	200786657	Q92826	HOXB13.hg38	14	52	200786622
chr6	119156907	119156934	Q92826	HOXB13.hg38	13	52	119156920
chr6	137838338	137838369	Q92826	HOXB13.hg38	14	52	137838353
chr14	103033951	103033971	Q92826	HOXB13.hg38	14	52	103033961
chr8	69025853	69025894	Q92826	HOXB13.hg38	13	52	69025873
chr8	29386376	29386404	Q92826	HOXB13.hg38	14	52	29386390
chr13	97290133	97290158	Q92826	HOXB13.hg38	14	52	97290145
chr8	37886948	37886969	Q92826	HOXB13.hg38	14	52	37886958
chr14	71659387	71659428	Q92826	HOXB13.hg38	14	52	71659407
chr10	114779991	114780020	Q92826	HOXB13.hg38	14	52	114780005
chr2	101822217	101822292	Q92826	HOXB13.hg38	14	52	101822254
chr1	185697027	185697094	Q92826	HOXB13.hg38	13	52	185697060
chr6	18405632	18405664	Q92826	HOXB13.hg38	14	52	18405648
chr2	25700379	25700420	Q92826	HOXB13.hg38	14	52	25700399
chr11	46736832	46736859	Q92826	HOXB13.hg38	14	52	46736845
chr22	46743051	46743076	Q92826	HOXB13.hg38	14	52	46743063
chr2	42056103	42056130	Q92826	HOXB13.hg38	14	52	42056116
chr12	29929470	29929530	Q92826	HOXB13.hg38	14	52	29929500
chr15	36797260	36797315	Q92826	HOXB13.hg38	14	52	36797287
chr5	55188855	55188918	Q92826	HOXB13.hg38	14	52	55188886
chr7	143974688	143974729	Q92826	HOXB13.hg38	14	52	143974708
chr21	20569477	20569522	Q92826	HOXB13.hg38	13	52	20569499
chr7	103593026	103593095	Q92826	HOXB13.hg38	13	52	103593060
chr11	36638712	36638789	Q92826	HOXB13.hg38	13	52	36638750
chr6	39059903	39059928	Q92826	HOXB13.hg38	13	52	39059915
chr4	77146481	77146532	Q92826	HOXB13.hg38	14	52	77146506
chr3	69172199	69172256	Q92826	HOXB13.hg38	14	52	69172227
chr6	83194802	83194855	Q92826	HOXB13.hg38	14	52	83194828
chr15	29853577	29853635	Q92826	HOXB13.hg38	14	52	29853606
chr3	33482253	33482328	Q92826	HOXB13.hg38	13	52	33482290
chr5	40366156	40366225	Q92826	HOXB13.hg38	13	52	40366190
chr6	32412153	32412178	Q92826	HOXB13.hg38	14	52	32412165
chr6	131099943	131099964	Q92826	HOXB13.hg38	13	52	131099953
chr12	20421558	20421591	Q92826	HOXB13.hg38	14	52	20421574
chr2	182079129	182079201	Q92826	HOXB13.hg38	14	52	182079165
chr3	139117258	139117292	Q92826	HOXB13.hg38	14	52	139117275
chr1	70588259	70588283	Q92826	HOXB13.hg38	14	52	70588271
chr1	205610906	205610982	Q92826	HOXB13.hg38	14	52	205610944
chr1	219959177	219959197	Q92826	HOXB13.hg38	14	52	219959187
chr13	44221892	44221915	Q92826	HOXB13.hg38	14	52	44221903
chr2	99160822	99160891	Q92826	HOXB13.hg38	13	52	99160856
chr6	88797132	88797175	Q92826	HOXB13.hg38	13	52	88797153
chr6	32965131	32965174	Q92826	HOXB13.hg38	13	51	32965152
chr1	180126816	180126854	Q92826	HOXB13.hg38	14	51	180126835
chr14	59500873	59500910	Q92826	HOXB13.hg38	14	51	59500891
chr9	79573724	79573756	Q92826	HOXB13.hg38	14	51	79573740
chr7	111751054	111751099	Q92826	HOXB13.hg38	13	51	111751076
chr6	44730913	44730936	Q92826	HOXB13.hg38	14	51	44730924
chr12	95103218	95103257	Q92826	HOXB13.hg38	14	51	95103237
chr15	92856162	92856207	Q92826	HOXB13.hg38	14	51	92856184
chr11	120525936	120525963	Q92826	HOXB13.hg38	14	51	120525949
chr7	13949644	13949665	Q92826	HOXB13.hg38	13	51	13949654
chr2	189226137	189226200	Q92826	HOXB13.hg38	13	51	189226168
chr12	92136173	92136200	Q92826	HOXB13.hg38	14	51	92136186
chr11	129014248	129014273	Q92826	HOXB13.hg38	14	51	129014260
chr8	124192008	124192068	Q92826	HOXB13.hg38	13	51	124192038
chr19	16719772	16719824	Q92826	HOXB13.hg38	14	51	16719798
chr13	96926097	96926137	Q92826	HOXB13.hg38	14	51	96926117
chr12	65630682	65630721	Q92826	HOXB13.hg38	14	51	65630701
chr2	119548739	119548792	Q92826	HOXB13.hg38	12	51	119548765
chr8	125273349	125273402	Q92826	HOXB13.hg38	14	51	125273375
chr17	66296605	66296653	Q92826	HOXB13.hg38	13	51	66296629
chr8	125648561	125648586	Q92826	HOXB13.hg38	14	51	125648573
chr2	208015694	208015751	Q92826	HOXB13.hg38	14	51	208015722
chr16	78184686	78184713	Q92826	HOXB13.hg38	14	51	78184699
chr17	20937117	20937153	Q92826	HOXB13.hg38	14	51	20937135
chr13	42416050	42416085	Q92826	HOXB13.hg38	13	51	42416067
chr14	54333649	54333676	Q92826	HOXB13.hg38	14	51	54333662
chr9	22088787	22088827	Q92826	HOXB13.hg38	14	51	22088807
chr11	94632547	94632584	Q92826	HOXB13.hg38	14	51	94632565
chr22	37943713	37943742	Q92826	HOXB13.hg38	14	51	37943727
chr6	21694191	21694220	Q92826	HOXB13.hg38	13	51	21694205
chr3	140957269	140957324	Q92826	HOXB13.hg38	14	51	140957296
chr7	88227113	88227164	Q92826	HOXB13.hg38	14	51	88227138
chr7	123782502	123782551	Q92826	HOXB13.hg38	14	51	123782526
chr1	227406549	227406580	Q92826	HOXB13.hg38	13	51	227406564
chr6	122803503	122803590	Q92826	HOXB13.hg38	13	51	122803546
chr8	18080255	18080282	Q92826	HOXB13.hg38	13	51	18080268
chr14	92720024	92720064	Q92826	HOXB13.hg38	14	51	92720044
chr2	179677420	179677505	Q92826	HOXB13.hg38	14	51	179677462
chr15	67148436	67148463	Q92826	HOXB13.hg38	14	51	67148449
chr11	13952941	13952978	Q92826	HOXB13.hg38	13	51	13952959
chr12	70553733	70553804	Q92826	HOXB13.hg38	13	51	70553768
chr12	54028978	54029009	Q92826	HOXB13.hg38	14	51	54028993
chr5	124274551	124274576	Q92826	HOXB13.hg38	13	51	124274563
chr9	69152300	69152347	Q92826	HOXB13.hg38	14	51	69152323
chr5	68202053	68202102	Q92826	HOXB13.hg38	13	51	68202077
chr2	193273221	193273255	Q92826	HOXB13.hg38	13	51	193273238
chr2	43634945	43634986	Q92826	HOXB13.hg38	14	51	43634965
chr10	111916156	111916239	Q92826	HOXB13.hg38	12	51	111916197
chr3	24628709	24628762	Q92826	HOXB13.hg38	14	51	24628735
chr12	64600408	64600433	Q92826	HOXB13.hg38	14	51	64600420
chr2	168278732	168278789	Q92826	HOXB13.hg38	14	51	168278760
chr7	77798595	77798631	Q92826	HOXB13.hg38	14	51	77798613
chr19	43352227	43352250	Q92826	HOXB13.hg38	14	51	43352238
chr8	55721480	55721516	Q92826	HOXB13.hg38	14	51	55721498
chr10	67259363	67259398	Q92826	HOXB13.hg38	14	51	67259380
chr2	48733107	48733132	Q92826	HOXB13.hg38	13	51	48733119
chr6	331194	331225	Q92826	HOXB13.hg38	14	51	331209
chr22	24402790	24402831	Q92826	HOXB13.hg38	14	51	24402810
chr1	25032453	25032502	Q92826	HOXB13.hg38	13	51	25032477
chr6	118763076	118763101	Q92826	HOXB13.hg38	13	51	118763088
chr5	32174991	32175024	Q92826	HOXB13.hg38	14	50	32175007
chr13	73451607	73451632	Q92826	HOXB13.hg38	14	50	73451619
chr2	45412778	45412847	Q92826	HOXB13.hg38	13	50	45412812
chr12	26416620	26416699	Q92826	HOXB13.hg38	13	50	26416659
chr2	79090850	79090889	Q92826	HOXB13.hg38	14	50	79090869
chr1	198656713	198656746	Q92826	HOXB13.hg38	14	50	198656729
chr1	219279630	219279659	Q92826	HOXB13.hg38	13	50	219279644
chr3	181329181	181329206	Q92826	HOXB13.hg38	14	50	181329193
chr7	96244852	96244905	Q92826	HOXB13.hg38	13	50	96244878
chr8	60418284	60418312	Q92826	HOXB13.hg38	14	50	60418298
chr14	25450502	25450523	Q92826	HOXB13.hg38	13	50	25450512
chr22	50007251	50007330	Q92826	HOXB13.hg38	14	50	50007290
chr7	101488837	101488870	Q92826	HOXB13.hg38	14	50	101488853
chr3	190040286	190040309	Q92826	HOXB13.hg38	14	50	190040297
chr15	57610244	57610287	Q92826	HOXB13.hg38	14	50	57610265
chr2	4909662	4909696	Q92826	HOXB13.hg38	13	50	4909679
chr2	173614450	173614496	Q92826	HOXB13.hg38	13	50	173614473
chr1	94156311	94156338	Q92826	HOXB13.hg38	13	50	94156324
chr17	57574298	57574319	Q92826	HOXB13.hg38	13	50	57574308
chr14	89176227	89176249	Q92826	HOXB13.hg38	14	50	89176238
chr8	85313028	85313050	Q92826	HOXB13.hg38	14	50	85313039
chr10	31820999	31821064	Q92826	HOXB13.hg38	14	50	31821031
chr5	124095058	124095091	Q92826	HOXB13.hg38	13	50	124095074
chr1	94321913	94321955	Q92826	HOXB13.hg38	14	50	94321934
chr12	60704703	60704762	Q92826	HOXB13.hg38	13	50	60704732
chr20	14580855	14580888	Q92826	HOXB13.hg38	13	50	14580871
chr6	57127917	57127947	Q92826	HOXB13.hg38	13	50	57127932
chr6	21264618	21264645	Q92826	HOXB13.hg38	14	50	21264631
chr12	52651024	52651060	Q92826	HOXB13.hg38	14	50	52651042
chr7	80278271	80278308	Q92826	HOXB13.hg38	14	50	80278289
chr3	135855959	135856014	Q92826	HOXB13.hg38	12	50	135855986
chr12	59388352	59388377	Q92826	HOXB13.hg38	13	50	59388364
chr9	6320602	6320632	Q92826	HOXB13.hg38	14	50	6320617
chr13	109985052	109985124	Q92826	HOXB13.hg38	13	50	109985088
chr2	159137938	159137965	Q92826	HOXB13.hg38	14	50	159137951
chr5	102301568	102301597	Q92826	HOXB13.hg38	13	50	102301582
chr5	40794505	40794546	Q92826	HOXB13.hg38	13	50	40794525
chr6	16234205	16234236	Q92826	HOXB13.hg38	13	50	16234220
chr11	49285174	49285205	Q92826	HOXB13.hg38	13	50	49285189
chr3	128382563	128382587	Q92826	HOXB13.hg38	14	50	128382575
chr4	155674824	155674873	Q92826	HOXB13.hg38	14	50	155674848
chr4	108353169	108353210	Q92826	HOXB13.hg38	14	50	108353189
chr13	51035011	51035038	Q92826	HOXB13.hg38	13	50	51035024
chr4	153205092	153205117	Q92826	HOXB13.hg38	14	50	153205104
chr4	153102446	153102479	Q92826	HOXB13.hg38	13	50	153102462
chr2	225223465	225223511	Q92826	HOXB13.hg38	14	50	225223488
chr2	24540214	24540291	Q92826	HOXB13.hg38	14	50	24540252
chr22	20198730	20198751	Q92826	HOXB13.hg38	13	50	20198740
chr3	44870695	44870728	Q92826	HOXB13.hg38	13	50	44870711
chr10	55221452	55221498	Q92826	HOXB13.hg38	13	50	55221475
chr9	86640255	86640278	Q92826	HOXB13.hg38	14	50	86640266
chr5	10515035	10515104	Q92826	HOXB13.hg38	13	50	10515069
chr11	116459831	116459862	Q92826	HOXB13.hg38	14	50	116459846
chr17	60920300	60920362	Q92826	HOXB13.hg38	13	50	60920331
chr20	59957729	59957764	Q92826	HOXB13.hg38	13	50	59957746
chr15	50215931	50215970	Q92826	HOXB13.hg38	14	50	50215950
chr5	73437266	73437293	Q92826	HOXB13.hg38	13	50	73437279
chr8	125145479	125145514	Q92826	HOXB13.hg38	14	50	125145496
chr5	119876717	119876768	Q92826	HOXB13.hg38	14	50	119876742
chr1	78220022	78220043	Q92826	HOXB13.hg38	13	50	78220032
chr2	85511389	85511426	Q92826	HOXB13.hg38	13	50	85511407
chr10	112391518	112391580	Q92826	HOXB13.hg38	14	50	112391549
chr12	106035529	106035592	Q92826	HOXB13.hg38	13	50	106035560
