Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr1	171484891	171484992	O43364	HOXA2.hg38	1	5	171484941
chr12	50025781	50025882	O43364	HOXA2.hg38	1	5	50025831
chr14	36320877	36320978	O43364	HOXA2.hg38	1	5	36320927
chr9	83957366	83957467	O43364	HOXA2.hg38	1	5	83957416
chr7	116426755	116426856	O43364	HOXA2.hg38	1	4	116426805
chr7	116408524	116408625	O43364	HOXA2.hg38	1	4	116408574
chr9	5630450	5630551	O43364	HOXA2.hg38	1	4	5630500
chr11	59143732	59143833	O43364	HOXA2.hg38	1	4	59143782
chr1	149888854	149888955	O43364	HOXA2.hg38	1	4	149888904
chr15	60520653	60520754	O43364	HOXA2.hg38	1	4	60520703
chr2	190320361	190320462	O43364	HOXA2.hg38	1	4	190320411
chr6	47231063	47231164	O43364	HOXA2.hg38	1	4	47231113
chr7	66920294	66920395	O43364	HOXA2.hg38	1	4	66920344
chr11	59545128	59545229	O43364	HOXA2.hg38	1	4	59545178
chr12	14554106	14554207	O43364	HOXA2.hg38	1	4	14554156
chr2	189782820	189782921	O43364	HOXA2.hg38	1	4	189782870
chr5	58458601	58458702	O43364	HOXA2.hg38	1	4	58458651
chr5	163094591	163094692	O43364	HOXA2.hg38	1	4	163094641
chr11	59811247	59811348	O43364	HOXA2.hg38	1	4	59811297
chr1	151198135	151198236	O43364	HOXA2.hg38	1	4	151198185
chr10	23096774	23096875	O43364	HOXA2.hg38	1	4	23096824
chr2	191014616	191014717	O43364	HOXA2.hg38	1	4	191014666
chr1	147243937	147244038	O43364	HOXA2.hg38	1	4	147243987
chr15	62066517	62066618	O43364	HOXA2.hg38	1	4	62066567
chr10	22340022	22340123	O43364	HOXA2.hg38	1	4	22340072
chr10	31940543	31940644	O43364	HOXA2.hg38	1	4	31940593
chr4	73708521	73708622	O43364	HOXA2.hg38	1	4	73708571
chr11	57778339	57778440	O43364	HOXA2.hg38	1	4	57778389
chr18	26089658	26089759	O43364	HOXA2.hg38	1	4	26089708
chr5	159264018	159264119	O43364	HOXA2.hg38	1	4	159264068
chr18	28792254	28792355	O43364	HOXA2.hg38	1	4	28792304
chr2	199910773	199910874	O43364	HOXA2.hg38	1	4	199910823
chr13	79407149	79407250	O43364	HOXA2.hg38	1	4	79407199
chr5	60700714	60700815	O43364	HOXA2.hg38	1	4	60700764
chr5	59769331	59769432	O43364	HOXA2.hg38	1	4	59769381
chr2	197436032	197436133	O43364	HOXA2.hg38	1	4	197436082
chr4	74374916	74375017	O43364	HOXA2.hg38	1	4	74374966
chr7	56106819	56106920	O43364	HOXA2.hg38	1	4	56106869
chr15	62473490	62473591	O43364	HOXA2.hg38	1	4	62473540
chr7	66238759	66238860	O43364	HOXA2.hg38	1	4	66238809
chr5	160316430	160316531	O43364	HOXA2.hg38	1	4	160316480
chr15	62138050	62138151	O43364	HOXA2.hg38	1	4	62138100
chr6	74534964	74535065	O43364	HOXA2.hg38	1	4	74535014
chr13	97369297	97369398	O43364	HOXA2.hg38	1	4	97369347
chr6	73696935	73697036	O43364	HOXA2.hg38	1	4	73696985
chr13	75674720	75674821	O43364	HOXA2.hg38	1	4	75674770
chr4	87423856	87423957	O43364	HOXA2.hg38	1	4	87423906
chr5	53560328	53560429	O43364	HOXA2.hg38	1	4	53560378
chr6	67361398	67361499	O43364	HOXA2.hg38	1	4	67361448
chr18	54945850	54945951	O43364	HOXA2.hg38	1	4	54945900
chr7	77765674	77765775	O43364	HOXA2.hg38	1	4	77765724
chr11	65498677	65498778	O43364	HOXA2.hg38	1	4	65498727
chr18	56639203	56639304	O43364	HOXA2.hg38	1	4	56639253
chr2	169799912	169800013	O43364	HOXA2.hg38	1	4	169799962
chr7	113118837	113118938	O43364	HOXA2.hg38	1	4	113118887
chr15	56496957	56497058	O43364	HOXA2.hg38	1	4	56497007
chr5	177591609	177591710	O43364	HOXA2.hg38	1	4	177591659
chr15	55952469	55952570	O43364	HOXA2.hg38	1	4	55952519
chr15	55418269	55418370	O43364	HOXA2.hg38	1	4	55418319
chr7	111963014	111963115	O43364	HOXA2.hg38	1	4	111963064
chr1	162497443	162497544	O43364	HOXA2.hg38	1	4	162497493
chr8	53945130	53945231	O43364	HOXA2.hg38	1	4	53945180
chr18	63979852	63979953	O43364	HOXA2.hg38	1	4	63979902
chr10	16437801	16437902	O43364	HOXA2.hg38	1	4	16437851
chr12	12611238	12611339	O43364	HOXA2.hg38	1	4	12611288
chr12	12695805	12695906	O43364	HOXA2.hg38	1	4	12695855
chr7	76166251	76166352	O43364	HOXA2.hg38	1	4	76166301
chr5	57783626	57783727	O43364	HOXA2.hg38	1	4	57783676
chr6	73655352	73655453	O43364	HOXA2.hg38	1	4	73655402
chr13	98672839	98672940	O43364	HOXA2.hg38	1	4	98672889
chr13	99498202	99498303	O43364	HOXA2.hg38	1	4	99498252
chr9	1915919	1916020	O43364	HOXA2.hg38	1	4	1915969
chr1	154219439	154219540	O43364	HOXA2.hg38	1	4	154219489
chr1	154222184	154222285	O43364	HOXA2.hg38	1	4	154222234
chr1	154982747	154982848	O43364	HOXA2.hg38	1	4	154982797
chr2	173533532	173533633	O43364	HOXA2.hg38	1	4	173533582
chr12	13097885	13097986	O43364	HOXA2.hg38	1	4	13097935
chr5	167379683	167379784	O43364	HOXA2.hg38	1	4	167379733
chr12	12893439	12893540	O43364	HOXA2.hg38	1	4	12893489
chr8	144828590	144828691	O43364	HOXA2.hg38	1	4	144828640
chr13	105903860	105903961	O43364	HOXA2.hg38	1	4	105903910
chr11	62621055	62621156	O43364	HOXA2.hg38	1	4	62621105
chr2	174249289	174249390	O43364	HOXA2.hg38	1	4	174249339
chr4	73620872	73620973	O43364	HOXA2.hg38	1	4	73620922
