Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr19	10717748	10717769	P40426	PBX3.hg38	5	33	10717758
chr4	48780403	48780424	P40426	PBX3.hg38	6	28	48780413
chr1	44721665	44721737	P40426	PBX3.hg38	6	27	44721701
chr3	194769247	194769270	P40426	PBX3.hg38	6	26	194769258
chr7	44848323	44848373	P40426	PBX3.hg38	6	25	44848348
chr19	11155864	11155883	P40426	PBX3.hg38	6	25	11155873
chr3	107522890	107522906	P40426	PBX3.hg38	6	24	107522898
chr15	44195367	44195404	P40426	PBX3.hg38	6	24	44195385
chr7	134646649	134646676	P40426	PBX3.hg38	5	24	134646662
chr19	48469168	48469199	P40426	PBX3.hg38	6	24	48469183
chr18	74292079	74292136	P40426	PBX3.hg38	5	24	74292107
chr3	149086559	149086580	P40426	PBX3.hg38	6	24	149086569
chr9	136886340	136886367	P40426	PBX3.hg38	6	24	136886353
chr2	26785888	26785935	P40426	PBX3.hg38	5	23	26785911
chr1	150236219	150236279	P40426	PBX3.hg38	6	23	150236249
chr20	41618478	41618510	P40426	PBX3.hg38	6	23	41618494
chr11	75815096	75815117	P40426	PBX3.hg38	5	23	75815106
chr19	3971193	3971222	P40426	PBX3.hg38	5	23	3971207
chr7	107168813	107168834	P40426	PBX3.hg38	6	23	107168823
chr15	70099753	70099789	P40426	PBX3.hg38	6	23	70099771
chr14	89416199	89416247	P40426	PBX3.hg38	6	23	89416223
chr19	11739035	11739080	P40426	PBX3.hg38	6	23	11739057
chr2	63050751	63050770	P40426	PBX3.hg38	6	23	63050760
chr21	42974639	42974657	P40426	PBX3.hg38	6	23	42974648
chr22	42080022	42080038	P40426	PBX3.hg38	6	22	42080030
chr20	45857472	45857511	P40426	PBX3.hg38	6	22	45857491
chr10	78407151	78407168	P40426	PBX3.hg38	6	22	78407159
chr19	6372578	6372602	P40426	PBX3.hg38	6	22	6372590
chr15	90352158	90352177	P40426	PBX3.hg38	6	22	90352167
chr16	15591149	15591196	P40426	PBX3.hg38	6	22	15591172
chr9	124658379	124658411	P40426	PBX3.hg38	6	22	124658395
chr7	27662991	27663008	P40426	PBX3.hg38	6	22	27662999
chr17	63622124	63622150	P40426	PBX3.hg38	6	22	63622137
chr17	29294176	29294216	P40426	PBX3.hg38	6	22	29294196
chr17	45620221	45620260	P40426	PBX3.hg38	6	22	45620240
chr13	110615446	110615467	P40426	PBX3.hg38	6	22	110615456
chr6	93419637	93419654	P40426	PBX3.hg38	6	22	93419645
chr16	10744141	10744168	P40426	PBX3.hg38	5	22	10744154
chr5	68549396	68549413	P40426	PBX3.hg38	6	22	68549404
chr1	154983250	154983267	P40426	PBX3.hg38	6	22	154983258
chr10	102502195	102502250	P40426	PBX3.hg38	5	22	102502222
chr14	64338841	64338858	P40426	PBX3.hg38	6	22	64338849
chr1	145958057	145958098	P40426	PBX3.hg38	6	22	145958077
chr8	106726070	106726116	P40426	PBX3.hg38	6	22	106726093
chr10	3220973	3220996	P40426	PBX3.hg38	6	22	3220984
chr19	45370664	45370683	P40426	PBX3.hg38	6	22	45370673
chr5	151771678	151771707	P40426	PBX3.hg38	6	22	151771692
chr19	7629626	7629645	P40426	PBX3.hg38	6	22	7629635
chr1	153923139	153923154	P40426	PBX3.hg38	6	22	153923146
chr19	12551616	12551638	P40426	PBX3.hg38	6	22	12551627
chr9	137241162	137241181	P40426	PBX3.hg38	6	22	137241171
chr22	43015323	43015344	P40426	PBX3.hg38	6	22	43015333
chr1	148522758	148522777	P40426	PBX3.hg38	6	22	148522767
chr1	11262597	11262620	P40426	PBX3.hg38	5	22	11262608
chr19	19032545	19032570	P40426	PBX3.hg38	6	22	19032557
chr22	36776267	36776293	P40426	PBX3.hg38	6	22	36776280
chr6	129684146	129684177	P40426	PBX3.hg38	6	22	129684161
chr19	4246977	4246998	P40426	PBX3.hg38	6	22	4246987
chr12	56646065	56646116	P40426	PBX3.hg38	5	22	56646090
chr16	53503554	53503575	P40426	PBX3.hg38	6	22	53503564
chr1	25430805	25430830	P40426	PBX3.hg38	5	21	25430817
chr6	108558605	108558622	P40426	PBX3.hg38	6	21	108558613
chr21	37366743	37366762	P40426	PBX3.hg38	6	21	37366752
chr1	5992603	5992620	P40426	PBX3.hg38	6	21	5992611
chr4	123396719	123396736	P40426	PBX3.hg38	6	21	123396727
chr17	76671821	76671848	P40426	PBX3.hg38	6	21	76671834
chr16	71895317	71895346	P40426	PBX3.hg38	5	21	71895331
chr7	56106585	56106604	P40426	PBX3.hg38	6	21	56106594
chr7	10973142	10973163	P40426	PBX3.hg38	6	21	10973152
chr1	161225862	161225879	P40426	PBX3.hg38	6	21	161225870
chr1	145281168	145281209	P40426	PBX3.hg38	5	21	145281188
chr10	44978854	44978875	P40426	PBX3.hg38	6	21	44978864
chr12	14774312	14774329	P40426	PBX3.hg38	5	21	14774320
chr1	24415726	24415743	P40426	PBX3.hg38	6	21	24415734
chr2	205944786	205944803	P40426	PBX3.hg38	6	21	205944794
chr19	12441127	12441162	P40426	PBX3.hg38	5	21	12441144
chr3	195443169	195443190	P40426	PBX3.hg38	5	21	195443179
chr5	96808422	96808435	P40426	PBX3.hg38	6	21	96808428
chr19	21020514	21020543	P40426	PBX3.hg38	6	21	21020528
chr1	16513979	16514052	P40426	PBX3.hg38	6	21	16514015
chr1	61078055	61078076	P40426	PBX3.hg38	6	21	61078065
chr17	28041526	28041547	P40426	PBX3.hg38	6	21	28041536
chr8	42152828	42152867	P40426	PBX3.hg38	5	21	42152847
chr7	151232460	151232475	P40426	PBX3.hg38	6	21	151232467
chr12	55817869	55817944	P40426	PBX3.hg38	5	21	55817906
chr5	160119602	160119633	P40426	PBX3.hg38	6	21	160119617
chr1	150697319	150697341	P40426	PBX3.hg38	6	21	150697330
chr22	40636758	40636792	P40426	PBX3.hg38	6	21	40636775
chr5	163437480	163437525	P40426	PBX3.hg38	6	21	163437502
chr5	32313199	32313222	P40426	PBX3.hg38	6	21	32313210
chr19	47048682	47048699	P40426	PBX3.hg38	6	21	47048690
chr15	45279282	45279306	P40426	PBX3.hg38	6	21	45279294
