Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr2	173354688	173354745	P51608	MECP2	4	15	173354716	0.9616999998435378
chr2	44361933	44361949	P51608	MECP2	4	12	44361941	0.9865800000175834
chr10	112183760	112183785	P51608	MECP2	3	10	112183772	0.9897999999523164
chr17	65561543	65561626	P51608	MECP2	4	10	65561584	0.9726999999456108
chr9	137188596	137188609	P51608	MECP2	3	9	137188602	0.9989999997854232
chr12	132144379	132144404	P51608	MECP2	3	8	132144391	0.9535499999888242
chr10	61901300	61901325	P51608	MECP2	4	8	61901312	1.0
chr7	140925018	140925043	P51608	MECP2	3	8	140925030	0.9916000001877546
chr7	150963128	150963165	P51608	MECP2	4	7	150963146	0.9773999999716878
chr3	67357953	67357967	P51608	MECP2	2	7	67357960	0.9884000000625848
chr2	237085860	237085873	P51608	MECP2	4	7	237085866	0.9735999997571112
chr4	82891231	82891300	P51608	MECP2	3	7	82891265	0.9572840001374484
chr17	65561185	65561214	P51608	MECP2	3	7	65561199	0.972809999947995
chr12	130826459	130826506	P51608	MECP2	3	7	130826482	0.9561000002175568
chr12	130764718	130764796	P51608	MECP2	3	7	130764757	0.9926999998122452
chr16	88706465	88706476	P51608	MECP2	3	7	88706470	0.9792999999172984
chr1	53238536	53238549	P51608	MECP2	4	7	53238542	0.95419999993369
chr6	158518643	158518752	P51608	MECP2	3	7	158518697	0.959199999921024
chr17	79192626	79192663	P51608	MECP2	4	7	79192644	0.9513060000378638
chr9	136866386	136866453	P51608	MECP2	3	7	136866419	0.9501800000064076
chr1	1000877	1000900	P51608	MECP2	3	7	1000888	0.9572000001147388
chr2	127387957	127387988	P51608	MECP2	3	7	127387972	0.9722999998286368
chr2	207530046	207530081	P51608	MECP2	3	7	207530063	0.979499999949336
chr1	207963707	207963728	P51608	MECP2	4	6	207963717	0.997399999973178
chr5	54517607	54517706	P51608	MECP2	2	6	54517656	0.9539000000163912
chr1	108746532	108746613	P51608	MECP2	3	6	108746572	0.9838000000353904
chr18	2571472	2571505	P51608	MECP2	3	6	2571488	0.9941000000804664
chr22	26483848	26483871	P51608	MECP2	3	6	26483859	0.9880120000213384
chr18	158518	158547	P51608	MECP2	3	6	158532	0.9592820000976324
chr7	98617540	98617565	P51608	MECP2	2	6	98617552	0.9852000000216068
chr10	122980627	122980642	P51608	MECP2	3	6	122980634	0.9860999998316168
chr19	50511533	50511552	P51608	MECP2	3	6	50511542	0.960899999935925
chr5	65563244	65563305	P51608	MECP2	3	6	65563274	0.9634999999463558
chr2	176141030	176141088	P51608	MECP2	2	6	176141059	0.9837000000163912
chr15	72783773	72783786	P51608	MECP2	3	6	72783779	0.9875999999918044
chr9	92115421	92115436	P51608	MECP2	3	6	92115428	0.9625999999552964
chr17	63968137	63968178	P51608	MECP2	3	6	63968157	0.9553999996483326
chr18	79679750	79679777	P51608	MECP2	3	6	79679763	0.9998000001907348
chr14	105370986	105371005	P51608	MECP2	3	6	105370995	0.9614000003430992
chr5	95962058	95962077	P51608	MECP2	3	6	95962067	0.9989999997854232
chr14	24299823	24299838	P51608	MECP2	3	6	24299830	0.9951000000476836
chr1	228109304	228109321	P51608	MECP2	3	6	228109312	0.967299999767542
chr9	117487680	117487769	P51608	MECP2	2	6	117487724	0.9937
chr1	156728843	156728862	P51608	MECP2	3	6	156728852	0.9809000000089408
chr17	78558535	78558596	P51608	MECP2	3	6	78558565	0.968799999833852
chr14	55272102	55272121	P51608	MECP2	3	6	55272111	0.972899999988824
chr14	65791603	65791664	P51608	MECP2	2	6	65791633	0.9776999998420476
chr5	79514581	79514614	P51608	MECP2	3	6	79514597	0.9771999998897314
chr19	29606261	29606286	P51608	MECP2	4	6	29606273	0.9517000000834464
chr5	81301537	81301562	P51608	MECP2	4	6	81301549	0.9841720001101494
chr17	78841010	78841021	P51608	MECP2	3	6	78841015	0.9681000001773238
chr11	77474378	77474401	P51608	MECP2	3	6	77474389	0.960199999974668
chr1	31644639	31644678	P51608	MECP2	3	6	31644658	0.972500000147894
chr21	42666146	42666163	P51608	MECP2	2	6	42666154	0.995650000011176
chr6	110180394	110180464	P51608	MECP2	3	6	110180429	0.9832500000029802
chr6	167827709	167827730	P51608	MECP2	2	6	167827719	0.9778000000372528
chr12	109573239	109573264	P51608	MECP2	3	6	109573251	0.9660999995518476
chr18	47749297	47749334	P51608	MECP2	4	6	47749315	0.9714999998953192
chr8	132775329	132775356	P51608	MECP2	3	6	132775342	1.0
chr4	163166923	163166944	P51608	MECP2	3	6	163166933	0.990799999878183
chr3	39384329	39384344	P51608	MECP2	3	6	39384336	0.9845000000610948
chr2	239144061	239144091	P51608	MECP2	3	6	239144076	0.999600000089407
chr1	70205645	70205674	P51608	MECP2	3	6	70205659	0.979099999883026
chr21	36747918	36747939	P51608	MECP2	2	6	36747928	0.9892000000745058
chr7	774686	774717	P51608	MECP2	4	6	774701	0.976100000078976
chr10	113126682	113126786	P51608	MECP2	3	6	113126734	0.9941000001132488
chr12	122896179	122896220	P51608	MECP2	3	6	122896199	0.958699999846518
chr1	19210340	19210361	P51608	MECP2	3	6	19210350	0.9603999999292196
chr12	6961447	6961549	P51608	MECP2	2	6	6961498	1.0
chr8	134478620	134478661	P51608	MECP2	3	6	134478640	0.998400000011921
chr1	11650586	11650635	P51608	MECP2	3	6	11650610	0.9938999999284744
chr10	100671168	100671193	P51608	MECP2	3	6	100671180	0.9570999996565284
chr2	19348417	19348436	P51608	MECP2	3	6	19348426	0.96430000000149
chr15	29103927	29103946	P51608	MECP2	3	6	29103936	0.9764000000629574
chr3	52410036	52410047	P51608	MECP2	3	6	52410041	0.9840999999806284
chr19	16326930	16326967	P51608	MECP2	2	6	16326948	0.9658999998930842
chr3	51391122	51391174	P51608	MECP2	3	6	51391148	0.9906999999523164
chr17	81959818	81959831	P51608	MECP2	3	5	81959824	0.9857000001341104
chr21	43659509	43659542	P51608	MECP2	3	5	43659525	0.9717000000700354
chr8	17246879	17246892	P51608	MECP2	3	5	17246885	0.9766000000804664
chr11	4094770	4094785	P51608	MECP2	3	5	4094777	0.9809999999657272
chr17	81074624	81074661	P51608	MECP2	2	5	81074642	0.9693000001505018
chr10	29470487	29470524	P51608	MECP2	4	5	29470505	0.9876000002130866
chr1	29236430	29236484	P51608	MECP2	2	5	29236457	0.9779999999471009
chr11	2156635	2156649	P51608	MECP2	2	5	2156642	0.9912999998316168
chr18	13824059	13824093	P51608	MECP2	2	5	13824076	0.9762999999895692
chr8	11016536	11016573	P51608	MECP2	2	5	11016554	1.0
chr18	12702854	12702883	P51608	MECP2	3	5	12702868	0.951399999973923
chr8	22109718	22109765	P51608	MECP2	3	5	22109741	0.9877999998092653
chr8	13100503	13100540	P51608	MECP2	2	5	13100521	0.9712000000491738
chr18	13726619	13726642	P51608	MECP2	3	5	13726630	0.9616999996542932
chr17	81119826	81119843	P51608	MECP2	3	5	81119834	1.0
chr19	49851103	49851128	P51608	MECP2	3	5	49851115	0.97189999993667
chr17	76868357	76868374	P51608	MECP2	3	5	76868365	0.9836999999895693
chr17	17476967	17477005	P51608	MECP2	3	5	17476986	0.9548999999217688
chr3	10375596	10375633	P51608	MECP2	2	5	10375614	1.0
chr16	66751743	66751766	P51608	MECP2	3	5	66751754	0.9857000000938774
chr16	68023244	68023273	P51608	MECP2	3	5	68023258	0.9543999999061228
chr8	134691439	134691461	P51608	MECP2	2	5	134691450	0.99059999999851
chr16	71462244	71462277	P51608	MECP2	3	5	71462260	0.9749000000428408
chr3	4983146	4983212	P51608	MECP2	2	5	4983179	0.9999000000953674
chr16	84072136	84072173	P51608	MECP2	2	5	84072154	0.9739999999511988
chr11	60842034	60842061	P51608	MECP2	3	5	60842047	0.9632000002935528
chr22	49656978	49657015	P51608	MECP2	2	5	49656996	0.9748999998554588
chr8	124474659	124474698	P51608	MECP2	3	5	124474678	0.97280000000149
chr16	86555212	86555235	P51608	MECP2	3	5	86555223	0.9614999997437
chr8	109540140	109540177	P51608	MECP2	3	5	109540158	0.9939320000611246
chr8	98941100	98941149	P51608	MECP2	3	5	98941124	0.997406000083685
chr17	15999702	15999735	P51608	MECP2	3	5	15999718	0.9638000000871718
chr1	115615386	115615423	P51608	MECP2	2	5	115615404	0.9924000000402332
chr6	33208420	33208489	P51608	MECP2	3	5	33208454	1.0
chr6	10642549	10642572	P51608	MECP2	3	5	10642560	0.9500799998551608
chr17	35119881	35119915	P51608	MECP2	2	5	35119898	0.951001999747008
chr17	35587247	35587270	P51608	MECP2	3	5	35587258	0.9536999999545516
chr6	15248739	15248778	P51608	MECP2	3	5	15248758	0.9845999997809528
chr22	43829165	43829206	P51608	MECP2	3	5	43829185	1.0
chr17	39927622	39927651	P51608	MECP2	4	5	39927636	0.9712000002399088
chr6	23136887	23136924	P51608	MECP2	2	5	23136905	0.992499999910593
chr21	42010341	42010370	P51608	MECP2	3	5	42010355	0.9899000000469388
chr22	38701051	38701062	P51608	MECP2	3	5	38701056	0.9544000002142042
chr8	65842082	65842143	P51608	MECP2	3	5	65842112	0.9965999997317792
chr11	20610293	20610323	P51608	MECP2	2	5	20610308	0.9942999998003244
chr11	20387277	20387339	P51608	MECP2	3	5	20387308	0.953099999756366
chr22	32660409	32660419	P51608	MECP2	3	5	32660414	0.9501999999321996
chr11	18106031	18106120	P51608	MECP2	2	5	18106075	0.9694999998837708
chr6	53349012	53349031	P51608	MECP2	3	5	53349021	0.9620999998327344
chr20	61329359	61329396	P51608	MECP2	2	5	61329377	0.9658000001270324
chr18	28175484	28175521	P51608	MECP2	2	5	28175502	0.9918899999171495
chr10	126956485	126956522	P51608	MECP2	2	5	126956503	0.9665999997876584
chr20	4064684	4064721	P51608	MECP2	2	5	4064702	0.9871939998090268
chr1	47710645	47710696	P51608	MECP2	3	5	47710670	0.9880999999985098
chr20	4592742	4592751	P51608	MECP2	2	5	4592746	0.9557000000372528
chr1	47416659	47416673	P51608	MECP2	2	5	47416666	0.9878000001072884
chr2	24076369	24076388	P51608	MECP2	3	5	24076378	0.9593060001902284
chr2	20954134	20954171	P51608	MECP2	2	5	20954152	0.9914999999314548
