Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr15	40953174	40953275	Q12830	BPTF.hg38	2	8	40953224
chr16	46386419	46386443	Q12830	BPTF.hg38	2	8	46386431
chr11	34274843	34274888	Q12830	BPTF.hg38	2	8	34274865
chr10	41875431	41875468	Q12830	BPTF.hg38	2	8	41875449
chr1	143244988	143245021	Q12830	BPTF.hg38	2	8	143245004
chr17	72501405	72501446	Q12830	BPTF.hg38	2	7	72501425
chr16	87853681	87853722	Q12830	BPTF.hg38	2	7	87853701
chr16	87779203	87779244	Q12830	BPTF.hg38	2	7	87779223
chr12	130916310	130916351	Q12830	BPTF.hg38	2	7	130916330
chr16	34573096	34573133	Q12830	BPTF.hg38	2	7	34573114
chr16	46380795	46380876	Q12830	BPTF.hg38	2	7	46380835
chr5	145681826	145681903	Q12830	BPTF.hg38	2	7	145681864
chr7	158595245	158595290	Q12830	BPTF.hg38	2	7	158595267
chr1	123195715	123195752	Q12830	BPTF.hg38	2	6	123195733
chr5	49658685	49658717	Q12830	BPTF.hg38	2	6	49658701
chr10	99430774	99430894	Q12830	BPTF.hg38	2	6	99430834
chr8	143669578	143669599	Q12830	BPTF.hg38	2	6	143669588
chr16	46384823	46384867	Q12830	BPTF.hg38	2	6	46384845
chr11	46243371	46243412	Q12830	BPTF.hg38	2	6	46243391
chr1	207316748	207316789	Q12830	BPTF.hg38	2	6	207316768
chr3	93470643	93470676	Q12830	BPTF.hg38	2	6	93470659
chr1	634011	634043	Q12830	BPTF.hg38	2	6	634027
chr16	46383328	46383357	Q12830	BPTF.hg38	2	6	46383342
chr12	100230013	100230054	Q12830	BPTF.hg38	2	6	100230033
chr6	45445991	45446032	Q12830	BPTF.hg38	2	6	45446011
chr10	38579015	38579040	Q12830	BPTF.hg38	2	5	38579027
chr7	77538862	77538903	Q12830	BPTF.hg38	2	5	77538882
chr8	123662211	123662252	Q12830	BPTF.hg38	2	5	123662231
chr1	204507139	204507171	Q12830	BPTF.hg38	2	5	204507155
chr5	49658368	49658409	Q12830	BPTF.hg38	2	5	49658388
chr1	125181600	125181636	Q12830	BPTF.hg38	2	5	125181618
chr7	5397285	5397326	Q12830	BPTF.hg38	2	5	5397305
chr10	40829697	40829738	Q12830	BPTF.hg38	2	5	40829717
chr16	46394786	46394846	Q12830	BPTF.hg38	2	5	46394816
chr16	34592815	34592839	Q12830	BPTF.hg38	2	5	34592827
chr16	46401471	46401499	Q12830	BPTF.hg38	2	5	46401485
chr16	46400871	46400896	Q12830	BPTF.hg38	2	5	46400883
chr16	46399135	46399176	Q12830	BPTF.hg38	2	5	46399155
chr3	169998868	169998909	Q12830	BPTF.hg38	2	5	169998888
chr17	35717223	35717264	Q12830	BPTF.hg38	1	4	35717243
chr7	115840833	115840874	Q12830	BPTF.hg38	1	4	115840853
chr4	49120982	49121023	Q12830	BPTF.hg38	2	4	49121002
chr1	214216846	214216887	Q12830	BPTF.hg38	1	4	214216866
chr7	16990105	16990177	Q12830	BPTF.hg38	2	4	16990141
chr6	53465891	53465932	Q12830	BPTF.hg38	1	4	53465911
chr14	30450837	30450878	Q12830	BPTF.hg38	1	4	30450857
chr3	184011427	184011468	Q12830	BPTF.hg38	1	4	184011447
chr4	6633335	6633376	Q12830	BPTF.hg38	1	4	6633355
chr1	205319596	205319661	Q12830	BPTF.hg38	2	4	205319628
chr14	31229831	31229872	Q12830	BPTF.hg38	1	4	31229851
chr5	102476054	102476095	Q12830	BPTF.hg38	1	4	102476074
chr3	186785802	186785898	Q12830	BPTF.hg38	2	4	186785850
chr3	191391466	191391514	Q12830	BPTF.hg38	2	4	191391490
chr7	30551367	30551408	Q12830	BPTF.hg38	1	4	30551387
chr3	120160169	120160206	Q12830	BPTF.hg38	2	4	120160187
chr1	212608702	212608818	Q12830	BPTF.hg38	2	4	212608760
chr7	99408846	99408887	Q12830	BPTF.hg38	1	4	99408866
chr8	123405727	123405768	Q12830	BPTF.hg38	1	4	123405747
chr3	194494278	194494394	Q12830	BPTF.hg38	2	4	194494336
chr5	82641461	82641497	Q12830	BPTF.hg38	2	4	82641479
chr1	201154559	201154600	Q12830	BPTF.hg38	2	4	201154579
chr3	150268861	150268902	Q12830	BPTF.hg38	1	4	150268881
chr3	178443331	178443424	Q12830	BPTF.hg38	2	4	178443377
chr8	66173091	66173200	Q12830	BPTF.hg38	2	4	66173145
chr4	138242373	138242466	Q12830	BPTF.hg38	2	4	138242419
chr7	12942658	12942699	Q12830	BPTF.hg38	2	4	12942678
chr17	31072377	31072414	Q12830	BPTF.hg38	2	4	31072395
chr5	126676323	126676364	Q12830	BPTF.hg38	1	4	126676343
chr5	53560556	53560597	Q12830	BPTF.hg38	2	4	53560576
chr7	31165018	31165059	Q12830	BPTF.hg38	1	4	31165038
chr17	40910723	40910764	Q12830	BPTF.hg38	1	4	40910743
chr3	169754817	169754866	Q12830	BPTF.hg38	2	4	169754841
chr9	107282997	107283038	Q12830	BPTF.hg38	1	4	107283017
chr7	157152645	157152686	Q12830	BPTF.hg38	1	4	157152665
chr2	11483232	11483273	Q12830	BPTF.hg38	1	4	11483252
chr12	25386296	25386389	Q12830	BPTF.hg38	2	4	25386342
chr7	149229011	149229052	Q12830	BPTF.hg38	1	4	149229031
chr5	149486026	149486067	Q12830	BPTF.hg38	1	4	149486046
chr16	34588536	34588568	Q12830	BPTF.hg38	2	4	34588552
chr16	85720419	85720460	Q12830	BPTF.hg38	1	4	85720439
chr8	101438599	101438640	Q12830	BPTF.hg38	1	4	101438619
chr3	138912535	138912576	Q12830	BPTF.hg38	1	4	138912555
chr1	226702907	226702948	Q12830	BPTF.hg38	1	4	226702927
chr10	35495638	35495679	Q12830	BPTF.hg38	1	4	35495658
chr11	114179467	114179508	Q12830	BPTF.hg38	1	4	114179487
chr11	62508516	62508557	Q12830	BPTF.hg38	1	4	62508536
chr12	131860891	131860963	Q12830	BPTF.hg38	2	4	131860927
chr10	91020852	91020908	Q12830	BPTF.hg38	2	4	91020880
chr2	89836507	89836548	Q12830	BPTF.hg38	2	4	89836527
chr17	79993597	79993638	Q12830	BPTF.hg38	1	4	79993617
chr3	184797114	184797166	Q12830	BPTF.hg38	2	4	184797140
chr20	51222093	51222194	Q12830	BPTF.hg38	2	4	51222143
chr7	54967632	54967673	Q12830	BPTF.hg38	1	4	54967652
chr3	175893757	175893877	Q12830	BPTF.hg38	2	4	175893817
chr10	93435256	93435312	Q12830	BPTF.hg38	2	4	93435284
chr10	41860286	41860323	Q12830	BPTF.hg38	2	4	41860304
chr1	212486492	212486533	Q12830	BPTF.hg38	1	4	212486512
chr2	76256916	76256957	Q12830	BPTF.hg38	1	4	76256936
chr10	84633120	84633161	Q12830	BPTF.hg38	1	4	84633140
chr3	170125159	170125215	Q12830	BPTF.hg38	2	4	170125187
chr19	4801033	4801074	Q12830	BPTF.hg38	1	4	4801053
chr4	1693249	1693290	Q12830	BPTF.hg38	1	4	1693269
chr19	7652346	7652387	Q12830	BPTF.hg38	1	4	7652366
chr16	85472070	85472111	Q12830	BPTF.hg38	1	4	85472090
chr20	44728962	44729003	Q12830	BPTF.hg38	1	4	44728982
chr3	185823137	185823226	Q12830	BPTF.hg38	2	4	185823181
chr1	8259272	8259313	Q12830	BPTF.hg38	1	4	8259292
chr15	55196975	55197008	Q12830	BPTF.hg38	2	4	55196991
chr5	49601528	49601621	Q12830	BPTF.hg38	2	4	49601574
chr16	34584721	34584762	Q12830	BPTF.hg38	2	4	34584741
chr3	175245829	175245893	Q12830	BPTF.hg38	2	4	175245861
chr14	21946929	21946970	Q12830	BPTF.hg38	1	3	21946949
chr3	161171035	161171076	Q12830	BPTF.hg38	1	3	161171055
chr4	79273582	79273623	Q12830	BPTF.hg38	1	3	79273602
chr8	115861486	115861579	Q12830	BPTF.hg38	1	3	115861532
chr3	169790658	169790751	Q12830	BPTF.hg38	2	3	169790704
