Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr22	39174918	39174971	P84022	SMAD3.hg38	25	70	39174944
chr11	9566207	9566266	P84022	SMAD3.hg38	20	68	9566236
chr20	54123740	54123831	P84022	SMAD3.hg38	20	65	54123785
chr20	31604290	31604352	P84022	SMAD3.hg38	24	60	31604321
chr12	120231474	120231551	P84022	SMAD3.hg38	20	58	120231512
chr7	101100254	101100313	P84022	SMAD3.hg38	18	57	101100283
chr12	92594027	92594108	P84022	SMAD3.hg38	14	56	92594067
chr19	2540907	2540968	P84022	SMAD3.hg38	21	56	2540937
chr11	129143497	129143526	P84022	SMAD3.hg38	16	54	129143511
chr5	10551448	10551523	P84022	SMAD3.hg38	18	54	10551485
chr18	48942730	48942784	P84022	SMAD3.hg38	14	54	48942757
chr17	48972501	48972550	P84022	SMAD3.hg38	17	53	48972525
chr19	38300807	38300880	P84022	SMAD3.hg38	15	53	38300843
chr5	95712591	95712646	P84022	SMAD3.hg38	15	53	95712618
chr17	59756444	59756528	P84022	SMAD3.hg38	14	53	59756486
chr10	77949369	77949414	P84022	SMAD3.hg38	20	52	77949391
chr5	76806175	76806268	P84022	SMAD3.hg38	15	52	76806221
chr9	70120949	70121015	P84022	SMAD3.hg38	15	52	70120982
chr5	137470770	137470857	P84022	SMAD3.hg38	14	52	137470813
chr1	205284881	205284926	P84022	SMAD3.hg38	19	52	205284903
chr16	2835933	2836026	P84022	SMAD3.hg38	14	52	2835979
chr15	66702227	66702260	P84022	SMAD3.hg38	20	51	66702243
chr20	57748706	57748781	P84022	SMAD3.hg38	14	51	57748743
chr10	32413655	32413720	P84022	SMAD3.hg38	14	51	32413687
chr16	81711763	81711812	P84022	SMAD3.hg38	18	51	81711787
chr14	74619818	74619895	P84022	SMAD3.hg38	13	51	74619856
chr5	169696110	169696201	P84022	SMAD3.hg38	14	51	169696155
chr3	71511267	71511326	P84022	SMAD3.hg38	17	50	71511296
chr3	194089710	194089775	P84022	SMAD3.hg38	17	50	194089742
chr6	14271121	14271211	P84022	SMAD3.hg38	15	50	14271166
chr18	9743715	9743782	P84022	SMAD3.hg38	16	50	9743748
chr20	57772748	57772773	P84022	SMAD3.hg38	17	50	57772760
chr19	2579108	2579187	P84022	SMAD3.hg38	20	50	2579147
chr5	124596927	124597005	P84022	SMAD3.hg38	15	49	124596966
chr14	85437359	85437394	P84022	SMAD3.hg38	15	49	85437376
chr20	1416142	1416193	P84022	SMAD3.hg38	15	49	1416167
chr17	2955234	2955298	P84022	SMAD3.hg38	13	49	2955266
chr20	50166209	50166256	P84022	SMAD3.hg38	18	49	50166232
chr18	48902147	48902189	P84022	SMAD3.hg38	14	49	48902168
chr14	76961905	76961946	P84022	SMAD3.hg38	21	49	76961925
chr1	153566664	153566719	P84022	SMAD3.hg38	17	49	153566691
chr3	5023467	5023525	P84022	SMAD3.hg38	16	49	5023496
chr20	31836266	31836352	P84022	SMAD3.hg38	13	49	31836309
chr4	165580476	165580535	P84022	SMAD3.hg38	14	49	165580505
chr2	20579434	20579485	P84022	SMAD3.hg38	18	49	20579459
chr17	44587511	44587550	P84022	SMAD3.hg38	15	48	44587530
chr2	10936339	10936398	P84022	SMAD3.hg38	16	48	10936368
chr1	22747583	22747616	P84022	SMAD3.hg38	15	48	22747599
chr3	177360029	177360069	P84022	SMAD3.hg38	19	48	177360049
chr10	13866298	13866379	P84022	SMAD3.hg38	15	48	13866338
chr6	4358760	4358823	P84022	SMAD3.hg38	16	48	4358791
chr11	9364414	9364481	P84022	SMAD3.hg38	17	48	9364447
chr21	15222192	15222267	P84022	SMAD3.hg38	20	48	15222229
chr1	32236245	32236313	P84022	SMAD3.hg38	15	48	32236279
chr2	111705949	111705998	P84022	SMAD3.hg38	18	48	111705973
chr14	61553934	61553984	P84022	SMAD3.hg38	15	48	61553959
chr1	214447108	214447159	P84022	SMAD3.hg38	19	48	214447133
chr1	8197886	8197961	P84022	SMAD3.hg38	16	47	8197923
chr12	51371661	51371709	P84022	SMAD3.hg38	17	47	51371685
