Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr12	49201286	49201353	Q9NPC7	MYNN.hg38	3	12	49201319
chr1	52925588	52925679	Q9NPC7	MYNN.hg38	3	12	52925633
chr12	42129830	42129887	Q9NPC7	MYNN.hg38	3	12	42129858
chr1	52033845	52033886	Q9NPC7	MYNN.hg38	3	12	52033865
chr5	149741295	149741318	Q9NPC7	MYNN.hg38	3	12	149741306
chr14	74261389	74261428	Q9NPC7	MYNN.hg38	3	12	74261408
chr4	165327268	165327350	Q9NPC7	MYNN.hg38	3	12	165327309
chr4	168831988	168832023	Q9NPC7	MYNN.hg38	3	12	168832005
chr3	197222977	197223008	Q9NPC7	MYNN.hg38	3	12	197222992
chr20	3768457	3768506	Q9NPC7	MYNN.hg38	3	12	3768481
chr19	5718804	5718835	Q9NPC7	MYNN.hg38	3	12	5718819
chr14	80941769	80941886	Q9NPC7	MYNN.hg38	3	12	80941827
chr1	30880151	30880196	Q9NPC7	MYNN.hg38	3	12	30880173
chr2	200765672	200765715	Q9NPC7	MYNN.hg38	3	12	200765693
chr10	71840284	71840315	Q9NPC7	MYNN.hg38	3	12	71840299
chr20	1325249	1325300	Q9NPC7	MYNN.hg38	3	12	1325274
chr22	45864388	45864445	Q9NPC7	MYNN.hg38	3	12	45864416
chr5	121961759	121961820	Q9NPC7	MYNN.hg38	3	12	121961789
chr3	28342575	28342644	Q9NPC7	MYNN.hg38	3	12	28342609
chr14	54329265	54329304	Q9NPC7	MYNN.hg38	3	12	54329284
chr6	31068956	31069021	Q9NPC7	MYNN.hg38	3	12	31068988
chr3	31532128	31532223	Q9NPC7	MYNN.hg38	3	12	31532175
chr5	55993843	55993888	Q9NPC7	MYNN.hg38	3	12	55993865
chr22	30196788	30196893	Q9NPC7	MYNN.hg38	3	12	30196840
chr1	24322464	24322515	Q9NPC7	MYNN.hg38	3	12	24322489
chr10	97862042	97862085	Q9NPC7	MYNN.hg38	3	12	97862063
chr17	60077469	60077500	Q9NPC7	MYNN.hg38	3	12	60077484
chr7	936674	936731	Q9NPC7	MYNN.hg38	3	12	936702
chr3	4426874	4426907	Q9NPC7	MYNN.hg38	3	12	4426890
chr14	100439504	100439535	Q9NPC7	MYNN.hg38	3	12	100439519
chr6	42674421	42674472	Q9NPC7	MYNN.hg38	3	12	42674446
chr2	121489502	121489531	Q9NPC7	MYNN.hg38	3	12	121489516
chr3	12716662	12716721	Q9NPC7	MYNN.hg38	3	12	12716691
chr9	76716514	76716549	Q9NPC7	MYNN.hg38	3	11	76716531
chr2	46950396	46950475	Q9NPC7	MYNN.hg38	3	11	46950435
chr11	63905337	63905378	Q9NPC7	MYNN.hg38	3	11	63905357
chr6	137094675	137094766	Q9NPC7	MYNN.hg38	3	11	137094720
