seqnames	start	end	width	strand	Median
chr1	1	1000000	1000000	*	NA
chr1	1000001	2000000	1000000	*	NA
chr1	2000001	3000000	1000000	*	NA
chr1	3000001	4000000	1000000	*	0.313628420535197
chr1	4000001	5000000	1000000	*	0.297556737383962
chr1	5000001	6000000	1000000	*	0.221917397701182
chr1	6000001	7000000	1000000	*	0.055995289508073
chr1	7000001	8000000	1000000	*	0.159107623610169
chr1	8000001	9000000	1000000	*	-0.078662463990947
chr1	9000001	10000000	1000000	*	0.0310013583448786
chr1	10000001	11000000	1000000	*	-0.00971408098616066
chr1	11000001	12000000	1000000	*	0.143841183242914
chr1	12000001	13000000	1000000	*	NA
chr1	13000001	14000000	1000000	*	NA
chr1	14000001	15000000	1000000	*	0.207974762333842
chr1	15000001	16000000	1000000	*	0.0661903138948388
chr1	16000001	17000000	1000000	*	NA
chr1	17000001	18000000	1000000	*	0.192852487595782
chr1	18000001	19000000	1000000	*	0.317335707924588
chr1	19000001	20000000	1000000	*	0.0477984129656975
chr1	20000001	21000000	1000000	*	0.0671210975359549
chr1	21000001	22000000	1000000	*	0.0345031104395873
chr1	22000001	23000000	1000000	*	0.270328804754048
chr1	23000001	24000000	1000000	*	-0.0638731336729241
chr1	24000001	25000000	1000000	*	0.00409280098398756
chr1	25000001	26000000	1000000	*	0.0249870853663102
chr1	26000001	27000000	1000000	*	-0.0114473093185511
chr1	27000001	28000000	1000000	*	-0.0510111935859673
chr1	28000001	29000000	1000000	*	-0.214973280305195
chr1	29000001	30000000	1000000	*	NA
chr1	30000001	31000000	1000000	*	0.142807469705674
chr1	31000001	32000000	1000000	*	0.0240779697936216
chr1	32000001	33000000	1000000	*	-0.0569416022813323
chr1	33000001	34000000	1000000	*	0.183814013875669
chr1	34000001	35000000	1000000	*	0.22002678676295
chr1	35000001	36000000	1000000	*	-0.122628779226003
chr1	36000001	37000000	1000000	*	0.135508211519231
chr1	37000001	38000000	1000000	*	0.157647689382076
chr1	38000001	39000000	1000000	*	0.156040331040157
chr1	39000001	40000000	1000000	*	-0.0446259378910765
chr1	40000001	41000000	1000000	*	-0.088289737747824
chr1	41000001	42000000	1000000	*	0.175968881807508
chr1	42000001	43000000	1000000	*	0.0175491006587193
chr1	43000001	44000000	1000000	*	0.116489247203395
chr1	44000001	45000000	1000000	*	-0.00870466356497388
chr1	45000001	46000000	1000000	*	-0.0767657784476205
chr1	46000001	47000000	1000000	*	0.109289513010164
chr1	47000001	48000000	1000000	*	0.184073616217163
chr1	48000001	49000000	1000000	*	0.188396029065247
chr1	49000001	50000000	1000000	*	0.0767652793435638
chr1	50000001	51000000	1000000	*	0.0252985635555367
chr1	51000001	52000000	1000000	*	-0.0832309825467309
chr1	52000001	53000000	1000000	*	-0.100059434014591
chr1	53000001	54000000	1000000	*	0.11301346138941
chr1	54000001	55000000	1000000	*	0.211548338328438
chr1	55000001	56000000	1000000	*	0.126786657719573
chr1	56000001	57000000	1000000	*	0.111715688856521
chr1	57000001	58000000	1000000	*	0.127322660549501
chr1	58000001	59000000	1000000	*	0.130195017027424
chr1	59000001	60000000	1000000	*	0.123076187582048
chr1	60000001	61000000	1000000	*	0.0854846420825108
chr1	61000001	62000000	1000000	*	-0.0503024194999478
chr1	62000001	63000000	1000000	*	-0.0384265339415812
chr1	63000001	64000000	1000000	*	-0.0070564302266455
chr1	64000001	65000000	1000000	*	0.0375309434173053
chr1	65000001	66000000	1000000	*	-0.0155841330661404
chr1	66000001	67000000	1000000	*	0.0198768051568403
