Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr20	43721359	43721428	Q8NBF1	GLIS1	2	12	43721393	0.9603000001363456
chr5	141692263	141692331	Q8NBF1	GLIS1	3	11	141692297	0.9919999998927116
chr16	1145360	1145452	Q8NBF1	GLIS1	2	11	1145406	0.967462000207603
chr6	82072244	82072361	Q8NBF1	GLIS1	3	11	82072302	0.9587999999038876
chr8	27837589	27837656	Q8NBF1	GLIS1	3	10	27837622	0.9527000001206994
chr17	18006666	18006762	Q8NBF1	GLIS1	2	10	18006714	0.955700000068918
chr15	65097062	65097134	Q8NBF1	GLIS1	2	10	65097098	0.9854999999642372
chr9	116365222	116365251	Q8NBF1	GLIS1	2	10	116365236	1.0
chr8	41713125	41713162	Q8NBF1	GLIS1	2	10	41713143	0.9896000000461936
chr22	23237265	23237361	Q8NBF1	GLIS1	2	10	23237313	0.9718999999187888
chr16	49019289	49019349	Q8NBF1	GLIS1	2	10	49019319	1.0
chr1	42936511	42936567	Q8NBF1	GLIS1	2	10	42936539	0.9917000001527368
chr10	119393052	119393108	Q8NBF1	GLIS1	2	10	119393080	0.9689999998293816
chr10	117688622	117688675	Q8NBF1	GLIS1	2	10	117688648	0.9844000000417232
chr15	64687344	64687389	Q8NBF1	GLIS1	2	10	64687366	0.9647999998942016
chr3	197007454	197007518	Q8NBF1	GLIS1	2	10	197007486	0.9805999999910592
chr3	134308588	134308637	Q8NBF1	GLIS1	3	10	134308612	0.982000000077486
chr2	45117534	45117579	Q8NBF1	GLIS1	2	10	45117556	0.9632220002166928
chr6	109482868	109482981	Q8NBF1	GLIS1	2	10	109482924	0.9590999998256564
chr2	218330396	218330496	Q8NBF1	GLIS1	2	10	218330446	0.9634679997682573
chr11	44878139	44878253	Q8NBF1	GLIS1	2	10	44878196	0.9987999999523164
chr22	24432402	24432522	Q8NBF1	GLIS1	2	10	24432462	1.0
chr6	33280076	33280152	Q8NBF1	GLIS1	2	10	33280114	0.9606000000208617
chr20	4166578	4166599	Q8NBF1	GLIS1	2	10	4166588	0.9623000001944602
chr17	82928503	82928595	Q8NBF1	GLIS1	2	10	82928549	0.973399999973178
chr1	2909815	2909882	Q8NBF1	GLIS1	2	10	2909848	1.0
chr12	122984079	122984160	Q8NBF1	GLIS1	2	10	122984119	1.0
chr8	141726856	141726941	Q8NBF1	GLIS1	3	10	141726898	1.0
chr10	110496153	110496218	Q8NBF1	GLIS1	3	10	110496185	0.976599999908358
chr1	25998363	25998416	Q8NBF1	GLIS1	3	10	25998389	0.971600000077486
chr12	124444050	124444170	Q8NBF1	GLIS1	2	10	124444110	0.9762999999195338
chr14	93873208	93873248	Q8NBF1	GLIS1	2	10	93873228	0.9730999998047948
chr7	131897254	131897287	Q8NBF1	GLIS1	2	10	131897270	0.9984999999582768
chr7	131895766	131895834	Q8NBF1	GLIS1	2	10	131895800	0.996249999922514
chr9	108473689	108473770	Q8NBF1	GLIS1	2	10	108473729	0.9993000000596046
chr22	45537771	45537851	Q8NBF1	GLIS1	2	10	45537811	0.9623000001650304
chr13	30095092	30095159	Q8NBF1	GLIS1	2	10	30095125	0.9533999998502434
chr12	51951231	51951315	Q8NBF1	GLIS1	2	10	51951273	0.9745999999824912
chr17	76921441	76921550	Q8NBF1	GLIS1	2	10	76921495	0.999600000077486
chr6	39059783	39059807	Q8NBF1	GLIS1	2	10	39059795	0.9864999998807908
chr5	127934933	127934974	Q8NBF1	GLIS1	3	10	127934953	0.9678000001050532
chr1	85544815	85544871	Q8NBF1	GLIS1	2	10	85544843	0.9699500000122936
chr1	227953662	227953767	Q8NBF1	GLIS1	2	10	227953714	0.9841000001236796
