Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	41027480	41027505	Q9BYU1	PBX4	1	5	41027492	0.9880999999016524
chr3	115239873	115239898	Q9BYU1	PBX4	1	5	115239885	0.984399999850616
chr11	59787050	59787075	Q9BYU1	PBX4	1	5	59787062	0.9602999997291712
chr7	134435285	134435310	Q9BYU1	PBX4	1	5	134435297	0.9672999998375772
chr1	215140279	215140304	Q9BYU1	PBX4	1	5	215140291	0.9767999998807908
chr7	19405059	19405084	Q9BYU1	PBX4	1	5	19405071	0.9850999999076128
chr1	172461171	172461196	Q9BYU1	PBX4	1	5	172461183	0.986700000154972
chr8	88237884	88237909	Q9BYU1	PBX4	1	5	88237896	0.9718999997861684
chr3	42256242	42256267	Q9BYU1	PBX4	1	5	42256254	0.9629740001779048
chr8	79726176	79726201	Q9BYU1	PBX4	1	5	79726188	0.9871999997798352
chr4	158874032	158874057	Q9BYU1	PBX4	1	5	158874044	0.994600000011921
chr17	65132155	65132180	Q9BYU1	PBX4	1	5	65132167	0.950300000217557
chr3	16069252	16069277	Q9BYU1	PBX4	1	5	16069264	0.9907060000419616
chr8	79105759	79105784	Q9BYU1	PBX4	1	5	79105771	0.9904999995291232
chr10	8628419	8628444	Q9BYU1	PBX4	1	5	8628431	0.9546000000804664
chr2	147232387	147232412	Q9BYU1	PBX4	1	5	147232399	0.9872000000707806
chr7	151695251	151695276	Q9BYU1	PBX4	1	5	151695263	0.996700000154972
chr12	114918945	114918970	Q9BYU1	PBX4	1	5	114918957	0.998359999999404
chr3	21942497	21942522	Q9BYU1	PBX4	1	5	21942509	0.9807899998862296
chr3	106428714	106428739	Q9BYU1	PBX4	1	5	106428726	0.9531000001005828
chr15	39404905	39404930	Q9BYU1	PBX4	1	5	39404917	0.9980000000953674
chr3	24048029	24048054	Q9BYU1	PBX4	1	5	24048041	0.9578500000402332
chr1	151988545	151988570	Q9BYU1	PBX4	1	5	151988557	0.9810000000402332
chr4	145813064	145813089	Q9BYU1	PBX4	1	5	145813076	0.9771000002302228
chr8	81026517	81026542	Q9BYU1	PBX4	1	5	81026529	0.9766000001341104
chr7	7179009	7179034	Q9BYU1	PBX4	1	5	7179021	1.0
chr8	100512442	100512467	Q9BYU1	PBX4	1	4	100512454	0.977499999799952
chr8	100602734	100602759	Q9BYU1	PBX4	1	4	100602746	0.9721000001229346
