Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr20	63056787	63056864	O95365	ZBTB7A.hg38	11	41	63056825
chr17	4704167	4704204	O95365	ZBTB7A.hg38	12	41	4704185
chr1	52056384	52056483	O95365	ZBTB7A.hg38	11	40	52056433
chr13	27172130	27172211	O95365	ZBTB7A.hg38	12	39	27172170
chr1	54406629	54406695	O95365	ZBTB7A.hg38	12	39	54406662
chr19	506937	506991	O95365	ZBTB7A.hg38	11	39	506964
chr2	219543867	219543901	O95365	ZBTB7A.hg38	12	39	219543884
chr18	50287748	50287817	O95365	ZBTB7A.hg38	12	39	50287782
chr19	45248896	45248917	O95365	ZBTB7A.hg38	11	38	45248906
chr20	50292784	50292849	O95365	ZBTB7A.hg38	11	38	50292816
chr2	10302574	10302639	O95365	ZBTB7A.hg38	11	38	10302606
chr19	4145816	4145871	O95365	ZBTB7A.hg38	10	37	4145843
chr12	54214957	54214992	O95365	ZBTB7A.hg38	12	37	54214974
chr20	32358010	32358078	O95365	ZBTB7A.hg38	11	37	32358044
chr6	26595993	26596068	O95365	ZBTB7A.hg38	11	37	26596030
chr5	171494879	171494932	O95365	ZBTB7A.hg38	11	37	171494905
chr14	99688005	99688032	O95365	ZBTB7A.hg38	11	37	99688018
chr12	54304540	54304616	O95365	ZBTB7A.hg38	11	37	54304578
chr7	101138421	101138466	O95365	ZBTB7A.hg38	12	37	101138443
chr10	43418245	43418309	O95365	ZBTB7A.hg38	10	37	43418277
chr7	149624894	149624977	O95365	ZBTB7A.hg38	12	37	149624935
chr6	117602276	117602333	O95365	ZBTB7A.hg38	11	37	117602304
chr12	1662189	1662232	O95365	ZBTB7A.hg38	12	36	1662210
chr7	92133774	92133821	O95365	ZBTB7A.hg38	12	36	92133797
chr1	205750431	205750489	O95365	ZBTB7A.hg38	12	36	205750460
chr2	24164585	24164639	O95365	ZBTB7A.hg38	11	36	24164612
chr8	66925653	66925691	O95365	ZBTB7A.hg38	11	36	66925672
chr15	40323439	40323477	O95365	ZBTB7A.hg38	11	36	40323458
chr2	30191986	30192069	O95365	ZBTB7A.hg38	9	36	30192027
chr1	32872741	32872769	O95365	ZBTB7A.hg38	11	36	32872755
chr17	79839815	79839872	O95365	ZBTB7A.hg38	12	35	79839843
chr3	53196128	53196151	O95365	ZBTB7A.hg38	11	35	53196139
chr2	30147967	30147999	O95365	ZBTB7A.hg38	11	35	30147983
chr14	54902958	54903003	O95365	ZBTB7A.hg38	11	35	54902980
chr7	47979715	47979768	O95365	ZBTB7A.hg38	11	35	47979741
chr19	35114793	35114812	O95365	ZBTB7A.hg38	12	35	35114802
chr2	216372348	216372376	O95365	ZBTB7A.hg38	12	35	216372362
chr19	56393209	56393226	O95365	ZBTB7A.hg38	10	35	56393217
chr12	71938883	71938906	O95365	ZBTB7A.hg38	11	35	71938894
chr11	12201315	12201350	O95365	ZBTB7A.hg38	9	34	12201332
chr15	75843134	75843175	O95365	ZBTB7A.hg38	11	34	75843154
chr5	181167998	181168031	O95365	ZBTB7A.hg38	10	34	181168014
chr2	219176745	219176793	O95365	ZBTB7A.hg38	11	34	219176769
chr19	18279511	18279538	O95365	ZBTB7A.hg38	11	34	18279524
chr1	44775405	44775433	O95365	ZBTB7A.hg38	12	34	44775419
chr19	7925286	7925324	O95365	ZBTB7A.hg38	11	34	7925305
chr17	7252248	7252290	O95365	ZBTB7A.hg38	12	34	7252269
chr3	58008212	58008258	O95365	ZBTB7A.hg38	11	34	58008235
chr11	69801769	69801804	O95365	ZBTB7A.hg38	11	34	69801786
chr17	38735230	38735257	O95365	ZBTB7A.hg38	11	34	38735243
chr6	116681177	116681204	O95365	ZBTB7A.hg38	12	34	116681190
chr19	4804075	4804132	O95365	ZBTB7A.hg38	11	34	4804103
chr5	126776802	126776819	O95365	ZBTB7A.hg38	11	34	126776810
chr19	44784578	44784603	O95365	ZBTB7A.hg38	11	34	44784590
chr10	132453351	132453370	O95365	ZBTB7A.hg38	11	34	132453360
chr22	23894227	23894275	O95365	ZBTB7A.hg38	11	34	23894251
chr19	17386076	17386115	O95365	ZBTB7A.hg38	11	33	17386095
chr20	25407578	25407610	O95365	ZBTB7A.hg38	11	33	25407594
chr8	143989861	143989890	O95365	ZBTB7A.hg38	11	33	143989875
chr19	44500773	44500852	O95365	ZBTB7A.hg38	11	33	44500812
chr5	179820617	179820696	O95365	ZBTB7A.hg38	10	33	179820656
chr1	38818286	38818339	O95365	ZBTB7A.hg38	10	33	38818312
chr19	42220335	42220368	O95365	ZBTB7A.hg38	12	33	42220351
chr17	38606527	38606554	O95365	ZBTB7A.hg38	11	33	38606540
chr4	1410629	1410650	O95365	ZBTB7A.hg38	10	33	1410639
chr1	39576960	39576989	O95365	ZBTB7A.hg38	11	33	39576974
chr1	156385716	156385741	O95365	ZBTB7A.hg38	11	33	156385728
chr11	111602184	111602219	O95365	ZBTB7A.hg38	11	33	111602201
chr3	75659069	75659099	O95365	ZBTB7A.hg38	11	33	75659084
chr16	87950890	87950932	O95365	ZBTB7A.hg38	11	33	87950911
chr15	40519880	40519911	O95365	ZBTB7A.hg38	11	33	40519895
chr1	84298408	84298447	O95365	ZBTB7A.hg38	11	33	84298427
chr3	108589556	108589577	O95365	ZBTB7A.hg38	11	33	108589566
chr14	81220757	81220782	O95365	ZBTB7A.hg38	12	33	81220769
chr4	182806456	182806473	O95365	ZBTB7A.hg38	11	33	182806464
chr16	30814342	30814417	O95365	ZBTB7A.hg38	11	33	30814379
chr1	108876991	108877075	O95365	ZBTB7A.hg38	12	33	108877033
chr5	40802127	40802164	O95365	ZBTB7A.hg38	10	32	40802145
chr12	1517286	1517321	O95365	ZBTB7A.hg38	11	32	1517303
chr17	81977918	81977981	O95365	ZBTB7A.hg38	12	32	81977949
chr5	181184390	181184417	O95365	ZBTB7A.hg38	11	32	181184403
chr16	30921791	30921812	O95365	ZBTB7A.hg38	11	32	30921801
chr11	66976084	66976137	O95365	ZBTB7A.hg38	11	32	66976110
chr6	16031423	16031450	O95365	ZBTB7A.hg38	9	32	16031436
chr19	38729882	38729905	O95365	ZBTB7A.hg38	12	32	38729893
chr11	72223397	72223428	O95365	ZBTB7A.hg38	12	32	72223412
chr11	58579639	58579692	O95365	ZBTB7A.hg38	11	32	58579665
chr16	30400273	30400332	O95365	ZBTB7A.hg38	11	32	30400302
chr14	77053427	77053462	O95365	ZBTB7A.hg38	11	32	77053444
chr6	83859661	83859720	O95365	ZBTB7A.hg38	11	32	83859690
chr11	66479074	66479093	O95365	ZBTB7A.hg38	11	32	66479083
chr19	48810946	48810994	O95365	ZBTB7A.hg38	10	32	48810970
chr19	13163225	13163260	O95365	ZBTB7A.hg38	11	32	13163242
chr10	119489892	119489931	O95365	ZBTB7A.hg38	12	32	119489911
chr3	157130733	157130767	O95365	ZBTB7A.hg38	11	32	157130750
chr19	48963914	48963972	O95365	ZBTB7A.hg38	11	32	48963943
chr16	87384058	87384141	O95365	ZBTB7A.hg38	12	32	87384099
chr19	3307514	3307535	O95365	ZBTB7A.hg38	11	32	3307524
chr19	1205385	1205446	O95365	ZBTB7A.hg38	12	32	1205415
chr7	43838996	43839023	O95365	ZBTB7A.hg38	11	32	43839009
chr10	122142941	122142960	O95365	ZBTB7A.hg38	11	32	122142950
chr3	136135161	136135218	O95365	ZBTB7A.hg38	9	32	136135189
chr20	36384144	36384167	O95365	ZBTB7A.hg38	11	32	36384155
chr5	177491589	177491620	O95365	ZBTB7A.hg38	11	32	177491604
chr10	71708429	71708464	O95365	ZBTB7A.hg38	12	32	71708446
chr15	78811669	78811714	O95365	ZBTB7A.hg38	10	32	78811691
chr12	116910902	116910923	O95365	ZBTB7A.hg38	12	32	116910912
chr15	78131565	78131598	O95365	ZBTB7A.hg38	11	32	78131581
chr11	65315649	65315714	O95365	ZBTB7A.hg38	11	32	65315681
chr12	101855585	101855612	O95365	ZBTB7A.hg38	10	32	101855598
chr6	25992704	25992761	O95365	ZBTB7A.hg38	11	32	25992732
chr6	44238023	44238070	O95365	ZBTB7A.hg38	12	32	44238046
chr1	154974123	154974158	O95365	ZBTB7A.hg38	12	32	154974140
chr1	41361228	41361269	O95365	ZBTB7A.hg38	11	32	41361248
chr19	4723839	4723924	O95365	ZBTB7A.hg38	11	31	4723881
chr1	161440462	161440511	O95365	ZBTB7A.hg38	11	31	161440486
chr19	1653190	1653225	O95365	ZBTB7A.hg38	11	31	1653207
chr9	99104868	99104914	O95365	ZBTB7A.hg38	11	31	99104891
chr11	15650273	15650298	O95365	ZBTB7A.hg38	10	31	15650285
chr3	128498048	128498090	O95365	ZBTB7A.hg38	10	31	128498069
chr18	3448366	3448389	O95365	ZBTB7A.hg38	11	31	3448377
chr6	87322448	87322491	O95365	ZBTB7A.hg38	11	31	87322469
chr1	46203360	46203443	O95365	ZBTB7A.hg38	10	31	46203401
chr3	115784117	115784178	O95365	ZBTB7A.hg38	10	31	115784147
chr20	33792346	33792373	O95365	ZBTB7A.hg38	11	31	33792359
chr7	150323252	150323277	O95365	ZBTB7A.hg38	12	31	150323264
chr2	144331811	144331896	O95365	ZBTB7A.hg38	11	31	144331853
chr17	10227081	10227104	O95365	ZBTB7A.hg38	11	31	10227092
chr17	65100689	65100728	O95365	ZBTB7A.hg38	11	31	65100708
chr8	127898846	127898903	O95365	ZBTB7A.hg38	9	31	127898874
chr19	17309926	17309982	O95365	ZBTB7A.hg38	12	31	17309954
chr2	97663712	97663787	O95365	ZBTB7A.hg38	11	31	97663749
chr22	37677164	37677241	O95365	ZBTB7A.hg38	11	31	37677202
chr19	18058613	18058671	O95365	ZBTB7A.hg38	12	31	18058642
chr10	133637332	133637354	O95365	ZBTB7A.hg38	11	31	133637343
chr20	36774372	36774397	O95365	ZBTB7A.hg38	11	31	36774384
chr20	64102158	64102203	O95365	ZBTB7A.hg38	12	31	64102180
chr19	2962302	2962323	O95365	ZBTB7A.hg38	11	31	2962312
chr20	63382028	63382049	O95365	ZBTB7A.hg38	12	31	63382038
chr1	18303041	18303064	O95365	ZBTB7A.hg38	11	31	18303052
chr4	2441826	2441873	O95365	ZBTB7A.hg38	11	31	2441849
chr2	176080016	176080043	O95365	ZBTB7A.hg38	11	31	176080029
chr6	15299766	15299811	O95365	ZBTB7A.hg38	10	31	15299788
chr17	35555853	35555872	O95365	ZBTB7A.hg38	10	31	35555862
chr4	146243580	146243607	O95365	ZBTB7A.hg38	11	31	146243593
chr22	31399380	31399429	O95365	ZBTB7A.hg38	11	31	31399404
chr5	139765592	139765663	O95365	ZBTB7A.hg38	12	31	139765627
chr17	42320075	42320110	O95365	ZBTB7A.hg38	9	31	42320092
chr8	30382381	30382404	O95365	ZBTB7A.hg38	11	31	30382392
chr12	120201031	120201078	O95365	ZBTB7A.hg38	11	31	120201054
chr2	9631030	9631096	O95365	ZBTB7A.hg38	11	31	9631063
chr9	136245420	136245451	O95365	ZBTB7A.hg38	11	31	136245435
chr1	88684953	88685010	O95365	ZBTB7A.hg38	11	31	88684981
chr6	156777541	156777579	O95365	ZBTB7A.hg38	11	31	156777560
chr12	2846055	2846092	O95365	ZBTB7A.hg38	11	31	2846073
chr19	10858412	10858431	O95365	ZBTB7A.hg38	11	31	10858421
chr16	1413786	1413811	O95365	ZBTB7A.hg38	11	31	1413798
chr17	45132062	45132102	O95365	ZBTB7A.hg38	12	31	45132082
chr6	41073752	41073776	O95365	ZBTB7A.hg38	11	31	41073764
chr7	101411441	101411464	O95365	ZBTB7A.hg38	11	31	101411452
chr15	67521809	67521878	O95365	ZBTB7A.hg38	11	31	67521843
chr1	11859452	11859471	O95365	ZBTB7A.hg38	11	31	11859461
chr19	2163685	2163706	O95365	ZBTB7A.hg38	11	31	2163695
