Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr3	53270240	53270273	Q16236	NFE2L2.hg38	11	36	53270256
chr22	35372056	35372105	Q16236	NFE2L2.hg38	9	34	35372080
chr19	48963926	48963962	Q16236	NFE2L2.hg38	11	33	48963944
chr22	35377094	35377135	Q16236	NFE2L2.hg38	10	33	35377114
chr5	140711180	140711235	Q16236	NFE2L2.hg38	9	31	140711207
chr11	61972030	61972063	Q16236	NFE2L2.hg38	10	31	61972046
chr11	9364374	9364447	Q16236	NFE2L2.hg38	8	30	9364410
chr4	8303763	8303804	Q16236	NFE2L2.hg38	9	30	8303783
chr9	134407443	134407471	Q16236	NFE2L2.hg38	10	30	134407457
chr7	101100271	101100318	Q16236	NFE2L2.hg38	9	30	101100294
chr3	53236337	53236360	Q16236	NFE2L2.hg38	9	29	53236348
chr17	80254937	80254964	Q16236	NFE2L2.hg38	10	29	80254950
chr1	93909449	93909497	Q16236	NFE2L2.hg38	9	29	93909473
chr1	31170977	31170998	Q16236	NFE2L2.hg38	9	28	31170987
chr5	91314445	91314477	Q16236	NFE2L2.hg38	9	28	91314461
chr17	19753152	19753181	Q16236	NFE2L2.hg38	9	28	19753166
chr6	87723455	87723489	Q16236	NFE2L2.hg38	9	28	87723472
chr12	104286926	104286953	Q16236	NFE2L2.hg38	9	28	104286939
chr3	9977127	9977184	Q16236	NFE2L2.hg38	8	28	9977155
chr1	45521999	45522021	Q16236	NFE2L2.hg38	10	28	45522010
chr4	83548640	83548663	Q16236	NFE2L2.hg38	8	27	83548651
chr2	29130455	29130488	Q16236	NFE2L2.hg38	9	27	29130471
chr10	71860596	71860639	Q16236	NFE2L2.hg38	9	27	71860617
chr2	240387766	240387824	Q16236	NFE2L2.hg38	8	27	240387795
chr15	72237544	72237605	Q16236	NFE2L2.hg38	9	27	72237574
chr16	14310694	14310729	Q16236	NFE2L2.hg38	6	26	14310711
chr9	110256947	110256970	Q16236	NFE2L2.hg38	11	26	110256958
chr14	76956751	76956796	Q16236	NFE2L2.hg38	9	26	76956773
chr19	10502778	10502817	Q16236	NFE2L2.hg38	9	26	10502797
chr7	92809872	92809901	Q16236	NFE2L2.hg38	10	26	92809886
