Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	1116196	1116287	Q8N196	SIX5	8	40	1116241	0.961499999960512
chr12	6852475	6852555	Q8N196	SIX5	8	40	6852515	0.9923000002920628
chr16	87950997	87951068	Q8N196	SIX5	8	37	87951032	0.9647999998755752
chr10	102502856	102502943	Q8N196	SIX5	8	37	102502899	0.9604999997805804
chr18	50287859	50287916	Q8N196	SIX5	8	36	50287887	0.9691000000212342
chr1	25998157	25998216	Q8N196	SIX5	8	36	25998186	0.9726000000357627
chr2	63588848	63588912	Q8N196	SIX5	8	35	63588880	0.9908999999597669
chr19	51571067	51571119	Q8N196	SIX5	8	35	51571093	0.9887999998793006
chr19	44113287	44113352	Q8N196	SIX5	8	35	44113319	0.9575899997606874
chr2	74529814	74529891	Q8N196	SIX5	8	34	74529852	0.999415999996662
chr1	153958705	153958758	Q8N196	SIX5	8	34	153958731	0.9786000000059604
chr16	15056181	15056239	Q8N196	SIX5	8	34	15056210	0.9729999997094274
chr5	173616725	173616780	Q8N196	SIX5	8	34	173616752	0.9631000000223516
chr11	2400599	2400687	Q8N196	SIX5	8	34	2400643	0.9974999999582768
chr19	35748324	35748387	Q8N196	SIX5	8	34	35748355	0.9594240000352264
chr8	109334151	109334192	Q8N196	SIX5	8	33	109334171	0.9759000001385808
chr1	156054718	156054767	Q8N196	SIX5	8	33	156054742	0.954199999691546
chr15	64093978	64094041	Q8N196	SIX5	8	33	64094009	0.9800000000283122
chr8	73972461	73972510	Q8N196	SIX5	8	33	73972485	0.9667899999603627
chr19	44002863	44002912	Q8N196	SIX5	8	32	44002887	0.950800000036508
chr8	81842797	81842846	Q8N196	SIX5	8	32	81842821	0.982500000141561
chr19	44164988	44165055	Q8N196	SIX5	8	32	44165021	0.9532559997335076
chr3	50359657	50359694	Q8N196	SIX5	8	32	50359675	0.9771000000771136
chr19	5680694	5680755	Q8N196	SIX5	8	32	5680724	0.9582199998475612
chr10	110225844	110225893	Q8N196	SIX5	8	32	110225868	0.9840999999135732
chr2	27370485	27370546	Q8N196	SIX5	8	32	27370515	0.9695859999176116
chr19	50511268	50511308	Q8N196	SIX5	8	32	50511288	0.9635379998937248
chr3	61250106	61250178	Q8N196	SIX5	8	32	61250142	0.9763999999672176
chr7	93232279	93232328	Q8N196	SIX5	8	32	93232303	0.9835999999895692
chr11	46113159	46113185	Q8N196	SIX5	8	32	46113172	0.9655999999329448
chr20	20712907	20712976	Q8N196	SIX5	7	32	20712941	0.9715300000190736
chr7	120950586	120950645	Q8N196	SIX5	8	32	120950615	0.977400000025332
chr19	51108436	51108495	Q8N196	SIX5	8	32	51108465	0.9563000001829116
chr12	752372	752421	Q8N196	SIX5	8	32	752396	0.9790719998788088
chr2	216412364	216412433	Q8N196	SIX5	8	31	216412398	0.9557000000365078
chr1	54053485	54053550	Q8N196	SIX5	8	31	54053517	0.9710999999582768
