Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr2	21056497	21056612	P10588	NR2F6	3	14	21056554	0.984900000052154
chr3	31288915	31288950	P10588	NR2F6	3	14	31288932	0.999799999898672
chr16	85291692	85291745	P10588	NR2F6	3	14	85291718	0.9686999994724989
chr10	77849231	77849330	P10588	NR2F6	3	13	77849280	0.9593000000149012
chr9	137023361	137023430	P10588	NR2F6	3	13	137023395	0.9849999999709428
chr2	128309497	128309568	P10588	NR2F6	3	13	128309532	0.999399999976158
chr5	151126309	151126382	P10588	NR2F6	3	13	151126345	0.9789000000447036
chr8	128167666	128167709	P10588	NR2F6	3	13	128167687	1.0
chr2	137964128	137964227	P10588	NR2F6	3	13	137964177	0.9801999997630716
chr17	1467929	1467994	P10588	NR2F6	3	13	1467961	0.9522099996555596
chr11	65418830	65418907	P10588	NR2F6	3	13	65418868	0.9850999997545034
chr11	1825191	1825276	P10588	NR2F6	3	12	1825233	0.9942000000953676
chr6	36682415	36682450	P10588	NR2F6	3	12	36682432	0.9749000000670552
chr8	143734088	143734121	P10588	NR2F6	3	12	143734104	0.996199999895692
chr7	98211897	98211975	P10588	NR2F6	3	12	98211936	0.9571000000979752
chr1	30892822	30892895	P10588	NR2F6	3	12	30892858	0.9872000001519918
chr2	15766522	15766558	P10588	NR2F6	3	12	15766540	0.9931000000245868
chr7	135144075	135144116	P10588	NR2F6	3	12	135144095	0.988343999928236
chr10	5528559	5528598	P10588	NR2F6	3	12	5528578	0.9858999999389052
chr8	127820156	127820212	P10588	NR2F6	3	12	127820184	0.9541820000372828
chr11	67406157	67406200	P10588	NR2F6	3	12	67406178	0.982100000280142
chr17	56910374	56910441	P10588	NR2F6	3	12	56910407	0.9743999998927116
chr5	95857464	95857495	P10588	NR2F6	3	12	95857479	0.9669420000415296
chr16	83814369	83814404	P10588	NR2F6	3	12	83814386	0.973599999909103
chr2	9703847	9703917	P10588	NR2F6	3	12	9703882	0.9533999999310822
chr3	53499440	53499471	P10588	NR2F6	3	12	53499455	0.9978000000715256
chr17	81101781	81101865	P10588	NR2F6	3	12	81101823	1.0
chr22	39246961	39247024	P10588	NR2F6	3	12	39246992	0.9899000000625848
chr4	128518086	128518151	P10588	NR2F6	3	12	128518118	0.9859940000087024
