Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr9	77158932	77158971	Q92786	PROX1.hg38	6	15	77158951
chr4	7956495	7956570	Q92786	PROX1.hg38	6	14	7956532
chr12	6171699	6171767	Q92786	PROX1.hg38	5	14	6171733
chr1	33433785	33433856	Q92786	PROX1.hg38	5	14	33433820
chr5	151924721	151924765	Q92786	PROX1.hg38	4	13	151924743
chr19	49987294	49987344	Q92786	PROX1.hg38	4	13	49987319
chr20	10219620	10219671	Q92786	PROX1.hg38	6	13	10219645
chr3	48661852	48661900	Q92786	PROX1.hg38	4	13	48661876
chr7	155070127	155070163	Q92786	PROX1.hg38	4	13	155070145
chr11	66421760	66421851	Q92786	PROX1.hg38	4	13	66421805
chr14	35535335	35535406	Q92786	PROX1.hg38	5	13	35535370
chr2	86440960	86441036	Q92786	PROX1.hg38	6	13	86440998
chr8	101159025	101159069	Q92786	PROX1.hg38	5	12	101159047
chr1	37764451	37764502	Q92786	PROX1.hg38	4	12	37764476
chr5	56123936	56124015	Q92786	PROX1.hg38	4	12	56123975
chr10	122912062	122912097	Q92786	PROX1.hg38	4	12	122912079
chr3	12405913	12405998	Q92786	PROX1.hg38	6	12	12405955
chr1	58848994	58849075	Q92786	PROX1.hg38	6	12	58849034
chr12	11500758	11500815	Q92786	PROX1.hg38	5	12	11500786
chr9	755877	755930	Q92786	PROX1.hg38	4	12	755903
chr8	29637626	29637707	Q92786	PROX1.hg38	6	12	29637666
chr3	38805962	38806018	Q92786	PROX1.hg38	4	12	38805990
chr1	145892140	145892181	Q92786	PROX1.hg38	4	12	145892160
chr1	159177465	159177508	Q92786	PROX1.hg38	5	12	159177486
chr1	203674222	203674263	Q92786	PROX1.hg38	5	12	203674242
chr20	49775441	49775532	Q92786	PROX1.hg38	4	12	49775486
chr8	144336707	144336741	Q92786	PROX1.hg38	5	12	144336724
chr19	2950023	2950136	Q92786	PROX1.hg38	5	12	2950079
chr15	65832833	65832866	Q92786	PROX1.hg38	4	12	65832849
chr7	31115135	31115170	Q92786	PROX1.hg38	4	11	31115152
chr6	32255381	32255410	Q92786	PROX1.hg38	4	11	32255395
chr9	76456383	76456464	Q92786	PROX1.hg38	4	11	76456423
chr4	1410588	1410633	Q92786	PROX1.hg38	4	11	1410610
chr6	46876231	46876292	Q92786	PROX1.hg38	5	11	46876261
chr10	14782817	14782908	Q92786	PROX1.hg38	4	11	14782862
chr6	169899328	169899408	Q92786	PROX1.hg38	4	11	169899368
chr11	6635677	6635781	Q92786	PROX1.hg38	4	11	6635729
chr1	26408696	26408749	Q92786	PROX1.hg38	4	11	26408722
chr14	61356129	61356157	Q92786	PROX1.hg38	4	11	61356143
chr10	102599979	102600048	Q92786	PROX1.hg38	5	11	102600013
chr17	77110148	77110241	Q92786	PROX1.hg38	5	11	77110194
chr2	162840779	162840848	Q92786	PROX1.hg38	4	11	162840813
chr1	32934154	32934203	Q92786	PROX1.hg38	4	11	32934178
chr19	7562984	7563043	Q92786	PROX1.hg38	4	11	7563013
chr18	37270199	37270269	Q92786	PROX1.hg38	3	11	37270234
chr1	64898227	64898308	Q92786	PROX1.hg38	4	11	64898267
chr3	9704411	9704451	Q92786	PROX1.hg38	5	11	9704431
chr17	64707263	64707352	Q92786	PROX1.hg38	4	11	64707307
chr8	133217965	133218020	Q92786	PROX1.hg38	5	11	133217992
chr9	124110465	124110527	Q92786	PROX1.hg38	4	11	124110496
chr20	36384180	36384228	Q92786	PROX1.hg38	4	11	36384204
chr8	122575982	122576061	Q92786	PROX1.hg38	5	11	122576021
chr22	50600247	50600337	Q92786	PROX1.hg38	5	11	50600292
chr17	48244390	48244471	Q92786	PROX1.hg38	6	11	48244430
