Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr19	10565178	10565258	Q9BWW7	SCRT1.hg38	2	9	10565218
chr19	3648572	3648597	Q9BWW7	SCRT1.hg38	2	9	3648584
chr3	159763115	159763156	Q9BWW7	SCRT1.hg38	2	8	159763135
chr12	109880993	109881022	Q9BWW7	SCRT1.hg38	2	8	109881007
chr12	132466551	132466618	Q9BWW7	SCRT1.hg38	2	8	132466584
chr19	3517113	3517141	Q9BWW7	SCRT1.hg38	2	8	3517127
chr4	26319735	26319808	Q9BWW7	SCRT1.hg38	2	8	26319771
chr1	61391920	61391944	Q9BWW7	SCRT1.hg38	2	8	61391932
chr19	2049964	2050012	Q9BWW7	SCRT1.hg38	2	8	2049988
chr16	21541138	21541203	Q9BWW7	SCRT1.hg38	2	8	21541170
chr15	40115907	40115972	Q9BWW7	SCRT1.hg38	2	8	40115939
chr19	50357854	50357887	Q9BWW7	SCRT1.hg38	2	8	50357870
chr19	3877081	3877141	Q9BWW7	SCRT1.hg38	2	8	3877111
chr1	20101117	20101149	Q9BWW7	SCRT1.hg38	2	8	20101133
chr1	20496436	20496460	Q9BWW7	SCRT1.hg38	2	8	20496448
chr16	86893707	86893744	Q9BWW7	SCRT1.hg38	2	8	86893725
chr6	15811292	15811325	Q9BWW7	SCRT1.hg38	2	8	15811308
chr12	111561025	111561077	Q9BWW7	SCRT1.hg38	2	8	111561051
chr7	140507185	140507217	Q9BWW7	SCRT1.hg38	2	8	140507201
chr16	25258347	25258407	Q9BWW7	SCRT1.hg38	2	8	25258377
chr20	63794855	63794887	Q9BWW7	SCRT1.hg38	2	8	63794871
chr1	10679782	10679818	Q9BWW7	SCRT1.hg38	2	8	10679800
chr16	2008243	2008319	Q9BWW7	SCRT1.hg38	2	8	2008281
chr22	38418898	38418934	Q9BWW7	SCRT1.hg38	2	8	38418916
chr13	78603769	78603822	Q9BWW7	SCRT1.hg38	2	8	78603795
chr19	14185873	14185905	Q9BWW7	SCRT1.hg38	2	8	14185889
chr11	74726680	74726708	Q9BWW7	SCRT1.hg38	2	8	74726694
chr1	100546021	100546085	Q9BWW7	SCRT1.hg38	2	8	100546053
chr22	35583145	35583222	Q9BWW7	SCRT1.hg38	2	8	35583183
chr3	195814237	195814294	Q9BWW7	SCRT1.hg38	2	8	195814265
chr19	35114876	35114901	Q9BWW7	SCRT1.hg38	2	8	35114888
chr17	67049519	67049563	Q9BWW7	SCRT1.hg38	2	8	67049541
chr1	22132060	22132089	Q9BWW7	SCRT1.hg38	2	8	22132074
chr19	5621792	5621859	Q9BWW7	SCRT1.hg38	2	8	5621825
chr12	121184588	121184680	Q9BWW7	SCRT1.hg38	2	8	121184634
chr22	43129213	43129254	Q9BWW7	SCRT1.hg38	2	8	43129233
chr17	6069030	6069074	Q9BWW7	SCRT1.hg38	2	8	6069052
chr17	42116826	42116911	Q9BWW7	SCRT1.hg38	2	8	42116868
