Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr3	72904335	72904396	Q9NPC8	SIX2.hg38	5	23	72904365
chr7	136290486	136290529	Q9NPC8	SIX2.hg38	5	23	136290507
chr17	72774462	72774533	Q9NPC8	SIX2.hg38	5	23	72774497
chr9	120952391	120952480	Q9NPC8	SIX2.hg38	5	22	120952435
chr6	150589977	150590004	Q9NPC8	SIX2.hg38	5	22	150589990
chr1	59029597	59029680	Q9NPC8	SIX2.hg38	5	22	59029638
chr13	101649920	101649994	Q9NPC8	SIX2.hg38	5	22	101649957
chr6	21954172	21954259	Q9NPC8	SIX2.hg38	5	22	21954215
chr16	10745885	10745960	Q9NPC8	SIX2.hg38	5	21	10745922
chr17	48490760	48490821	Q9NPC8	SIX2.hg38	5	21	48490790
chr2	100239616	100239698	Q9NPC8	SIX2.hg38	5	21	100239657
chr13	98698129	98698164	Q9NPC8	SIX2.hg38	5	21	98698146
chr15	95608594	95608679	Q9NPC8	SIX2.hg38	5	21	95608636
chr2	34379716	34379745	Q9NPC8	SIX2.hg38	5	21	34379730
chr16	15591078	15591132	Q9NPC8	SIX2.hg38	5	21	15591105
chr5	93677477	93677544	Q9NPC8	SIX2.hg38	5	21	93677510
chr12	75937200	75937233	Q9NPC8	SIX2.hg38	5	21	75937216
chr20	6070997	6071068	Q9NPC8	SIX2.hg38	5	21	6071032
chr1	8439297	8439384	Q9NPC8	SIX2.hg38	5	21	8439340
chr18	59629194	59629245	Q9NPC8	SIX2.hg38	5	21	59629219
chr3	69252840	69252916	Q9NPC8	SIX2.hg38	5	21	69252878
chr12	3795695	3795746	Q9NPC8	SIX2.hg38	5	21	3795720
chr18	7681430	7681513	Q9NPC8	SIX2.hg38	5	21	7681471
chr12	44384307	44384364	Q9NPC8	SIX2.hg38	5	21	44384335
chr15	33126894	33126939	Q9NPC8	SIX2.hg38	5	21	33126916
chr18	53241095	53241158	Q9NPC8	SIX2.hg38	5	21	53241126
chr11	116036259	116036304	Q9NPC8	SIX2.hg38	5	21	116036281
chr1	212088620	212088689	Q9NPC8	SIX2.hg38	5	21	212088654
chr12	31526226	31526317	Q9NPC8	SIX2.hg38	5	21	31526271
chr2	101193074	101193161	Q9NPC8	SIX2.hg38	5	20	101193117
chr8	73490277	73490334	Q9NPC8	SIX2.hg38	5	20	73490305
chr1	110121195	110121269	Q9NPC8	SIX2.hg38	5	20	110121232
chr1	222104833	222104905	Q9NPC8	SIX2.hg38	5	20	222104869
chr3	157669586	157669658	Q9NPC8	SIX2.hg38	5	20	157669622
chr10	78116571	78116636	Q9NPC8	SIX2.hg38	5	20	78116603
chr4	87227865	87227924	Q9NPC8	SIX2.hg38	5	20	87227894
chr12	69105260	69105307	Q9NPC8	SIX2.hg38	5	20	69105283
chr10	34836236	34836279	Q9NPC8	SIX2.hg38	5	20	34836257
chr2	75554134	75554207	Q9NPC8	SIX2.hg38	5	20	75554170
chr12	51371743	51371826	Q9NPC8	SIX2.hg38	5	20	51371784
chr14	54343766	54343799	Q9NPC8	SIX2.hg38	5	20	54343782
chr14	59159329	59159400	Q9NPC8	SIX2.hg38	5	20	59159364
chr15	67101324	67101393	Q9NPC8	SIX2.hg38	5	20	67101358
chr18	76525385	76525438	Q9NPC8	SIX2.hg38	5	20	76525411
chr10	7520851	7520905	Q9NPC8	SIX2.hg38	5	20	7520878
chr2	158823673	158823759	Q9NPC8	SIX2.hg38	5	20	158823716
chr12	107242342	107242400	Q9NPC8	SIX2.hg38	5	20	107242371
chr17	58593305	58593369	Q9NPC8	SIX2.hg38	5	20	58593337
chr3	123508382	123508401	Q9NPC8	SIX2.hg38	5	20	123508391
chr7	110418893	110418954	Q9NPC8	SIX2.hg38	5	20	110418923
chr2	233813902	233813949	Q9NPC8	SIX2.hg38	5	20	233813925
chr12	12689632	12689720	Q9NPC8	SIX2.hg38	5	20	12689676
chr6	156430582	156430669	Q9NPC8	SIX2.hg38	5	20	156430625
chr11	37182186	37182230	Q9NPC8	SIX2.hg38	5	20	37182208
chr6	135743725	135743790	Q9NPC8	SIX2.hg38	5	20	135743757
chr3	23603150	23603222	Q9NPC8	SIX2.hg38	5	20	23603186
chr19	29260046	29260105	Q9NPC8	SIX2.hg38	5	20	29260075
chr10	43868213	43868267	Q9NPC8	SIX2.hg38	5	20	43868240
chr11	34001673	34001783	Q9NPC8	SIX2.hg38	5	20	34001728
chr4	57443930	57443965	Q9NPC8	SIX2.hg38	5	20	57443947
chr7	51827882	51827961	Q9NPC8	SIX2.hg38	5	20	51827921
chr9	899663	899753	Q9NPC8	SIX2.hg38	5	20	899708
chr12	123242439	123242481	Q9NPC8	SIX2.hg38	5	20	123242460
chr10	124403660	124403683	Q9NPC8	SIX2.hg38	5	19	124403671
chr11	12746736	12746771	Q9NPC8	SIX2.hg38	5	19	12746753
chr1	176058917	176058950	Q9NPC8	SIX2.hg38	5	19	176058933
chr1	10675067	10675088	Q9NPC8	SIX2.hg38	5	19	10675077
chr3	76825048	76825145	Q9NPC8	SIX2.hg38	4	19	76825096
chr11	12980476	12980497	Q9NPC8	SIX2.hg38	5	19	12980486
chr16	28012053	28012116	Q9NPC8	SIX2.hg38	5	19	28012084
chr3	159417028	159417085	Q9NPC8	SIX2.hg38	5	19	159417056
chr11	27949173	27949226	Q9NPC8	SIX2.hg38	4	19	27949199
chr6	241536	241559	Q9NPC8	SIX2.hg38	5	19	241547
chr14	76473680	76473768	Q9NPC8	SIX2.hg38	5	19	76473724
chr12	10718442	10718485	Q9NPC8	SIX2.hg38	5	19	10718463
chr2	103138759	103138850	Q9NPC8	SIX2.hg38	4	19	103138804
chr22	19518823	19518853	Q9NPC8	SIX2.hg38	4	19	19518838
chr7	25778139	25778204	Q9NPC8	SIX2.hg38	5	19	25778171
chr13	104632802	104632835	Q9NPC8	SIX2.hg38	5	19	104632818
chr7	132786012	132786049	Q9NPC8	SIX2.hg38	5	19	132786030
chr22	19218098	19218127	Q9NPC8	SIX2.hg38	5	19	19218112
chr12	83676942	83677035	Q9NPC8	SIX2.hg38	5	19	83676988
chr19	39678103	39678136	Q9NPC8	SIX2.hg38	5	19	39678119
chr8	15849955	15850014	Q9NPC8	SIX2.hg38	5	19	15849984
chr16	70779161	70779192	Q9NPC8	SIX2.hg38	5	19	70779176
chr4	63719242	63719285	Q9NPC8	SIX2.hg38	5	19	63719263
chr18	74412287	74412333	Q9NPC8	SIX2.hg38	5	19	74412310
chr2	174761268	174761297	Q9NPC8	SIX2.hg38	5	19	174761282
chr6	114995706	114995769	Q9NPC8	SIX2.hg38	5	19	114995737
