Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr6	1334870	1334955	O75593	FOXH1.hg38	2	11	1334912
chr13	93216282	93216298	O75593	FOXH1.hg38	2	11	93216290
chr2	189217714	189217753	O75593	FOXH1.hg38	2	10	189217733
chr2	227616714	227616761	O75593	FOXH1.hg38	2	10	227616737
chr5	56638323	56638338	O75593	FOXH1.hg38	2	10	56638330
chr3	177360002	177360029	O75593	FOXH1.hg38	2	10	177360015
chr8	25989732	25989776	O75593	FOXH1.hg38	2	10	25989754
chr20	24368044	24368060	O75593	FOXH1.hg38	2	10	24368052
chr7	13017491	13017514	O75593	FOXH1.hg38	2	10	13017502
chr14	69562102	69562159	O75593	FOXH1.hg38	2	10	69562130
chr21	37593098	37593133	O75593	FOXH1.hg38	2	10	37593115
chr1	58065677	58065705	O75593	FOXH1.hg38	2	10	58065691
chr21	42957220	42957319	O75593	FOXH1.hg38	2	10	42957269
chr13	55000154	55000174	O75593	FOXH1.hg38	2	10	55000164
chr12	115508047	115508148	O75593	FOXH1.hg38	2	10	115508097
chr4	156020236	156020260	O75593	FOXH1.hg38	2	10	156020248
chr1	93667847	93667859	O75593	FOXH1.hg38	2	10	93667853
chr6	6820673	6820712	O75593	FOXH1.hg38	2	10	6820692
chr1	119331980	119332051	O75593	FOXH1.hg38	2	9	119332015
chr10	34506942	34507039	O75593	FOXH1.hg38	2	9	34506990
chr8	9963087	9963154	O75593	FOXH1.hg38	2	9	9963120
chr3	40292834	40292915	O75593	FOXH1.hg38	2	9	40292874
chr7	35026277	35026348	O75593	FOXH1.hg38	2	9	35026312
chr1	18933044	18933125	O75593	FOXH1.hg38	2	9	18933084
chr13	82747602	82747633	O75593	FOXH1.hg38	2	9	82747617
chr3	115790927	115790946	O75593	FOXH1.hg38	2	9	115790936
chr6	15461136	15461175	O75593	FOXH1.hg38	2	9	15461155
chr1	232367519	232367586	O75593	FOXH1.hg38	2	9	232367552
chr20	10352443	10352544	O75593	FOXH1.hg38	2	9	10352493
chr6	14831963	14831996	O75593	FOXH1.hg38	2	9	14831979
chr3	138880039	138880055	O75593	FOXH1.hg38	2	9	138880047
chr6	47789696	47789711	O75593	FOXH1.hg38	2	9	47789703
chr16	73033707	73033772	O75593	FOXH1.hg38	2	9	73033739
chr3	184558754	184558857	O75593	FOXH1.hg38	2	9	184558805
chr22	17247959	17248040	O75593	FOXH1.hg38	2	9	17247999
chr8	17749287	17749387	O75593	FOXH1.hg38	2	9	17749337
chr10	85667999	85668059	O75593	FOXH1.hg38	2	9	85668029
chr17	48219816	48219891	O75593	FOXH1.hg38	2	9	48219853
chr2	144346376	144346392	O75593	FOXH1.hg38	2	9	144346384
chr11	117679645	117679669	O75593	FOXH1.hg38	2	9	117679657
chr9	107460278	107460357	O75593	FOXH1.hg38	2	9	107460317
chr4	72032150	72032165	O75593	FOXH1.hg38	2	9	72032157
chr4	127046056	127046084	O75593	FOXH1.hg38	2	9	127046070
chr10	35659667	35659752	O75593	FOXH1.hg38	2	9	35659709
chr8	12942647	12942730	O75593	FOXH1.hg38	2	9	12942688
