Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	150448802	150448853	Q9ULX9	MAFF	2	11	150448827	0.9676000000614672
chr7	108246433	108246467	Q9ULX9	MAFF	2	10	108246450	0.9941000000476836
chr5	172596169	172596223	Q9ULX9	MAFF	2	10	172596196	0.9917999998569488
chr8	141026877	141026904	Q9ULX9	MAFF	2	10	141026890	0.9524999998446554
chr1	37811199	37811250	Q9ULX9	MAFF	2	10	37811224	0.983500000052154
chr3	136075403	136075450	Q9ULX9	MAFF	2	9	136075426	0.9541999999329448
chr1	61451406	61451429	Q9ULX9	MAFF	2	9	61451417	1.0
chr12	116492992	116493081	Q9ULX9	MAFF	2	9	116493036	0.9527000002466142
chr1	234608224	234608305	Q9ULX9	MAFF	2	9	234608264	1.0
chr11	29131238	29131265	Q9ULX9	MAFF	2	9	29131251	0.9818000000223518
chr7	143448619	143448640	Q9ULX9	MAFF	2	9	143448629	0.9893999998122454
chr2	108026283	108026337	Q9ULX9	MAFF	2	9	108026310	0.9868000002264976
chr15	27820524	27820547	Q9ULX9	MAFF	2	9	27820535	0.9638999999772756
chr3	126540601	126540623	Q9ULX9	MAFF	2	9	126540612	0.9979999998509884
chr7	18450199	18450222	Q9ULX9	MAFF	2	9	18450210	0.9988999998807908
chr2	162582535	162582606	Q9ULX9	MAFF	2	9	162582570	1.0
chr10	98460919	98460965	Q9ULX9	MAFF	2	9	98460942	0.971500000101328
chr6	40313769	40313790	Q9ULX9	MAFF	2	9	40313779	0.9823000001758336
chr2	200367312	200367353	Q9ULX9	MAFF	2	9	200367332	0.9963999999046326
chr8	86183259	86183370	Q9ULX9	MAFF	2	9	86183314	0.9593000002034008
chr3	111764851	111764924	Q9ULX9	MAFF	2	9	111764887	0.984600000025332
chr1	182795650	182795676	Q9ULX9	MAFF	2	9	182795663	0.9684900000937284
chr1	243311995	243312022	Q9ULX9	MAFF	2	9	243312008	0.970699999981746
chr4	69095343	69095385	Q9ULX9	MAFF	2	9	69095364	0.9684999996826053
chr16	56789546	56789613	Q9ULX9	MAFF	2	9	56789579	0.9836999998763204
chr16	56540354	56540453	Q9ULX9	MAFF	2	9	56540403	0.9510999998509884
chr2	77712786	77712813	Q9ULX9	MAFF	2	9	77712799	0.9983000001192092
chr4	8303739	8303822	Q9ULX9	MAFF	2	9	8303780	0.9805419998154044
chr5	82116039	82116060	Q9ULX9	MAFF	2	9	82116049	0.9875000000171364
chr2	119934508	119934530	Q9ULX9	MAFF	2	8	119934519	0.9704999998278916
chr6	102832211	102832233	Q9ULX9	MAFF	2	8	102832222	0.992899999922514
chr10	73859995	73860022	Q9ULX9	MAFF	2	8	73860008	0.9545999999139458
chr2	131410363	131410382	Q9ULX9	MAFF	2	8	131410372	0.9675999999742956
chr10	62333322	62333349	Q9ULX9	MAFF	2	8	62333335	1.0
chr6	90922501	90922540	Q9ULX9	MAFF	2	8	90922520	1.0
chr14	83248108	83248131	Q9ULX9	MAFF	2	8	83248119	0.996400000101328
chr6	90597135	90597165	Q9ULX9	MAFF	2	8	90597150	0.9723999999489636
chr14	86423401	86423424	Q9ULX9	MAFF	2	8	86423412	0.9715999998234212
chr10	69845764	69845783	Q9ULX9	MAFF	2	8	69845773	0.9790999999858438
chr6	90450588	90450611	Q9ULX9	MAFF	2	8	90450599	0.9786000001937152
chr2	132752022	132752048	Q9ULX9	MAFF	2	8	132752035	0.9866000001698731
chr2	132772535	132772557	Q9ULX9	MAFF	2	8	132772546	0.9613999999996274
chr6	90140859	90140897	Q9ULX9	MAFF	2	8	90140878	0.9839999999836088
chr6	84851258	84851292	Q9ULX9	MAFF	2	8	84851275	0.97459999990426
chr6	89676398	89676428	Q9ULX9	MAFF	2	8	89676413	0.9768679998740554
chr6	83846456	83846487	Q9ULX9	MAFF	2	8	83846471	0.9932379999011756
chr14	86405401	86405427	Q9ULX9	MAFF	2	8	86405414	0.9534999998226762
chr6	88249110	88249145	Q9ULX9	MAFF	2	8	88249127	0.9762000000573696
chr2	137336252	137336279	Q9ULX9	MAFF	2	8	137336265	0.9560900002352892
chr10	62230922	62230957	Q9ULX9	MAFF	2	8	62230939	0.9770679999865592
chr6	84213406	84213429	Q9ULX9	MAFF	2	8	84213417	0.9597000000983475
chr10	71340215	71340241	Q9ULX9	MAFF	2	8	71340228	0.9932999998182058
chr6	87079129	87079152	Q9ULX9	MAFF	2	8	87079140	0.9744400000996888
chr2	135423087	135423129	Q9ULX9	MAFF	2	8	135423108	0.960475999879092
chr6	85035942	85035989	Q9ULX9	MAFF	2	8	85035965	0.9629999998018146
chr6	88696125	88696148	Q9ULX9	MAFF	2	8	88696136	0.973499999890849
chr14	85703117	85703136	Q9ULX9	MAFF	2	8	85703126	0.9958000000357627
chr2	123154376	123154402	Q9ULX9	MAFF	2	8	123154389	0.9978000000119208
chr10	68193547	68193574	Q9ULX9	MAFF	2	8	68193560	0.9802999996319414
chr6	97915745	97915772	Q9ULX9	MAFF	2	8	97915758	0.992900000064075
chr10	64450501	64450520	Q9ULX9	MAFF	2	8	64450510	0.974600000116974
chr10	64598762	64598828	Q9ULX9	MAFF	2	8	64598795	0.9949000000149012
chr10	63424766	63424788	Q9ULX9	MAFF	2	8	63424777	0.9613999997735024
chr2	126750694	126750717	Q9ULX9	MAFF	2	8	126750705	0.9998000001907348
chr2	126775491	126775510	Q9ULX9	MAFF	2	8	126775500	0.9790999999985098
chr6	99875268	99875291	Q9ULX9	MAFF	2	8	99875279	0.9958000000417232
chr6	95654358	95654389	Q9ULX9	MAFF	2	8	95654373	0.9600999997340144
chr2	126924670	126924692	Q9ULX9	MAFF	2	8	126924681	0.9651000000879169
