Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr14	50061242	50061262	P19838	NFKB1	4	16	50061252	0.9887999998807908
chr10	38579003	38579037	P19838	NFKB1	6	16	38579020	0.9790999995678664
chr6	105591215	105591296	P19838	NFKB1	5	15	105591255	0.9901000001311302
chr6	44735702	44735775	P19838	NFKB1	4	15	44735738	0.9849999999664724
chr1	165482336	165482397	P19838	NFKB1	4	15	165482366	0.9519999999128282
chr18	38940926	38940999	P19838	NFKB1	4	15	38940962	0.9768999999523162
chr6	142945233	142945268	P19838	NFKB1	4	15	142945250	0.9984000000178814
chr17	22521382	22521403	P19838	NFKB1	6	15	22521392	0.9703999995067716
chr1	220733227	220733288	P19838	NFKB1	4	14	220733257	0.9641499996997416
chr1	209607515	209607599	P19838	NFKB1	4	14	209607557	1.0
chr4	102501297	102501338	P19838	NFKB1	5	14	102501317	0.9830999999091028
chr1	58618477	58618489	P19838	NFKB1	4	14	58618483	0.9767000000178814
chr1	108746530	108746639	P19838	NFKB1	4	14	108746584	0.9838000000353904
chr5	57298402	57298419	P19838	NFKB1	4	14	57298410	0.9658000000122936
chr20	57006953	57007000	P19838	NFKB1	4	14	57006976	0.9537839999623596
chr21	34844751	34844768	P19838	NFKB1	4	14	34844759	0.9833000000104308
chr4	54228193	54228220	P19838	NFKB1	4	14	54228206	0.9672440000701696
chr4	184383634	184383669	P19838	NFKB1	4	14	184383651	0.9826999999355523
chr8	119067659	119067694	P19838	NFKB1	4	14	119067676	0.990240000064671
chr9	101775833	101775908	P19838	NFKB1	4	14	101775870	0.957900000023842
chr12	45727609	45727660	P19838	NFKB1	4	14	45727634	0.9999000000953674
chr4	53676532	53676581	P19838	NFKB1	4	14	53676556	0.9754999999433756
chr1	221794425	221794450	P19838	NFKB1	4	14	221794437	0.99907199999094
chr7	92797825	92797866	P19838	NFKB1	4	14	92797845	0.9996999999880792
chr9	69175261	69175336	P19838	NFKB1	4	14	69175298	0.978800000026077
chr12	126772567	126772596	P19838	NFKB1	4	14	126772581	0.968199999732524
chr17	2030067	2030112	P19838	NFKB1	4	14	2030089	0.966599999716878
chr5	119367732	119367775	P19838	NFKB1	4	14	119367753	0.9702020001634956
chr11	66222829	66222858	P19838	NFKB1	5	14	66222843	0.9606000000290572
chr6	53353794	53353849	P19838	NFKB1	4	14	53353821	0.9728999999266118
chr21	29196544	29196593	P19838	NFKB1	4	14	29196568	0.96340000016056
chr6	11855045	11855070	P19838	NFKB1	4	14	11855057	0.9990999999642372
chr10	110395911	110395944	P19838	NFKB1	4	14	110395927	0.9982000000834464
chr11	108200103	108200146	P19838	NFKB1	4	14	108200124	0.9963000000417233
chr9	86948586	86948609	P19838	NFKB1	4	14	86948597	0.9958839999198914
chr10	110392999	110393028	P19838	NFKB1	4	14	110393013	0.9963000001221896
chr20	33555121	33555170	P19838	NFKB1	4	14	33555145	0.9500999993011356
chr3	109082099	109082174	P19838	NFKB1	4	14	109082136	0.976300000053644
chr1	183180968	183181005	P19838	NFKB1	4	14	183180986	0.967199999781698
chr18	35498073	35498112	P19838	NFKB1	5	14	35498092	0.9755000000357628
chr14	103260709	103260730	P19838	NFKB1	4	14	103260719	0.9691699999652804
chr3	100521621	100521700	P19838	NFKB1	4	14	100521660	0.9816000000335277
chr12	75978113	75978162	P19838	NFKB1	4	14	75978137	0.9556000000037252
chr12	102879374	102879419	P19838	NFKB1	4	14	102879396	0.9893999998390676
chr19	16002151	16002190	P19838	NFKB1	4	14	16002170	0.9572020001646132
chr4	39044459	39044508	P19838	NFKB1	4	14	39044483	0.9673999998927116
chr13	79451663	79451680	P19838	NFKB1	4	14	79451671	0.999600000077486
chr1	200153496	200153581	P19838	NFKB1	4	14	200153538	0.96669999993667
chr20	62502096	62502135	P19838	NFKB1	4	14	62502115	0.96639999961406
chr1	167268031	167268086	P19838	NFKB1	4	14	167268058	0.9778999996095896
chr19	42121915	42121938	P19838	NFKB1	4	14	42121926	0.9733999998912216
chr13	20492840	20492873	P19838	NFKB1	4	14	20492856	0.97269999993816
chr4	176377890	176377967	P19838	NFKB1	4	14	176377928	0.9737000000856816
chr16	48908367	48908428	P19838	NFKB1	4	14	48908397	0.9930999998092652
chr4	26058692	26058765	P19838	NFKB1	4	14	26058728	0.9603999996453524
chr10	58281536	58281565	P19838	NFKB1	4	14	58281550	0.9643000000074504
chr9	74379860	74379909	P19838	NFKB1	4	14	74379884	0.9974999997496604
chr10	73909236	73909299	P19838	NFKB1	4	14	73909267	0.964699999795854
chr11	110092760	110092788	P19838	NFKB1	4	14	110092774	0.9925000000655652
chr1	118335549	118335576	P19838	NFKB1	4	14	118335562	1.0
chr16	28181174	28181231	P19838	NFKB1	4	14	28181202	0.9697000001609324
chr3	98563785	98563800	P19838	NFKB1	4	14	98563792	0.963799999859184
chr12	48489232	48489261	P19838	NFKB1	4	14	48489246	0.967900000205636
chr11	96156269	96156356	P19838	NFKB1	4	14	96156312	0.9667000001005828
chr1	39845736	39845777	P19838	NFKB1	4	14	39845756	0.9849999999836088
chr1	199226355	199226380	P19838	NFKB1	4	14	199226367	1.0
chr9	35657910	35657961	P19838	NFKB1	4	14	35657935	0.9630999998729676
chr7	5701290	5701373	P19838	NFKB1	4	14	5701331	0.9874000000357628
chr5	63401613	63401638	P19838	NFKB1	4	14	63401625	1.0
chr14	50344333	50344358	P19838	NFKB1	4	14	50344345	0.98570000012666
chr1	246450946	246450985	P19838	NFKB1	4	14	246450965	0.9806000002391636
chr1	66282506	66282526	P19838	NFKB1	4	14	66282516	0.9929880002051592
chr6	125919083	125919144	P19838	NFKB1	4	14	125919113	0.995199999848008
chr8	140790929	140790944	P19838	NFKB1	4	14	140790936	0.991600000012666
chr1	9687410	9687467	P19838	NFKB1	4	14	9687438	0.9502499999389052
chr15	63501463	63501518	P19838	NFKB1	4	14	63501490	0.9836000000238418
chr12	69570933	69570998	P19838	NFKB1	4	14	69570965	0.976599999960512
chr5	127616096	127616163	P19838	NFKB1	4	14	127616129	0.9730999998301268
chr5	144189939	144190016	P19838	NFKB1	4	14	144189977	0.985699999961257
chr5	59768768	59768780	P19838	NFKB1	4	14	59768774	0.9848000000089407
chr3	119700713	119700740	P19838	NFKB1	4	14	119700726	0.9535000000402332
chr15	63749475	63749506	P19838	NFKB1	4	14	63749490	0.986800000074506
chr3	193971607	193971636	P19838	NFKB1	4	14	193971621	0.9829580000303686
chr7	2821445	2821477	P19838	NFKB1	4	14	2821461	0.9788500000230967
chr8	2030701	2030770	P19838	NFKB1	4	14	2030735	0.9768999998144804
chr2	195576246	195576287	P19838	NFKB1	4	14	195576266	0.973100000091642
chr5	170331400	170331471	P19838	NFKB1	4	14	170331435	0.9878000001195818
chr10	106652460	106652503	P19838	NFKB1	4	14	106652481	0.982799999980256
chr4	72112729	72112766	P19838	NFKB1	4	14	72112747	0.996700000101328
chr13	106083824	106083851	P19838	NFKB1	4	14	106083837	0.9833000000968576
chr5	163434626	163434669	P19838	NFKB1	5	14	163434647	0.972699999818206
chr5	39256672	39256709	P19838	NFKB1	4	14	39256690	0.9640999997854232
chr7	111113783	111113826	P19838	NFKB1	4	14	111113804	0.9811999996412546
chr1	229664264	229664328	P19838	NFKB1	4	14	229664296	0.9870999997586012
chr3	23162309	23162360	P19838	NFKB1	4	14	23162334	0.9871999997995794
chr9	97511210	97511291	P19838	NFKB1	4	14	97511250	0.966600000084564
chr9	30075755	30075792	P19838	NFKB1	4	14	30075773	0.9817000000447036
chr4	110005664	110005693	P19838	NFKB1	4	14	110005678	0.9878999997466804
chr5	106094324	106094340	P19838	NFKB1	4	14	106094332	0.9910999999448658
chr15	92158687	92158732	P19838	NFKB1	4	14	92158709	0.9590999999582768
chr5	459123	459176	P19838	NFKB1	4	14	459149	0.965450000236556
chr7	94620868	94620944	P19838	NFKB1	4	14	94620906	0.991900000052154
chr4	2937462	2937487	P19838	NFKB1	4	14	2937474	0.98660000006333
chr6	23414303	23414348	P19838	NFKB1	4	14	23414325	0.9577000001158564
chr4	8534376	8534433	P19838	NFKB1	4	14	8534404	0.957799999940768
chr10	69065947	69065994	P19838	NFKB1	5	14	69065970	0.9764819999858736
chr1	90358191	90358228	P19838	NFKB1	5	14	90358209	1.0
chr6	16685419	16685438	P19838	NFKB1	4	14	16685428	0.9822000000044704
chr12	101859883	101859938	P19838	NFKB1	4	13	101859910	0.9501179999947548
chr2	172095579	172095630	P19838	NFKB1	4	13	172095604	1.0
chr7	155815446	155815489	P19838	NFKB1	4	13	155815467	0.9826000000089408
chr2	215136751	215136794	P19838	NFKB1	4	13	215136772	0.9860999999344348
chr2	134505138	134505241	P19838	NFKB1	3	13	134505189	0.9924999998092652
chr14	93959506	93959535	P19838	NFKB1	4	13	93959520	0.97919999999851
chr3	46065439	46065451	P19838	NFKB1	5	13	46065445	0.9777999999761582
chr2	24721560	24721597	P19838	NFKB1	4	13	24721578	0.9850000000715255
chr6	119587666	119587725	P19838	NFKB1	4	13	119587695	1.0
chr3	20186376	20186461	P19838	NFKB1	4	13	20186418	0.9731000001389534
chr1	45491463	45491492	P19838	NFKB1	4	13	45491477	0.9511559998102486
chr3	190491785	190491846	P19838	NFKB1	4	13	190491815	1.0
chr6	137389268	137389299	P19838	NFKB1	4	13	137389283	0.9850000000447034
chr8	136670117	136670182	P19838	NFKB1	4	13	136670149	0.9622999999038876
chr1	192545280	192545300	P19838	NFKB1	4	13	192545290	0.9750000000610948
chr8	100258744	100258761	P19838	NFKB1	4	13	100258752	0.9892999999787658
chr2	207529632	207529651	P19838	NFKB1	4	13	207529641	0.979499999949336
chr21	45104719	45104736	P19838	NFKB1	4	13	45104727	0.9823999997243286
chr17	76408753	76408762	P19838	NFKB1	4	13	76408757	0.95279999987334
chr1	206481346	206481377	P19838	NFKB1	4	13	206481361	0.9698199998363852
chr20	63686928	63686999	P19838	NFKB1	4	13	63686963	0.9671999999523164
chr7	42965592	42965605	P19838	NFKB1	4	13	42965598	0.968999999755621
chr3	42120970	42120991	P19838	NFKB1	4	13	42120980	0.9513000000163911
chr7	43164967	43164990	P19838	NFKB1	4	13	43164978	0.9894999999463558
chr1	206469619	206469650	P19838	NFKB1	4	13	206469634	0.9612000000879168
chr4	45120288	45120315	P19838	NFKB1	4	13	45120301	0.9700000000584872
chr2	37390637	37390668	P19838	NFKB1	4	13	37390652	0.9795139997899532
chr3	28940671	28940736	P19838	NFKB1	4	13	28940703	0.9657000000312924
chr15	78113313	78113325	P19838	NFKB1	4	13	78113319	0.9715999999254942
chr5	134100639	134100672	P19838	NFKB1	4	13	134100655	0.9603999999187888
chr2	143730365	143730380	P19838	NFKB1	4	13	143730372	1.0
chr8	124629779	124629840	P19838	NFKB1	4	13	124629809	0.9564999998301268
chr7	106346833	106346854	P19838	NFKB1	4	13	106346843	0.996400000089407
chr8	103305744	103305763	P19838	NFKB1	4	13	103305753	0.9842999997660518
chr3	101827713	101827816	P19838	NFKB1	4	13	101827764	0.9754000003270804
chr3	143832546	143832583	P19838	NFKB1	4	13	143832564	1.0
chr10	27155232	27155259	P19838	NFKB1	4	13	27155245	0.9554000000029802
chr7	118081167	118081200	P19838	NFKB1	4	13	118081183	0.991599999922514
chr1	48182591	48182626	P19838	NFKB1	4	13	48182608	0.9999000000953674
chr12	112938335	112938380	P19838	NFKB1	4	13	112938357	0.95760000006482
chr12	89960331	89960352	P19838	NFKB1	4	13	89960341	0.987000000026822
chr13	45206477	45206530	P19838	NFKB1	4	13	45206503	0.9733100000750272
chr6	132736379	132736424	P19838	NFKB1	4	13	132736401	0.9575999996498228
chr3	126911570	126911622	P19838	NFKB1	4	13	126911596	0.9720999998815356
chr14	32259836	32259903	P19838	NFKB1	4	13	32259869	0.9656999999091028
chr6	137738386	137738427	P19838	NFKB1	4	13	137738406	0.9781999999504536
chr8	37144925	37144968	P19838	NFKB1	5	13	37144946	0.996524000108242
chr16	23323844	23323881	P19838	NFKB1	4	13	23323862	0.9557100002709776
chr1	207890599	207890664	P19838	NFKB1	4	13	207890631	0.9975999998927116
chr16	50700040	50700087	P19838	NFKB1	4	13	50700063	0.976300000081584
chr16	82654001	82654090	P19838	NFKB1	4	13	82654045	1.0
chr20	44207225	44207272	P19838	NFKB1	4	13	44207248	0.9855000000022353
chr7	122057098	122057175	P19838	NFKB1	4	13	122057136	1.0
chr10	114026865	114026954	P19838	NFKB1	4	13	114026909	0.985800000153482
chr14	35404803	35404838	P19838	NFKB1	4	13	35404820	0.973094000016898
chr15	35603521	35603544	P19838	NFKB1	4	13	35603532	0.9638000000931324
chr19	38849280	38849319	P19838	NFKB1	5	13	38849299	0.960300000053644
chr11	118145547	118145665	P19838	NFKB1	4	13	118145606	1.0
chr6	100472900	100472995	P19838	NFKB1	4	13	100472947	0.9790999998942016
chr19	38699110	38699134	P19838	NFKB1	4	13	38699122	0.9710999997459352
chr4	41200778	41200831	P19838	NFKB1	4	13	41200804	0.9847999999001622
chr8	125513196	125513241	P19838	NFKB1	4	13	125513218	0.984200000075996
chr2	112812121	112812138	P19838	NFKB1	4	13	112812129	0.9575999997839332
chr4	145808523	145808542	P19838	NFKB1	4	13	145808532	0.973400000089407
chr19	38686062	38686119	P19838	NFKB1	4	13	38686090	0.9595579999744892
chr12	66196990	66197023	P19838	NFKB1	4	13	66197006	0.9726999995350838
chr13	51819396	51819417	P19838	NFKB1	4	13	51819406	0.9979999998271464
chr12	106248603	106248642	P19838	NFKB1	4	13	106248622	0.9660999997232108
chr2	232781866	232781901	P19838	NFKB1	4	13	232781883	0.955000000000745
chr7	3862077	3862153	P19838	NFKB1	4	13	3862115	0.970599999954924
chr12	129531238	129531253	P19838	NFKB1	4	13	129531245	0.9813999998643994
chr11	94128727	94128814	P19838	NFKB1	4	13	94128770	0.9594599997207522
chr15	70140832	70140908	P19838	NFKB1	5	13	70140870	0.9787220000848174
chr1	184824861	184824892	P19838	NFKB1	4	13	184824876	0.9940000001192092
chr7	62350349	62350374	P19838	NFKB1	4	13	62350361	0.9501000001460314
chr5	106399541	106399576	P19838	NFKB1	4	13	106399558	0.9848999999120832
chr15	70196854	70196885	P19838	NFKB1	4	13	70196869	1.0
chr19	41308652	41308699	P19838	NFKB1	4	13	41308675	0.9901000001329928
chr8	17912764	17912797	P19838	NFKB1	4	13	17912780	0.9751379997104408
chr14	35161446	35161485	P19838	NFKB1	4	13	35161465	0.9793440001040696
