Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr18	3261881	3261938	P55055	NR1H2.hg38	2	10	3261909
chr2	168211281	168211318	P55055	NR1H2.hg38	2	10	168211299
chr1	217631138	217631203	P55055	NR1H2.hg38	2	10	217631170
chr19	45406430	45406462	P55055	NR1H2.hg38	2	10	45406446
chr2	43996088	43996121	P55055	NR1H2.hg38	2	10	43996104
chr10	110567464	110567525	P55055	NR1H2.hg38	2	10	110567494
chr19	46600799	46600828	P55055	NR1H2.hg38	2	10	46600813
chr12	53626212	53626256	P55055	NR1H2.hg38	2	10	53626234
chr16	21953134	21953207	P55055	NR1H2.hg38	3	10	21953170
chr10	125823357	125823406	P55055	NR1H2.hg38	2	10	125823381
chr7	105269182	105269283	P55055	NR1H2.hg38	2	9	105269232
chr9	104926646	104926751	P55055	NR1H2.hg38	2	9	104926698
chr11	57667587	57667628	P55055	NR1H2.hg38	2	9	57667607
chr14	99604356	99604440	P55055	NR1H2.hg38	2	9	99604398
chr2	85538845	85538925	P55055	NR1H2.hg38	2	9	85538885
chr6	113971236	113971353	P55055	NR1H2.hg38	2	9	113971294
chr21	33491692	33491749	P55055	NR1H2.hg38	3	9	33491720
chr12	109999157	109999185	P55055	NR1H2.hg38	2	9	109999171
chr11	75768544	75768617	P55055	NR1H2.hg38	2	9	75768580
chr7	100673611	100673638	P55055	NR1H2.hg38	2	9	100673624
chr1	27490412	27490433	P55055	NR1H2.hg38	2	9	27490422
chr10	101818560	101818584	P55055	NR1H2.hg38	3	9	101818572
chr20	31738862	31738902	P55055	NR1H2.hg38	2	9	31738882
chr7	2555588	2555665	P55055	NR1H2.hg38	2	9	2555626
chr12	55830663	55830751	P55055	NR1H2.hg38	2	9	55830707
chr22	18001633	18001740	P55055	NR1H2.hg38	2	9	18001686
chr10	97334851	97334891	P55055	NR1H2.hg38	2	9	97334871
chr19	45526318	45526350	P55055	NR1H2.hg38	2	9	45526334
chr5	142325962	142326082	P55055	NR1H2.hg38	2	9	142326022
chr9	124771475	124771546	P55055	NR1H2.hg38	2	9	124771510
chr12	31749335	31749371	P55055	NR1H2.hg38	2	9	31749353
chr13	75549591	75549700	P55055	NR1H2.hg38	2	9	75549645
chr5	150905112	150905173	P55055	NR1H2.hg38	2	9	150905142
chr2	86105936	86106036	P55055	NR1H2.hg38	2	9	86105986
chr16	81007012	81007098	P55055	NR1H2.hg38	2	8	81007055
chr9	107755409	107755462	P55055	NR1H2.hg38	2	8	107755435
chr3	194685804	194685836	P55055	NR1H2.hg38	2	8	194685820
chr1	11478979	11479039	P55055	NR1H2.hg38	2	8	11479009
chr2	66433587	66433615	P55055	NR1H2.hg38	2	8	66433601
chr1	11012515	11012540	P55055	NR1H2.hg38	2	8	11012527
chr15	40109044	40109145	P55055	NR1H2.hg38	2	8	40109094
chr1	200891385	200891410	P55055	NR1H2.hg38	2	8	200891397
chr21	42228174	42228211	P55055	NR1H2.hg38	2	8	42228192
chr3	194672417	194672490	P55055	NR1H2.hg38	3	8	194672453
chr6	24906468	24906500	P55055	NR1H2.hg38	2	8	24906484
chr8	17155852	17155885	P55055	NR1H2.hg38	2	8	17155868
chr12	50400642	50400686	P55055	NR1H2.hg38	2	8	50400664
chr3	41962146	41962178	P55055	NR1H2.hg38	2	8	41962162
chr22	38985153	38985177	P55055	NR1H2.hg38	2	8	38985165
chr6	24720964	24721076	P55055	NR1H2.hg38	2	8	24721020
chr1	160400407	160400444	P55055	NR1H2.hg38	2	8	160400425
chr14	92121826	92121902	P55055	NR1H2.hg38	2	8	92121864
chr16	20900642	20900675	P55055	NR1H2.hg38	2	8	20900658
chr7	100127227	100127256	P55055	NR1H2.hg38	2	8	100127241
chr11	61161878	61161935	P55055	NR1H2.hg38	2	8	61161906
chr9	114804674	114804706	P55055	NR1H2.hg38	2	8	114804690
