Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	21659255	21659328	Q9BXK1	KLF16	3	10	21659291	0.96919999939017
chr9	137236572	137236674	Q9BXK1	KLF16	3	10	137236623	0.9895999996505678
chr8	37736578	37736647	Q9BXK1	KLF16	3	10	37736612	0.9560999998241664
chr17	2711835	2711914	Q9BXK1	KLF16	3	10	2711874	0.9548999996103348
chr9	136728177	136728258	Q9BXK1	KLF16	3	10	136728217	0.9605999999925494
chr17	60139966	60140003	Q9BXK1	KLF16	3	10	60139984	0.9776999999344348
chr8	67064268	67064387	Q9BXK1	KLF16	3	9	67064327	0.9763000000387432
chr1	32886675	32886760	Q9BXK1	KLF16	3	9	32886717	0.9831000000685454
chr16	88737517	88737558	Q9BXK1	KLF16	3	9	88737537	0.97349999999851
chr1	156920501	156920568	Q9BXK1	KLF16	3	9	156920534	0.962500000212714
chr10	123008831	123008871	Q9BXK1	KLF16	3	9	123008851	0.9667000000610948
chr17	27381144	27381203	Q9BXK1	KLF16	3	9	27381173	0.9786000003248452
chr6	41451258	41451291	Q9BXK1	KLF16	3	9	41451274	0.9632000000819564
chr17	50152143	50152212	Q9BXK1	KLF16	3	9	50152177	0.9648319999195636
chr17	74203537	74203609	Q9BXK1	KLF16	3	9	74203573	0.9741999998752028
chr17	78251075	78251118	Q9BXK1	KLF16	3	9	78251096	0.9527999999329448
chr3	41199448	41199483	Q9BXK1	KLF16	3	8	41199465	1.0
chr19	1113455	1113544	Q9BXK1	KLF16	3	8	1113499	0.9650000002473592
chr17	7836948	7837005	Q9BXK1	KLF16	3	8	7836976	0.993899999895692
chr20	63009228	63009260	Q9BXK1	KLF16	2	8	63009244	0.9647000000596048
chr22	44975707	44975772	Q9BXK1	KLF16	3	8	44975739	0.9648000002902
chr11	65498967	65499071	Q9BXK1	KLF16	3	8	65499019	0.96730000006482
chr16	50741955	50742064	Q9BXK1	KLF16	3	8	50742009	0.977399999963492
chr16	2004000	2004047	Q9BXK1	KLF16	3	8	2004023	0.9911999999508262
chr11	123741474	123741587	Q9BXK1	KLF16	3	8	123741530	0.9858999998040496
chr15	49046514	49046555	Q9BXK1	KLF16	3	8	49046534	0.9746339999854564
chr14	99629001	99629038	Q9BXK1	KLF16	2	8	99629019	0.967199999986589
chr3	126982664	126982708	Q9BXK1	KLF16	3	8	126982686	0.9938999999448656
chr10	102642341	102642442	Q9BXK1	KLF16	3	8	102642391	0.9532439997956156
chr22	24157039	24157110	Q9BXK1	KLF16	3	8	24157074	0.9928000000625848
chr9	135972119	135972167	Q9BXK1	KLF16	2	8	135972143	0.9516000000048428
chr7	76201809	76201901	Q9BXK1	KLF16	2	8	76201855	0.9561999993335456
chr2	159712447	159712500	Q9BXK1	KLF16	3	8	159712473	0.9619000000536442
chr19	55643560	55643608	Q9BXK1	KLF16	3	8	55643584	0.959000000052154
chr8	27837815	27837892	Q9BXK1	KLF16	2	8	27837853	0.9527000001206994
chr12	54214876	54214925	Q9BXK1	KLF16	3	8	54214900	0.9586819999568164
chr1	22642183	22642206	Q9BXK1	KLF16	3	7	22642194	0.9828999998681248
chr1	163321839	163321886	Q9BXK1	KLF16	3	7	163321862	0.9963999998569488
chr8	631037	631100	Q9BXK1	KLF16	3	7	631068	0.9629999998509884
chr1	161766257	161766298	Q9BXK1	KLF16	2	7	161766277	0.955999999988824
chr17	34361650	34361711	Q9BXK1	KLF16	2	7	34361680	0.9946000000596048
chr1	22451896	22451945	Q9BXK1	KLF16	3	7	22451920	0.9613359997797756
chr3	142578815	142578850	Q9BXK1	KLF16	3	7	142578832	0.973390000064671
chr11	6390352	6390417	Q9BXK1	KLF16	3	7	6390384	0.9509819997698068
chr7	134986695	134986792	Q9BXK1	KLF16	3	7	134986743	0.9769000002875924
chr12	114662763	114662795	Q9BXK1	KLF16	2	7	114662779	0.9851999998435378
chr17	32444331	32444424	Q9BXK1	KLF16	3	7	32444377	0.959405999711156
chr17	44308524	44308589	Q9BXK1	KLF16	2	7	44308556	0.956258000035584
chr3	51974083	51974115	Q9BXK1	KLF16	3	7	51974099	0.9528000000465662
chr10	68331869	68331934	Q9BXK1	KLF16	2	7	68331901	0.9791599994406104
chr3	193593151	193593200	Q9BXK1	KLF16	3	7	193593175	0.96570000000149
chr12	57239215	57239276	Q9BXK1	KLF16	3	7	57239245	1.0
chr17	49708323	49708422	Q9BXK1	KLF16	3	7	49708372	0.9880000001158564
chr12	54191671	54191736	Q9BXK1	KLF16	3	7	54191703	0.9759000000476836
chr1	182300195	182300228	Q9BXK1	KLF16	2	7	182300211	0.9715799998488276
chr12	52023788	52023879	Q9BXK1	KLF16	3	7	52023833	0.9584579996161164
chr12	49337165	49337261	Q9BXK1	KLF16	3	7	49337213	0.9887000000342728
chr10	45594883	45594930	Q9BXK1	KLF16	3	7	45594906	0.9522000000216068
