Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr1	28088580	28088645	O95238	SPDEF.hg38	2	7	28088612
chr22	17988332	17988389	O95238	SPDEF.hg38	2	7	17988360
chr7	152436756	152436831	O95238	SPDEF.hg38	2	7	152436793
chr20	36556675	36556764	O95238	SPDEF.hg38	2	7	36556719
chr19	14072091	14072151	O95238	SPDEF.hg38	2	7	14072121
chr5	139388457	139388485	O95238	SPDEF.hg38	2	7	139388471
chr11	61971931	61972039	O95238	SPDEF.hg38	2	7	61971985
chr22	50306001	50306062	O95238	SPDEF.hg38	2	7	50306031
chr16	30814289	30814345	O95238	SPDEF.hg38	2	7	30814317
chr5	149562007	149562112	O95238	SPDEF.hg38	2	7	149562059
chr12	6235572	6235613	O95238	SPDEF.hg38	2	7	6235592
chr6	36885926	36885982	O95238	SPDEF.hg38	2	7	36885954
chr11	1072392	1072497	O95238	SPDEF.hg38	2	7	1072444
chr17	78169449	78169524	O95238	SPDEF.hg38	2	7	78169486
chr12	53079400	53079475	O95238	SPDEF.hg38	2	7	53079437
chr14	32354914	32354938	O95238	SPDEF.hg38	2	7	32354926
chr7	101856902	101856977	O95238	SPDEF.hg38	2	7	101856939
chr1	46183198	46183273	O95238	SPDEF.hg38	2	7	46183235
chr11	119730044	119730085	O95238	SPDEF.hg38	2	7	119730064
chr3	190811971	190812068	O95238	SPDEF.hg38	2	7	190812019
chr19	35449620	35449695	O95238	SPDEF.hg38	2	7	35449657
chr19	38058138	38058198	O95238	SPDEF.hg38	2	7	38058168
chr2	3575166	3575242	O95238	SPDEF.hg38	2	7	3575204
chr20	2470854	2470954	O95238	SPDEF.hg38	2	6	2470904
chr9	38069719	38069794	O95238	SPDEF.hg38	2	6	38069756
chr17	14738430	14738459	O95238	SPDEF.hg38	2	6	14738444
chr14	54773487	54773520	O95238	SPDEF.hg38	2	6	54773503
chr8	100487985	100488060	O95238	SPDEF.hg38	2	6	100488022
chr17	40314754	40314829	O95238	SPDEF.hg38	2	6	40314791
chr7	73308844	73308924	O95238	SPDEF.hg38	2	6	73308884
chr5	181206814	181206847	O95238	SPDEF.hg38	2	6	181206830
chr19	47244270	47244331	O95238	SPDEF.hg38	2	6	47244300
chr2	10452529	10452604	O95238	SPDEF.hg38	2	6	10452566
chr3	31981711	31981771	O95238	SPDEF.hg38	2	6	31981741
chr19	45717512	45717587	O95238	SPDEF.hg38	2	6	45717549
chr20	58651167	58651242	O95238	SPDEF.hg38	2	6	58651204
chr1	209827880	209827955	O95238	SPDEF.hg38	2	6	209827917
chr21	46286280	46286355	O95238	SPDEF.hg38	2	6	46286317
chr12	122127295	122127370	O95238	SPDEF.hg38	2	6	122127332
chr11	47768502	47768577	O95238	SPDEF.hg38	2	6	47768539
chr2	223957371	223957436	O95238	SPDEF.hg38	2	6	223957403
chr14	74881774	74881849	O95238	SPDEF.hg38	2	6	74881811
chr12	38316705	38316777	O95238	SPDEF.hg38	2	6	38316741
chr4	782080	782169	O95238	SPDEF.hg38	2	6	782124
chr10	12068697	12068766	O95238	SPDEF.hg38	2	6	12068731
chr2	222959504	222959579	O95238	SPDEF.hg38	2	6	222959541
chr19	15836829	15836904	O95238	SPDEF.hg38	2	6	15836866
chr19	3572530	3572647	O95238	SPDEF.hg38	2	6	3572588
chr8	95408190	95408298	O95238	SPDEF.hg38	2	6	95408244
chr1	205122265	205122342	O95238	SPDEF.hg38	2	6	205122303
chr2	241102357	241102432	O95238	SPDEF.hg38	2	6	241102394
chr2	1625354	1625429	O95238	SPDEF.hg38	2	6	1625391
chr6	41787580	41787655	O95238	SPDEF.hg38	2	6	41787617
chr5	94021363	94021467	O95238	SPDEF.hg38	2	6	94021415
chr8	22604623	22604743	O95238	SPDEF.hg38	2	6	22604683
chr1	85297883	85297943	O95238	SPDEF.hg38	2	6	85297913
chr7	26200140	26200253	O95238	SPDEF.hg38	2	6	26200196
chr15	55408434	55408531	O95238	SPDEF.hg38	2	6	55408482
chr10	70775219	70775272	O95238	SPDEF.hg38	2	6	70775245
chr14	100108463	100108523	O95238	SPDEF.hg38	2	6	100108493
chr17	58991943	58992036	O95238	SPDEF.hg38	2	6	58991989
chr11	1220038	1220071	O95238	SPDEF.hg38	2	6	1220054
chr15	58866435	58866510	O95238	SPDEF.hg38	2	6	58866472
chr5	81851987	81852062	O95238	SPDEF.hg38	2	6	81852024
chr17	73003692	73003767	O95238	SPDEF.hg38	2	6	73003729
chr3	156812645	156812720	O95238	SPDEF.hg38	2	6	156812682
chr8	29286930	29286963	O95238	SPDEF.hg38	2	6	29286946
chr11	118252081	118252156	O95238	SPDEF.hg38	2	6	118252118
chr12	6363969	6364044	O95238	SPDEF.hg38	2	6	6364006
chr8	73356387	73356462	O95238	SPDEF.hg38	2	6	73356424
chr2	1246368	1246443	O95238	SPDEF.hg38	2	6	1246405
chr3	71423491	71423566	O95238	SPDEF.hg38	2	6	71423528
chr17	68019926	68020001	O95238	SPDEF.hg38	2	6	68019963
chr17	5439214	5439289	O95238	SPDEF.hg38	2	6	5439251
chr20	39050200	39050248	O95238	SPDEF.hg38	2	6	39050224
chr3	194685834	194685909	O95238	SPDEF.hg38	2	6	194685871
chr20	38605130	38605167	O95238	SPDEF.hg38	2	6	38605148
chr11	61333309	61333402	O95238	SPDEF.hg38	2	6	61333355
chr17	18781223	18781276	O95238	SPDEF.hg38	2	6	18781249
chr10	101066235	101066271	O95238	SPDEF.hg38	2	6	101066253
