Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr9	124771601	124771652	O14503	BHLHE40	8	24	124771626	0.9730999999672174
chr17	7012357	7012398	O14503	BHLHE40	5	22	7012377	0.9517000000536442
chr3	4986999	4987018	O14503	BHLHE40	8	21	4987008	0.9806999997243284
chr20	54207940	54208029	O14503	BHLHE40	5	20	54207984	0.960630000203848
chr9	15511064	15511160	O14503	BHLHE40	5	20	15511112	0.9719999995194376
chr20	63377561	63377585	O14503	BHLHE40	6	20	63377573	0.9909499999970196
chr17	7836871	7836914	O14503	BHLHE40	6	20	7836892	0.993899999895692
chr9	71446584	71446613	O14503	BHLHE40	5	20	71446598	0.974100000075996
chr22	31346461	31346486	O14503	BHLHE40	5	20	31346473	0.9643000000551344
chr14	20461624	20461707	O14503	BHLHE40	5	20	20461665	0.9863999997571112
chr1	11806166	11806197	O14503	BHLHE40	5	20	11806181	0.96453800018318
chr2	64730747	64730776	O14503	BHLHE40	5	19	64730761	0.9500000000625848
chr5	173918040	173918131	O14503	BHLHE40	5	19	173918085	0.975100000014156
chr6	113971327	113971396	O14503	BHLHE40	5	19	113971361	0.9791719995573164
chr2	152926003	152926038	O14503	BHLHE40	5	19	152926020	0.9875999998018146
chr17	40101026	40101055	O14503	BHLHE40	6	19	40101040	0.9655999999552966
chr7	101814232	101814257	O14503	BHLHE40	5	19	101814244	0.97190000019446
chr22	29268033	29268111	O14503	BHLHE40	6	19	29268072	0.957100000036508
chr7	1474224	1474249	O14503	BHLHE40	5	19	1474236	0.9999000000953674
chr19	46600783	46600894	O14503	BHLHE40	5	19	46600838	0.9695000000298024
chr1	155081056	155081089	O14503	BHLHE40	5	19	155081072	1.0
chr8	144462920	144462939	O14503	BHLHE40	5	19	144462929	0.9972999999165536
chr17	76386033	76386070	O14503	BHLHE40	6	19	76386051	0.9854000001609324
chr4	13484484	13484533	O14503	BHLHE40	5	19	13484508	0.996299999988079
chr22	30591895	30591920	O14503	BHLHE40	6	19	30591907	0.961100000011176
chr8	11092594	11092617	O14503	BHLHE40	5	19	11092605	0.9787599999830128
chr3	170908800	170908823	O14503	BHLHE40	6	19	170908811	0.9737999999210238
chr2	227740826	227740865	O14503	BHLHE40	5	19	227740845	0.9518999998182058
chr7	23597284	23597313	O14503	BHLHE40	5	19	23597298	0.9816999997541308
chr10	131982035	131982060	O14503	BHLHE40	5	18	131982047	0.9594280000656844
chr20	44210969	44210988	O14503	BHLHE40	5	18	44210978	0.9829460001975298
chr3	128879482	128879509	O14503	BHLHE40	5	18	128879495	0.9659999995186924
chr8	28402095	28402136	O14503	BHLHE40	5	18	28402115	0.9534000000149012
chr14	61695244	61695279	O14503	BHLHE40	5	18	61695261	0.9936
chr1	38859875	38859894	O14503	BHLHE40	5	18	38859884	0.9535999996736646
chr1	18902635	18902736	O14503	BHLHE40	6	18	18902685	0.9977000000596048
chr2	27265206	27265231	O14503	BHLHE40	5	18	27265218	0.9591999998580664
chr17	55238371	55238427	O14503	BHLHE40	5	18	55238399	0.985299999974668
chr12	52069836	52069902	O14503	BHLHE40	5	18	52069869	0.9515999998822808
chr1	31373735	31373776	O14503	BHLHE40	5	18	31373755	0.9692000002343208
chr3	52455435	52455460	O14503	BHLHE40	5	18	52455447	0.976800000025332
chr13	27424496	27424537	O14503	BHLHE40	4	18	27424516	0.9946999998748304
chr20	324531	324550	O14503	BHLHE40	5	18	324540	0.972872000067681
chr12	71839733	71839768	O14503	BHLHE40	5	18	71839750	0.9841999998897314
