Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr6	157187303	157187340	P52945	PDX1.hg38	5	23	157187321
chr10	110553939	110554030	P52945	PDX1.hg38	5	22	110553984
chr10	76114136	76114182	P52945	PDX1.hg38	5	22	76114159
chr22	20203740	20203797	P52945	PDX1.hg38	5	22	20203768
chr11	88297645	88297746	P52945	PDX1.hg38	5	22	88297695
chr5	51194774	51194848	P52945	PDX1.hg38	5	21	51194811
chr17	33942592	33942639	P52945	PDX1.hg38	5	21	33942615
chr16	25923761	25923826	P52945	PDX1.hg38	5	21	25923793
chr7	3207564	3207615	P52945	PDX1.hg38	5	21	3207589
chr10	44978848	44978883	P52945	PDX1.hg38	5	21	44978865
chr10	984649	984673	P52945	PDX1.hg38	5	20	984661
chr1	196438611	196438658	P52945	PDX1.hg38	5	20	196438634
chr6	75214178	75214231	P52945	PDX1.hg38	5	20	75214204
chr7	36911858	36911941	P52945	PDX1.hg38	5	20	36911899
chr17	47982519	47982544	P52945	PDX1.hg38	5	20	47982531
chr8	41327319	41327365	P52945	PDX1.hg38	5	20	41327342
chr9	80497382	80497416	P52945	PDX1.hg38	5	20	80497399
chr1	83102734	83102829	P52945	PDX1.hg38	5	20	83102781
chr9	72129890	72129921	P52945	PDX1.hg38	5	20	72129905
chr20	10795504	10795577	P52945	PDX1.hg38	5	20	10795540
chr21	15627959	15628007	P52945	PDX1.hg38	5	20	15627983
chr20	59051979	59052012	P52945	PDX1.hg38	5	20	59051995
chr17	69047751	69047782	P52945	PDX1.hg38	5	20	69047766
chr8	37675469	37675508	P52945	PDX1.hg38	5	20	37675488
chr4	56240966	56240981	P52945	PDX1.hg38	5	20	56240973
chr6	155085793	155085841	P52945	PDX1.hg38	5	20	155085817
chr7	127635836	127635882	P52945	PDX1.hg38	5	20	127635859
chr15	61038482	61038553	P52945	PDX1.hg38	5	20	61038517
chr7	129852075	129852128	P52945	PDX1.hg38	5	20	129852101
chr2	168026313	168026425	P52945	PDX1.hg38	5	20	168026369
chr2	234449223	234449286	P52945	PDX1.hg38	5	20	234449254
chr1	117181838	117181876	P52945	PDX1.hg38	5	20	117181857
chr1	62279247	62279274	P52945	PDX1.hg38	5	20	62279260
chr14	103122207	103122230	P52945	PDX1.hg38	5	20	103122218
chr19	8390013	8390058	P52945	PDX1.hg38	5	20	8390035
chr15	83306134	83306177	P52945	PDX1.hg38	5	20	83306155
chr10	74589381	74589430	P52945	PDX1.hg38	5	20	74589405
chr16	77813323	77813392	P52945	PDX1.hg38	5	20	77813357
chr20	19758932	19758980	P52945	PDX1.hg38	5	20	19758956
chr1	47478308	47478329	P52945	PDX1.hg38	5	20	47478318
chr4	23835977	23836028	P52945	PDX1.hg38	5	20	23836002
chr11	105881064	105881124	P52945	PDX1.hg38	5	20	105881094
chr3	157856453	157856497	P52945	PDX1.hg38	5	20	157856475
chr6	128725852	128725896	P52945	PDX1.hg38	5	20	128725874
chr15	59953695	59953776	P52945	PDX1.hg38	5	20	59953735
chr7	110283220	110283300	P52945	PDX1.hg38	5	20	110283260
chr2	112818231	112818272	P52945	PDX1.hg38	5	20	112818251
chr17	74358116	74358139	P52945	PDX1.hg38	5	20	74358127
chr9	124390914	124390967	P52945	PDX1.hg38	5	20	124390940
chr7	107836494	107836577	P52945	PDX1.hg38	5	20	107836535
chr8	37703492	37703543	P52945	PDX1.hg38	5	20	37703517
chr15	82849764	82849791	P52945	PDX1.hg38	5	20	82849777
chr1	29472139	29472190	P52945	PDX1.hg38	5	20	29472164
chr17	17594650	17594701	P52945	PDX1.hg38	5	20	17594675
chr14	65507091	65507141	P52945	PDX1.hg38	5	20	65507116
chr5	92802104	92802181	P52945	PDX1.hg38	5	20	92802142
chr6	18057012	18057054	P52945	PDX1.hg38	5	20	18057033
chr1	58704946	58704989	P52945	PDX1.hg38	5	20	58704967
chr7	52080621	52080686	P52945	PDX1.hg38	5	20	52080653
chr16	30371040	30371129	P52945	PDX1.hg38	5	19	30371084
chr10	120327852	120327906	P52945	PDX1.hg38	5	19	120327879
chr2	149077346	149077407	P52945	PDX1.hg38	5	19	149077376
chr8	100626643	100626674	P52945	PDX1.hg38	5	19	100626658
chr1	201172530	201172557	P52945	PDX1.hg38	5	19	201172543
chr7	123643981	123644014	P52945	PDX1.hg38	5	19	123643997
chr10	113408231	113408270	P52945	PDX1.hg38	5	19	113408250
chr2	217258363	217258420	P52945	PDX1.hg38	5	19	217258391
chr1	162347496	162347515	P52945	PDX1.hg38	5	19	162347505
chr17	57757206	57757247	P52945	PDX1.hg38	5	19	57757226
chr8	40169364	40169406	P52945	PDX1.hg38	5	19	40169385
chr19	46347526	46347576	P52945	PDX1.hg38	5	19	46347551
chr2	217290061	217290080	P52945	PDX1.hg38	5	19	217290070
chr16	15518462	15518526	P52945	PDX1.hg38	5	19	15518494
chr11	44884223	44884266	P52945	PDX1.hg38	5	19	44884244
chr2	149427526	149427563	P52945	PDX1.hg38	5	19	149427544
chr6	15065673	15065732	P52945	PDX1.hg38	5	19	15065702
chr10	87547833	87547854	P52945	PDX1.hg38	5	19	87547843
chr4	188657505	188657536	P52945	PDX1.hg38	5	19	188657520
chr17	65041764	65041812	P52945	PDX1.hg38	5	19	65041788
chr1	58592698	58592737	P52945	PDX1.hg38	5	19	58592717
chr4	187274310	187274337	P52945	PDX1.hg38	5	19	187274323
chr1	117759056	117759089	P52945	PDX1.hg38	5	19	117759072
chr3	194365093	194365136	P52945	PDX1.hg38	5	19	194365114
chr15	62537685	62537712	P52945	PDX1.hg38	5	19	62537698
chr5	144307978	144308007	P52945	PDX1.hg38	5	19	144307992
chr8	37716862	37716914	P52945	PDX1.hg38	5	19	37716888
chr1	8154864	8154877	P52945	PDX1.hg38	5	19	8154870
chr6	169980236	169980267	P52945	PDX1.hg38	5	19	169980251
chr14	22333199	22333238	P52945	PDX1.hg38	5	19	22333218
chr9	99170122	99170145	P52945	PDX1.hg38	5	19	99170133
chr6	134835375	134835408	P52945	PDX1.hg38	5	19	134835391
chr6	37315081	37315104	P52945	PDX1.hg38	5	19	37315092
chr9	99172838	99172866	P52945	PDX1.hg38	5	19	99172852
