Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr8	133375679	133375729	Q99814	EPAS1	20	77	133375704	0.9850999998003244
chr16	30065527	30065557	Q99814	EPAS1	21	74	30065542	0.9517999999187888
chr3	190566624	190566651	Q99814	EPAS1	20	67	190566637	0.9949999999523162
chr3	4987029	4987072	Q99814	EPAS1	19	67	4987050	0.9806999997243284
chr11	18394467	18394495	Q99814	EPAS1	19	66	18394481	0.9679439998645336
chr15	72226873	72226898	Q99814	EPAS1	18	64	72226885	0.955100000101328
chr8	28365940	28365971	Q99814	EPAS1	16	63	28365955	0.9702999996960164
chr11	10308145	10308227	Q99814	EPAS1	19	62	10308186	0.9936999999433755
chr9	112041796	112041883	Q99814	EPAS1	15	61	112041839	0.9731999997854232
chr10	73096929	73096952	Q99814	EPAS1	17	59	73096940	0.9516520000789316
chr1	8212182	8212250	Q99814	EPAS1	17	59	8212216	0.9662439999863506
chr19	4968609	4968638	Q99814	EPAS1	17	59	4968623	0.9543479999806732
chr4	119300724	119300751	Q99814	EPAS1	18	58	119300737	0.9806999998435378
chr1	234612834	234612873	Q99814	EPAS1	16	57	234612853	0.982599999719858
chr3	149225371	149225400	Q99814	EPAS1	17	57	149225385	0.9679999997518955
chr2	74740860	74740891	Q99814	EPAS1	18	56	74740875	0.9956999996960164
chr6	44011011	44011059	Q99814	EPAS1	17	56	44011035	0.9875000001806766
chr3	122978218	122978251	Q99814	EPAS1	15	55	122978234	0.981299999946356
chr8	133216751	133216780	Q99814	EPAS1	15	55	133216765	0.9874000000044704
chr20	62623664	62623696	Q99814	EPAS1	18	55	62623680	0.9580999999664724
chr6	44073488	44073533	Q99814	EPAS1	16	55	44073510	0.9950000000730156
chr3	146161358	146161395	Q99814	EPAS1	17	54	146161376	0.991099999973923
chr2	144659804	144659841	Q99814	EPAS1	15	54	144659822	0.9819000000178814
chr7	158864158	158864184	Q99814	EPAS1	18	53	158864171	0.9745479998394848
chr7	105012766	105012820	Q99814	EPAS1	17	53	105012793	0.984600000064075
chr16	67170378	67170413	Q99814	EPAS1	17	53	67170395	0.9770999998364598
chr10	14397299	14397332	Q99814	EPAS1	14	53	14397315	0.976740000461042
