Chrom	start	end	identifier	mean_signal	numsamples	summit	core_start	core_end	component	position
chr19	16660100	16660380	19.355706	10.6507911869031	733	16660230	16660150.0	16660270.0	Tissue invariant	16660230
chr16	74666860	74667120	16.843818	10.2017425511596	733	74666990	74666970.0	74667030.0	Tissue invariant	74666990
chr6	31620320	31620700	6.2665712	11.8897426057299	733	31620470	31620370.0	31620610.0	Tissue invariant	31620470
chr17	59155200	59155700	17.739303	17.6592713096862	733	59155490	59155290.0	59155590.0	Tissue invariant	59155490
chr2	88627480	88627920	2.4293713	18.8682121418827	733	88627750	88627550.0	88627790.0	Tissue invariant	88627750
chr1	31065680	31065920	1.212291	8.53020885402456	733	31065790	31065710.0	31065830.0	Tissue invariant	31065790
chr2	86441080	86441400	2.4212469	12.9687941746248	733	86441230	86441130.0	86441310.0	Tissue invariant	86441230
chr22	38506320	38506680	22.781462	9.00918697135061	733	38506530	38506410.0	38506590.0	Tissue invariant	38506530
chr22	38705421	38705895	22.784816	18.0795949386085	733	38705620	38705550.0	38705790.0	Tissue invariant	38705620
chr17	59106780	59107080	17.738827	12.5788015279673	733	59106930	59106890.0	59106990.0	Tissue invariant	59106930
chr15	65611100	65611380	15.6788668	6.80942920873124	733	65611250	65611210.0	65611310.0	Tissue invariant	65611250
chr15	65792200	65792520	15.680468	9.76251695770805	733	65792370	65792310.0	65792450.0	Tissue invariant	65792370
chr9	128818280	128818520	9.937516	7.94827336971351	733	128818390	128818370.0	128818430.0	Tissue invariant	128818390
chr2	85354560	85354780	2.417179	12.1882890040928	733	85354670	85354630.0	85354690.0	Tissue invariant	85354670
chr7	149177	149523	7.1008661	11.6542507162347	733	149350	149230.0	149470.0	Tissue invariant	149350
chr4	121823880	121824089	4.6763758	7.21249420190996	733	121823990	121823970.0	121824010.0	Tissue invariant	121823990
chr10	103396477	103396700	10.795285	8.90734713506139	733	103396590	103396550.0	103396610.0	Tissue invariant	103396590
chr1	203861400	203861640	1.8368538	10.0571867803547	733	203861510	203861490.0	203861550.0	Tissue invariant	203861510
chr6	87589940	87590192	6.5614699	5.58196759890859	733	87590070	87590050.0	87590110.0	Tissue invariant	87590070
chr15	64387600	64387864	15.668038	7.19881190995907	733	64387730	64387696.0	64387770.0	Tissue invariant	64387730
chr15	64356140	64356400	15.6678661	8.31595154160982	733	64356270	64356210.0	64356330.0	Tissue invariant	64356270
chr1	31296760	31297040	1.213147	11.860398840382	733	31296910	31296890.0	31296950.0	Tissue invariant	31296910
chr19	10653880	10654239	19.26336	20.4592673533424	733	10654030	10653970.0	10654090.0	Tissue invariant	10654030
chr16	81096380	81096640	16.90784	10.4098335061392	733	81096510	81096470.0	81096550.0	Tissue invariant	81096510
chr11	72434520	72434760	11.5826797	9.43716381991814	733	72434630	72434576.0	72434650.0	Tissue invariant	72434630
chr19	45995120	45995440	19.806005	13.6449189085948	733	45995270	45995210.0	45995350.0	Tissue invariant	45995270
chr1	32013520	32013840	1.2156771	11.8655508594816	733	32013670	32013630.0	32013744.0	Tissue invariant	32013670
chr9	95875460	95875700	9.7234621	9.89350315143247	733	95875590	95875550.0	95875610.0	Tissue invariant	95875590
chr2	99181000	99181220	2.4685711	6.74426316507503	733	99181110	99181090.0	99181150.0	Tissue invariant	99181110
chr17	59707420	59707700	17.745335	13.0812870259209	733	59707570	59707530.0	59707610.0	Tissue invariant	59707570
chr1	11262562	11262845	1.140675	14.4221008731241	733	11262710	11262670.0	11262730.0	Tissue invariant	11262710
chr22	36776160	36776500	22.75085	17.3409956616644	733	36776370	36776310.0	36776410.0	Tissue invariant	36776370
chr17	39451220	39451440	17.526446	9.69788326057299	733	39451330	39451310.0	39451350.0	Tissue invariant	39451330
chr12	53379520	53380100	12.4604869	22.4538718144611	733	53379820	53379618.0	53380042.0	Tissue invariant	53379820
chr19	46661200	46661507	19.816167	15.1155180491132	733	46661350	46661316.0	46661410.0	Tissue invariant	46661350
chr22	36123963	36124200	22.73938	5.77920724420191	733	36124090	36124030.0	36124130.0	Tissue invariant	36124090
chr3	184561420	184561740	3.9376726	10.7559161855389	733	184561570	184561470.0	184561610.0	Tissue invariant	184561570
chr22	36529140	36529460	22.7463	13.1238336016371	733	36529290	36529230.0	36529330.0	Tissue invariant	36529290
chr12	53006140	53006480	12.45794	14.5155097407913	733	53006310	53006270.0	53006370.0	Tissue invariant	53006310
chr5	144170620	144170860	5.814778	7.47845944065484	733	144170730	144170690.0	144170770.0	Tissue invariant	144170730
chr22	40044520	40044760	22.808597	12.1078149386085	733	40044630	40044610.0	40044670.0	Tissue invariant	40044630
chr5	146203360	146203640	5.824831	9.97113922237381	733	146203490	146203430.0	146203550.0	Tissue invariant	146203490
chr5	151252868	151253120	5.8497764	12.0824249658936	733	151252990	151252930.0	151253030.0	Tissue invariant	151252990
chr7	151028239	151028472	7.952868	12.4594766984993	733	151028350	151028310.0	151028410.0	Tissue invariant	151028350
chr19	507112	507437	19.107853	15.2617445839018	733	507230	507170.0	507270.0	Tissue invariant	507230
chr2	68467300	68467580	2.3544484	11.4375963574352	733	68467450	68467410.0	68467490.0	Tissue invariant	68467450
chr19	48363940	48364320	19.842284	15.0988934242838	733	48364110	48364030.0	48364250.0	Tissue invariant	48364110
chr10	38094180	38094398	10.356075	6.65218674761255	733	38094290	38094270.0	38094310.0	Tissue invariant	38094290
chr19	48445724	48446020	19.843653	7.23067064120055	733	48445890	48445798.0	48445930.0	Tissue invariant	48445890
chr11	74949080	74949300	11.59934	9.78801020463847	733	74949190	74949170.0	74949210.0	Tissue invariant	74949190
chr10	7787980	7788213	10.1522861	7.91571202592087	733	7788110	7788090.0	7788130.0	Tissue invariant	7788110
chr4	122732440	122732740	4.68067	12.8818845566166	733	122732610	122732550.0	122732630.0	Tissue invariant	122732610
chr19	796977	797340	19.112221	18.3804056889495	733	797170	797110.0	797230.0	Tissue invariant	797170
chr5	151771480	151771920	5.8523699	21.1413732878581	733	151771690	151771550.0	151771870.0	Tissue invariant	151771690
chr4	158671920	158672360	4.850736	13.1207359481583	733	158672150	158672050.0	158672230.0	Tissue invariant	158672150
chr12	29381140	29381380	12.298392	11.0650468485675	733	29381250	29381210.0	29381290.0	Tissue invariant	29381250
chr2	64524100	64524360	2.339831	10.6664203819918	733	64524230	64524190.0	64524250.0	Tissue invariant	64524230
chr8	96235500	96235720	8.696683	9.38458776261937	733	96235630	96235590.0	96235630.0	Tissue invariant	96235630
chr2	62705320	62705660	2.333064	13.258767585266	733	62705490	62705430.0	62705610.0	Tissue invariant	62705490
chr15	78438000	78438260	15.79204	10.6714973533424	733	78438130	78438110.0	78438170.0	Tissue invariant	78438130
chr3	179562680	179562960	3.914936	13.3841600136426	733	179562810	179562790.0	179562864.0	Tissue invariant	179562810
chr5	146447040	146447340	5.8260616	17.0008569031378	733	146447190	146447130.0	146447230.0	Tissue invariant	146447190
chr12	48157460	48157700	12.425152	10.2481926057299	733	48157590	48157570.0	48157610.0	Tissue invariant	48157590
chr7	149028560	149028940	7.9415711	12.0918477216917	733	149028750	149028710.0	149028830.0	Tissue invariant	149028750
chr15	72118140	72118420	15.736456	9.96888661664393	733	72118290	72118230.0	72118350.0	Tissue invariant	72118290
chr19	47349100	47349360	19.82669	11.2739028376535	733	47349230	47349210.0	47349250.0	Tissue invariant	47349230
chr19	47515120	47515580	19.829205	17.2941347748977	733	47515330	47515270.0	47515490.0	Tissue invariant	47515330
chr22	41589840	41590180	22.836053	13.6065340654843	733	41590030	41589970.0	41590050.0	Tissue invariant	41590030
chr1	74198060	74198340	1.368214	6.42321225784447	733	74198210	74198150.0	74198290.0	Tissue invariant	74198210
chr2	73737320	73737580	2.374065	8.26020950886767	733	73737450	73737410.0	73737490.0	Tissue invariant	73737450
chr8	56074432	56074680	8.4476989	8.08611218281037	733	56074550	56074530.0	56074610.0	Tissue invariant	56074550
chr11	9314620	9314960	11.162099	9.72087537517053	733	9314810	9314670.0	9314870.0	Tissue invariant	9314810
chr9	35604040	35604356	9.3314976	13.4928194270123	733	35604190	35604150.0	35604230.0	Tissue invariant	35604190
chr12	45990620	45990920	12.410599	17.3159837107776	733	45990790	45990750.0	45990830.0	Tissue invariant	45990790
chr15	75454020	75454320	15.765841	16.0731360436562	733	75454190	75454130.0	75454210.0	Tissue invariant	75454190
chr1	75786040	75786300	1.3739639	7.21118849931787	733	75786170	75786150.0	75786210.0	Tissue invariant	75786170
chr17	39980480	39980820	17.532166	15.0475195770805	733	39980630	39980570.0	39980690.0	Tissue invariant	39980630
chr3	179604580	179604820	3.915156	8.19662555252387	733	179604710	179604650.0	179604730.0	Tissue invariant	179604710
chr9	2844080	2844360	9.1184774	11.291880627558	733	2844230	2844190.0	2844250.0	Tissue invariant	2844230
chr19	10928620	10928820	19.2677	8.88792109140518	733	10928730	10928690.0	10928750.0	Tissue invariant	10928730
chr1	205750180	205750460	1.8436502	11.8959542428377	733	205750330	205750310.0	205750410.0	Tissue invariant	205750330
chr19	45717300	45717680	19.801669	12.2659742701228	733	45717490	45717410.0	45717570.0	Tissue invariant	45717490
chr6	33249243	33249538	6.2751702	10.8446302046385	733	33249390	33249330.0	33249410.0	Tissue invariant	33249390
chr16	88663100	88663344	16.98318	8.95992266575716	733	88663230	88663210.0	88663270.0	Tissue invariant	88663230
chr1	156338280	156338540	1.6650719	16.2653651296044	733	156338410	156338370.0	156338510.0	Tissue invariant	156338410
chr15	40694980	40695220	15.459006	5.6111539686221	733	40695090	40695050.0	40695130.0	Tissue invariant	40695090
chr17	67717660	67717960	17.831748	11.2962458526603	733	67717830	67717790.0	67717850.0	Tissue invariant	67717830
chr12	67269080	67269380	12.5542669	12.4156369440655	733	67269210	67269130.0	67269324.0	Tissue invariant	67269210
chr7	10973664	10973920	7.162	8.06740487039563	733	10973790	10973770.0	10973830.0	Tissue invariant	10973790
chr4	87422460	87422740	4.5136736	6.17489893451569	733	87422590	87422550.0	87422702.0	Tissue invariant	87422590
chr10	97640416	97640680	10.7564891	11.6134102046385	733	97640550	97640490.0	97640590.0	Tissue invariant	97640550
chr19	55259060	55259420	19.948166	13.4806114597544	733	55259270	55259110.0	55259350.0	Tissue invariant	55259270
chr7	139231051	139231280	7.886215	8.42080566166439	733	139231150	139231130.0	139231190.0	Tissue invariant	139231150
chr3	195443020	195443380	3.987035	12.695241691678	733	195443230	195443170.0	195443270.0	Tissue invariant	195443230
chr2	128027300	128027560	2.5757659	11.3901725238745	733	128027430	128027410.0	128027470.0	Tissue invariant	128027430
chr19	43575580	43575821	19.768816	10.7465537517053	733	43575710	43575656.0	43575730.0	Tissue invariant	43575710
chr5	131170700	131170970	5.75023	12.0911787039563	733	131170830	131170810.0	131170850.0	Tissue invariant	131170830
chr4	185425900	185426300	4.977367	4.6520622319236	733	185426170	185425950.0	185426230.0	Tissue invariant	185426170
chr9	33076620	33076860	9.315085	8.32877587994543	733	33076750	33076710.0	33076770.0	Tissue invariant	33076750
chr12	68332300	68332560	12.5614719	9.3207472851296	733	68332430	68332390.0	68332450.0	Tissue invariant	68332430
chr6	33391400	33391780	6.2758702	15.1396563847203	733	33391590	33391470.0	33391650.0	Tissue invariant	33391590
chr5	132866460	132866680	5.758702	14.1316193860846	733	132866570	132866490.0	132866590.0	Tissue invariant	132866570
chr2	148020740	148021060	2.6500706	13.1459044065484	733	148020890	148020850.0	148020964.0	Tissue invariant	148020890
chr1	156193800	156194100	1.664527	12.1147772987722	733	156193950	156193910.0	156193990.0	Tissue invariant	156193950
chr11	66268360	66268620	11.541579	14.1170468076398	733	66268490	66268470.0	66268530.0	Tissue invariant	66268490
chr1	175023400	175023631	1.732578	10.8036411050477	733	175023530	175023490.0	175023550.0	Tissue invariant	175023530
chr15	22838440	22838738	15.301539	9.29376563437926	733	22838590	22838530.0	22838630.0	Tissue invariant	22838590
chr7	21427160	21427513	7.2210659	10.4104059890859	733	21427350	21427290.0	21427410.0	Tissue invariant	21427350
chr22	19144660	19144920	22.43879	9.27218223738063	733	19144790	19144750.0	19144810.0	Tissue invariant	19144790
chr12	71839580	71839820	12.5850902	6.51027691678035	733	71839710	71839690.0	71839750.0	Tissue invariant	71839710
chr7	19709000	19709240	7.211331	7.07565732196453	733	19709110	19709070.0	19709150.0	Tissue invariant	19709110
chr15	34224880	34225100	15.401995	10.8718906139154	733	34224990	34224930.0	34225010.0	Tissue invariant	34224990
chr3	196942440	196942699	3.993816	9.68531697135061	733	196942570	196942530.0	196942590.0	Tissue invariant	196942570
chr5	121961760	121962020	5.70467	9.42391526603001	733	121961890	121961850.0	121961930.0	Tissue invariant	121961890
chr5	123423360	123423640	5.7118749	12.0193758253752	733	123423510	123423470.0	123423570.0	Tissue invariant	123423510
chr5	123511940	123512238	5.71233	7.85734691678036	733	123512070	123512030.0	123512150.0	Tissue invariant	123512070
chr4	112231440	112231800	4.6309659	7.77508409822647	733	112231650	112231490.0	112231690.0	Tissue invariant	112231650
chr17	410020	410320	17.104515	12.9874836971351	733	410170	410150.0	410230.0	Tissue invariant	410170
chr19	11435160	11435600	19.27541	14.4947612824011	733	11435350	11435250.0	11435490.0	Tissue invariant	11435350
chr1	19596820	19597040	1.1708437	9.51683025920873	733	19596930	19596890.0	19596970.0	Tissue invariant	19596930
chr3	193593000	193593240	3.978653	9.95929633015007	733	193593130	193593090.0	193593170.0	Tissue invariant	193593130
chr22	31399420	31399657	22.655719	6.7847121377899	733	31399550	31399490.0	31399590.0	Tissue invariant	31399550
chr22	30592100	30592340	22.64134	10.7782608185539	733	30592230	30592130.0	30592250.0	Tissue invariant	30592230
chr22	29553680	29553940	22.62292	5.8432485675307	733	29553810	29553750.0	29553850.0	Tissue invariant	29553810
chr12	56360180	56360524	12.4806693	15.659979372442	733	56360370	56360270.0	56360410.0	Tissue invariant	56360370
chr12	56333940	56334189	12.4804766	8.17346761255116	733	56334070	56334050.0	56334110.0	Tissue invariant	56334070
chr1	32394424	32394780	1.2170786	11.1519615416098	733	32394610	32394530.0	32394670.0	Tissue invariant	32394610
chr19	45178280	45178740	19.793293	18.3868273260573	733	45178510	45178370.0	45178690.0	Tissue invariant	45178510
chr22	30423900	30424220	22.638366	14.2531298090041	733	30424050	30424010.0	30424110.0	Tissue invariant	30424050
chr10	102152080	102152420	10.7868936	11.3491775989086	733	102152250	102152190.0	102152310.0	Tissue invariant	102152250
chr19	45370560	45370800	19.796253	11.19372946794	733	45370690	45370670.0	45370710.0	Tissue invariant	45370690
chr7	6348900	6349140	7.135868	8.49090407912688	733	6349030	6348990.0	6349070.0	Tissue invariant	6349030
chr9	129080800	129081140	9.939273	12.1150434106412	733	129080970	129080910.0	129081010.0	Tissue invariant	129080970
chr22	30969048	30969280	22.648046	9.52142521145975	733	30969170	30969150.0	30969190.0	Tissue invariant	30969170
chr1	206203040	206203280	1.845268	13.3210428922237	733	206203170	206203130.0	206203210.0	Tissue invariant	206203170
chr12	55973580	55974059	12.478031	17.6825282946794	733	55973850	55973690.0	55973930.0	Tissue invariant	55973850
chr3	66220780	66221040	3.400611	6.6872816425648	733	66220930	66220890.0	66220970.0	Tissue invariant	66220930
chr5	138543180	138543520	5.7868544	13.6639370941337	733	138543330	138543290.0	138543370.0	Tissue invariant	138543330
chr12	55817720	55818040	12.4768861	15.2204604911323	733	55817870	55817830.0	55817910.0	Tissue invariant	55817870
chr15	50424160	50424460	15.544895	8.65373208731241	733	50424310	50424250.0	50424350.0	Tissue invariant	50424310
chr7	141738120	141738400	7.900408	7.55826330150068	733	141738270	141738210.0	141738310.0	Tissue invariant	141738270
chr11	68460281	68460680	11.556175	11.7513070122783	733	68460490	68460170.0	68460630.0	Tissue invariant	68460490
chr17	63621982	63622329	17.787555	15.9170213096862	733	63622170	63622110.0	63622204.0	Tissue invariant	63622170
chr17	63842742	63843160	17.789959	11.0848064665757	733	63842950	63842830.0	63843070.0	Tissue invariant	63842950
chr10	99732080	99732320	10.770671	8.10270600272851	733	99732210	99732170.0	99732230.0	Tissue invariant	99732210
chr19	44212280	44212600	19.778509	5.54653900272851	733	44212450	44212310.0	44212570.0	Tissue invariant	44212450
chr17	63773580	63773880	17.789171	13.6541047885402	733	63773750	63773670.0	63773823.0	Tissue invariant	63773750
chr17	38825269	38825500	17.519614	8.50108188267394	733	38825370	38825350.0	38825410.0	Tissue invariant	38825370
chr17	63741760	63742000	17.788857	9.1078719781719	733	63741870	63741830.0	63741890.0	Tissue invariant	63741870
chr1	176207485	176207720	1.736919	7.72999796725784	733	176207590	176207530.0	176207650.0	Tissue invariant	176207590
chr9	33290300	33290560	9.3164685	10.8125154979536	733	33290430	33290370.0	33290450.0	Tissue invariant	33290430
chr12	56688200	56688600	12.4828717	9.45197504774898	733	56688410	56688310.0	56688530.0	Tissue invariant	56688410
chr7	7640460	7640760	7.1431695	11.8370351568895	733	7640610	7640570.0	7640650.0	Tissue invariant	7640610
chr9	33473900	33474160	9.3176766	11.866396207367	733	33474030	33474010.0	33474050.0	Tissue invariant	33474030
chr12	57547153	57547360	12.488545	7.71985020463847	733	57547250	57547230.0	57547270.0	Tissue invariant	57547250
chr12	57487868	57488083	12.48817	7.61280593451569	733	57487990	57487950.0	57488010.0	Tissue invariant	57487990
chr15	48811060	48811360	15.530822	12.7201352933151	733	48811210	48811170.0	48811270.0	Tissue invariant	48811210
chr10	100912740	100912980	10.778604	8.88173039563438	733	100912870	100912810.0	100912890.0	Tissue invariant	100912870
chr12	56725280	56725560	12.483084	8.96824092769441	733	56725410	56725330.0	56725450.0	Tissue invariant	56725410
chr9	36190700	36190940	9.3352881	10.0641976944065	733	36190830	36190770.0	36190850.0	Tissue invariant	36190830
chr1	160343200	160343420	1.679574	6.31616122783083	733	160343310	160343290.0	160343330.0	Tissue invariant	160343310
chr17	38296899	38297080	17.514034	7.50255079126876	733	38296990	38296970.0	38297010.0	Tissue invariant	38296990
chr6	159789660	159789920	6.941823	14.2318569031378	733	159789790	159789750.0	159789830.0	Tissue invariant	159789790
chr19	5622800	5623140	19.18617	14.8067968076398	733	5622970	5622930.0	5623030.0	Tissue invariant	5622970
chr11	125592500	125592840	11.936673	15.4979566302865	733	125592650	125592610.0	125592730.0	Tissue invariant	125592650
chr17	45061054	45061360	17.587048	13.340408212824	733	45061210	45061150.0	45061290.0	Tissue invariant	45061210
chr1	93180380	93180700	1.4367745	9.09965982264666	733	93180530	93180490.0	93180590.0	Tissue invariant	93180530
chr11	125111640	125111980	11.933473	11.6485867803547	733	125111790	125111710.0	125111850.0	Tissue invariant	125111790
chr19	5720140	5720420	19.18773	11.2410354706685	733	5720270	5720236.0	5720350.0	Tissue invariant	5720270
chr6	122471780	122471980	6.745273	6.34304864938608	733	122471890	122471850.0	122471910.0	Tissue invariant	122471890
chr16	23557320	23557680	16.334751	10.3274826603001	733	23557510	23557410.0	23557590.0	Tissue invariant	23557510
chr5	178153880	178154120	5.9831786	10.3283557844475	733	178153990	178153970.0	178154030.0	Tissue invariant	178153990
chr16	23641300	23641520	16.335558	4.925156053206	733	23641410	23641370.0	23641430.0	Tissue invariant	23641410
chr5	179623640	179623965	5.990442	10.8924152523874	733	179623810	179623730.0	179623850.0	Tissue invariant	179623810
chr16	27203680	27204020	16.370981	13.8515268758527	733	27203850	27203730.0	27203890.0	Tissue invariant	27203850
chr16	27549900	27550160	16.374457	10.9470469031378	733	27550010	27549990.0	27550050.0	Tissue invariant	27550010
chr11	3797600	3797956	11.12536	16.2395998362892	733	3797790	3797750.0	3797850.0	Tissue invariant	3797790
chr19	8390038	8390320	19.2287	15.1606637107776	733	8390170	8390110.0	8390210.0	Tissue invariant	8390170
chr11	94493784	94494040	11.729493	9.57963066848568	733	94493910	94493870.0	94493930.0	Tissue invariant	94493910
chr3	41962080	41962520	3.290471	13.4709899454297	733	41962230	41962170.0	41962430.0	Tissue invariant	41962230
chr3	38137094	38137420	3.273104	10.7264633697135	733	38137250	38137210.0	38137350.0	Tissue invariant	38137250
chr5	177351800	177352037	5.9791757	6.83721864938608	733	177351910	177351850.0	177351950.0	Tissue invariant	177351910
chr19	52269412	52269654	19.902132	5.91637424283765	733	52269530	52269490.0	52269570.0	Tissue invariant	52269530
chr2	24047398	24047620	2.1893645	9.03823641200546	733	24047510	24047490.0	24047530.0	Tissue invariant	24047510
chr2	26345809	26346093	2.197903	13.09414	733	26345950	26345896.0	26346030.0	Tissue invariant	26345950
chr3	51941940	51942260	3.335826	15.4917120190996	733	51942090	51942050.0	51942190.0	Tissue invariant	51942090
