Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr1	24202069	24202131	P78545	ELF3.hg38	5	18	24202100
chr14	55271210	55271262	P78545	ELF3.hg38	5	17	55271236
chr1	233244343	233244386	P78545	ELF3.hg38	5	17	233244364
chr15	62115938	62116015	P78545	ELF3.hg38	4	17	62115976
chr16	4956319	4956404	P78545	ELF3.hg38	4	17	4956361
chr6	126040988	126041041	P78545	ELF3.hg38	5	17	126041014
chr17	46287011	46287082	P78545	ELF3.hg38	4	17	46287046
chr7	131007663	131007727	P78545	ELF3.hg38	5	17	131007695
chr7	95431080	95431131	P78545	ELF3.hg38	5	17	95431105
chr13	112721323	112721379	P78545	ELF3.hg38	4	16	112721351
chr11	9661051	9661084	P78545	ELF3.hg38	4	16	9661067
chr12	48867159	48867184	P78545	ELF3.hg38	4	16	48867171
chr1	37534628	37534711	P78545	ELF3.hg38	4	16	37534669
chr7	36287574	36287610	P78545	ELF3.hg38	4	16	36287592
chr6	133745893	133745950	P78545	ELF3.hg38	5	16	133745921
chr12	132600576	132600627	P78545	ELF3.hg38	4	16	132600601
chr3	13895501	13895547	P78545	ELF3.hg38	4	16	13895524
chr4	141679057	141679114	P78545	ELF3.hg38	4	16	141679085
chr14	55593903	55593967	P78545	ELF3.hg38	5	16	55593935
chr17	18033624	18033659	P78545	ELF3.hg38	4	16	18033641
chr12	46473731	46473784	P78545	ELF3.hg38	5	16	46473757
chr5	172355309	172355370	P78545	ELF3.hg38	4	16	172355339
chr19	2056484	2056533	P78545	ELF3.hg38	4	16	2056508
chr19	6863635	6863688	P78545	ELF3.hg38	4	16	6863661
chr19	41884188	41884223	P78545	ELF3.hg38	4	16	41884205
chr3	65952349	65952387	P78545	ELF3.hg38	4	16	65952368
chr19	35592391	35592440	P78545	ELF3.hg38	4	16	35592415
chr11	9510790	9510831	P78545	ELF3.hg38	5	16	9510810
chr7	47576153	47576229	P78545	ELF3.hg38	5	16	47576191
chr12	12656091	12656150	P78545	ELF3.hg38	5	16	12656120
chr19	42450513	42450584	P78545	ELF3.hg38	4	16	42450548
chr19	18678159	18678186	P78545	ELF3.hg38	4	16	18678172
chr11	69298580	69298682	P78545	ELF3.hg38	4	16	69298631
chr19	7345684	7345724	P78545	ELF3.hg38	4	16	7345704
chr4	82865776	82865827	P78545	ELF3.hg38	4	16	82865801
chr15	58333088	58333183	P78545	ELF3.hg38	4	16	58333135
chr1	214123213	214123240	P78545	ELF3.hg38	4	16	214123226
chr1	29106131	29106191	P78545	ELF3.hg38	4	16	29106161
chr16	71982082	71982143	P78545	ELF3.hg38	4	16	71982112
chr18	44895593	44895620	P78545	ELF3.hg38	4	16	44895606
chr5	138077306	138077376	P78545	ELF3.hg38	4	16	138077341
chr6	43334585	43334657	P78545	ELF3.hg38	5	16	43334621
chr6	151716589	151716632	P78545	ELF3.hg38	4	16	151716610
chr8	37691445	37691516	P78545	ELF3.hg38	4	16	37691480
chr12	95635062	95635126	P78545	ELF3.hg38	4	16	95635094
chr1	247372901	247372970	P78545	ELF3.hg38	4	16	247372935
chr2	162430543	162430581	P78545	ELF3.hg38	4	16	162430562
chr12	53508742	53508786	P78545	ELF3.hg38	5	16	53508764
chr19	3710512	3710557	P78545	ELF3.hg38	4	16	3710534
chr2	176652480	176652522	P78545	ELF3.hg38	4	16	176652501
chr8	80230905	80230968	P78545	ELF3.hg38	5	16	80230936
chr8	47525022	47525070	P78545	ELF3.hg38	5	16	47525046
chr7	157136522	157136599	P78545	ELF3.hg38	4	16	157136560
chr18	3045580	3045619	P78545	ELF3.hg38	5	16	3045599
chr4	119081036	119081078	P78545	ELF3.hg38	5	16	119081057
chr14	104078165	104078226	P78545	ELF3.hg38	4	16	104078195
chr9	72214028	72214113	P78545	ELF3.hg38	4	16	72214070
chr17	1577403	1577450	P78545	ELF3.hg38	4	16	1577426
chr3	22714058	22714125	P78545	ELF3.hg38	4	16	22714091
chr1	115807980	115808035	P78545	ELF3.hg38	4	16	115808007
chr4	128811076	128811150	P78545	ELF3.hg38	4	16	128811113
chr19	45915667	45915714	P78545	ELF3.hg38	4	16	45915690
chr8	42843496	42843567	P78545	ELF3.hg38	4	16	42843531
chr11	705009	705078	P78545	ELF3.hg38	4	16	705043
chr7	22443518	22443577	P78545	ELF3.hg38	4	16	22443547
chr3	104628322	104628379	P78545	ELF3.hg38	4	16	104628350
chr1	6413017	6413067	P78545	ELF3.hg38	4	16	6413042
chr19	17475740	17475804	P78545	ELF3.hg38	4	16	17475772
chr3	51100451	51100525	P78545	ELF3.hg38	5	16	51100488
chr11	35579827	35579852	P78545	ELF3.hg38	4	16	35579839
chr19	38267249	38267293	P78545	ELF3.hg38	4	16	38267271
chr12	124898586	124898620	P78545	ELF3.hg38	4	16	124898603
chr8	123447956	123448005	P78545	ELF3.hg38	4	16	123447980
chr15	59276772	59276839	P78545	ELF3.hg38	4	16	59276805
chr12	132154036	132154122	P78545	ELF3.hg38	4	16	132154079
chr6	143940205	143940245	P78545	ELF3.hg38	4	16	143940225
chr7	135171740	135171801	P78545	ELF3.hg38	4	16	135171770
chr1	99707692	99707730	P78545	ELF3.hg38	4	16	99707711
