Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr17	76737456	76737545	Q14119	VEZF1	2	8	76737500	0.9864999998793006
chr2	113889867	113889946	Q14119	VEZF1	2	8	113889906	0.9697999998793004
chr16	53704053	53704128	Q14119	VEZF1	2	8	53704090	0.9560499999068678
chr1	182962654	182962731	Q14119	VEZF1	2	8	182962692	0.9686999999955296
chr5	160419137	160419226	Q14119	VEZF1	2	7	160419181	0.9872999999865888
chr15	76336502	76336544	Q14119	VEZF1	2	7	76336523	0.9571999998487531
chr9	85610238	85610327	Q14119	VEZF1	2	7	85610282	0.9746999999444932
chr9	35732318	35732380	Q14119	VEZF1	2	7	35732349	0.9993000000596046
chr1	93672305	93672328	Q14119	VEZF1	2	7	93672316	0.9599999999850988
chr9	37753764	37753853	Q14119	VEZF1	2	7	37753808	0.9607999997377396
chr17	5486358	5486405	Q14119	VEZF1	2	7	5486381	0.9689399996697904
chr4	1721343	1721381	Q14119	VEZF1	2	7	1721362	0.9563999998584388
chr2	119759771	119759860	Q14119	VEZF1	2	7	119759815	0.994899999897182
chr6	31902139	31902228	Q14119	VEZF1	2	7	31902183	0.9509999995872378
chr6	31158437	31158542	Q14119	VEZF1	2	7	31158489	0.960099999980256
chr19	47515362	47515389	Q14119	VEZF1	2	7	47515375	0.9703999997109176
chr11	60841999	60842058	Q14119	VEZF1	2	7	60842028	0.9632000002935528
chr2	48106711	48106738	Q14119	VEZF1	2	7	48106724	0.9652000000033528
chr6	28218960	28218990	Q14119	VEZF1	2	7	28218975	0.964100000197068
chr16	50025118	50025160	Q14119	VEZF1	2	7	50025139	0.979399999833852
chr4	14856577	14856648	Q14119	VEZF1	2	7	14856612	0.9974000000536442
chr10	30349366	30349396	Q14119	VEZF1	2	7	30349381	0.96119999974519
chr21	43884228	43884343	Q14119	VEZF1	2	7	43884285	0.9598999999791384
chr2	109214218	109214320	Q14119	VEZF1	2	7	109214269	0.9977999999701976
chr12	104064508	104064558	Q14119	VEZF1	2	7	104064533	0.9557000000655652
chr12	66302394	66302483	Q14119	VEZF1	2	7	66302438	0.9882999999642372
chr2	213284295	213284384	Q14119	VEZF1	2	7	213284339	0.9790000000737608
