Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr5	72848073	72848106	P15407	FOSL1	9	29	72848089	0.9884000001072883
chr11	65919354	65919371	P15407	FOSL1	8	28	65919362	0.9504340000405908
chr11	9566134	9566215	P15407	FOSL1	6	27	9566174	0.9612639999747276
chr1	109484230	109484253	P15407	FOSL1	8	27	109484241	1.0
chr17	75516426	75516473	P15407	FOSL1	7	26	75516449	0.9774000001106412
chr12	56630405	56630432	P15407	FOSL1	7	25	56630418	0.950400000089407
chr20	1416136	1416190	P15407	FOSL1	6	24	1416163	0.9886999995496124
chr20	62407425	62407456	P15407	FOSL1	7	24	62407440	0.999799999898672
chr12	57112246	57112283	P15407	FOSL1	8	24	57112264	0.9634000001162292
chr4	126850441	126850486	P15407	FOSL1	6	23	126850463	0.9887000000283122
chr10	63707466	63707525	P15407	FOSL1	7	23	63707495	0.956499999947846
chr6	158040461	158040502	P15407	FOSL1	6	23	158040481	0.9600999999701976
chr4	121711739	121711768	P15407	FOSL1	7	23	121711753	0.9884000000923872
chr1	115179667	115179730	P15407	FOSL1	6	23	115179698	0.9996999999880792
chr20	35305856	35305889	P15407	FOSL1	6	23	35305872	0.966799999806285
chr14	22537078	22537121	P15407	FOSL1	7	23	22537099	0.9984999999582768
chr13	21671000	21671027	P15407	FOSL1	7	23	21671013	0.9958999999642372
chr8	141026883	141026952	P15407	FOSL1	6	23	141026917	0.9524999998446554
chr2	172253359	172253384	P15407	FOSL1	7	22	172253371	0.9574739998467268
chr5	93620635	93620665	P15407	FOSL1	7	22	93620650	0.9956999999642372
chr5	91314434	91314503	P15407	FOSL1	7	22	91314468	0.9687999999448657
chr6	136610430	136610494	P15407	FOSL1	6	22	136610462	0.9637000001445412
chr9	86348659	86348685	P15407	FOSL1	6	22	86348672	0.9682999999091028
chr11	5280747	5280768	P15407	FOSL1	6	22	5280757	0.978099999961257
chr20	58624037	58624086	P15407	FOSL1	6	22	58624061	1.0
chr5	143246189	143246256	P15407	FOSL1	6	22	143246222	0.9854000000417232
chr4	1043781	1043831	P15407	FOSL1	6	22	1043806	0.9839439998030662
chr11	86740780	86740805	P15407	FOSL1	7	21	86740792	0.9849999999053776
chr3	56132378	56132414	P15407	FOSL1	6	21	56132396	0.9769000001847744
chr11	9759767	9759799	P15407	FOSL1	6	21	9759783	0.9822000000447036
chr1	7401957	7401999	P15407	FOSL1	6	21	7401978	0.9906000000715256
chr7	26200880	26200957	P15407	FOSL1	6	21	26200918	0.9853059998840094
