Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr2	156334732	156334760	Q06413	MEF2C.hg38	3	11	156334746
chr10	44978795	44978890	Q06413	MEF2C.hg38	3	10	44978842
chr12	49663190	49663227	Q06413	MEF2C.hg38	3	10	49663208
chr1	26744275	26744312	Q06413	MEF2C.hg38	3	10	26744293
chr2	219279255	219279326	Q06413	MEF2C.hg38	3	10	219279290
chr12	43338964	43339001	Q06413	MEF2C.hg38	3	10	43338982
chr5	62277144	62277181	Q06413	MEF2C.hg38	3	9	62277162
chr13	41916748	41916785	Q06413	MEF2C.hg38	3	9	41916766
chr16	46388667	46388683	Q06413	MEF2C.hg38	2	9	46388675
chr17	44111261	44111298	Q06413	MEF2C.hg38	3	9	44111279
chr12	6167996	6168033	Q06413	MEF2C.hg38	3	9	6168014
chr16	57299921	57299958	Q06413	MEF2C.hg38	3	9	57299939
chr3	42072434	42072521	Q06413	MEF2C.hg38	3	9	42072477
chr15	31004538	31004578	Q06413	MEF2C.hg38	3	9	31004558
chr1	220876766	220876803	Q06413	MEF2C.hg38	2	8	220876784
chr1	89692950	89692987	Q06413	MEF2C.hg38	3	8	89692968
chr3	61924287	61924311	Q06413	MEF2C.hg38	2	8	61924299
chr12	45268793	45268830	Q06413	MEF2C.hg38	2	8	45268811
chr19	2168418	2168510	Q06413	MEF2C.hg38	3	8	2168464
chr12	14905368	14905405	Q06413	MEF2C.hg38	2	8	14905386
chr8	125513257	125513294	Q06413	MEF2C.hg38	3	8	125513275
chr3	157160845	157160882	Q06413	MEF2C.hg38	3	8	157160863
chr3	8658601	8658638	Q06413	MEF2C.hg38	3	8	8658619
chr1	634020	634042	Q06413	MEF2C.hg38	3	8	634031
chr3	49805576	49805613	Q06413	MEF2C.hg38	3	8	49805594
chr1	192559663	192559700	Q06413	MEF2C.hg38	3	8	192559681
chr18	57819850	57819958	Q06413	MEF2C.hg38	3	8	57819904
chr6	79545087	79545124	Q06413	MEF2C.hg38	3	8	79545105
chr2	25294918	25294955	Q06413	MEF2C.hg38	3	8	25294936
chr6	89081688	89081725	Q06413	MEF2C.hg38	3	7	89081706
chr5	142316272	142316309	Q06413	MEF2C.hg38	2	7	142316290
chr4	47564521	47564584	Q06413	MEF2C.hg38	3	7	47564552
chr2	108662361	108662377	Q06413	MEF2C.hg38	2	7	108662369
chr5	147404439	147404476	Q06413	MEF2C.hg38	3	7	147404457
chr2	20579378	20579415	Q06413	MEF2C.hg38	3	7	20579396
chr21	28283953	28283990	Q06413	MEF2C.hg38	2	7	28283971
chr8	133654575	133654612	Q06413	MEF2C.hg38	2	7	133654593
chr6	34236874	34236965	Q06413	MEF2C.hg38	3	7	34236919
chr12	92539480	92539517	Q06413	MEF2C.hg38	3	7	92539498
chr2	209525920	209525957	Q06413	MEF2C.hg38	3	7	209525938
chr19	3451026	3451063	Q06413	MEF2C.hg38	3	7	3451044
chr12	19801068	19801105	Q06413	MEF2C.hg38	3	7	19801086
chr11	65472224	65472261	Q06413	MEF2C.hg38	3	7	65472242
chr12	122872048	122872085	Q06413	MEF2C.hg38	2	7	122872066
chr15	38085322	38085338	Q06413	MEF2C.hg38	2	7	38085330
chr4	38190983	38191020	Q06413	MEF2C.hg38	3	7	38191001
chr13	110870476	110870513	Q06413	MEF2C.hg38	2	7	110870494
chr6	134236143	134236180	Q06413	MEF2C.hg38	3	7	134236161
chr12	27180030	27180067	Q06413	MEF2C.hg38	3	7	27180048
chr7	121372831	121372868	Q06413	MEF2C.hg38	3	7	121372849
chr3	188439204	188439241	Q06413	MEF2C.hg38	3	7	188439222
chr7	101121988	101122025	Q06413	MEF2C.hg38	2	7	101122006
chr15	31353617	31353654	Q06413	MEF2C.hg38	3	7	31353635
chr10	41875413	41875461	Q06413	MEF2C.hg38	2	7	41875437
chr16	34573060	34573119	Q06413	MEF2C.hg38	2	7	34573089
chr15	95557729	95557766	Q06413	MEF2C.hg38	2	7	95557747
chr2	11753789	11753826	Q06413	MEF2C.hg38	3	7	11753807
chr8	42298053	42298073	Q06413	MEF2C.hg38	2	7	42298063
chr6	3813359	3813396	Q06413	MEF2C.hg38	3	7	3813377
chr11	44818286	44818323	Q06413	MEF2C.hg38	2	7	44818304
chr20	31052059	31052111	Q06413	MEF2C.hg38	3	7	31052085
chr16	46390514	46390546	Q06413	MEF2C.hg38	3	7	46390530
chr5	131635476	131635513	Q06413	MEF2C.hg38	3	7	131635494
chr1	66624032	66624069	Q06413	MEF2C.hg38	2	7	66624050
chr16	81492734	81492771	Q06413	MEF2C.hg38	2	7	81492752
chr5	49666203	49666222	Q06413	MEF2C.hg38	3	7	49666212
chr14	68958717	68958754	Q06413	MEF2C.hg38	2	7	68958735
chr1	225999674	225999745	Q06413	MEF2C.hg38	3	7	225999709
chr3	197712456	197712493	Q06413	MEF2C.hg38	3	7	197712474
chr12	52037014	52037030	Q06413	MEF2C.hg38	3	7	52037022
chr2	201414295	201414332	Q06413	MEF2C.hg38	3	7	201414313
chr2	234691217	234691254	Q06413	MEF2C.hg38	2	7	234691235
chr6	25006751	25006788	Q06413	MEF2C.hg38	3	7	25006769
chr3	40971698	40971777	Q06413	MEF2C.hg38	2	7	40971737
chr20	58907974	58908011	Q06413	MEF2C.hg38	3	7	58907992
chr12	75934607	75934644	Q06413	MEF2C.hg38	3	7	75934625
chr9	107587746	107587783	Q06413	MEF2C.hg38	2	6	107587764
chr11	9613232	9613311	Q06413	MEF2C.hg38	3	6	9613271
chr12	108838457	108838494	Q06413	MEF2C.hg38	3	6	108838475
chr8	21636519	21636556	Q06413	MEF2C.hg38	2	6	21636537
chr16	1543397	1543445	Q06413	MEF2C.hg38	2	6	1543421
chr16	46386423	46386442	Q06413	MEF2C.hg38	2	6	46386432
chr22	42805200	42805237	Q06413	MEF2C.hg38	2	6	42805218
chr22	42940241	42940278	Q06413	MEF2C.hg38	2	6	42940259
chr3	15805975	15806012	Q06413	MEF2C.hg38	2	6	15805993
chr6	157129489	157129526	Q06413	MEF2C.hg38	2	6	157129507
chr6	85460851	85460888	Q06413	MEF2C.hg38	2	6	85460869
chr5	149062554	149062622	Q06413	MEF2C.hg38	2	6	149062588
chr11	7977878	7977915	Q06413	MEF2C.hg38	2	6	7977896
chr20	57748940	57749021	Q06413	MEF2C.hg38	3	6	57748980
chr12	2336394	2336431	Q06413	MEF2C.hg38	2	6	2336412
chr1	21574231	21574312	Q06413	MEF2C.hg38	3	6	21574271
chr8	106270014	106270113	Q06413	MEF2C.hg38	2	6	106270063
chr6	136051230	136051267	Q06413	MEF2C.hg38	2	6	136051248
chr17	64385256	64385293	Q06413	MEF2C.hg38	2	6	64385274
chr6	1768122	1768159	Q06413	MEF2C.hg38	3	6	1768140
chr16	89422724	89422761	Q06413	MEF2C.hg38	3	6	89422742
chr11	110317506	110317543	Q06413	MEF2C.hg38	2	6	110317524
chr11	110069644	110069681	Q06413	MEF2C.hg38	2	6	110069662
chr14	68403279	68403316	Q06413	MEF2C.hg38	2	6	68403297
chr9	4530582	4530619	Q06413	MEF2C.hg38	2	6	4530600
chr5	158390688	158390779	Q06413	MEF2C.hg38	3	6	158390733
chr4	49149765	49149785	Q06413	MEF2C.hg38	2	6	49149775
chr17	25920176	25920224	Q06413	MEF2C.hg38	2	6	25920200
chr2	187302816	187302853	Q06413	MEF2C.hg38	2	6	187302834
chr12	122726128	122726165	Q06413	MEF2C.hg38	3	6	122726146
chr17	77110066	77110105	Q06413	MEF2C.hg38	2	6	77110085
chr17	22524427	22524454	Q06413	MEF2C.hg38	2	6	22524440
chr12	65936269	65936306	Q06413	MEF2C.hg38	2	6	65936287
chr17	21976451	21976475	Q06413	MEF2C.hg38	2	6	21976463
chr8	133499437	133499474	Q06413	MEF2C.hg38	2	6	133499455
chr1	143247067	143247086	Q06413	MEF2C.hg38	2	6	143247076
chr2	108595096	108595133	Q06413	MEF2C.hg38	2	6	108595114
chr11	128329492	128329529	Q06413	MEF2C.hg38	2	6	128329510
chr1	143253303	143253330	Q06413	MEF2C.hg38	2	6	143253316
chr4	184514384	184514421	Q06413	MEF2C.hg38	2	6	184514402
chr12	124453691	124453728	Q06413	MEF2C.hg38	3	6	124453709
chr8	29086003	29086075	Q06413	MEF2C.hg38	2	6	29086039
chr4	49657533	49657570	Q06413	MEF2C.hg38	2	6	49657551
chr3	23160087	23160124	Q06413	MEF2C.hg38	2	6	23160105
chr15	67074284	67074321	Q06413	MEF2C.hg38	3	6	67074302
chr10	38579018	38579041	Q06413	MEF2C.hg38	2	6	38579029
chr10	9331733	9331770	Q06413	MEF2C.hg38	3	6	9331751
chr16	34588525	34588569	Q06413	MEF2C.hg38	2	6	34588547
chr4	53321458	53321545	Q06413	MEF2C.hg38	2	6	53321501
chr2	20447050	20447077	Q06413	MEF2C.hg38	3	6	20447063
chr22	41448545	41448618	Q06413	MEF2C.hg38	3	6	41448581
chr7	44258079	44258116	Q06413	MEF2C.hg38	3	6	44258097
chr5	111756239	111756276	Q06413	MEF2C.hg38	2	6	111756257
chr6	129684199	129684236	Q06413	MEF2C.hg38	2	6	129684217
chr5	88785985	88786004	Q06413	MEF2C.hg38	3	6	88785994
chr12	25386208	25386245	Q06413	MEF2C.hg38	2	6	25386226
chr6	129749904	129749941	Q06413	MEF2C.hg38	2	6	129749922
chr10	41860288	41860304	Q06413	MEF2C.hg38	2	6	41860296
chr7	106072258	106072295	Q06413	MEF2C.hg38	2	6	106072276
chr13	80049018	80049046	Q06413	MEF2C.hg38	2	6	80049032
chr16	46380878	46380921	Q06413	MEF2C.hg38	2	6	46380899
chr14	93050104	93050141	Q06413	MEF2C.hg38	2	6	93050122
chr12	53214839	53214876	Q06413	MEF2C.hg38	2	6	53214857
chr8	126999132	126999169	Q06413	MEF2C.hg38	2	6	126999150
chr1	8096720	8096757	Q06413	MEF2C.hg38	3	6	8096738
chr1	12435845	12435882	Q06413	MEF2C.hg38	3	6	12435863
chr20	10353427	10353539	Q06413	MEF2C.hg38	2	6	10353483
chr13	104984359	104984396	Q06413	MEF2C.hg38	2	6	104984377
chr17	47279244	47279281	Q06413	MEF2C.hg38	2	6	47279262
chr18	46718690	46718727	Q06413	MEF2C.hg38	2	6	46718708
chr1	12052153	12052190	Q06413	MEF2C.hg38	2	6	12052171
chr13	44435392	44435429	Q06413	MEF2C.hg38	2	6	44435410
chr10	133689428	133689451	Q06413	MEF2C.hg38	2	6	133689439
chr7	151520052	151520089	Q06413	MEF2C.hg38	2	6	151520070
chr21	8234501	8234520	Q06413	MEF2C.hg38	2	6	8234510
chr14	50677671	50677708	Q06413	MEF2C.hg38	3	6	50677689
chr16	46400120	46400140	Q06413	MEF2C.hg38	2	6	46400130
chr10	77348289	77348326	Q06413	MEF2C.hg38	2	6	77348307
chr9	133558348	133558385	Q06413	MEF2C.hg38	3	6	133558366
chr1	234772562	234772599	Q06413	MEF2C.hg38	2	6	234772580
chr10	132517436	132517473	Q06413	MEF2C.hg38	2	6	132517454
chr11	65498974	65499011	Q06413	MEF2C.hg38	3	6	65498992
chr12	11727402	11727439	Q06413	MEF2C.hg38	2	6	11727420
chr14	36300512	36300549	Q06413	MEF2C.hg38	3	6	36300530
chr7	76302595	76302632	Q06413	MEF2C.hg38	3	6	76302613
chr11	66015672	66015709	Q06413	MEF2C.hg38	2	6	66015690
chr5	124650328	124650365	Q06413	MEF2C.hg38	3	6	124650346
chr6	12490947	12490984	Q06413	MEF2C.hg38	2	6	12490965
chr1	156502996	156503033	Q06413	MEF2C.hg38	2	6	156503014
chr7	135160285	135160322	Q06413	MEF2C.hg38	2	6	135160303
chr12	6959259	6959296	Q06413	MEF2C.hg38	2	6	6959277
chr6	141483817	141483854	Q06413	MEF2C.hg38	3	6	141483835
chr12	42485151	42485188	Q06413	MEF2C.hg38	3	6	42485169
chr9	72365475	72365512	Q06413	MEF2C.hg38	3	6	72365493
chr17	2491233	2491270	Q06413	MEF2C.hg38	2	6	2491251
chr1	123195737	123195753	Q06413	MEF2C.hg38	2	6	123195745
chr9	99819918	99819938	Q06413	MEF2C.hg38	2	6	99819928
chr8	33554832	33554869	Q06413	MEF2C.hg38	3	6	33554850
chr10	77971406	77971443	Q06413	MEF2C.hg38	2	6	77971424
chr1	58784082	58784119	Q06413	MEF2C.hg38	3	6	58784100
chr8	125219406	125219443	Q06413	MEF2C.hg38	2	6	125219424
chr1	15329274	15329311	Q06413	MEF2C.hg38	2	6	15329292
chr13	111202839	111202876	Q06413	MEF2C.hg38	3	6	111202857
chr6	140572248	140572285	Q06413	MEF2C.hg38	2	6	140572266
chr14	91324065	91324102	Q06413	MEF2C.hg38	3	6	91324083
