Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr1	33472488	33472513	P41970	ELK3	1	5	33472500	0.9836000000052154
chr14	75002741	75002766	P41970	ELK3	1	5	75002753	0.962300000051409
chr17	7239706	7239731	P41970	ELK3	1	5	7239718	0.9812999998599292
chr3	157175001	157175026	P41970	ELK3	1	5	157175013	0.9586659998938442
chr19	58305214	58305239	P41970	ELK3	1	5	58305226	0.9903999999389052
chr2	47176579	47176604	P41970	ELK3	1	5	47176591	0.9817999999679624
chr15	99565853	99565878	P41970	ELK3	1	5	99565865	0.993699999895692
chr5	138465101	138465126	P41970	ELK3	1	5	138465113	0.9810999999925494
chr10	32958378	32958403	P41970	ELK3	1	5	32958390	0.9993000000715256
chr17	8151298	8151323	P41970	ELK3	1	5	8151310	0.9795000000327826
chr7	139737637	139737661	P41970	ELK3	1	5	139737649	0.9819999997645616
chr16	1782773	1782798	P41970	ELK3	1	5	1782785	0.9663000000625848
chr4	74157978	74158003	P41970	ELK3	1	5	74157990	0.9986000000953674
chr2	88627610	88627635	P41970	ELK3	1	5	88627622	0.982999999875948
chr11	20387412	20387437	P41970	ELK3	1	5	20387424	0.953099999756366
chr8	30095414	30095439	P41970	ELK3	1	4	30095426	0.9523999997172504
chr10	22325871	22325896	P41970	ELK3	1	4	22325883	0.9911679998397828
chr5	143405428	143405453	P41970	ELK3	1	4	143405440	1.0
chr20	18466865	18466890	P41970	ELK3	1	4	18466877	0.9738939996406436
chr11	67508252	67508277	P41970	ELK3	1	4	67508264	0.9572999999269844
chr13	60164014	60164039	P41970	ELK3	1	4	60164026	0.9735999997511506
chr18	59084368	59084393	P41970	ELK3	1	4	59084380	0.95569999977611
chr10	22003786	22003811	P41970	ELK3	1	4	22003798	0.9780999999962748
chr11	67277653	67277678	P41970	ELK3	1	4	67277665	0.9887000000610948
chr3	193869995	193870020	P41970	ELK3	1	4	193870007	0.9761000000286848
chr11	67288462	67288487	P41970	ELK3	1	4	67288474	0.993699999898672
chr13	72782038	72782063	P41970	ELK3	1	4	72782050	0.9758000000342728
chr2	46916059	46916084	P41970	ELK3	1	4	46916071	0.954199999903515
chr1	93977689	93977714	P41970	ELK3	1	4	93977701	0.9741999998938292
chr13	75537858	75537883	P41970	ELK3	1	4	75537870	0.9653999998517334
chr13	75549730	75549755	P41970	ELK3	1	4	75549742	0.9892999999940396
chr1	93721168	93721193	P41970	ELK3	1	4	93721180	0.9695999999057502
chr11	66842941	66842966	P41970	ELK3	1	4	66842953	0.9643999999962748
chr20	17968968	17968993	P41970	ELK3	1	4	17968980	0.9908999997317792
chr11	66480372	66480397	P41970	ELK3	1	4	66480384	0.971000000308454
chr2	46698942	46698967	P41970	ELK3	1	4	46698954	1.0
chr13	57630103	57630128	P41970	ELK3	1	4	57630115	0.9889000000420958
chr11	62124559	62124584	P41970	ELK3	1	4	62124571	0.9650319995731116
chr9	37592562	37592587	P41970	ELK3	1	4	37592574	0.9794999998524784
chr5	144170748	144170773	P41970	ELK3	1	4	144170760	0.995199999922514
chr9	36190743	36190768	P41970	ELK3	1	4	36190755	0.9645079999253152
chr2	150473934	150473959	P41970	ELK3	1	4	150473946	1.0
chr13	40771231	40771256	P41970	ELK3	1	4	40771243	0.9574699999347328
chr13	40776894	40776919	P41970	ELK3	1	4	40776906	0.9639600001335143
chr2	48111457	48111482	P41970	ELK3	1	4	48111469	0.971099999943748
chr8	33485146	33485171	P41970	ELK3	1	4	33485158	0.9524999995529652
chr13	42364347	42364372	P41970	ELK3	1	4	42364359	0.9770000000678004
chr18	57801833	57801858	P41970	ELK3	1	4	57801845	0.9743419998407364
chr13	43879085	43879110	P41970	ELK3	1	4	43879097	0.9917999998643996
chr2	48106731	48106756	P41970	ELK3	1	4	48106743	0.9652000000033528
chr13	44132937	44132962	P41970	ELK3	1	4	44132949	0.99710999994874
chr5	148383970	148383995	P41970	ELK3	1	4	148383982	0.9906000000149012
chr1	100133169	100133194	P41970	ELK3	1	4	100133181	0.9829000000953674
chr11	68903794	68903819	P41970	ELK3	1	4	68903806	0.9568000001374632
chr2	151289647	151289672	P41970	ELK3	1	4	151289659	0.9649000000089408
chr13	46052752	46052777	P41970	ELK3	1	4	46052764	0.9516999998800456
chr21	33542096	33542121	P41970	ELK3	1	4	33542108	0.9602499999292194
chr1	99648393	99648418	P41970	ELK3	1	4	99648405	0.9918000000014902
chr13	48303697	48303722	P41970	ELK3	1	4	48303709	0.96149999980703
