Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr6	1817377	1817405	Q9NQX0	PRDM6	2	10	1817391	0.969500000166893
chr5	124741092	124741159	Q9NQX0	PRDM6	2	10	124741125	1.0
chr1	17787757	17787792	Q9NQX0	PRDM6	2	10	17787774	0.9538000002130866
chr6	34386581	34386660	Q9NQX0	PRDM6	2	10	34386620	0.9644999995626508
chr7	27116549	27116621	Q9NQX0	PRDM6	2	10	27116585	0.9907000001400708
chr3	99866424	99866479	Q9NQX0	PRDM6	2	10	99866451	0.9989999999821186
chr10	74418561	74418617	Q9NQX0	PRDM6	2	10	74418589	0.9890999999940396
chr6	45816772	45816828	Q9NQX0	PRDM6	2	9	45816800	0.999600000077486
chr4	20294664	20294711	Q9NQX0	PRDM6	2	9	20294687	0.9760000001713632
chr8	13114496	13114584	Q9NQX0	PRDM6	2	9	13114540	0.9902999998003243
chr4	81378453	81378566	Q9NQX0	PRDM6	2	9	81378509	0.991100000064075
chr14	51581481	51581509	Q9NQX0	PRDM6	2	9	51581495	0.9984000000178814
chr2	210167437	210167468	Q9NQX0	PRDM6	2	9	210167452	0.9926000000461936
chr2	176504039	176504055	Q9NQX0	PRDM6	2	9	176504047	0.9925999999262392
chr12	68207373	68207428	Q9NQX0	PRDM6	2	9	68207400	0.9729999995842576
chr12	54052139	54052194	Q9NQX0	PRDM6	2	9	54052166	0.9978999999523164
chr6	116530544	116530576	Q9NQX0	PRDM6	2	9	116530560	0.9893000000610948
chr10	33388435	33388463	Q9NQX0	PRDM6	2	9	33388449	0.9620000000495464
chr15	98700017	98700108	Q9NQX0	PRDM6	2	9	98700062	0.9628000000029804
chr6	26025700	26025821	Q9NQX0	PRDM6	2	9	26025760	0.9878000001147388
chr2	171712103	171712123	Q9NQX0	PRDM6	2	9	171712113	0.959099999924004
chr9	14326687	14326795	Q9NQX0	PRDM6	2	9	14326741	0.975499999961257
chr6	157070707	157070802	Q9NQX0	PRDM6	2	9	157070754	0.988800000166148
chr1	151618646	151618670	Q9NQX0	PRDM6	2	9	151618658	0.9570000001765788
chr2	199455551	199455639	Q9NQX0	PRDM6	2	9	199455595	1.0
chr8	109611409	109611492	Q9NQX0	PRDM6	2	9	109611450	0.9610000000994652
chr6	40997526	40997589	Q9NQX0	PRDM6	2	9	40997557	0.9772999999955296
chr1	3403918	3403970	Q9NQX0	PRDM6	2	9	3403944	0.9984000000178814
chr10	132700739	132700811	Q9NQX0	PRDM6	2	9	132700775	0.9823999999970198
chr6	47207502	47207570	Q9NQX0	PRDM6	2	9	47207536	0.983300000178814
chr3	113151628	113151725	Q9NQX0	PRDM6	2	9	113151676	0.9896999999165536
chr4	128393261	128393288	Q9NQX0	PRDM6	2	9	128393274	0.9741999998319896
chr3	159883681	159883716	Q9NQX0	PRDM6	2	9	159883698	0.9885499999932944
chr7	69678705	69678740	Q9NQX0	PRDM6	2	9	69678722	0.9871999998383224
chr8	28868255	28868318	Q9NQX0	PRDM6	2	9	28868286	0.9695999998368324
chr4	89356300	89356343	Q9NQX0	PRDM6	2	8	89356321	0.97459999987036
chr3	158168313	158168356	Q9NQX0	PRDM6	2	8	158168334	0.9994999998927117
chr7	70067109	70067129	Q9NQX0	PRDM6	2	8	70067119	0.9561000002279878
chr18	31662141	31662172	Q9NQX0	PRDM6	2	8	31662156	0.9851999998345972
chr14	99192072	99192168	Q9NQX0	PRDM6	2	8	99192120	0.9892000000961124
chr10	29658183	29658215	Q9NQX0	PRDM6	2	8	29658199	0.972900000109896
chr6	136655402	136655502	Q9NQX0	PRDM6	2	8	136655452	0.9773999998770654
chr6	168024207	168024302	Q9NQX0	PRDM6	2	8	168024254	0.9660999996364116
chr12	46267172	46267199	Q9NQX0	PRDM6	2	8	46267185	1.0
chr5	124670835	124670927	Q9NQX0	PRDM6	2	8	124670881	0.9970999998629092
chr7	69907934	69908006	Q9NQX0	PRDM6	2	8	69907970	0.9930999997973442
