Chrom	Start	End	Peak_Name	baseMean	log2FoldChange	lfcSE	pvalue	padj	position	neg_log2_padj
chr8	88000848	88001349	BRCA_100120	203.738186866386	-4.28203335500092	0.45912040712623	2.6532227130640202e-21	2.8200537380208703e-19	88001098	61.62091114844945
chr8	88001541	88002042	BRCA_100121	36.4456902141685	-2.13543316646	0.394161665262833	1.10176568697571e-08	7.92029089499555e-08	88001791	23.589871340781315
chr8	89773153	89773654	BRCA_100193	58.3845878090616	-3.37842032295471	0.362041180785566	1.7327944458379e-21	1.91973334690012e-19	89773403	62.17572786994531
chr8	89861629	89862130	BRCA_100216	60.9819168922526	-3.13551432149377	0.336471321726847	2.02673767898593e-21	2.21413778458206e-19	89861879	61.96988879982438
chr8	91180128	91180629	BRCA_100303	117.274011074049	-3.53104376193133	0.342614408714292	1.29271984195606e-25	3.58139160607169e-23	91180378	74.56382590411718
chr8	94065622	94066123	BRCA_100523	101.271582291707	-2.74252654233177	0.300755339952505	1.51469433297981e-20	1.34826244243206e-18	94065872	59.363604360159876
chr1	143719983	143720484	BRCA_10064	75.0692981306043	-2.06012169698642	0.541500960480066	2.75803485806797e-05	9.82869908106687e-05	143720233	13.312639999223528
chr8	97928981	97929482	BRCA_101114	113.705183117963	-2.14810954908135	0.314297852131977	1.73861958167988e-12	2.7432962842619896e-11	97929231	35.085298597749855
chr1	145716542	145717043	BRCA_10113	106.664514927189	-3.15343904208012	0.326003200599331	7.549297472660151e-23	1.1568929918732101e-20	145716792	66.22830647084153
chr1	145800859	145801360	BRCA_10122	91.9003970058578	-3.13557917773479	0.283474677328041	2.90594576399703e-29	1.8329771825297698e-26	145801109	85.49594164019855
chr8	100226818	100227319	BRCA_101363	119.869535519901	-2.08406559499424	0.372873428648897	4.954365005198941e-09	3.82938807611909e-08	100227068	24.638310886551928
chr1	145872590	145873091	BRCA_10137	146.767294220614	-2.28286614789657	0.321134828723734	2.34591984866543e-13	4.44435112976181e-12	145872840	37.711164336063014
chr8	101027298	101027799	BRCA_101597	119.368770632272	-2.20916026128763	0.321459764306642	1.3329906351177299e-12	2.15509473816143e-11	101027548	35.43345775204687
chr8	101062835	101063336	BRCA_101602	94.0002476116576	-2.59019153532781	0.332707167191539	1.4065027841474502e-15	4.30519045445758e-14	101063085	44.40091626696269
chr8	101063645	101064146	BRCA_101603	250.884515009419	-3.69829902773058	0.369706656928961	3.39265537277312e-24	6.967370100724701e-22	101063895	70.28180388747128
chr8	101240993	101241494	BRCA_101655	47.8131937162989	-2.14509090149675	0.305177582495182	4.25746096807457e-13	7.61578125128113e-12	101241243	36.93414509805714
chr8	101636685	101637186	BRCA_101790	192.175388936937	-2.45000814700608	0.287923123577104	3.7465779242832095e-18	2.00010637812779e-16	101636935	52.15077278463976
chr8	101702817	101703318	BRCA_101802	156.44075202126	-2.05829491768585	0.293910673524976	5.56901775083117e-13	9.711894051474179e-12	101703067	36.583384455548014
chr8	101773882	101774383	BRCA_101817	61.5457647093557	-2.64487558832909	0.315641473665989	1.07250462304585e-17	5.183682663605301e-16	101774132	50.776872116652754
chr8	101980537	101981038	BRCA_101847	78.5228569243738	-2.08723001950177	0.330165656102811	5.7098197488823897e-11	6.56714483062156e-10	101980787	30.504014676347868
chr8	101995792	101996293	BRCA_101848	78.8950453696021	-2.38300741027386	0.3265921463461	5.95254389573328e-14	1.2809120196709499e-12	101996042	39.50596575207371
chr8	102082105	102082606	BRCA_101857	51.6936288438182	-3.22994906690928	0.376044493118561	1.56797135250918e-18	9.07214612361701e-17	102082355	53.291333735357945
chr1	8941760	8942261	BRCA_1020	72.3568995583254	-2.17441049013698	0.306835139170302	2.88390077573329e-13	5.36006456728372e-12	8942010	37.440886759170716
chr8	103282727	103283228	BRCA_102083	32.5621464321156	-2.20602133935348	0.326885092410489	2.84592211444771e-12	4.28501734222662e-11	103282977	34.441908000568205
chr8	103293467	103293968	BRCA_102084	42.89843504231	-2.53849872287164	0.366485958846668	8.0262519866555e-13	1.3537066636541399e-11	103293717	36.10429389032775
chr8	103337700	103338201	BRCA_102093	48.2723268916332	-2.10796687497272	0.261301067570309	0.0001730820724955	0.0005193270797841	103337950	10.911068924291978
chr1	8947324	8947825	BRCA_1021	132.237235005984	-2.70494368592276	0.400679343686194	2.9485540462519597e-12	4.4244797218268003e-11	8947574	34.39570122627622
chr8	106589041	106589542	BRCA_102233	36.4890807033861	-2.20686616374862	0.303442411315478	0.0017940258542583	0.0042652019190701	106589291	7.873170242826474
chr8	107324280	107324781	BRCA_102296	94.7946006791697	-2.92986837750784	0.38894592669187	9.763514613616641e-15	2.50182536595416e-13	107324530	41.86208414445758
chr8	107353939	107354440	BRCA_102300	195.13774214878	-3.14397882974939	0.348027209146963	3.49665208269155e-20	2.8746060865069097e-18	107354189	58.27134143399507
chr8	108586230	108586731	BRCA_102371	70.480445055451	-2.22941884786216	0.315478809523614	3.15522144092157e-13	5.81488105866117e-12	108586480	37.3233874564657
chr8	115419386	115419887	BRCA_102675	160.145441654168	-2.05315837682501	0.233710705766541	3.50931749975556e-19	2.33886079328049e-17	115419636	55.246971616645126
chr1	9036851	9037352	BRCA_1027	44.30063353592	-2.20350370086989	0.304515812319892	9.62071390144925e-14	1.9811454166783398e-12	9037101	38.876802360278035
chr1	147287040	147287541	BRCA_10271	42.4552574771053	-2.85098655053734	0.357994263179722	2.9296929043177097e-16	1.03451058772957e-14	147287290	46.45804491784402
chr8	115768876	115769377	BRCA_102756	219.610946105424	-3.8028079421128	0.365839790305083	6.08903031069352e-26	1.8253138698553902e-23	115769126	75.5362016200333
chr8	115771998	115772499	BRCA_102759	50.8075544025825	-2.13330405424084	0.3124869485705	1.82219813194327e-12	2.8615369567856598e-11	115772248	35.02441880432925
chr8	115787203	115787704	BRCA_102770	151.505612996545	-4.09325289693833	0.321550689976799	8.91644510666911e-38	3.2581612810641997e-34	115787453	111.24149720621342
chr8	116231393	116231894	BRCA_102871	78.3741729416564	-2.38423158383082	0.288165471127592	2.72004284918211e-17	1.20050071089121e-15	116231643	49.5652851654323
chr8	116243706	116244207	BRCA_102875	168.631524963133	-3.79996389525953	0.394406438778766	1.28481395038919e-22	1.86125016416667e-20	116243956	65.54228992169075
chr8	116384315	116384816	BRCA_102900	113.26491703332	-2.49948966029646	0.404328796869982	1.27735880220435e-10	1.36872880237416e-09	116384565	29.444516232247054
chr1	147721590	147722091	BRCA_10309	151.841958772326	-2.1801844880138	0.391009995618507	5.16736311433234e-09	3.97517460517375e-08	147721840	24.584406528516762
chr1	147756303	147756804	BRCA_10314	54.3997699748098	-2.22783142771947	0.287246816615084	1.7418385395362101e-15	5.2467563444034405e-14	147756553	44.11556753460833
chr8	117933896	117934397	BRCA_103160	83.2559621715392	-2.12864659609365	0.212601788614494	3.07473002820288e-24	6.395016022740539e-22	117934146	70.40547011373181
chr8	117934476	117934977	BRCA_103161	179.555651569882	-2.07251059419099	0.258570447433279	2.51092741441258e-16	9.00593898046665e-15	117934726	46.65804472054478
chr8	117937348	117937849	BRCA_103162	158.997540674623	-2.42959717600028	0.28874800569321	7.47211228807657e-18	3.74645028178465e-16	117937598	51.24532521224801
chr8	117946524	117947025	BRCA_103164	208.245786247005	-2.28516127072624	0.276932992785231	3.3785315751657204e-17	1.4624984170291501e-15	117946774	49.28048636014973
chr8	118049307	118049808	BRCA_103185	87.8966023223121	-3.49887615771207	0.388979542118125	4.75424590779878e-20	3.78088318651804e-18	118049557	57.87598243120344
chr1	148278934	148279435	BRCA_10342	32.1443710965496	-2.2099272336653	0.325247050703119	2.04591684141378e-12	3.1759138909804e-11	148279184	34.8740372467523
chr8	120458627	120459128	BRCA_103424	67.1105588340961	-3.09888467693143	0.307099585270723	1.12542457975825e-24	2.5702611485431497e-22	120458877	71.72050313722053
chr8	120762013	120762514	BRCA_103454	128.679751933235	-4.19618950734166	0.381385389852901	7.936309086245139e-29	4.53370748010949e-26	120762263	84.18943915729172
chr1	148304959	148305460	BRCA_10346	29.4589177120682	-2.17754289046875	0.324794103143273	4.0398875405954995e-12	5.89145864982268e-11	148305209	33.982584172636585
chr8	120976633	120977134	BRCA_103478	61.4552928187791	-2.00519538214637	0.331026481829916	2.97431475821504e-10	2.9486870672026402e-09	120976883	28.33728013112891
chr8	121499493	121499994	BRCA_103517	123.984661196416	-3.40173419532911	0.37102697570291	8.61300894366501e-21	8.1383142643891e-19	121499743	60.09190381110374
chr8	121545856	121546357	BRCA_103519	141.887317742239	-2.59478474598064	0.329010946887644	6.19047394230383e-16	2.03662941071715e-14	121546106	45.48080983999968
chr8	122083112	122083613	BRCA_103559	91.6762787131046	-3.97202358467473	0.432315583123638	8.11768123616869e-21	7.72192605848797e-19	122083362	60.1676730630794
chr8	122195892	122196393	BRCA_103564	71.297960318651	-2.35853306197375	0.30906566933865	4.4523396389739406e-15	1.22771267031598e-13	122196142	42.88909227674777
chr8	122606460	122606961	BRCA_103606	41.7652245169446	-2.70861924920729	0.310647694072103	3.80274659598073e-08	2.44626512492856e-07	122606710	21.9629158933423
chr8	123019190	123019691	BRCA_103691	63.3765478923053	-2.27123338782424	0.338317093042024	3.73539540708725e-12	5.4851536879876494e-11	123019440	34.085676999834185
chr8	123205115	123205616	BRCA_103730	144.866745678672	-2.78132705308828	0.285764772164298	4.32607878393871e-23	6.94065469576384e-21	123205365	66.96541823735515
chr8	123552906	123553407	BRCA_103801	93.1618683644422	-2.25214531454231	0.328053183619701	1.24088325345341e-12	2.0189644938615798e-11	123553156	35.52759350455284
chr8	124163899	124164400	BRCA_103905	42.6556371932992	-2.21050788946902	0.313765526151523	3.8417956304793797e-13	6.94077642428215e-12	124164149	37.06804008091582
chr8	124612172	124612673	BRCA_104005	83.4874865243126	-2.82758429754079	0.345847257058668	5.702737929704299e-17	2.33912690409458e-15	124612422	48.60295128930653
chr8	124682255	124682756	BRCA_104026	120.186036315636	-2.0943753154691	0.320115473348368	1.32400964175241e-11	1.73654282724006e-10	124682505	32.42306295745397
chr8	124708880	124709381	BRCA_104032	43.0640380741076	-2.19710511458541	0.343896154763234	3.43428204004851e-11	4.1459037765083203e-10	124709130	31.167594315968316
chr8	124839891	124840392	BRCA_104064	32.9735681057349	-2.94023094745501	0.256483614750044	0.0117627741593283	0.022855219980195	124840141	5.451332484908073
chr1	149793594	149794095	BRCA_10412	78.4413249264663	-2.10699541519019	0.300045825878448	4.9308434425772e-13	8.706432537973229e-12	149793844	36.74105544325399
chr8	125151647	125152148	BRCA_104134	117.42161626641	-2.0849162031705	0.269317247101806	2.2498239154160303e-15	6.595977050566351e-14	125151897	43.7854069492189
chr8	125176652	125177153	BRCA_104142	89.8385281660673	-2.18451357568569	0.270928643668944	1.66314755932916e-16	6.1893620268499306e-15	125176902	47.19913071308474
chr8	125362243	125362744	BRCA_104185	89.6555170856108	-2.19751121508618	0.300687459753947	5.729585642783631e-14	1.2377096340437e-12	125362493	39.55546423981452
chr8	125412370	125412871	BRCA_104194	300.411888274052	-2.80975622399381	0.336331891554636	1.34860472446003e-17	6.35298039770194e-16	125412620	50.483415950527984
chr8	125417864	125418365	BRCA_104197	39.9296038074492	-2.36879758618261	0.233214108449652	0.0018285447693044	0.0043383723056246	125418114	7.8486304187356914
chr8	125604411	125604912	BRCA_104267	87.4820769471359	-2.42140322091882	0.22136294750026	9.553971559458962e-09	6.96255286558219e-08	125604661	23.775808382445337
chr8	125607573	125608074	BRCA_104269	188.704999069597	-2.43327745301462	0.333864943034773	6.26596902489199e-14	1.3430389797709899e-12	125607823	39.43763596113079
