Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr10	12122697	12122793	Q01201	RELB.hg38	4	12	12122745
chr1	143247050	143247082	Q01201	RELB.hg38	3	12	143247066
chr8	80482814	80482923	Q01201	RELB.hg38	3	11	80482868
chr17	7132870	7132991	Q01201	RELB.hg38	3	11	7132930
chr1	10693473	10693546	Q01201	RELB.hg38	3	11	10693509
chr8	23336044	23336125	Q01201	RELB.hg38	3	11	23336084
chr10	18659135	18659206	Q01201	RELB.hg38	4	11	18659170
chr1	2195271	2195312	Q01201	RELB.hg38	3	11	2195291
chr1	143203573	143203646	Q01201	RELB.hg38	2	11	143203609
chr3	5006881	5006979	Q01201	RELB.hg38	4	11	5006930
chr5	133242446	133242547	Q01201	RELB.hg38	3	10	133242496
chr16	46388669	46388693	Q01201	RELB.hg38	3	10	46388681
chr2	85994150	85994179	Q01201	RELB.hg38	4	10	85994164
chr6	131685574	131685659	Q01201	RELB.hg38	3	10	131685616
chr8	141406272	141406336	Q01201	RELB.hg38	3	10	141406304
chr21	8230707	8230728	Q01201	RELB.hg38	3	10	8230717
chr5	79229735	79229760	Q01201	RELB.hg38	3	10	79229747
chr18	38940933	38940965	Q01201	RELB.hg38	3	10	38940949
chr17	62653496	62653569	Q01201	RELB.hg38	3	10	62653532
chr21	8234500	8234516	Q01201	RELB.hg38	3	10	8234508
chr2	191748747	191748812	Q01201	RELB.hg38	3	10	191748779
chr1	235953168	235953216	Q01201	RELB.hg38	4	10	235953192
chr10	3048526	3048542	Q01201	RELB.hg38	3	10	3048534
chr9	76175231	76175247	Q01201	RELB.hg38	3	10	76175239
chr19	7819444	7819517	Q01201	RELB.hg38	3	10	7819480
chr16	18926617	18926722	Q01201	RELB.hg38	3	10	18926669
chr3	128617857	128617930	Q01201	RELB.hg38	3	10	128617893
chr1	200448432	200448481	Q01201	RELB.hg38	3	10	200448456
chr14	73760386	73760495	Q01201	RELB.hg38	3	10	73760440
chr17	7015386	7015450	Q01201	RELB.hg38	4	10	7015418
chr17	43578856	43578931	Q01201	RELB.hg38	3	10	43578893
chr10	119190020	119190093	Q01201	RELB.hg38	3	10	119190056
chr16	34071590	34071623	Q01201	RELB.hg38	3	10	34071606
chr3	72723469	72723529	Q01201	RELB.hg38	3	10	72723499
chr10	14991542	14991562	Q01201	RELB.hg38	3	10	14991552
chr7	5582772	5582821	Q01201	RELB.hg38	3	10	5582796
chr1	24925295	24925311	Q01201	RELB.hg38	3	10	24925303
chr2	106107621	106107669	Q01201	RELB.hg38	3	10	106107645
chr4	184824595	184824687	Q01201	RELB.hg38	3	10	184824641
chr15	88895565	88895645	Q01201	RELB.hg38	4	10	88895605
chr16	73289381	73289398	Q01201	RELB.hg38	3	10	73289389
chr9	131125609	131125661	Q01201	RELB.hg38	4	10	131125635
chr19	36125744	36125841	Q01201	RELB.hg38	3	10	36125792
chr1	120914121	120914162	Q01201	RELB.hg38	3	10	120914141
chr1	143231938	143232034	Q01201	RELB.hg38	3	10	143231986
chr14	106652694	106652730	Q01201	RELB.hg38	3	10	106652712
chr4	40763355	40763428	Q01201	RELB.hg38	3	10	40763391
chr1	179710113	179710129	Q01201	RELB.hg38	3	10	179710121
chr3	172592391	172592416	Q01201	RELB.hg38	3	10	172592403
chr12	121782402	121782430	Q01201	RELB.hg38	3	10	121782416
chr4	166045628	166045668	Q01201	RELB.hg38	3	10	166045648
chr1	143273117	143273149	Q01201	RELB.hg38	3	10	143273133
chr19	1180566	1180655	Q01201	RELB.hg38	3	10	1180610
chr19	46619866	46619927	Q01201	RELB.hg38	3	10	46619896
chr1	183318530	183318641	Q01201	RELB.hg38	3	10	183318585
chr17	38799954	38800027	Q01201	RELB.hg38	2	10	38799990
chr12	12813445	12813518	Q01201	RELB.hg38	3	10	12813481
chr13	38824448	38824521	Q01201	RELB.hg38	3	10	38824484
chr21	37631744	37631817	Q01201	RELB.hg38	3	10	37631780
chr9	74277719	74277756	Q01201	RELB.hg38	3	10	74277737
chr6	155171429	155171530	Q01201	RELB.hg38	3	10	155171479
chr17	26885766	26885786	Q01201	RELB.hg38	3	10	26885776
chr1	43569333	43569438	Q01201	RELB.hg38	3	10	43569385
chr14	76961914	76962001	Q01201	RELB.hg38	3	10	76961957
chr19	41308649	41308662	Q01201	RELB.hg38	3	10	41308655
chr5	1485190	1485269	Q01201	RELB.hg38	3	10	1485229
chr2	180959919	180959992	Q01201	RELB.hg38	3	10	180959955
chr17	78538261	78538301	Q01201	RELB.hg38	3	10	78538281
chr1	154305057	154305086	Q01201	RELB.hg38	3	10	154305071
chr1	41487588	41487604	Q01201	RELB.hg38	3	10	41487596
chr10	59881330	59881430	Q01201	RELB.hg38	3	10	59881380
chr1	634021	634038	Q01201	RELB.hg38	4	10	634029
chr11	107864229	107864322	Q01201	RELB.hg38	3	10	107864275
chr21	25487402	25487487	Q01201	RELB.hg38	3	10	25487444
chr5	159179260	159179305	Q01201	RELB.hg38	3	10	159179282
chr1	629928	629953	Q01201	RELB.hg38	4	10	629940
chr19	6675046	6675130	Q01201	RELB.hg38	3	10	6675088
chr12	55624248	55624339	Q01201	RELB.hg38	3	10	55624293
chr9	130314989	130315042	Q01201	RELB.hg38	3	10	130315015
chr5	144189955	144189983	Q01201	RELB.hg38	3	10	144189969
chr3	119697599	119697630	Q01201	RELB.hg38	4	10	119697614
chr17	35880395	35880507	Q01201	RELB.hg38	3	10	35880451
chr11	6203607	6203659	Q01201	RELB.hg38	3	10	6203633
chr1	42017437	42017473	Q01201	RELB.hg38	3	10	42017455
chr12	125435135	125435231	Q01201	RELB.hg38	3	10	125435183
chr13	45206512	45206537	Q01201	RELB.hg38	3	9	45206524
chr1	182679148	182679212	Q01201	RELB.hg38	3	9	182679180
chr3	4978708	4978781	Q01201	RELB.hg38	3	9	4978744
chr11	118443688	118443716	Q01201	RELB.hg38	3	9	118443702
chr19	44722406	44722419	Q01201	RELB.hg38	3	9	44722412
chr2	10623899	10623972	Q01201	RELB.hg38	3	9	10623935
chr9	98097996	98098016	Q01201	RELB.hg38	3	9	98098006
chr21	43352868	43352967	Q01201	RELB.hg38	3	9	43352917
chr1	72433753	72433850	Q01201	RELB.hg38	3	9	72433801
chr15	68082298	68082375	Q01201	RELB.hg38	3	9	68082336
chr13	45701677	45701706	Q01201	RELB.hg38	3	9	45701691
chr12	132205715	132205731	Q01201	RELB.hg38	3	9	132205723
chr3	192893218	192893239	Q01201	RELB.hg38	4	9	192893228
chr22	41301436	41301464	Q01201	RELB.hg38	3	9	41301450
chr22	32540366	32540391	Q01201	RELB.hg38	3	9	32540378
chr8	71851693	71851713	Q01201	RELB.hg38	3	9	71851703
chr17	2711880	2711928	Q01201	RELB.hg38	2	9	2711904
chr8	96044494	96044531	Q01201	RELB.hg38	3	9	96044512
chr22	39255053	39255165	Q01201	RELB.hg38	3	9	39255109
chr12	31682298	31682387	Q01201	RELB.hg38	3	9	31682342
chr9	21832155	21832267	Q01201	RELB.hg38	3	9	21832211
chr10	133275106	133275122	Q01201	RELB.hg38	3	9	133275114
chr11	74768389	74768449	Q01201	RELB.hg38	3	9	74768419
chr7	117348089	117348162	Q01201	RELB.hg38	3	9	117348125
chr4	146132544	146132617	Q01201	RELB.hg38	3	9	146132580
chr10	17476213	17476318	Q01201	RELB.hg38	3	9	17476265
chr5	14668435	14668451	Q01201	RELB.hg38	3	9	14668443
chr4	49149752	49149784	Q01201	RELB.hg38	3	9	49149768
chr2	237700760	237700833	Q01201	RELB.hg38	3	9	237700796
chr2	65390280	65390333	Q01201	RELB.hg38	3	9	65390306
chr7	117251851	117251963	Q01201	RELB.hg38	3	9	117251907
chr13	43045509	43045582	Q01201	RELB.hg38	3	9	43045545
chr11	117610247	117610284	Q01201	RELB.hg38	3	9	117610265
chr16	74626858	74626931	Q01201	RELB.hg38	3	9	74626894
chr4	49648693	49648713	Q01201	RELB.hg38	3	9	49648703
chr14	95265655	95265712	Q01201	RELB.hg38	3	9	95265683
chr16	48908379	48908420	Q01201	RELB.hg38	3	9	48908399
chr8	100360957	100361017	Q01201	RELB.hg38	3	9	100360987
chr8	122780278	122780350	Q01201	RELB.hg38	3	9	122780314
chr1	56134055	56134104	Q01201	RELB.hg38	3	9	56134079
chr1	182616124	182616196	Q01201	RELB.hg38	3	9	182616160
chr11	117970789	117970841	Q01201	RELB.hg38	3	9	117970815
chr7	50327625	50327654	Q01201	RELB.hg38	3	9	50327639
chr3	46990736	46990768	Q01201	RELB.hg38	3	9	46990752
chr11	75654435	75654452	Q01201	RELB.hg38	3	9	75654443
chr22	35257366	35257447	Q01201	RELB.hg38	3	9	35257406
chr6	105591245	105591293	Q01201	RELB.hg38	3	9	105591269
chr18	63951535	63951579	Q01201	RELB.hg38	3	9	63951557
chr4	7961030	7961103	Q01201	RELB.hg38	3	9	7961066
chr8	67580264	67580292	Q01201	RELB.hg38	3	9	67580278
chr19	42494517	42494590	Q01201	RELB.hg38	3	9	42494553
chr22	33883700	33883773	Q01201	RELB.hg38	3	9	33883736
chr22	33790068	33790136	Q01201	RELB.hg38	3	9	33790102
chr3	16399590	16399622	Q01201	RELB.hg38	3	9	16399606
chr10	101969105	101969129	Q01201	RELB.hg38	3	9	101969117
chr1	6206038	6206111	Q01201	RELB.hg38	3	9	6206074
chr14	74938978	74939051	Q01201	RELB.hg38	3	9	74939014
chr4	182019141	182019214	Q01201	RELB.hg38	3	9	182019177
chr18	13375435	13375476	Q01201	RELB.hg38	3	9	13375455
