Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr2	42752464	42752511	P17947	SPI1	56	259	42752487	0.9707000000581144
chr16	50282103	50282138	P17947	SPI1	56	245	50282120	0.973409999923408
chr18	3178097	3178132	P17947	SPI1	56	241	3178114	0.9639059996396304
chr10	79939062	79939101	P17947	SPI1	55	239	79939081	0.9702999998241664
chr5	10505730	10505767	P17947	SPI1	56	236	10505748	0.957200000102073
chr10	63703219	63703262	P17947	SPI1	55	235	63703240	0.9570999999001624
chr8	55885724	55885759	P17947	SPI1	54	235	55885741	0.9753999999321996
chr16	66524946	66524981	P17947	SPI1	56	233	66524963	0.9628999999925494
chr18	79820254	79820285	P17947	SPI1	54	229	79820269	0.9813000001545996
chr14	67962287	67962320	P17947	SPI1	52	227	67962303	0.9630999997749924
chr15	90059677	90059720	P17947	SPI1	55	227	90059698	0.9616500003807248
chr21	35932538	35932575	P17947	SPI1	54	226	35932556	0.955900000114739
chr11	118011133	118011168	P17947	SPI1	58	226	118011150	0.9798000000730156
chr15	75043209	75043254	P17947	SPI1	56	226	75043231	0.9645000002741814
chr6	37050289	37050342	P17947	SPI1	55	225	37050315	0.9629099997550248
chr3	194737413	194737454	P17947	SPI1	56	225	194737433	0.9563000001370908
chr1	158285930	158285991	P17947	SPI1	51	224	158285960	0.9585999999165536
chr13	46182318	46182366	P17947	SPI1	56	224	46182342	0.9812000000469386
chr13	48579351	48579388	P17947	SPI1	55	224	48579369	0.96389999987185
chr2	136238924	136238975	P17947	SPI1	54	223	136238949	0.97220199999474
chr1	110873088	110873121	P17947	SPI1	56	222	110873104	0.9913999997735023
chr12	46218153	46218190	P17947	SPI1	55	221	46218171	0.96830000012964
chr1	161045018	161045055	P17947	SPI1	55	221	161045036	0.9563999999415128
chr8	104329922	104329952	P17947	SPI1	55	220	104329937	0.969599999898672
chr10	88108389	88108422	P17947	SPI1	56	219	88108405	0.998399999755621
chr20	2301355	2301410	P17947	SPI1	54	219	2301382	0.979500000023842
chr1	64864285	64864318	P17947	SPI1	58	218	64864301	0.9601000001132488
chr15	66866276	66866315	P17947	SPI1	55	218	66866295	0.9684999999575316
chr4	152536251	152536290	P17947	SPI1	54	217	152536270	0.9895999999709428
chr3	151871845	151871888	P17947	SPI1	51	217	151871866	0.9950999999105932
chr22	37285153	37285186	P17947	SPI1	56	217	37285169	0.9574999999411404
chr17	79826386	79826420	P17947	SPI1	53	216	79826403	0.953599999718368
chr2	177240216	177240247	P17947	SPI1	54	216	177240231	0.9513000004127622
chr4	78750157	78750192	P17947	SPI1	52	215	78750174	0.9905000001430512
chr19	49987290	49987319	P17947	SPI1	56	215	49987304	0.969418000034988
chr7	117773828	117773863	P17947	SPI1	57	215	117773845	0.9975999999523164
chr6	146596127	146596160	P17947	SPI1	51	214	146596143	0.9980000000834464
chr8	100720957	100721008	P17947	SPI1	54	214	100720982	0.9628999997407198
chr1	27435964	27436001	P17947	SPI1	51	214	27435982	0.9623999998304992
chr9	131656528	131656573	P17947	SPI1	54	214	131656550	0.967999999845028
chr1	65165764	65165809	P17947	SPI1	56	214	65165786	0.9566000001445412
chr6	40719799	40719832	P17947	SPI1	53	214	40719815	0.9869000000383704
chr10	118729831	118729868	P17947	SPI1	54	213	118729849	0.9960999998927116
chr6	136783984	136784015	P17947	SPI1	54	213	136783999	0.9704000001389532
chr4	15681654	15681699	P17947	SPI1	53	213	15681676	0.9832999999508262
chr2	224025992	224026047	P17947	SPI1	52	212	224026019	0.9548999998360872
chr16	27399103	27399135	P17947	SPI1	55	212	27399119	0.9623999996431172
chr9	75089097	75089124	P17947	SPI1	58	212	75089110	0.9872000000566244
chr19	2631610	2631663	P17947	SPI1	54	212	2631636	0.972600000019744
chr5	150081953	150082000	P17947	SPI1	48	212	150081976	0.9700999999806283
chr7	67918342	67918390	P17947	SPI1	53	211	67918366	0.9543999999910592
chr16	81752411	81752438	P17947	SPI1	56	211	81752424	0.9573999994888902
chr6	105893113	105893155	P17947	SPI1	55	211	105893134	0.979282000002265
chr10	30587633	30587656	P17947	SPI1	57	211	30587644	0.9583999998129904
chr13	41019313	41019338	P17947	SPI1	56	211	41019325	0.974799999895692
chr21	42061551	42061586	P17947	SPI1	57	211	42061568	0.9741000001642852
chr2	84898576	84898605	P17947	SPI1	55	210	84898590	0.9656000002235174
chr10	117237500	117237547	P17947	SPI1	50	210	117237523	0.995899999859929
chr22	30302735	30302770	P17947	SPI1	53	210	30302752	0.9754000001188368
chr17	31491546	31491569	P17947	SPI1	56	209	31491557	0.9981000000178814
chr13	28527841	28527870	P17947	SPI1	56	209	28527855	0.9769999997515232
chr5	135561001	135561047	P17947	SPI1	54	209	135561024	0.992499999922514
chr2	195580267	195580294	P17947	SPI1	53	209	195580280	0.9692000000350176
chr7	156034557	156034586	P17947	SPI1	56	208	156034571	0.9770000003904104
chr1	40713224	40713258	P17947	SPI1	51	208	40713241	0.9789000002089888
chr11	8682661	8682694	P17947	SPI1	55	208	8682677	0.9551779997073114
chr8	22705072	22705123	P17947	SPI1	49	208	22705097	0.967795999537036
chr2	60439559	60439582	P17947	SPI1	56	208	60439570	0.9654999999381602
chr11	111446751	111446798	P17947	SPI1	52	208	111446774	0.966319999718666
chr12	116858176	116858205	P17947	SPI1	54	208	116858190	0.9618999999500812
chr7	36283845	36283888	P17947	SPI1	51	208	36283866	0.9880000000074506
chr6	148683106	148683166	P17947	SPI1	49	208	148683136	0.97850000000149
chr21	34615431	34615455	P17947	SPI1	56	208	34615443	0.9806000001497568
chr10	70493490	70493521	P17947	SPI1	54	207	70493505	0.9585999997481705
chr6	47242736	47242760	P17947	SPI1	58	207	47242748	0.9753999996468424
chr1	192609297	192609324	P17947	SPI1	57	207	192609310	0.9712000000882892
chr6	132512581	132512612	P17947	SPI1	55	207	132512596	0.9810999998241664
chr19	51531727	51531756	P17947	SPI1	56	207	51531741	0.9924000000357628
chr2	98027253	98027317	P17947	SPI1	48	207	98027285	0.979600000025332
chr22	36860914	36860937	P17947	SPI1	57	207	36860925	1.0
chr6	37005632	37005655	P17947	SPI1	57	206	37005643	0.97553599989824
chr2	233331795	233331842	P17947	SPI1	52	206	233331818	0.9502999998040498
chr16	30949058	30949082	P17947	SPI1	55	206	30949070	0.958100000091642
chr4	154485293	154485322	P17947	SPI1	56	206	154485307	0.9930999998390676
chr9	35732300	35732357	P17947	SPI1	51	206	35732328	0.9993000000596046
chr2	62039440	62039467	P17947	SPI1	56	206	62039453	0.967480000146851
chr2	65420926	65420955	P17947	SPI1	56	206	65420940	0.979700000186637
chr1	34919293	34919330	P17947	SPI1	52	206	34919311	0.981499999897927
chr17	45226302	45226340	P17947	SPI1	55	206	45226321	1.0
chr10	110503129	110503154	P17947	SPI1	56	206	110503141	1.0
chr5	78483955	78483992	P17947	SPI1	53	206	78483973	0.979699999909103
chr4	81635903	81635926	P17947	SPI1	56	206	81635914	0.9530000002682208
chr7	100887759	100887784	P17947	SPI1	58	206	100887771	0.9990000000417232
chr18	48715802	48715825	P17947	SPI1	56	206	48715813	0.9902999999538064
chr7	117792363	117792392	P17947	SPI1	56	205	117792377	0.975799999883771
chr7	77193176	77193212	P17947	SPI1	49	205	77193194	0.9542999998912216
chr12	47312954	47312977	P17947	SPI1	55	205	47312965	0.9841320001568644
chr10	14608649	14608672	P17947	SPI1	55	205	14608660	0.9801000000357628
chr10	27536616	27536653	P17947	SPI1	55	205	27536634	0.9850999998733402
chr2	145771712	145771734	P17947	SPI1	55	205	145771723	1.0
chr16	88681930	88681965	P17947	SPI1	53	205	88681947	0.9604999995559454
chr9	272884	272915	P17947	SPI1	56	205	272899	0.9597000002164394
chr2	54115903	54115938	P17947	SPI1	53	205	54115920	0.9853999997138976
chr12	130980048	130980083	P17947	SPI1	54	205	130980065	0.9711999999728054
chr6	43684211	43684236	P17947	SPI1	55	205	43684223	0.9781999998420476
chr13	80037056	80037090	P17947	SPI1	56	205	80037073	0.9864000000871718
chr10	60237085	60237108	P17947	SPI1	56	205	60237096	0.968900000179559
chr2	230439801	230439831	P17947	SPI1	52	205	230439816	0.9741000001698732
