Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr7	37032112	37032144	P17535	JUND	23	83	37032128	0.9992999997913836
chr13	100392906	100392927	P17535	JUND	26	83	100392916	0.9797000002264976
chr3	44236102	44236120	P17535	JUND	24	83	44236111	0.9579499999370426
chr11	9566145	9566192	P17535	JUND	25	83	9566168	0.9612759999632836
chr6	90369174	90369193	P17535	JUND	25	79	90369183	0.9981000000119208
chr13	50245267	50245292	P17535	JUND	24	79	50245279	0.9808000000983476
chr17	35433752	35433772	P17535	JUND	23	77	35433762	0.9763000002264977
chr2	172253366	172253393	P17535	JUND	23	77	172253379	0.9569299998410046
chr15	66803316	66803367	P17535	JUND	23	76	66803341	0.9803000000327824
chr5	57693266	57693285	P17535	JUND	22	74	57693275	0.9927000000923872
chr13	97141754	97141779	P17535	JUND	24	74	97141766	0.9671999998193236
chr12	75978076	75978104	P17535	JUND	25	73	75978090	0.9556000000037252
chr14	22334167	22334188	P17535	JUND	23	73	22334177	0.9943999999791384
chr9	107243992	107244019	P17535	JUND	22	73	107244005	0.9828999999150634
chr2	88600306	88600331	P17535	JUND	25	73	88600318	0.9859000001356004
chr14	95265639	95265686	P17535	JUND	22	72	95265662	0.9736999997153878
chr7	2758054	2758075	P17535	JUND	24	72	2758064	0.9636000001035632
chr13	110870350	110870398	P17535	JUND	22	72	110870374	0.988699999460578
chr11	64855129	64855150	P17535	JUND	24	72	64855139	0.9584300000339746
chr9	73149664	73149683	P17535	JUND	23	71	73149673	0.993876000201702
chr8	27614761	27614784	P17535	JUND	23	71	27614772	0.9828999999091028
chr3	58049394	58049421	P17535	JUND	22	70	58049407	0.9599999995283782
chr10	63707487	63707523	P17535	JUND	20	70	63707505	0.956499999947846
chr6	4358763	4358817	P17535	JUND	21	70	4358790	0.9601000001251696
chr11	86740786	86740807	P17535	JUND	23	70	86740796	0.9849999999053776
chr1	244323157	244323183	P17535	JUND	24	69	244323170	0.961299999973178
chr13	113493475	113493499	P17535	JUND	23	69	113493487	0.9813999999955296
chr17	40314789	40314810	P17535	JUND	22	69	40314799	0.9970000000089408
chr5	34924117	34924136	P17535	JUND	23	69	34924126	0.973200000185147
chr2	160224266	160224287	P17535	JUND	22	69	160224276	1.0
chr18	34979291	34979321	P17535	JUND	22	69	34979306	0.9791999997980892
chr2	11744217	11744266	P17535	JUND	25	69	11744241	0.9968999999761582
chr20	10511738	10511757	P17535	JUND	24	68	10511747	0.9932999995529652
chr10	113087513	113087546	P17535	JUND	23	68	113087529	0.9846000001505018
chr8	125430259	125430284	P17535	JUND	24	68	125430271	0.9769000000424684
chr5	133240676	133240697	P17535	JUND	21	68	133240686	0.9539000000476836
chr3	12405938	12405994	P17535	JUND	19	68	12405966	0.9657999998502432
chr4	1043776	1043807	P17535	JUND	21	68	1043791	0.9834939998030664
chr2	65366770	65366792	P17535	JUND	23	68	65366781	0.9665999997083098
chr7	28686070	28686095	P17535	JUND	23	67	28686082	0.9919999999791383
chr3	182212626	182212655	P17535	JUND	22	67	182212640	0.9831999997913836
chr4	145808478	145808501	P17535	JUND	24	67	145808489	0.973400000089407
chr20	34391007	34391030	P17535	JUND	23	67	34391018	0.956399999897182
chr5	143246198	143246239	P17535	JUND	20	67	143246218	0.9854000000417232
chr10	63236552	63236573	P17535	JUND	21	67	63236562	0.9604439998947084
chr2	173048996	173049025	P17535	JUND	21	67	173049010	0.97429999999851
chr2	64831495	64831528	P17535	JUND	23	67	64831511	0.981200000026822
chr8	125513226	125513273	P17535	JUND	20	66	125513249	0.984200000075996
chr6	157763549	157763584	P17535	JUND	23	66	157763566	0.9589999998867512
chr2	102227902	102227951	P17535	JUND	21	66	102227926	0.9814999999374152
chr8	58079082	58079108	P17535	JUND	21	66	58079095	0.9697000003024936
