Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr14	20461630	20461689	Q15853	USF2	15	70	20461659	0.9863999997571112
chr16	88857065	88857128	Q15853	USF2	15	62	88857096	0.9720999996885658
chr14	20455144	20455188	Q15853	USF2	15	62	20455166	0.970977999792248
chr16	4847388	4847436	Q15853	USF2	15	61	4847412	0.9718999998893588
chr2	46698853	46698882	Q15853	USF2	15	60	46698867	1.0
chr19	1275847	1275898	Q15853	USF2	15	60	1275872	0.9876999999903142
chr22	37161601	37161689	Q15853	USF2	13	60	37161645	0.986299999973178
chr3	20186260	20186302	Q15853	USF2	15	59	20186281	0.9731000001389534
chr5	131797121	131797174	Q15853	USF2	15	59	131797147	0.965999999922514
chr16	1827193	1827220	Q15853	USF2	15	58	1827206	0.9515999997526408
chr1	11806159	11806191	Q15853	USF2	15	57	11806175	0.9645740001846104
chr11	126211715	126211751	Q15853	USF2	15	57	126211733	0.952400000057742
chr15	73633537	73633564	Q15853	USF2	15	56	73633550	0.9714999999355524
chr1	15526796	15526826	Q15853	USF2	15	56	15526811	0.9831999997530132
chr9	114587697	114587738	Q15853	USF2	15	56	114587717	0.9611380001347511
chr17	7234570	7234605	Q15853	USF2	15	56	7234587	0.9595000000726432
chr17	42567029	42567058	Q15853	USF2	15	56	42567043	0.957700000090152
chr11	6619423	6619452	Q15853	USF2	15	56	6619437	1.0
chr11	36289431	36289458	Q15853	USF2	15	56	36289444	0.9646999998256564
chr1	43974894	43974923	Q15853	USF2	15	55	43974908	1.0
chr19	7522584	7522615	Q15853	USF2	15	55	7522599	0.972499999909103
chr11	75814826	75814852	Q15853	USF2	15	55	75814839	0.9641879999954254
chr21	44517401	44517466	Q15853	USF2	14	55	44517433	0.9855999999687076
chr10	45594905	45594937	Q15853	USF2	15	55	45594921	0.9522000000216068
chr4	1511817	1511878	Q15853	USF2	14	55	1511847	0.9918999999463558
chr1	22451782	22451819	Q15853	USF2	15	55	22451800	0.9603999997664244
chr20	38962174	38962213	Q15853	USF2	15	54	38962193	0.9610999998793006
chr19	2783547	2783580	Q15853	USF2	15	54	2783563	0.9636000003665686
chr9	97922258	97922285	Q15853	USF2	15	54	97922271	0.9598000000551344
chr8	53843284	53843311	Q15853	USF2	15	54	53843297	0.9793000001206994
chr8	103021049	103021078	Q15853	USF2	15	54	103021063	0.977000000050664
chr6	159968923	159969000	Q15853	USF2	14	54	159968961	0.9811999999180436
chr8	125091793	125091822	Q15853	USF2	15	53	125091807	0.979600000089407
chr9	136950137	136950162	Q15853	USF2	15	53	136950149	0.97509999999851
chr7	4775583	4775607	Q15853	USF2	15	53	4775595	0.9534979999043048
chr16	89700317	89700348	Q15853	USF2	15	53	89700332	0.9541999999199062
chr17	37609481	37609524	Q15853	USF2	14	53	37609502	0.9750999999247492
chr17	7012344	7012371	Q15853	USF2	15	52	7012357	0.9517000000536442
chr3	23945952	23946012	Q15853	USF2	14	52	23945982	0.95579400007315
chr16	5033930	5033955	Q15853	USF2	15	52	5033942	0.956100000102073
