Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr4	185396463	185396484	Q16665	HIF1A	35	106	185396473	0.9845999998673796
chr16	30065523	30065552	Q16665	HIF1A	28	105	30065537	0.9517999999187888
chr6	87155532	87155571	Q16665	HIF1A	30	105	87155551	0.982799999986589
chr8	133375682	133375723	Q16665	HIF1A	28	103	133375702	0.9850999998003244
chr10	73096922	73096953	Q16665	HIF1A	27	102	73096937	0.9518020000819116
chr3	48557253	48557280	Q16665	HIF1A	28	98	48557266	0.9738000001236796
chr19	4968604	4968629	Q16665	HIF1A	28	96	4968616	0.9539699999775736
chr7	54759307	54759328	Q16665	HIF1A	28	95	54759317	0.9689999999903144
chr18	13726599	13726625	Q16665	HIF1A	28	95	13726612	0.9616999996542932
chr4	119300723	119300743	Q16665	HIF1A	28	94	119300733	0.9806999998435378
chr22	30424125	30424148	Q16665	HIF1A	27	93	30424136	0.9806000001460312
chr6	89081812	89081853	Q16665	HIF1A	27	93	89081832	0.9573999998923391
chr11	18394481	18394510	Q16665	HIF1A	28	92	18394495	0.9668379998642952
chr3	4987038	4987070	Q16665	HIF1A	25	92	4987054	0.9806999997243284
chr14	23301480	23301512	Q16665	HIF1A	27	89	23301496	0.9717000000327826
chr14	33938498	33938520	Q16665	HIF1A	27	89	33938509	0.9682999999031424
chr15	72226872	72226896	Q16665	HIF1A	28	89	72226884	0.955100000101328
chr1	40161381	40161418	Q16665	HIF1A	27	89	40161399	0.9513180000640452
chr2	219230420	219230443	Q16665	HIF1A	28	88	219230431	0.9666000002443792
chr8	26383665	26383712	Q16665	HIF1A	27	88	26383688	0.976600000089407
chr7	105012781	105012833	Q16665	HIF1A	27	86	105012807	0.984600000064075
chr2	172556057	172556084	Q16665	HIF1A	29	86	172556070	0.9639000001713632
chr3	146161362	146161399	Q16665	HIF1A	27	84	146161380	0.991099999973923
chr17	18183063	18183096	Q16665	HIF1A	25	83	18183079	0.9640999999735504
chr8	133216743	133216782	Q16665	HIF1A	23	83	133216762	0.9874000000044704
chr4	173369865	173369888	Q16665	HIF1A	24	83	173369876	0.977099999949336
chr1	113812548	113812585	Q16665	HIF1A	22	80	113812566	0.96150399979949
chr2	86440830	86440873	Q16665	HIF1A	30	80	86440851	0.9981000002563
chr6	44073474	44073508	Q16665	HIF1A	26	80	44073491	0.9950000000730156
chr3	81761083	81761107	Q16665	HIF1A	27	80	81761095	0.9927000001430512
chr5	131635616	131635643	Q16665	HIF1A	26	79	131635629	0.9711999999448656
chr2	118088169	118088202	Q16665	HIF1A	23	79	118088185	0.9726500000890344
chr1	234612816	234612857	Q16665	HIF1A	24	78	234612836	0.982599999719858
chr1	58755665	58755700	Q16665	HIF1A	25	78	58755682	0.9600999999795108
chr12	6533526	6533549	Q16665	HIF1A	27	78	6533537	0.9740000002533198
chr3	25790047	25790072	Q16665	HIF1A	25	77	25790059	0.9908000000476838
chr9	123930263	123930312	Q16665	HIF1A	25	77	123930287	0.9612999999120831
chr3	122384076	122384127	Q16665	HIF1A	25	76	122384101	0.9789999999195336
chr15	74615612	74615655	Q16665	HIF1A	21	76	74615633	0.9978000000059604
chr5	159207893	159207918	Q16665	HIF1A	24	75	159207905	0.9843999999091028
chr10	72273811	72273844	Q16665	HIF1A	26	75	72273827	0.9582999998182058
chr1	244835326	244835375	Q16665	HIF1A	26	74	244835350	0.9555000001195818
chr3	190566627	190566656	Q16665	HIF1A	22	74	190566641	0.9949999999523162
chr17	82231095	82231114	Q16665	HIF1A	26	74	82231104	0.9767999999642372
chr4	77158390	77158414	Q16665	HIF1A	24	74	77158402	0.9865560001254082
chr10	131982027	131982056	Q16665	HIF1A	22	74	131982041	0.959236000069976
chr2	135985090	135985118	Q16665	HIF1A	27	74	135985104	0.9663999998096376
chr11	34105647	34105684	Q16665	HIF1A	24	73	34105665	0.9734000004716218
chr14	49999305	49999323	Q16665	HIF1A	22	73	49999314	0.9804000001035632
chr19	16572505	16572535	Q16665	HIF1A	26	73	16572520	0.9782999999299644
chr12	54432630	54432652	Q16665	HIF1A	22	73	54432641	0.9505999998822808
chr3	88059305	88059334	Q16665	HIF1A	25	72	88059319	1.0
chr14	64987030	64987102	Q16665	HIF1A	22	72	64987066	0.9727000001952052
chr8	134832475	134832500	Q16665	HIF1A	23	71	134832487	0.9843999999955296
chr11	9759822	9759866	Q16665	HIF1A	22	71	9759844	0.9822000000447036
chr7	158864169	158864195	Q16665	HIF1A	23	71	158864182	0.9744599998578428
chr2	219298927	219298962	Q16665	HIF1A	22	71	219298944	0.988599999985844
chr12	10613675	10613720	Q16665	HIF1A	24	71	10613697	0.98159999961555
chr14	70046249	70046272	Q16665	HIF1A	23	70	70046260	0.9814000000081956
chr8	28365942	28365975	Q16665	HIF1A	21	70	28365958	0.9702999996960164
chr3	4979245	4979269	Q16665	HIF1A	26	69	4979257	0.9938000000566244
chr10	73772992	73773020	Q16665	HIF1A	26	69	73773006	0.9753999998003244
chr3	100492627	100492662	Q16665	HIF1A	23	69	100492644	0.9901000000208616
chr5	167723475	167723498	Q16665	HIF1A	24	69	167723486	0.9786999998033048
chr7	128455762	128455788	Q16665	HIF1A	23	69	128455775	0.9617399999234826
chr5	151081376	151081418	Q16665	HIF1A	25	68	151081397	0.972599999883771
chr3	157088951	157088975	Q16665	HIF1A	22	68	157088963	0.9991080000460149
chr10	98134553	98134583	Q16665	HIF1A	23	68	98134568	0.9802000002764164
chr3	195271607	195271644	Q16665	HIF1A	23	68	195271625	0.955500000051409
chr12	12725382	12725415	Q16665	HIF1A	24	67	12725398	0.9937999999806284
chr20	62623661	62623700	Q16665	HIF1A	24	67	62623680	0.9580999999664724
chr16	67170366	67170394	Q16665	HIF1A	23	67	67170380	0.9770999998364598
chr5	115544957	115544997	Q16665	HIF1A	23	67	115544977	0.984599999975413
chr22	23894388	23894434	Q16665	HIF1A	24	67	23894411	0.9990999999642372
chr11	74171391	74171450	Q16665	HIF1A	24	67	74171420	0.9746000000532716
chr8	22598201	22598224	Q16665	HIF1A	20	67	22598212	0.9966999998688698
chr12	6534365	6534386	Q16665	HIF1A	27	66	6534375	0.9684000002518296
chr9	15422690	15422725	Q16665	HIF1A	21	65	15422707	0.956299999885261
chr11	102288194	102288225	Q16665	HIF1A	21	65	102288209	0.9557999998122454
chr5	173329549	173329582	Q16665	HIF1A	21	65	173329565	0.99600000000149
chr6	43668289	43668307	Q16665	HIF1A	20	64	43668298	0.9708999999076128
chr16	80027356	80027405	Q16665	HIF1A	17	63	80027380	0.9988999998927116
chr5	134004986	134005028	Q16665	HIF1A	23	63	134005007	0.9664999998055398
chr12	12788905	12788930	Q16665	HIF1A	21	63	12788917	0.9737999999247492
chr1	236524484	236524526	Q16665	HIF1A	22	63	236524505	0.955855999898538
chr4	88823785	88823808	Q16665	HIF1A	22	63	88823796	0.9714999998793006
chr1	8212205	8212261	Q16665	HIF1A	19	63	8212233	0.966405999992788
chr10	101588316	101588336	Q16665	HIF1A	21	63	101588326	0.9787000002287328
chr15	72230510	72230540	Q16665	HIF1A	23	62	72230525	0.9561000001303852
chr17	40312519	40312541	Q16665	HIF1A	20	62	40312530	0.9970000000089408
chr10	91633280	91633327	Q16665	HIF1A	19	62	91633303	0.9741999999340624
chr1	207824010	207824051	Q16665	HIF1A	17	62	207824030	1.0
chr21	29259167	29259192	Q16665	HIF1A	22	61	29259179	0.9764899998277424
chr9	35657879	35657920	Q16665	HIF1A	24	61	35657899	0.9630999998729676
chr4	145938896	145938932	Q16665	HIF1A	21	60	145938914	0.9861000000644476
chr3	81761734	81761765	Q16665	HIF1A	21	60	81761749	0.9838000001862646
chr2	74740866	74740890	Q16665	HIF1A	23	60	74740878	0.9956999996960164
chr13	25301535	25301572	Q16665	HIF1A	21	60	25301553	0.9682999999716878
chr1	207805993	207806030	Q16665	HIF1A	19	60	207806011	0.9991999998867512
chr1	228140232	228140261	Q16665	HIF1A	20	60	228140246	0.9719999998182058
chr4	100096179	100096204	Q16665	HIF1A	19	60	100096191	0.9951999999985098
chr14	61751155	61751196	Q16665	HIF1A	20	60	61751175	0.982241999910772
chr1	109546476	109546501	Q16665	HIF1A	21	60	109546488	0.983200000024587
chr10	100346505	100346529	Q16665	HIF1A	22	60	100346517	0.9636999998927116
chr1	155085250	155085285	Q16665	HIF1A	21	59	155085267	0.9888000001758336
chr20	45781697	45781738	Q16665	HIF1A	19	59	45781717	0.95799999996908
chr8	61714833	61714860	Q16665	HIF1A	21	59	61714846	0.976399999924004
chr12	6914453	6914488	Q16665	HIF1A	20	59	6914470	0.950699999864772
chr1	231422254	231422295	Q16665	HIF1A	21	58	231422274	0.9968999999642372
chr6	44011020	44011043	Q16665	HIF1A	20	58	44011031	0.9875000001806766
chr15	75666872	75666906	Q16665	HIF1A	18	58	75666889	0.968900000101328
chr3	98593800	98593839	Q16665	HIF1A	21	58	98593819	0.9683999997738748
chr4	102869182	102869220	Q16665	HIF1A	22	58	102869201	0.9748000000100584
chr3	149225358	149225393	Q16665	HIF1A	20	58	149225375	0.9679999997518955
chr4	158210482	158210511	Q16665	HIF1A	19	58	158210496	0.9803999999687076
chr1	33342338	33342389	Q16665	HIF1A	19	57	33342363	0.9849000001326204
chr6	11393210	11393241	Q16665	HIF1A	21	57	11393225	0.9684000001735984
chr5	132227973	132228048	Q16665	HIF1A	18	57	132228010	0.9705999997720124
chr12	14770371	14770402	Q16665	HIF1A	22	57	14770386	0.9577999998807908
chr10	3467582	3467621	Q16665	HIF1A	18	57	3467601	0.9694999999880792
chr19	49145949	49145980	Q16665	HIF1A	19	57	49145964	0.9530999996434896
chr17	7835715	7835756	Q16665	HIF1A	22	57	7835735	0.993899999895692
chr3	39152770	39152814	Q16665	HIF1A	20	56	39152792	0.9806000000156462
chr1	202811494	202811519	Q16665	HIF1A	21	56	202811506	0.9613000001039356
chr16	71484118	71484168	Q16665	HIF1A	22	56	71484143	0.9596999998975544
chr1	42958305	42958334	Q16665	HIF1A	19	56	42958319	0.9742000002257526
chr5	181191889	181191912	Q16665	HIF1A	21	56	181191900	0.963000000090897
chr17	7351925	7351959	Q16665	HIF1A	18	56	7351942	0.9763999999590218
chr2	217653534	217653565	Q16665	HIF1A	17	55	217653549	0.9932999998927116
chr10	16986652	16986679	Q16665	HIF1A	18	55	16986665	0.9987000000238418
chr12	13044389	13044411	Q16665	HIF1A	19	55	13044400	0.9571999998811632
chr15	63372541	63372585	Q16665	HIF1A	20	55	63372563	0.967499999826029
chr21	33915827	33915853	Q16665	HIF1A	21	55	33915840	0.958399999629706
chr19	13053997	13054020	Q16665	HIF1A	18	55	13054008	0.9827900000736116
chr17	76872789	76872816	Q16665	HIF1A	19	55	76872802	0.9814999999389052
chr7	35800928	35800965	Q16665	HIF1A	23	55	35800946	0.974000000037998
chr21	25607509	25607540	Q16665	HIF1A	20	55	25607524	0.9813799998421222
chr19	10106599	10106642	Q16665	HIF1A	21	55	10106620	0.9573780001409352
chr12	9798177	9798201	Q16665	HIF1A	18	54	9798189	0.9515579999268056
chr3	9363058	9363103	Q16665	HIF1A	19	54	9363080	0.954876000186801
chr6	157021513	157021536	Q16665	HIF1A	19	54	157021524	0.9843000000491738
chr8	81194178	81194215	Q16665	HIF1A	18	54	81194196	0.9792999999307096
chr7	139036046	139036081	Q16665	HIF1A	19	54	139036063	0.9652999998778105
chr11	60842048	60842071	Q16665	HIF1A	20	54	60842059	0.9632000002935528
chr9	91423372	91423399	Q16665	HIF1A	19	54	91423385	0.9951999999925494
chr5	102756142	102756179	Q16665	HIF1A	20	54	102756160	0.9582999999485908
chr17	82648455	82648494	Q16665	HIF1A	18	54	82648474	0.9520000001955776
chr13	76980252	76980285	Q16665	HIF1A	19	53	76980268	0.9729999999627472
chr2	9287735	9287770	Q16665	HIF1A	20	53	9287752	0.9790999998815356
chr2	84905256	84905278	Q16665	HIF1A	19	53	84905267	0.9562999996785074
chr8	122760333	122760372	Q16665	HIF1A	17	53	122760352	0.9876000001430512
chr4	7068040	7068089	Q16665	HIF1A	22	53	7068064	0.9693999998472632
chr1	99808841	99808885	Q16665	HIF1A	18	53	99808863	0.970819999987632
chr5	96068090	96068125	Q16665	HIF1A	20	53	96068107	0.9991999998867512
chr3	107524901	107524931	Q16665	HIF1A	21	53	107524916	0.99339999987185
