Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position	mean_mapability
chr15	66774518	66774539	Q15561	TEAD4	20	66	66774528	0.9775999999541788
chr15	66883562	66883639	Q15561	TEAD4	16	65	66883600	0.9725999998420476
chr10	130127971	130127997	Q15561	TEAD4	20	65	130127984	0.9623999995470048
chr14	78848431	78848452	Q15561	TEAD4	19	64	78848441	0.9860999998614192
chr14	49853970	49853993	Q15561	TEAD4	20	64	49853981	0.9585999999884516
chr3	124774477	124774498	Q15561	TEAD4	19	63	124774487	0.9919000000596048
chr7	33716773	33716796	Q15561	TEAD4	19	63	33716784	0.9704000000346452
chr17	1714697	1714722	Q15561	TEAD4	19	62	1714709	0.983300000026822
chr9	98791334	98791355	Q15561	TEAD4	20	62	98791344	0.9657019999288022
chr11	12674405	12674428	Q15561	TEAD4	20	62	12674416	0.9944999999284744
chr7	151754301	151754332	Q15561	TEAD4	19	62	151754316	0.9749000001586974
chr9	109818057	109818080	Q15561	TEAD4	19	61	109818068	0.9965000000596046
chr11	69131729	69131750	Q15561	TEAD4	20	61	69131739	0.966599999852106
chr6	45445999	45446033	Q15561	TEAD4	19	60	45446016	0.983700000250712
chr22	19881333	19881358	Q15561	TEAD4	19	60	19881345	0.994899999845028
chr5	170151266	170151287	Q15561	TEAD4	19	60	170151276	0.9526000001527368
chr13	21061568	21061589	Q15561	TEAD4	19	60	21061578	0.9503000001922248
chr4	101954086	101954107	Q15561	TEAD4	17	60	101954096	0.9884000000596046
chr9	96420665	96420692	Q15561	TEAD4	18	60	96420678	0.9508039999827742
chr1	29271866	29271887	Q15561	TEAD4	19	60	29271876	0.9699999998115004
chr6	131951465	131951492	Q15561	TEAD4	18	60	131951478	1.0
chr10	79157711	79157733	Q15561	TEAD4	20	59	79157722	1.0
chr4	183099006	183099041	Q15561	TEAD4	20	59	183099023	0.969799999819696
chr7	22586976	22587004	Q15561	TEAD4	19	59	22586990	0.9750499998960644
chr22	39174946	39174975	Q15561	TEAD4	19	59	39174960	0.9815999999500812
chr22	39176345	39176367	Q15561	TEAD4	18	59	39176356	0.985099999910593
chr10	60048311	60048334	Q15561	TEAD4	19	58	60048322	0.969599999962002
chr6	32861320	32861341	Q15561	TEAD4	19	58	32861330	0.988199999910593
chr3	134364248	134364277	Q15561	TEAD4	19	58	134364262	0.9935999998398124
chr1	53182192	53182215	Q15561	TEAD4	20	58	53182203	0.9653000000357628
chr5	168295684	168295708	Q15561	TEAD4	18	58	168295696	0.9544
chr20	46029564	46029591	Q15561	TEAD4	18	58	46029577	1.0
chr3	134374503	134374529	Q15561	TEAD4	18	58	134374516	0.9962999999821186
chr8	94357861	94357888	Q15561	TEAD4	19	58	94357874	1.0
chr2	234686628	234686654	Q15561	TEAD4	17	57	234686641	0.9956999999463558
chr12	46494578	46494601	Q15561	TEAD4	18	57	46494589	0.9725999998588116
chr3	134327072	134327103	Q15561	TEAD4	18	57	134327087	0.9803000000551344
chr2	158458188	158458211	Q15561	TEAD4	19	57	158458199	1.0
chr1	214551909	214551934	Q15561	TEAD4	20	57	214551921	0.9861000000342728
chr19	40421365	40421385	Q15561	TEAD4	20	56	40421375	0.9599999999638646
chr21	41958259	41958305	Q15561	TEAD4	17	56	41958282	0.9570539996046572
chr21	45012534	45012558	Q15561	TEAD4	17	56	45012546	0.9709999999649824
chr16	70694234	70694257	Q15561	TEAD4	18	56	70694245	0.991900000075996
chr18	3261821	3261843	Q15561	TEAD4	20	56	3261832	0.9927000000402332
chr8	47512624	47512650	Q15561	TEAD4	18	56	47512637	0.9747000000357628
chr2	149734178	149734205	Q15561	TEAD4	18	55	149734191	1.0
chr11	69122907	69122934	Q15561	TEAD4	19	55	69122920	0.9850999995812774
chr22	30207106	30207133	Q15561	TEAD4	16	55	30207119	0.95829999980852
chr17	1488200	1488233	Q15561	TEAD4	19	55	1488216	0.9597999999523162
chr10	63629651	63629673	Q15561	TEAD4	20	54	63629662	0.9824999997407198
chr12	4277115	4277142	Q15561	TEAD4	20	54	4277128	1.0
chr8	100667686	100667710	Q15561	TEAD4	17	54	100667698	0.9638860003340988
chr3	66116010	66116034	Q15561	TEAD4	16	54	66116022	0.962400000230968
chr11	69420693	69420718	Q15561	TEAD4	18	54	69420705	0.9731999997839332
chr9	35518356	35518377	Q15561	TEAD4	17	54	35518366	0.99465600001961
chr12	66145320	66145342	Q15561	TEAD4	18	54	66145331	0.9952999998837708
chr11	64855129	64855152	Q15561	TEAD4	17	54	64855140	0.9584200000315904
chr9	83583330	83583355	Q15561	TEAD4	19	54	83583342	0.9764000002231448
chr6	30942824	30942847	Q15561	TEAD4	19	53	30942835	0.9703999999284744
chr15	60393115	60393144	Q15561	TEAD4	17	53	60393129	0.993249999922514
chr1	204565737	204565776	Q15561	TEAD4	19	53	204565756	0.968300000180304
chr9	83432414	83432463	Q15561	TEAD4	17	53	83432438	0.9688000000592322
chr1	16173743	16173766	Q15561	TEAD4	15	53	16173754	0.9714999999199062
chr21	36939607	36939631	Q15561	TEAD4	18	53	36939619	0.9686999997861684
chr1	234772537	234772563	Q15561	TEAD4	16	53	234772550	0.9803000000938772
chr4	76590378	76590399	Q15561	TEAD4	18	53	76590388	0.9838000000480562
chr18	48488726	48488750	Q15561	TEAD4	16	53	48488738	0.9907000000275672
chr15	92918034	92918065	Q15561	TEAD4	16	52	92918049	0.9679000001400708
chr7	7099719	7099750	Q15561	TEAD4	17	52	7099734	0.9806999997153878
chr14	78598217	78598242	Q15561	TEAD4	17	52	78598229	0.9827999999910592
chr2	164061324	164061349	Q15561	TEAD4	19	52	164061336	0.9924000001370908
chr14	64841337	64841364	Q15561	TEAD4	17	52	64841350	0.9821000000335276
chr8	22597573	22597618	Q15561	TEAD4	17	52	22597595	0.9941999998569488
chr6	8085202	8085225	Q15561	TEAD4	16	52	8085213	0.9721000001430512
chr21	16563927	16563950	Q15561	TEAD4	15	52	16563938	0.9949999997675418
chr14	54652379	54652404	Q15561	TEAD4	17	52	54652391	0.974899999903515
chr10	97574795	97574830	Q15561	TEAD4	17	52	97574812	0.9602579994872212
chr10	72171274	72171301	Q15561	TEAD4	17	52	72171287	0.957200000102818
chr3	112647306	112647335	Q15561	TEAD4	18	51	112647320	0.9690000000618398
chr10	133691	133716	Q15561	TEAD4	16	51	133703	0.9873000000149011
chr18	63238265	63238288	Q15561	TEAD4	17	51	63238276	0.9601000000994652
chr4	90728125	90728148	Q15561	TEAD4	15	51	90728136	0.992400000023842
chr9	99821800	99821823	Q15561	TEAD4	18	51	99821811	0.9932640000194312
chr14	22982864	22982899	Q15561	TEAD4	18	51	22982881	0.9929000001192092
chr6	142375403	142375446	Q15561	TEAD4	16	51	142375424	0.9745999999877064
chr11	77780144	77780170	Q15561	TEAD4	16	51	77780157	0.9536599997978658
chr14	75561094	75561117	Q15561	TEAD4	20	51	75561105	0.984299999898672
chr3	150372016	150372041	Q15561	TEAD4	17	51	150372028	0.9574999999314546
chr9	5818112	5818140	Q15561	TEAD4	16	51	5818126	0.9564999999776482
chr14	55606011	55606036	Q15561	TEAD4	16	51	55606023	0.993700000151992
chr22	39534939	39534964	Q15561	TEAD4	20	51	39534951	0.9632000000804662
chr1	41600101	41600124	Q15561	TEAD4	18	51	41600112	0.9789999997794628
chr11	69437226	69437255	Q15561	TEAD4	18	51	69437240	0.9761999998442829
chr1	158019686	158019709	Q15561	TEAD4	16	50	158019697	0.9753000000808388
chr3	52450086	52450112	Q15561	TEAD4	15	50	52450099	0.974900000049174
chr11	69497402	69497457	Q15561	TEAD4	13	50	69497429	0.9924
chr2	20584697	20584722	Q15561	TEAD4	18	50	20584709	0.960800000133738
chr20	62361989	62362012	Q15561	TEAD4	15	50	62362000	0.9968000000059604
chr1	85201723	85201750	Q15561	TEAD4	19	50	85201736	0.9713000000573696
chr11	73309277	73309301	Q15561	TEAD4	17	50	73309289	0.9995459999918938
chr3	156555300	156555331	Q15561	TEAD4	18	50	156555315	0.9935799996256828
chr11	102011252	102011276	Q15561	TEAD4	16	50	102011264	0.9604319998994468
chr1	157580369	157580390	Q15561	TEAD4	19	50	157580379	0.9918620000317692
chr6	157763523	157763558	Q15561	TEAD4	17	50	157763540	0.9589999998867512
chr14	20613531	20613570	Q15561	TEAD4	18	50	20613550	0.9762040000468492
chr15	64460457	64460496	Q15561	TEAD4	19	50	64460476	0.9901400000154972
chr15	57551900	57551923	Q15561	TEAD4	15	50	57551911	0.9880999999526888
chr17	45858179	45858202	Q15561	TEAD4	17	50	45858190	0.970600000116229
chr4	75514297	75514322	Q15561	TEAD4	19	50	75514309	0.9869000000432132
chr2	150411061	150411086	Q15561	TEAD4	15	50	150411073	0.9528400002516806
chr14	22980850	22980887	Q15561	TEAD4	17	50	22980868	0.9884000001311302
chr1	223081420	223081481	Q15561	TEAD4	17	50	223081450	0.9890999998889864
chr1	19010076	19010115	Q15561	TEAD4	16	50	19010095	0.9581999998956918
chr8	23354097	23354128	Q15561	TEAD4	16	49	23354112	0.9552799997895955
chr9	105911754	105911778	Q15561	TEAD4	16	49	105911766	0.9990000000596048
chr10	6088847	6088880	Q15561	TEAD4	18	49	6088863	0.9525000001773238
chr3	120469675	120469712	Q15561	TEAD4	16	49	120469693	0.992799999897182
chr13	27600082	27600111	Q15561	TEAD4	17	49	27600096	0.9894999999091028
chr18	45384591	45384618	Q15561	TEAD4	16	49	45384604	0.9881999999433756
chr2	147083044	147083065	Q15561	TEAD4	17	49	147083054	0.982700000088662
chr15	25501992	25502017	Q15561	TEAD4	16	49	25502004	0.9978999999165536
chr2	213188356	213188382	Q15561	TEAD4	16	49	213188369	0.9548000000834465
chr12	47820771	47820798	Q15561	TEAD4	17	49	47820784	0.9911000000059604
chr4	83207907	83207956	Q15561	TEAD4	13	49	83207931	0.9652999996080994
chr7	79506707	79506736	Q15561	TEAD4	14	49	79506721	0.9867540000706913
chr2	55779850	55779885	Q15561	TEAD4	15	49	55779867	0.9893
chr6	107601131	107601157	Q15561	TEAD4	16	49	107601144	1.0
chr6	24313564	24313595	Q15561	TEAD4	14	49	24313579	0.9800999998822808
chr3	101842731	101842755	Q15561	TEAD4	16	49	101842743	0.9820999997414648
chr11	65498983	65499009	Q15561	TEAD4	19	48	65498996	0.96730000006482
chr3	151305271	151305298	Q15561	TEAD4	16	48	151305284	0.9847000000670552
chr1	198669255	198669288	Q15561	TEAD4	16	48	198669271	0.9890999996781348
chr13	109257219	109257262	Q15561	TEAD4	14	48	109257240	0.9813999998256564
chr7	1537356	1537385	Q15561	TEAD4	17	48	1537370	0.9991999998867512
chr8	93880431	93880483	Q15561	TEAD4	14	48	93880457	0.9888999995946884
chr18	3247493	3247522	Q15561	TEAD4	20	48	3247507	0.9616639998443424
