Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr1	172819040	172819060	Q9BYV9	BACH2.hg38	4	27	172819050
chr19	46786522	46786611	Q9BYV9	BACH2.hg38	4	17	46786566
chr8	60057022	60057071	Q9BYV9	BACH2.hg38	4	16	60057046
chr22	35377081	35377152	Q9BYV9	BACH2.hg38	4	16	35377116
chr19	48963879	48963959	Q9BYV9	BACH2.hg38	4	16	48963919
chr7	92809870	92809932	Q9BYV9	BACH2.hg38	4	16	92809901
chr2	111698993	111699047	Q9BYV9	BACH2.hg38	4	16	111699020
chr6	118896530	118896635	Q9BYV9	BACH2.hg38	4	16	118896582
chr15	81029747	81029810	Q9BYV9	BACH2.hg38	4	15	81029778
chr19	35462813	35462907	Q9BYV9	BACH2.hg38	4	15	35462860
chr12	116559898	116559945	Q9BYV9	BACH2.hg38	4	15	116559921
chr19	11064901	11064992	Q9BYV9	BACH2.hg38	4	15	11064946
chr17	42929099	42929136	Q9BYV9	BACH2.hg38	4	15	42929117
chr17	81722610	81722658	Q9BYV9	BACH2.hg38	4	15	81722634
chr2	224667176	224667221	Q9BYV9	BACH2.hg38	4	15	224667198
chr12	10213435	10213525	Q9BYV9	BACH2.hg38	4	15	10213480
chr19	40690970	40691044	Q9BYV9	BACH2.hg38	4	15	40691007
chr13	21180887	21180943	Q9BYV9	BACH2.hg38	4	15	21180915
chr9	137745807	137745874	Q9BYV9	BACH2.hg38	4	15	137745840
chr20	32040163	32040235	Q9BYV9	BACH2.hg38	4	15	32040199
chr1	183022509	183022558	Q9BYV9	BACH2.hg38	4	15	183022533
chr7	25856788	25856892	Q9BYV9	BACH2.hg38	4	14	25856840
chr3	53270212	53270265	Q9BYV9	BACH2.hg38	4	14	53270238
chr20	56554971	56555050	Q9BYV9	BACH2.hg38	4	14	56555010
chr8	96820997	96821033	Q9BYV9	BACH2.hg38	4	14	96821015
chr12	124867549	124867612	Q9BYV9	BACH2.hg38	4	14	124867580
chr15	91854885	91854964	Q9BYV9	BACH2.hg38	4	14	91854924
chr11	111423148	111423181	Q9BYV9	BACH2.hg38	4	14	111423164
chr10	62769736	62769794	Q9BYV9	BACH2.hg38	4	14	62769765
