Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr9	125297137	125297167	P55317	FOXA1.hg38	171	812	125297152
chr2	121036334	121036375	P55317	FOXA1.hg38	161	810	121036354
chr17	55433287	55433324	P55317	FOXA1.hg38	170	780	55433305
chr9	114908274	114908315	P55317	FOXA1.hg38	166	777	114908294
chr1	100485992	100486029	P55317	FOXA1.hg38	163	764	100486010
chr15	39274093	39274131	P55317	FOXA1.hg38	165	755	39274112
chr20	33373984	33374022	P55317	FOXA1.hg38	161	750	33374003
chr19	40921261	40921306	P55317	FOXA1.hg38	168	750	40921283
chr2	43634779	43634816	P55317	FOXA1.hg38	164	724	43634797
chr1	156471738	156471765	P55317	FOXA1.hg38	167	719	156471751
chr2	197613666	197613696	P55317	FOXA1.hg38	169	711	197613681
chr12	73384018	73384052	P55317	FOXA1.hg38	164	702	73384035
chr18	77262871	77262916	P55317	FOXA1.hg38	148	702	77262893
chr14	61439167	61439202	P55317	FOXA1.hg38	165	694	61439184
chr13	81874367	81874396	P55317	FOXA1.hg38	162	687	81874381
chr8	101361055	101361083	P55317	FOXA1.hg38	167	687	101361069
chr15	61750594	61750645	P55317	FOXA1.hg38	147	683	61750619
chr4	87419750	87419793	P55317	FOXA1.hg38	159	682	87419771
chr6	75524595	75524639	P55317	FOXA1.hg38	154	681	75524617
chr6	139375569	139375604	P55317	FOXA1.hg38	166	679	139375586
chr2	219399010	219399033	P55317	FOXA1.hg38	169	679	219399021
chr12	54892286	54892315	P55317	FOXA1.hg38	164	672	54892300
chr8	133216638	133216675	P55317	FOXA1.hg38	159	671	133216656
chr6	12492537	12492567	P55317	FOXA1.hg38	164	668	12492552
chr6	37023537	37023582	P55317	FOXA1.hg38	158	668	37023559
chr14	65227096	65227149	P55317	FOXA1.hg38	163	667	65227122
chr3	188839395	188839423	P55317	FOXA1.hg38	158	665	188839409
chr12	95318338	95318375	P55317	FOXA1.hg38	167	663	95318356
chr13	98416530	98416561	P55317	FOXA1.hg38	153	663	98416545
chr2	30218038	30218066	P55317	FOXA1.hg38	153	663	30218052
chr9	110089878	110089921	P55317	FOXA1.hg38	163	662	110089899
chr1	246608868	246608897	P55317	FOXA1.hg38	166	662	246608882
chr12	12883513	12883544	P55317	FOXA1.hg38	159	659	12883528
chr6	52725961	52725990	P55317	FOXA1.hg38	164	658	52725975
chr12	101608577	101608604	P55317	FOXA1.hg38	161	655	101608590
chr2	18800558	18800587	P55317	FOXA1.hg38	169	653	18800572
chr15	41928201	41928241	P55317	FOXA1.hg38	167	651	41928221
chr6	35415401	35415434	P55317	FOXA1.hg38	161	650	35415417
