Chrom	Start	End	uniprotId	Gene	exp.count	peak.count	position
chr12	58925341	58925411	Q92908	GATA6.hg38	29	123	58925376
chr17	71329496	71329539	Q92908	GATA6.hg38	29	111	71329517
chr3	182180828	182180877	Q92908	GATA6.hg38	28	110	182180852
chr9	2771314	2771357	Q92908	GATA6.hg38	27	107	2771335
chr6	1597372	1597438	Q92908	GATA6.hg38	26	107	1597405
chr17	1590014	1590089	Q92908	GATA6.hg38	28	106	1590051
chr6	108904020	108904051	Q92908	GATA6.hg38	29	105	108904035
chr2	47310058	47310095	Q92908	GATA6.hg38	29	103	47310076
chr18	55748534	55748606	Q92908	GATA6.hg38	25	103	55748570
chr17	37710468	37710491	Q92908	GATA6.hg38	29	102	37710479
chr10	61952406	61952447	Q92908	GATA6.hg38	29	101	61952426
chr2	196259882	196259948	Q92908	GATA6.hg38	27	101	196259915
chr3	112322139	112322206	Q92908	GATA6.hg38	27	101	112322172
chr2	237595109	237595146	Q92908	GATA6.hg38	28	100	237595127
chr3	124627727	124627775	Q92908	GATA6.hg38	26	100	124627751
chr1	178506833	178506866	Q92908	GATA6.hg38	29	100	178506849
chr17	77300515	77300542	Q92908	GATA6.hg38	28	100	77300528
chr5	80205033	80205112	Q92908	GATA6.hg38	26	100	80205072
chr1	54409451	54409524	Q92908	GATA6.hg38	26	99	54409487
chr1	211667338	211667385	Q92908	GATA6.hg38	27	99	211667361
chr11	87000433	87000516	Q92908	GATA6.hg38	24	99	87000474
chr9	94669471	94669496	Q92908	GATA6.hg38	29	98	94669483
chr5	37090486	37090556	Q92908	GATA6.hg38	25	98	37090521
chr7	135937014	135937074	Q92908	GATA6.hg38	27	98	135937044
chr12	64656589	64656619	Q92908	GATA6.hg38	27	98	64656604
chr12	59368503	59368562	Q92908	GATA6.hg38	24	98	59368532
chr17	68701151	68701186	Q92908	GATA6.hg38	27	97	68701168
chr16	85535557	85535590	Q92908	GATA6.hg38	27	97	85535573
chr14	60650864	60650896	Q92908	GATA6.hg38	28	97	60650880
chr15	70171685	70171716	Q92908	GATA6.hg38	25	97	70171700
chr2	33475924	33475961	Q92908	GATA6.hg38	29	97	33475942
chr6	116146254	116146303	Q92908	GATA6.hg38	25	97	116146278
chr10	28687317	28687370	Q92908	GATA6.hg38	25	97	28687343
chr8	122198286	122198333	Q92908	GATA6.hg38	26	96	122198309
chr15	75140333	75140380	Q92908	GATA6.hg38	25	96	75140356
chr1	163196165	163196196	Q92908	GATA6.hg38	27	96	163196180
chr18	3603177	3603210	Q92908	GATA6.hg38	29	96	3603193
chr14	99784627	99784674	Q92908	GATA6.hg38	25	96	99784650
chr2	207831992	207832039	Q92908	GATA6.hg38	28	96	207832015
chr11	59960622	59960652	Q92908	GATA6.hg38	27	95	59960637
chr5	78499653	78499692	Q92908	GATA6.hg38	27	95	78499672
chr4	160076070	160076101	Q92908	GATA6.hg38	27	95	160076085
chr6	15409667	15409718	Q92908	GATA6.hg38	25	95	15409692
chr16	70428377	70428412	Q92908	GATA6.hg38	28	95	70428394
chr17	73187468	73187491	Q92908	GATA6.hg38	27	95	73187479
chr10	12751046	12751089	Q92908	GATA6.hg38	27	94	12751067
chr9	110194451	110194474	Q92908	GATA6.hg38	27	94	110194462
chr11	81040058	81040093	Q92908	GATA6.hg38	29	94	81040075
chr1	204289471	204289502	Q92908	GATA6.hg38	26	94	204289486
chr19	47058924	47058958	Q92908	GATA6.hg38	28	94	47058941
chr9	126652346	126652383	Q92908	GATA6.hg38	26	94	126652364
chr1	234491272	234491305	Q92908	GATA6.hg38	25	93	234491288
chr10	79059371	79059410	Q92908	GATA6.hg38	26	93	79059390
chr2	67891797	67891830	Q92908	GATA6.hg38	27	93	67891813
chr2	209637485	209637522	Q92908	GATA6.hg38	26	93	209637503
chr7	73612881	73612914	Q92908	GATA6.hg38	27	93	73612897
chr13	54356384	54356420	Q92908	GATA6.hg38	26	93	54356402
chr10	34213659	34213696	Q92908	GATA6.hg38	27	93	34213677
chr1	232682450	232682477	Q92908	GATA6.hg38	29	93	232682463
chr2	28544825	28544853	Q92908	GATA6.hg38	28	92	28544839
chr5	86617832	86617854	Q92908	GATA6.hg38	27	92	86617843
chr12	4963163	4963198	Q92908	GATA6.hg38	26	92	4963180
